Date,Open,High,Low,Close,Volume,Adj Close
1994-07-14,10.5,10.5,10.5,10.5,0,9.91
1994-07-15,10.5,10.5,10.5,10.5,0,9.91
1994-07-18,10.5,10.5,10.5,10.5,0,9.91
1994-07-19,10.5,10.5,10.5,10.5,0,9.91
1994-07-20,10.75,10.75,10.25,10.25,1300,9.67
1994-07-21,10.25,10.25,10.25,10.25,0,9.67
1994-07-22,10.38,10.38,10.38,10.38,200,9.79
1994-07-25,11.12,11.12,10.31,10.31,1000,9.73
1994-07-26,10.31,10.31,10.31,10.31,0,9.73
1994-07-27,10.38,10.38,10.0,10.38,1500,9.79
1994-07-28,10.25,10.25,10.25,10.25,300,9.67
1994-07-29,10.25,10.25,10.25,10.25,0,9.67
1994-08-01,10.25,10.25,10.25,10.25,0,9.67
1994-08-02,10.25,10.25,10.25,10.25,500,9.67
1994-08-03,10.25,10.25,10.25,10.25,0,9.67
1994-08-04,10.25,10.25,10.25,10.25,400,9.67
1994-08-05,10.25,10.25,10.25,10.25,0,9.67
1994-08-08,11.0,11.0,11.0,11.0,100,10.38
1994-08-09,11.0,11.0,11.0,11.0,0,10.38
1994-08-10,11.0,11.0,11.0,11.0,0,10.38
1994-08-11,11.0,11.0,11.0,11.0,0,10.38
1994-08-12,11.0,11.0,11.0,11.0,0,10.38
1994-08-15,10.25,10.25,10.25,10.25,200,9.67
1994-08-16,11.0,11.0,11.0,11.0,1000,10.38
1994-08-17,10.25,10.25,10.25,10.25,1000,9.67
1994-08-18,10.25,10.25,10.25,10.25,0,9.67
1994-08-19,10.25,10.25,10.25,10.25,0,9.67
1994-08-22,10.25,10.25,10.25,10.25,0,9.67
1994-08-23,10.25,10.25,10.25,10.25,0,9.67
1994-08-24,10.25,10.25,10.25,10.25,0,9.67
1994-08-25,10.25,10.25,10.25,10.25,400,9.67
1994-08-26,10.38,10.38,10.38,10.38,400,9.79
1994-08-29,10.38,10.38,10.38,10.38,0,9.79
1994-08-30,10.38,10.38,10.38,10.38,0,9.79
1994-08-31,10.38,10.38,10.38,10.38,0,9.79
1994-09-01,10.38,10.38,10.38,10.38,0,9.79
1994-09-02,10.38,10.38,10.38,10.38,0,9.79
1994-09-06,10.38,10.38,10.38,10.38,0,9.79
1994-09-07,10.38,10.38,10.38,10.38,0,9.79
1994-09-08,10.38,10.38,10.38,10.38,0,9.79
1994-09-09,10.38,10.38,10.38,10.38,0,9.79
1994-09-12,10.25,10.75,10.25,10.75,1100,10.15
1994-09-13,10.75,10.75,10.75,10.75,0,10.15
1994-09-14,10.75,10.75,10.75,10.75,0,10.15
1994-09-15,10.75,10.75,10.75,10.75,0,10.15
1994-09-16,10.75,10.75,10.75,10.75,0,10.15
1994-09-19,10.75,10.75,10.75,10.75,0,10.15
1994-09-20,10.75,10.75,10.75,10.75,0,10.15
1994-09-21,10.75,10.75,10.75,10.75,0,10.15
1994-09-22,10.25,10.25,10.25,10.25,1000,9.67
1994-09-23,10.25,10.25,10.25,10.25,0,9.67
1994-09-26,10.25,10.25,10.25,10.25,0,9.67
1994-09-27,10.25,10.25,10.25,10.25,0,9.67
1994-09-28,11.5,11.5,11.5,11.5,100,10.85
1994-09-29,11.5,11.5,11.5,11.5,0,10.85
1994-09-30,11.5,11.5,10.5,10.5,2000,9.91
1994-10-03,10.5,10.5,10.5,10.5,0,9.91
1994-10-04,10.5,10.5,10.5,10.5,0,9.91
1994-10-05,10.25,10.25,10.25,10.25,100,9.67
1994-10-06,10.25,10.25,10.25,10.25,0,9.67
1994-10-07,10.62,10.62,10.25,10.25,1300,9.69
1994-10-10,10.75,10.75,10.62,10.62,12400,10.05
1994-10-11,11.5,11.5,11.5,11.5,1600,10.88
1994-10-12,11.5,11.5,11.5,11.5,0,10.88
1994-10-13,11.5,11.5,11.5,11.5,0,10.88
1994-10-14,11.5,11.5,11.5,11.5,0,10.88
1994-10-17,11.5,11.5,11.5,11.5,0,10.88
1994-10-18,11.5,11.5,11.5,11.5,0,10.88
1994-10-19,11.5,11.5,11.5,11.5,0,10.88
1994-10-20,11.5,11.5,11.5,11.5,0,10.88
1994-10-21,11.5,11.5,11.5,11.5,0,10.88
1994-10-24,11.5,11.5,11.5,11.5,0,10.88
1994-10-25,11.5,11.5,11.5,11.5,0,10.88
1994-10-26,11.5,11.5,11.5,11.5,0,10.88
1994-10-27,11.5,11.5,11.5,11.5,0,10.88
1994-10-28,10.25,10.25,10.25,10.25,100,9.69
1994-10-31,10.25,10.25,10.25,10.25,0,9.69
1994-11-01,10.25,10.25,10.25,10.25,0,9.69
1994-11-02,10.25,10.25,10.25,10.25,0,9.69
1994-11-03,10.25,10.25,10.25,10.25,300,9.69
1994-11-04,11.5,11.5,11.5,11.5,200,10.88
1994-11-07,10.25,10.25,10.25,10.25,1100,9.69
1994-11-08,10.25,10.25,10.25,10.25,0,9.69
1994-11-09,10.25,10.25,10.25,10.25,0,9.69
1994-11-10,10.5,10.5,10.25,10.25,700,9.69
1994-11-11,10.25,10.25,10.25,10.25,0,9.69
1994-11-14,10.25,10.25,10.25,10.25,0,9.69
1994-11-15,10.25,10.25,10.25,10.25,0,9.69
1994-11-16,10.5,10.5,10.25,10.25,6800,9.69
1994-11-17,11.5,11.5,11.5,11.5,100,10.88
1994-11-18,11.5,11.5,11.5,11.5,0,10.88
1994-11-21,11.5,11.5,11.5,11.5,0,10.88
1994-11-22,10.75,10.75,10.75,10.75,2000,10.17
