Date,Open,High,Low,Close,Volume,Adj Close
1990-03-26,6.25,6.5,6.12,6.5,8600,6.5
1990-03-27,6.5,6.5,6.25,6.5,6900,6.5
1990-03-28,6.38,6.5,6.25,6.25,10300,6.25
1990-03-29,6.25,6.38,6.12,6.38,5600,6.38
1990-03-30,6.25,6.38,6.12,6.25,7500,6.25
1990-04-02,6.25,6.38,6.25,6.38,3800,6.38
1990-04-03,6.12,6.38,6.12,6.38,8900,6.38
1990-04-04,6.38,6.38,6.12,6.12,3600,6.12
1990-04-05,6.25,6.25,6.0,6.25,7500,6.25
1990-04-06,6.25,6.25,6.25,6.25,4400,6.25
1990-04-09,6.12,6.25,6.12,6.25,23400,6.25
1990-04-10,6.12,6.38,6.12,6.25,51900,6.25
1990-04-11,6.25,6.38,6.12,6.25,14100,6.25
1990-04-12,6.25,6.25,6.12,6.12,4200,6.12
1990-04-16,6.25,6.25,6.12,6.12,4900,6.12
1990-04-17,6.12,6.12,5.88,5.88,17500,5.88
1990-04-18,6.0,6.0,5.5,5.75,45400,5.75
1990-04-19,5.75,5.75,4.62,4.62,71800,4.62
1990-04-20,4.62,4.75,4.0,4.38,105500,4.38
1990-04-23,4.25,4.5,4.12,4.12,139200,4.12
1990-04-24,4.25,4.25,4.12,4.12,39300,4.12
1990-04-25,4.25,4.38,4.0,4.12,149000,4.12
1990-04-26,4.25,4.25,4.12,4.25,46800,4.25
1990-04-27,4.25,4.25,4.0,4.0,37000,4.0
1990-04-30,3.88,4.0,3.75,4.0,31100,4.0
1990-05-01,4.0,4.0,3.88,4.0,59500,4.0
1990-05-02,4.0,4.0,3.88,4.0,51200,4.0
1990-05-03,4.0,4.0,3.75,3.88,67700,3.88
1990-05-04,3.88,4.0,3.62,3.75,24800,3.75
1990-05-07,3.75,3.88,3.62,3.88,118200,3.88
1990-05-08,3.88,4.0,3.62,4.0,13700,4.0
1990-05-09,3.75,4.0,3.75,3.88,7200,3.88
1990-05-10,4.0,4.0,3.88,4.0,6000,4.0
1990-05-11,4.0,4.5,4.0,4.25,53400,4.25
1990-05-14,4.0,4.12,3.75,3.88,47300,3.88
1990-05-15,4.0,4.0,3.75,4.0,17200,4.0
1990-05-16,4.0,4.12,3.88,4.12,18500,4.12
1990-05-17,4.12,4.25,3.5,4.0,463500,4.0
1990-05-18,4.0,4.0,3.88,3.88,24700,3.88
1990-05-21,4.0,4.12,3.88,4.12,167200,4.12
1990-05-22,4.0,4.12,3.88,4.0,24100,4.0
1990-05-23,4.12,4.12,3.88,4.12,38000,4.12
1990-05-24,4.12,4.12,4.0,4.0,38500,4.0
1990-05-25,4.0,4.12,4.0,4.12,3900,4.12
1990-05-29,4.12,4.12,4.0,4.12,51600,4.12
1990-05-30,4.12,4.12,4.0,4.0,7800,4.0
1990-05-31,4.12,4.12,4.0,4.12,4300,4.12
1990-06-01,4.0,4.38,4.0,4.12,92500,4.12
1990-06-04,4.12,4.38,4.12,4.25,15700,4.25
1990-06-05,4.38,4.5,4.25,4.38,20700,4.38
1990-06-06,4.5,4.5,4.38,4.38,22600,4.38
1990-06-07,4.5,4.62,4.38,4.5,74600,4.5
1990-06-08,4.62,4.62,4.38,4.5,22500,4.5
1990-06-11,4.25,4.62,4.25,4.38,22000,4.38
1990-06-12,4.62,4.62,4.38,4.5,12000,4.5
1990-06-13,4.75,4.75,4.5,4.62,40500,4.62
1990-06-14,4.5,4.75,4.5,4.75,8700,4.75
1990-06-15,4.5,4.75,4.5,4.75,32500,4.75
1990-06-18,4.5,4.62,4.5,4.62,51500,4.62
1990-06-19,4.62,4.62,4.38,4.62,4900,4.62
1990-06-20,4.38,4.62,4.38,4.38,27300,4.38
1990-06-21,4.5,4.5,4.38,4.38,16100,4.38
1990-06-22,4.38,4.5,4.38,4.38,17700,4.38
1990-06-25,4.38,4.5,4.25,4.25,22400,4.25
1990-06-26,4.25,4.38,4.25,4.38,6900,4.38
1990-06-27,4.25,4.38,4.25,4.25,29600,4.25
1990-06-28,4.38,4.38,4.25,4.25,15100,4.25
1990-06-29,4.25,4.38,4.25,4.25,17000,4.25
1990-07-02,4.38,4.38,4.25,4.25,28500,4.25
1990-07-03,4.25,4.38,4.25,4.38,52400,4.38
1990-07-05,4.38,4.38,4.25,4.25,17400,4.25
1990-07-06,4.25,4.38,4.25,4.25,58000,4.25
