Date,Open,High,Low,Close,Volume,Adj Close
1990-03-26,8.25,9.5,8.25,8.87,119400,2.96
1990-03-27,9.25,9.5,9.0,9.5,42000,3.17
1990-03-28,9.5,9.5,9.25,9.5,41600,3.17
1990-03-29,9.75,9.75,9.13,9.13,35400,3.04
1990-03-30,9.13,9.25,9.0,9.0,15600,3.0
1990-04-02,9.0,9.38,9.0,9.38,17400,3.12
1990-04-03,9.38,9.62,9.25,9.62,21000,3.21
1990-04-04,9.62,9.62,9.38,9.5,18600,3.17
1990-04-05,9.5,9.5,9.38,9.5,11000,3.17
1990-04-06,9.5,9.5,9.0,9.13,45000,3.04
1990-04-09,9.0,9.0,8.87,8.87,10800,2.96
1990-04-10,8.87,9.0,8.5,8.5,28800,2.83
1990-04-11,8.62,9.0,8.5,8.62,10200,2.88
1990-04-12,8.62,9.25,8.62,9.25,18800,3.08
1990-04-16,9.25,9.25,8.62,8.62,26400,2.88
1990-04-17,8.62,9.0,8.62,8.62,24600,2.88
1990-04-18,9.0,9.0,9.0,9.0,2400,3.0
1990-04-19,8.62,8.75,8.5,8.5,35000,2.83
1990-04-20,8.5,8.5,8.12,8.12,27200,2.71
1990-04-23,8.25,8.25,7.75,7.75,41600,2.58
1990-04-24,8.0,8.5,8.0,8.0,44600,2.67
1990-04-25,8.38,8.5,8.0,8.5,18200,2.83
1990-04-26,8.38,8.38,8.12,8.38,3800,2.79
1990-04-27,8.25,8.25,8.12,8.25,10400,2.75
1990-04-30,8.38,8.38,8.38,8.38,800,2.79
1990-05-01,8.0,8.38,8.0,8.38,3600,2.79
1990-05-02,8.0,8.38,8.0,8.38,2000,2.79
1990-05-03,8.38,8.62,8.25,8.25,18800,2.75
1990-05-04,8.62,8.62,8.25,8.25,3600,2.75
1990-05-07,8.62,8.62,8.25,8.62,9200,2.88
1990-05-08,8.38,8.87,8.38,8.75,45000,2.92
1990-05-09,8.87,9.25,8.5,9.13,55800,3.04
1990-05-10,9.13,9.25,8.87,8.87,15000,2.96
1990-05-11,9.25,9.25,8.87,9.25,35400,3.08
1990-05-14,9.38,9.38,9.38,9.38,7200,3.12
1990-05-15,9.5,9.5,8.25,8.5,43800,2.83
1990-05-16,8.38,9.25,8.38,9.13,81200,3.04
1990-05-17,9.75,9.88,9.25,9.25,83600,3.08
1990-05-18,9.5,9.5,9.25,9.5,30800,3.17
1990-05-21,9.5,9.88,9.25,9.75,98000,3.25
1990-05-22,9.5,10.25,9.5,10.25,474000,3.42
1990-05-23,10.37,11.75,10.0,11.38,341400,3.79
1990-05-24,11.25,12.0,11.0,11.25,115200,3.75
1990-05-25,11.25,11.62,10.75,11.62,100200,3.88
1990-05-29,11.5,11.5,10.75,11.0,53400,3.67
1990-05-30,11.5,11.75,11.0,11.75,162800,3.92
1990-05-31,11.75,11.75,11.25,11.25,12600,3.75
1990-06-01,11.25,11.75,11.25,11.25,8000,3.75
1990-06-04,11.75,11.75,11.25,11.75,68000,3.92
1990-06-05,11.75,12.0,11.25,11.5,57200,3.83
1990-06-06,11.5,11.75,11.25,11.25,25200,3.75
1990-06-07,11.5,11.5,11.0,11.0,28800,3.67
1990-06-08,11.25,11.25,10.75,11.25,11600,3.75
1990-06-11,11.0,11.25,11.0,11.0,30000,3.67
1990-06-12,11.25,11.25,10.88,11.25,13400,3.75
1990-06-13,11.38,11.38,11.0,11.0,35000,3.67
1990-06-14,10.88,11.0,10.75,10.75,19200,3.58
1990-06-15,10.75,11.0,10.5,10.75,27000,3.58
1990-06-18,10.5,10.75,9.75,10.12,48600,3.38
1990-06-19,10.0,10.5,9.75,10.25,12800,3.42
1990-06-20,10.5,10.5,9.75,10.5,109200,3.5
1990-06-21,10.5,11.25,10.25,10.25,156000,3.42
1990-06-22,10.25,10.25,9.75,9.88,1835400,3.29
1990-06-25,9.88,10.12,9.75,9.75,149400,3.25
1990-06-26,9.75,10.12,9.25,9.25,321200,3.08
1990-06-27,9.25,9.5,9.25,9.38,148200,3.12
1990-06-28,9.5,9.88,9.5,9.75,111200,3.25
1990-06-29,9.5,10.25,9.5,10.12,462000,3.38
1990-07-02,10.12,10.12,9.88,10.12,148800,3.38
1990-07-03,10.12,10.12,9.88,9.88,240600,3.29
1990-07-05,10.12,10.12,9.62,9.88,100400,3.29
1990-07-06,9.62,10.0,9.62,9.88,96800,3.29
1990-07-09,9.75,10.0,9.75,9.88,72000,3.29
1990-07-10,9.75,10.88,9.75,10.37,948800,3.46
1990-07-11,10.63,11.38,10.5,11.25,887400,3.75
1990-07-12,11.25,11.25,10.75,11.0,290000,3.67
1990-07-13,11.0,11.25,11.0,11.0,156000,3.67
1990-07-16,11.25,11.25,10.5,10.88,111000,3.62
1990-07-17,10.5,10.88,10.37,10.37,153600,3.46
1990-07-18,10.75,10.75,10.25,10.25,153600,3.42
1990-07-19,10.12,10.5,9.75,9.88,135600,3.29
1990-07-20,9.88,10.12,9.88,9.88,82200,3.29
1990-07-23,9.88,9.88,8.75,9.38,258800,3.12
1990-07-24,9.38,9.5,8.87,8.87,171800,2.96
1990-07-25,8.87,9.13,8.75,9.13,117600,3.04
1990-07-26,8.87,9.38,8.87,9.25,90800,3.08
1990-07-27,9.5,9.5,9.25,9.25,42800,3.08
1990-07-30,9.38,9.38,9.13,9.13,28800,3.04
1990-07-31,9.13,9.38,8.87,8.87,56600,2.96
1990-08-01,8.87,8.87,8.5,8.75,186600,2.92
1990-08-02,8.38,8.5,7.63,8.12,356600,2.71
1990-08-03,8.12,8.12,7.63,8.12,327200,2.71
1990-08-06,7.75,7.75,7.37,7.37,125000,2.46
1990-08-07,7.63,7.75,7.5,7.63,168800,2.54
1990-08-08,7.63,8.5,7.63,8.38,95000,2.79
1990-08-09,8.38,9.13,8.38,9.13,121800,3.04
1990-08-10,8.87,8.87,8.25,8.25,44400,2.75
1990-08-13,8.5,9.13,8.5,9.13,65600,3.04
1990-08-14,8.75,9.13,8.75,9.0,35400,3.0
1990-08-15,9.13,9.38,9.0,9.38,160400,3.12
1990-08-16,9.38,9.38,9.13,9.13,20000,3.04
1990-08-17,8.75,8.87,8.62,8.62,51200,2.88
1990-08-20,8.62,9.0,8.62,8.62,13200,2.88
1990-08-21,8.62,8.62,8.12,8.62,141600,2.88
1990-08-22,8.5,8.5,8.38,8.38,14600,2.79
1990-08-23,8.25,8.25,7.12,7.12,114000,2.38
1990-08-24,7.63,7.63,7.0,7.25,98000,2.42
1990-08-27,7.63,8.0,7.63,7.63,95000,2.54
1990-08-28,7.88,8.0,7.75,8.0,83600,2.67
1990-08-29,8.12,9.0,8.0,8.5,170600,2.83
1990-08-30,8.75,8.75,8.38,8.75,113600,2.92
1990-08-31,8.75,8.75,8.38,8.75,52400,2.92
1990-09-04,8.38,8.62,8.38,8.5,187800,2.83
1990-09-05,8.5,8.62,8.38,8.62,57800,2.88
1990-09-06,8.5,8.5,8.25,8.25,33200,2.75
1990-09-07,8.25,8.5,8.25,8.25,32600,2.75
1990-09-10,8.5,8.5,8.38,8.38,71000,2.79
1990-09-11,8.38,8.5,8.38,8.38,3800,2.79
1990-09-12,8.5,8.5,8.38,8.38,10200,2.79
1990-09-13,8.38,8.38,8.12,8.12,28800,2.71
1990-09-14,8.12,8.25,7.88,7.88,125400,2.62
1990-09-17,7.88,8.12,7.75,8.12,14600,2.71
1990-09-18,7.75,7.88,7.5,7.88,49800,2.62
1990-09-19,7.88,7.88,7.37,7.63,55200,2.54
1990-09-20,7.63,7.88,7.37,7.75,220800,2.58
1990-09-21,7.75,7.75,7.63,7.75,80000,2.58
1990-09-24,7.75,7.75,7.37,7.37,112800,2.46
1990-09-25,7.63,7.63,7.25,7.63,21600,2.54
1990-09-26,7.5,7.63,7.25,7.25,31200,2.42
1990-09-27,7.5,7.5,6.38,6.38,167600,2.12
1990-09-28,6.25,6.5,6.13,6.25,90000,2.08
1990-10-01,6.38,6.75,6.38,6.75,80000,2.25
1990-10-02,6.62,6.75,6.5,6.5,57600,2.17
1990-10-03,6.5,6.75,6.5,6.5,37200,2.17
1990-10-04,6.38,6.62,6.25,6.62,18800,2.21
1990-10-05,6.5,6.5,6.25,6.25,32600,2.08
1990-10-08,6.5,6.62,6.5,6.5,25400,2.17
