Date,Open,High,Low,Close,Volume,Adj Close
1990-03-26,7.38,7.5,7.38,7.38,8900,7.32
1990-03-27,7.38,7.38,7.38,7.38,0,7.32
1990-03-28,7.5,8.0,7.5,7.75,67700,7.69
1990-03-29,7.75,8.0,7.75,8.0,184800,7.94
1990-03-30,8.0,8.5,8.0,8.5,375300,8.43
1990-04-02,8.12,8.5,8.12,8.31,13600,8.25
1990-04-03,8.12,8.38,8.12,8.25,66600,8.19
1990-04-04,8.25,8.38,8.25,8.25,257500,8.19
1990-04-05,8.38,8.38,7.75,7.75,68800,7.69
1990-04-06,7.75,7.75,7.38,7.62,18500,7.57
1990-04-09,7.62,7.75,7.0,7.25,73600,7.19
1990-04-10,7.25,7.38,6.88,6.88,43900,6.82
1990-04-11,6.88,7.12,6.5,6.75,52100,6.7
1990-04-12,6.62,7.0,6.44,7.0,138400,6.95
1990-04-16,7.0,7.25,6.88,7.25,58200,7.19
1990-04-17,7.0,7.38,7.0,7.38,33300,7.32
1990-04-18,7.25,7.38,7.0,7.0,73600,6.95
1990-04-19,7.0,7.0,6.88,7.0,13700,6.95
1990-04-20,6.88,7.0,6.5,6.62,131600,6.57
1990-04-23,6.81,7.0,6.75,7.0,17100,6.95
1990-04-24,6.88,7.0,6.75,6.75,34400,6.7
1990-04-25,6.62,6.88,6.62,6.88,4200,6.82
1990-04-26,6.62,6.88,6.62,6.88,6200,6.82
1990-04-27,6.62,6.88,6.62,6.62,1000,6.57
1990-04-30,6.62,6.88,6.62,6.88,2300,6.82
1990-05-01,7.0,7.0,6.88,6.88,5500,6.82
1990-05-02,6.75,7.0,6.75,7.0,26600,6.95
1990-05-03,7.0,7.25,7.0,7.25,24300,7.19
1990-05-04,7.12,7.38,7.12,7.12,3800,7.07
1990-05-07,7.38,7.38,7.12,7.12,900,7.07
1990-05-08,7.25,7.38,7.12,7.38,152400,7.32
1990-05-09,7.25,7.5,7.12,7.12,7400,7.07
1990-05-10,7.12,7.25,7.12,7.12,9300,7.07
1990-05-11,7.25,8.5,7.25,8.25,158000,8.19
1990-05-14,8.5,8.62,8.25,8.25,60400,8.19
1990-05-15,8.25,8.5,8.25,8.25,125200,8.19
1990-05-16,8.25,8.5,8.25,8.38,149600,8.31
1990-05-17,8.38,8.88,8.38,8.88,110300,8.81
1990-05-18,9.0,9.12,8.75,8.88,128800,8.81
1990-05-21,8.88,8.88,8.62,8.62,10200,8.56
1990-05-22,8.88,9.12,8.75,9.0,64900,8.93
1990-05-23,8.88,9.0,8.75,8.75,51600,8.68
1990-05-24,8.75,8.75,8.75,8.75,800,8.68
1990-05-25,8.75,8.75,8.62,8.75,118000,8.68
1990-05-29,8.75,8.88,8.62,8.75,500100,8.68
1990-05-30,8.62,9.25,8.62,9.12,153100,9.05
1990-05-31,9.38,9.5,8.75,9.12,259700,9.05
1990-06-01,9.12,9.12,8.75,8.88,31500,8.81
1990-06-04,8.75,8.75,8.5,8.75,39900,8.68
1990-06-05,8.75,9.12,8.62,8.88,88400,8.81
1990-06-06,8.88,9.0,8.75,9.0,58800,8.93
1990-06-07,9.0,9.75,8.88,9.75,138400,9.68
1990-06-08,9.75,9.88,9.38,9.75,180400,9.68
1990-06-11,9.75,10.12,9.62,10.12,187600,10.05
1990-06-12,10.0,10.25,9.75,9.75,58300,9.68
1990-06-13,9.75,10.0,9.62,9.75,97200,9.68
1990-06-14,9.75,10.0,9.75,9.75,22400,9.68
1990-06-15,9.75,10.0,9.75,9.88,8000,9.8
1990-06-18,10.0,10.0,9.38,9.5,45000,9.43
1990-06-19,9.38,9.75,9.38,9.5,18900,9.43
1990-06-20,9.38,9.62,9.38,9.62,1900,9.55
1990-06-21,9.38,9.5,9.25,9.38,35600,9.3
1990-06-22,9.25,9.5,9.25,9.25,3600,9.18
1990-06-25,9.25,9.38,9.0,9.25,31100,9.18
1990-06-26,9.25,9.38,9.25,9.38,46500,9.3
1990-06-27,9.25,10.5,9.25,10.12,122800,10.05
1990-06-28,10.38,10.38,9.75,9.75,155300,9.68
1990-06-29,9.88,10.0,9.62,10.0,51700,9.92
1990-07-02,10.0,10.0,9.75,9.75,10500,9.68
1990-07-03,10.0,10.0,9.75,9.75,4200,9.68
1990-07-05,10.0,10.0,9.75,9.75,6200,9.68
1990-07-06,10.0,10.0,9.5,9.75,26100,9.68
