Date,Open,High,Low,Close,Volume,Adj Close
1999-07-29,11.5,12.0,9.12,9.38,414800,9.38
1999-07-30,9.62,10.0,8.88,9.75,100200,9.75
1999-08-02,9.88,9.88,8.75,9.0,28000,9.0
1999-08-03,8.94,8.94,8.12,8.12,54200,8.12
1999-08-04,8.12,8.19,7.75,8.0,69400,8.0
1999-08-05,7.94,7.94,7.75,7.88,18400,7.88
1999-08-06,7.88,8.06,7.75,8.06,20400,8.06
1999-08-09,7.94,8.0,7.94,7.94,1500,7.94
1999-08-10,7.94,7.94,7.69,7.94,8700,7.94
1999-08-11,7.94,7.94,7.94,7.94,5100,7.94
1999-08-12,7.94,7.94,7.69,7.69,10300,7.69
1999-08-13,7.69,7.75,7.62,7.62,21600,7.62
1999-08-16,7.62,7.75,7.5,7.5,24600,7.5
1999-08-17,7.5,7.5,7.5,7.5,1000,7.5
1999-08-18,7.5,7.78,7.5,7.5,6300,7.5
1999-08-19,7.69,7.69,7.38,7.38,10700,7.38
1999-08-20,7.38,7.38,7.12,7.25,11800,7.25
1999-08-23,7.19,7.19,6.25,6.25,24700,6.25
1999-08-24,6.25,7.0,6.25,7.0,16300,7.0
1999-08-25,7.25,7.75,7.0,7.44,51000,7.44
1999-08-26,7.44,7.88,7.0,7.5,26600,7.5
1999-08-27,7.81,8.0,7.5,8.0,8000,8.0
1999-08-30,8.0,8.5,7.88,8.25,34700,8.25
1999-08-31,8.25,8.75,7.75,8.5,66500,8.5
1999-09-01,8.75,8.75,8.25,8.25,25500,8.25
1999-09-02,8.25,8.5,8.25,8.28,10500,8.28
1999-09-03,8.44,8.44,8.03,8.25,9500,8.25
1999-09-07,8.44,8.5,8.03,8.44,12800,8.44
1999-09-08,8.25,8.38,8.03,8.03,9400,8.03
1999-09-09,8.0,8.0,7.88,8.0,29800,8.0
1999-09-10,8.38,8.38,8.0,8.25,8100,8.25
1999-09-13,8.75,9.5,8.38,8.56,112700,8.56
1999-09-14,8.72,8.81,8.31,8.44,37200,8.44
1999-09-15,8.44,8.69,8.31,8.62,7900,8.62
1999-09-16,8.69,8.69,8.38,8.5,11300,8.5
1999-09-17,8.5,8.72,8.31,8.5,32600,8.5
1999-09-20,8.5,8.75,8.38,8.75,26600,8.75
1999-09-21,8.75,8.75,8.5,8.5,4000,8.5
1999-09-22,8.75,8.75,8.5,8.69,10400,8.69
1999-09-23,8.75,8.81,8.44,8.5,15600,8.5
1999-09-24,8.25,8.62,8.25,8.62,4500,8.62
1999-09-27,8.75,8.75,8.38,8.38,11100,8.38
1999-09-28,8.5,8.5,8.0,8.19,11600,8.19
1999-09-29,8.12,8.5,8.0,8.5,2300,8.5
1999-09-30,8.0,8.5,8.0,8.5,2500,8.5
1999-10-01,8.25,8.25,8.25,8.25,100,8.25
1999-10-04,8.0,8.5,8.0,8.25,10900,8.25
1999-10-05,8.19,8.38,8.0,8.0,13300,8.0
1999-10-06,8.0,8.38,8.0,8.38,6000,8.38
1999-10-07,8.0,8.12,8.0,8.0,5700,8.0
1999-10-08,8.0,8.0,8.0,8.0,3900,8.0
1999-10-11,8.25,8.38,7.75,8.38,14700,8.38
1999-10-12,8.0,8.45,8.0,8.12,4800,8.12
1999-10-13,8.12,8.25,8.12,8.12,22800,8.12
1999-10-14,8.38,8.5,8.25,8.25,11800,8.25
1999-10-15,8.25,8.25,7.62,8.0,17400,8.0
1999-10-18,7.75,8.0,6.5,7.0,6400,7.0
1999-10-19,6.75,8.0,6.75,8.0,12100,8.0
1999-10-20,7.41,8.12,7.41,8.12,7100,8.12
1999-10-21,7.5,8.12,7.44,8.0,36200,8.0
1999-10-22,8.12,8.12,7.75,8.12,63600,8.12
1999-10-25,8.12,9.0,7.94,8.94,33300,8.94
1999-10-26,9.19,9.25,8.5,8.62,37800,8.62
1999-10-27,8.88,9.0,8.75,8.88,8900,8.88
1999-10-28,9.0,9.0,8.75,8.75,1000,8.75
1999-10-29,8.94,9.0,8.75,9.0,4600,9.0
1999-11-01,8.75,8.75,8.5,8.62,15500,8.62
1999-11-02,8.59,8.69,8.5,8.62,11700,8.62
1999-11-03,8.69,8.69,8.62,8.62,2600,8.62
1999-11-04,8.69,9.0,8.62,8.88,14900,8.88
1999-11-05,8.75,8.75,8.69,8.69,2700,8.69
1999-11-08,8.59,9.25,8.56,9.0,16600,9.0
1999-11-09,9.12,9.12,8.62,9.0,8300,9.0
1999-11-10,9.12,9.25,9.0,9.25,13300,9.25
1999-11-11,9.12,11.12,9.12,10.56,82900,10.56
1999-11-12,10.56,11.25,10.25,11.0,30600,11.0
1999-11-15,11.5,11.5,10.25,11.0,44500,11.0
1999-11-16,11.0,11.12,10.75,10.88,11400,10.88
1999-11-17,11.12,11.75,11.0,11.31,18900,11.31
1999-11-18,11.75,13.5,11.38,13.0,52700,13.0
1999-11-19,12.88,14.12,12.88,13.75,15800,13.75
1999-11-22,14.12,14.12,12.88,13.56,36600,13.56
1999-11-23,13.5,13.75,12.5,13.75,8200,13.75
1999-11-24,13.75,13.75,12.62,13.5,7900,13.5
1999-11-26,13.5,13.5,12.75,13.5,2400,13.5
1999-11-29,13.0,13.5,13.0,13.5,2500,13.5
1999-11-30,12.75,13.38,12.0,12.75,12600,12.75
1999-12-01,12.0,12.0,11.25,12.0,22700,12.0
1999-12-02,12.06,12.44,11.88,11.88,7300,11.88
1999-12-03,11.5,12.56,11.5,12.56,4600,12.56
1999-12-06,12.5,12.88,12.0,12.25,15300,12.25
1999-12-07,12.31,12.88,12.12,12.5,9800,12.5
1999-12-08,12.12,12.5,12.12,12.5,7200,12.5
