Date,Open,High,Low,Close,Volume,Adj Close
2011-12-09,20.5,20.9,20.0,20.0,6060000,18.0
2011-12-12,19.98,19.98,19.5,19.68,304900,17.71
2011-12-13,19.41,19.74,19.25,19.25,162400,17.32
2011-12-14,19.14,19.62,19.0,19.11,176200,17.19
2011-12-15,19.25,19.37,19.02,19.11,75500,17.19
2011-12-16,19.14,19.3,19.03,19.2,90400,17.28
2011-12-19,19.2,19.5,19.2,19.33,44700,17.39
2011-12-20,19.5,19.5,19.25,19.33,39600,17.39
2011-12-21,19.2,19.68,19.18,19.56,40300,17.6
2011-12-22,19.6,19.78,19.6,19.63,54300,17.66
2011-12-23,19.8,19.84,19.54,19.7,55400,17.73
2011-12-27,19.71,19.92,19.68,19.83,77500,17.84
2011-12-28,19.88,20.01,19.7,20.0,51000,18.0
2011-12-29,20.03,20.44,19.9,20.32,101100,18.28
2011-12-30,20.23,20.58,20.0,20.58,32600,18.52
2012-01-03,20.85,20.92,20.2,20.61,63800,18.54
2012-01-04,20.5,20.83,20.37,20.58,95500,18.52
2012-01-05,20.4,20.6,20.19,20.39,83300,18.35
2012-01-06,20.35,20.44,20.21,20.3,28100,18.27
2012-01-09,20.23,20.37,19.86,20.14,41500,18.12
2012-01-10,20.3,20.45,19.91,20.37,107500,18.33
2012-01-11,20.55,20.55,20.08,20.27,39500,18.24
2012-01-12,20.17,20.46,20.1,20.11,64700,18.09
2012-01-13,20.01,20.33,19.92,20.21,32000,18.18
2012-01-17,20.2,20.46,20.08,20.43,35000,18.38
2012-01-18,20.46,21.0,20.46,20.96,195900,18.86
2012-01-19,20.95,21.0,20.52,20.6,66300,18.54
2012-01-20,20.6,20.82,20.25,20.42,40300,18.37
2012-01-23,20.46,20.68,20.27,20.68,22100,18.61
2012-01-24,20.54,20.81,20.22,20.7,41000,18.63
2012-01-25,20.64,21.09,20.59,21.0,103800,18.9
2012-01-26,21.03,21.17,20.83,20.85,72500,18.76
2012-01-27,20.81,21.04,20.67,20.73,58200,18.65
2012-01-30,20.72,20.94,20.55,20.75,60900,18.67
2012-01-31,20.75,21.1,20.65,21.0,136600,18.9
2012-02-01,21.0,21.15,21.0,21.01,16600,18.96
2012-02-02,21.1,21.39,21.04,21.33,73800,19.25
2012-02-03,21.5,21.74,21.1,21.2,64100,19.14
2012-02-06,21.15,21.5,21.05,21.5,34000,19.41
2012-02-07,21.6,22.16,21.6,22.12,53600,19.97
2012-02-08,22.09,22.44,21.88,22.44,35900,20.26
2012-02-09,22.46,22.73,22.0,22.42,58000,20.24
2012-02-10,22.18,22.55,22.18,22.45,26600,20.26
2012-02-13,22.5,22.51,22.4,22.46,12700,20.27
2012-02-14,22.99,23.04,22.5,22.93,68600,20.7
2012-02-15,23.02,23.83,22.9,23.42,65800,21.14
2012-02-16,23.53,23.65,23.34,23.43,53800,21.15
2012-02-17,23.54,23.6,23.33,23.47,50100,21.19
2012-02-21,23.51,23.6,23.25,23.32,31300,21.05
2012-02-22,23.28,23.49,23.28,23.49,16200,21.2
2012-02-23,23.59,23.72,23.55,23.64,41900,21.34
2012-02-24,23.63,23.75,23.41,23.57,24500,21.28
2012-02-27,23.6,23.65,23.49,23.57,26900,21.28
2012-02-28,23.52,23.71,23.52,23.68,18500,21.37
2012-02-29,23.62,24.27,23.62,23.86,104400,21.54
2012-03-01,24.01,24.38,23.98,24.2,44700,21.84
2012-03-02,24.18,24.5,24.08,24.42,24700,22.04
2012-03-05,24.37,24.89,24.37,24.88,99000,22.46
2012-03-06,24.73,25.0,24.6,24.8,78200,22.39
2012-03-07,24.76,25.23,24.76,24.94,88300,22.51
2012-03-08,25.11,25.43,24.94,24.98,45800,22.55
2012-03-09,25.05,25.41,24.75,25.06,57700,22.62
2012-03-12,25.05,25.43,25.05,25.21,86300,22.76
2012-03-13,25.38,25.4,24.85,24.95,129500,22.52
2012-03-14,24.96,25.15,24.5,24.53,161000,22.14
2012-03-15,24.35,24.7,24.01,24.44,261000,22.06
2012-03-16,24.51,25.22,24.15,25.1,198100,22.66
2012-03-19,25.24,25.59,24.74,24.95,126100,22.52
2012-03-20,24.94,24.96,24.55,24.83,27500,22.41
2012-03-21,24.83,25.07,24.8,24.93,27700,22.5
2012-03-22,24.83,24.83,24.11,24.17,85700,21.82
2012-03-23,24.17,24.27,23.68,24.24,124800,21.88
2012-03-26,24.38,25.18,24.38,24.8,61800,22.39
2012-03-27,24.92,24.92,24.58,24.74,15900,22.33
2012-03-28,24.71,24.75,24.42,24.42,72000,22.04
2012-03-29,24.4,24.4,23.54,23.71,63300,21.4
2012-03-30,23.79,24.0,23.36,23.84,66100,21.52
2012-04-02,23.9,24.04,23.63,23.76,62300,21.45
2012-04-03,23.8,23.94,23.63,23.73,40800,21.42
2012-04-04,23.58,23.75,23.11,23.42,45100,21.14
2012-04-05,23.29,23.51,23.16,23.4,47400,21.12
2012-04-09,23.17,23.76,23.17,23.29,14000,21.02
2012-04-10,23.33,23.5,23.2,23.35,33500,21.08
2012-04-11,23.57,23.57,23.21,23.5,21200,21.21
2012-04-12,23.53,23.7,23.36,23.52,31400,21.23
2012-04-13,23.37,23.48,23.28,23.48,21500,21.19
2012-04-16,23.56,23.9,23.3,23.32,16700,21.05
2012-04-17,23.49,23.96,23.39,23.52,22900,21.23
2012-04-18,23.51,23.65,23.38,23.55,23300,21.26
2012-04-19,23.53,23.76,23.53,23.65,21600,21.35
2012-04-20,23.8,24.0,23.75,23.75,21600,21.44
2012-04-23,23.5,23.66,23.45,23.6,30200,21.3
2012-04-24,23.59,23.99,23.5,23.99,44000,21.65
2012-04-25,24.19,24.48,23.8,24.4,24400,22.02
2012-04-26,24.26,24.28,24.12,24.28,10200,21.92
2012-04-27,24.44,24.45,24.28,24.29,4100,21.93
2012-04-30,24.32,24.32,24.03,24.19,30700,21.83
2012-05-01,24.15,24.4,24.07,24.15,6800,21.8
2012-05-02,24.06,24.15,23.93,24.07,29000,21.73
2012-05-03,23.81,24.06,23.37,23.61,12300,21.65
2012-05-04,23.39,23.66,23.31,23.64,10700,21.67
2012-05-07,23.58,23.88,23.46,23.76,11400,21.78
2012-05-08,23.66,23.73,23.49,23.65,29100,21.68
2012-05-09,23.65,24.4,23.65,24.4,26800,22.37
2012-05-10,24.26,25.44,23.88,24.12,57000,22.11
2012-05-11,24.25,24.25,23.6,24.0,19000,22.0
2012-05-14,23.8,23.89,23.52,23.52,22000,21.56
2012-05-15,23.51,23.6,22.71,23.09,37500,21.17
2012-05-16,23.0,23.09,22.72,22.88,45000,20.98
2012-05-17,22.77,22.77,22.18,22.47,41400,20.6
2012-05-18,22.65,22.88,22.38,22.87,24000,20.97
2012-05-21,22.75,23.55,22.75,23.4,22300,21.45
2012-05-22,23.41,23.65,23.31,23.5,48800,21.55
2012-05-23,23.6,23.6,23.28,23.47,7300,21.52
2012-05-24,23.43,23.53,23.2,23.2,43900,21.27
2012-05-25,23.3,24.35,23.08,24.2,73900,22.19
2012-05-29,24.24,25.0,24.24,24.92,37500,22.85
2012-05-30,24.73,25.47,24.16,24.5,53400,22.46
2012-05-31,24.57,24.87,23.73,24.01,14800,22.01
2012-06-01,23.67,24.05,22.86,24.05,26600,22.05
2012-06-04,23.93,23.93,22.62,22.96,28600,21.05
2012-06-05,22.92,23.14,22.75,22.92,1400,21.01
2012-06-06,23.08,23.45,22.7,22.95,11900,21.04
2012-06-07,23.0,23.47,22.97,23.46,161900,21.51
2012-06-08,23.26,24.51,23.26,23.85,6800,21.87
2012-06-11,24.0,24.33,23.54,23.59,11600,21.63
2012-06-12,23.69,23.69,23.5,23.66,5200,21.69
2012-06-13,23.35,23.73,23.33,23.55,3900,21.59
2012-06-14,23.55,23.9,23.15,23.41,15600,21.46
2012-06-15,23.79,23.86,23.46,23.6,23700,21.64
2012-06-18,23.54,23.54,23.19,23.44,11300,21.49
2012-06-19,23.6,23.6,23.32,23.6,2900,21.64
2012-06-20,23.64,23.72,23.44,23.5,21200,21.55
2012-06-21,23.39,23.96,23.1,23.53,10300,21.57
2012-06-22,23.71,24.4,23.7,24.38,34000,22.35
2012-06-25,23.9,24.19,23.27,23.64,23300,21.67
2012-06-26,23.71,24.2,23.71,24.06,32800,22.06
2012-06-27,24.2,24.35,23.86,24.35,28100,22.33
2012-06-28,24.35,24.35,24.14,24.3,4500,22.28
2012-06-29,24.3,24.65,24.1,24.43,16400,22.4
2012-07-02,24.31,25.72,24.31,24.79,23000,22.73
2012-07-03,24.8,24.85,24.42,24.73,175100,22.67
2012-07-05,24.64,25.09,23.46,24.5,23600,22.46
2012-07-06,24.25,24.68,24.25,24.55,6700,22.51
2012-07-09,24.86,25.15,24.52,25.15,23200,23.06
2012-07-10,25.38,25.4,24.91,24.93,18000,22.86
2012-07-11,24.81,25.26,24.52,25.1,21100,23.01
2012-07-12,24.98,25.3,24.98,25.25,6000,23.15
2012-07-13,25.17,25.6,24.97,25.16,62000,23.07
2012-07-16,25.23,26.0,25.23,25.96,11100,23.8
2012-07-17,26.0,26.0,25.04,25.51,11600,23.39
2012-07-18,25.51,26.4,24.92,25.75,23700,23.61
2012-07-19,25.95,27.09,25.95,26.54,35900,24.33
2012-07-20,26.4,26.64,26.31,26.63,27900,24.42
2012-07-23,26.59,26.6,26.04,26.5,6800,24.3
2012-07-24,26.42,26.65,26.18,26.59,8800,24.38
2012-07-25,26.86,26.86,24.76,25.9,38000,23.75
2012-07-26,25.79,26.15,25.12,26.15,22400,23.98
2012-07-27,26.15,26.23,26.1,26.23,1400,24.05
2012-07-30,26.06,26.23,25.42,26.02,11300,23.86
2012-07-31,26.22,26.26,26.1,26.21,89700,24.03
2012-08-01,26.23,27.4,26.11,27.2,87100,24.94
2012-08-02,26.65,27.16,25.47,26.22,35000,24.38
2012-08-03,26.33,26.76,26.17,26.17,1300,24.34
2012-08-06,26.3,26.43,26.19,26.26,8500,24.42
2012-08-07,26.47,26.95,26.47,26.75,7500,24.88
2012-08-08,26.9,27.39,26.68,26.75,1900,24.88
2012-08-09,26.91,29.27,26.85,28.81,6100,26.79
2012-08-10,28.6,28.6,27.23,27.9,18000,25.95
2012-08-13,27.84,28.1,27.12,28.06,20000,26.09
2012-08-14,28.1,28.18,27.95,28.1,5600,26.13
2012-08-15,28.61,28.61,27.9,28.07,2500,26.1
2012-08-16,28.0,28.0,27.23,27.65,18900,25.71
2012-08-17,27.9,28.46,27.46,28.0,8500,26.04
2012-08-20,28.0,28.36,28.0,28.33,3400,26.35
2012-08-21,28.2,28.33,28.0,28.25,2800,26.27
2012-08-22,28.3,28.3,27.15,27.75,4800,25.81
2012-08-23,28.25,28.46,27.47,27.7,11300,25.76
2012-08-24,28.0,28.41,27.91,27.91,1800,25.95
2012-08-27,28.18,28.24,28.0,28.16,3300,26.19
