Date,Open,High,Low,Close,Volume,Adj Close
2014-02-06,21.0,27.17,21.0,26.85,5042400,26.85
2014-02-07,26.54,29.37,25.1,28.0,662400,28.0
2014-02-10,29.2,29.2,26.54,27.12,104900,27.12
2014-02-11,27.15,27.16,26.5,26.6,111800,26.6
2014-02-12,26.5,26.98,25.8,26.93,143200,26.93
2014-02-13,26.2,26.83,26.0,26.72,83400,26.72
2014-02-14,26.49,27.2,26.0,26.75,235100,26.75
2014-02-18,29.0,29.0,26.54,26.89,57700,26.89
2014-02-19,26.79,27.49,26.0,26.35,76800,26.35
2014-02-20,26.35,27.05,25.87,25.9,148700,25.9
2014-02-21,25.9,30.45,25.74,29.84,303700,29.84
2014-02-24,30.96,30.96,28.51,29.58,100700,29.58
2014-02-25,29.96,30.25,29.3,30.1,156000,30.1
2014-02-26,30.3,31.0,29.0,29.6,130800,29.6
2014-02-27,29.72,30.24,29.17,29.94,122800,29.94
2014-02-28,29.76,30.99,26.92,26.93,171500,26.93
2014-03-03,28.56,28.98,27.54,27.78,240100,27.78
2014-03-04,28.02,29.11,28.02,28.71,118800,28.71
2014-03-05,28.74,32.35,28.69,31.61,197600,31.61
2014-03-06,32.06,33.8,31.93,32.72,688900,32.72
2014-03-07,33.15,34.55,31.51,34.35,192200,34.35
2014-03-10,34.5,36.9,32.65,34.85,260700,34.85
2014-03-11,35.2,35.9,33.01,35.26,215500,35.26
2014-03-12,34.76,39.86,34.0,38.9,271600,38.9
2014-03-13,39.24,39.24,37.0,38.52,115300,38.52
2014-03-14,38.51,39.69,36.5,37.76,123800,37.76
2014-03-17,38.6,38.7,36.76,37.14,101000,37.14
2014-03-18,37.17,37.52,36.5,37.48,140400,37.48
2014-03-19,37.53,38.45,36.7,37.31,117600,37.31
2014-03-20,37.17,37.93,36.5,36.91,65900,36.91
2014-03-21,37.0,37.26,35.28,35.56,408500,35.56
2014-03-24,35.45,35.45,32.44,33.7,182100,33.7
2014-03-25,33.7,35.2,29.56,30.87,208700,30.87
2014-03-26,31.03,31.75,30.52,30.82,262100,30.82
2014-03-27,30.93,31.16,29.2,29.73,191700,29.73
2014-03-28,29.66,31.37,29.52,30.42,176000,30.42
2014-03-31,31.5,32.24,29.51,31.5,1040200,31.5
2014-04-01,32.11,32.11,30.7,31.24,267800,31.24
2014-04-02,31.27,32.54,31.03,32.11,87400,32.11
2014-04-03,31.95,32.16,29.95,31.37,241400,31.37
2014-04-04,31.31,31.64,29.64,29.83,186800,29.83
2014-04-07,29.58,30.5,28.96,29.0,164100,29.0
2014-04-08,29.05,29.19,28.09,28.93,174800,28.93
2014-04-09,28.9,30.03,28.8,29.61,170000,29.61
2014-04-10,29.47,29.5,28.64,28.8,123700,28.8
2014-04-11,28.55,28.84,27.8,28.1,202400,28.1
2014-04-14,28.45,28.45,26.79,27.08,478300,27.08
2014-04-15,27.08,27.69,25.06,26.16,268300,26.16
2014-04-16,26.26,30.18,25.86,26.89,78800,26.89
2014-04-17,26.83,28.47,26.83,28.28,96600,28.28
2014-04-21,28.03,29.69,27.1,28.62,75300,28.62
2014-04-22,34.66,36.9,32.14,35.99,1273800,35.99
2014-04-23,36.14,36.98,35.5,36.38,212600,36.38
2014-04-24,36.4,36.49,33.98,35.83,592200,35.83
