Date,Open,High,Low,Close,Volume,Adj Close
1998-05-13,26.75,27.37,26.5,26.5,18600,3.98
1998-05-14,27.75,27.75,27.75,27.75,3600,4.17
1998-05-15,27.75,27.75,27.0,27.0,4000,4.06
1998-05-18,27.0,27.0,27.0,27.0,0,4.06
1998-05-19,27.0,27.0,27.0,27.0,0,4.06
1998-05-20,26.12,26.12,26.12,26.12,200,3.92
1998-05-21,27.75,28.75,27.0,27.0,38300,4.06
1998-05-22,27.75,29.0,27.75,28.75,5600,4.32
1998-05-26,27.25,28.75,27.25,28.75,7100,4.32
1998-05-27,27.75,27.75,27.75,27.75,200,4.17
1998-05-28,28.75,28.75,28.75,28.75,4000,4.32
1998-05-29,28.75,28.75,28.0,28.75,4000,4.32
1998-06-01,28.0,28.75,28.0,28.75,1000,4.32
1998-06-02,27.0,28.75,27.0,28.75,8000,4.32
1998-06-03,28.5,28.75,28.5,28.75,1000,4.32
1998-06-04,28.75,28.75,27.0,27.0,1200,4.06
1998-06-05,27.0,27.0,27.0,27.0,0,4.06
1998-06-08,27.0,27.0,27.0,27.0,800,4.06
1998-06-09,27.75,27.75,27.75,27.75,1400,4.17
1998-06-10,27.75,28.0,27.75,28.0,3800,4.21
1998-06-11,27.0,27.75,27.0,27.75,3800,4.17
1998-06-12,27.25,27.75,27.25,27.75,3800,4.17
1998-06-15,27.5,27.5,27.0,27.0,3800,4.06
1998-06-16,27.0,27.0,27.0,27.0,0,4.06
1998-06-17,26.0,26.5,26.0,26.5,8800,3.98
1998-06-18,26.0,26.25,26.0,26.12,4400,3.92
1998-06-19,26.12,26.12,26.12,26.12,0,3.92
1998-06-22,26.25,26.25,25.75,25.75,3200,3.87
1998-06-23,25.75,25.75,25.75,25.75,0,3.87
1998-06-24,25.75,25.75,25.0,25.0,11400,3.76
1998-06-25,25.0,25.0,25.0,25.0,14200,3.76
1998-06-26,24.5,24.75,23.5,23.5,25800,3.53
1998-06-29,24.0,24.0,23.87,24.0,19600,3.6
1998-06-30,24.12,24.12,24.12,24.12,400,3.62
1998-07-01,24.12,24.12,24.12,24.12,0,3.62
1998-07-02,24.25,24.25,24.25,24.25,200,3.64
1998-07-06,24.5,24.5,24.5,24.5,1000,3.68
1998-07-07,24.25,24.25,23.75,24.19,12800,3.63
1998-07-08,23.62,24.0,23.62,24.0,800,3.6
1998-07-09,24.12,24.25,24.12,24.25,11700,3.64
1998-07-10,24.12,24.25,24.0,24.25,1800,3.64
1998-07-13,25.0,25.5,25.0,25.5,6000,3.83
1998-07-14,25.0,25.75,25.0,25.75,15600,3.87
1998-07-15,25.5,26.5,25.5,26.5,23900,3.98
1998-07-16,25.62,26.0,25.0,26.0,12100,3.91
1998-07-17,26.75,27.0,26.62,27.0,24700,4.06
1998-07-20,26.5,26.5,26.5,26.5,4400,3.98
1998-07-21,26.25,26.25,26.25,26.25,3400,3.94
1998-07-22,26.0,26.0,25.75,25.75,7700,3.87
1998-07-23,25.5,25.5,25.5,25.5,1000,3.83
1998-07-24,25.37,26.0,25.37,26.0,4000,3.91
1998-07-27,25.37,26.0,25.37,26.0,3600,3.91
1998-07-28,25.5,26.0,25.5,26.0,7700,3.91
1998-07-29,26.0,26.0,26.0,26.0,0,3.91
1998-07-30,26.0,26.0,26.0,26.0,3200,3.91
1998-07-31,26.0,26.0,26.0,26.0,400,3.91
1998-08-03,26.0,26.0,26.0,26.0,0,3.91
1998-08-04,25.37,25.37,22.75,22.75,14200,3.42
1998-08-05,25.0,25.0,25.0,25.0,400,3.76
1998-08-06,25.0,25.0,25.0,25.0,0,3.76
1998-08-07,24.0,24.0,24.0,24.0,400,3.6
1998-08-10,24.0,24.0,24.0,24.0,0,3.6
1998-08-11,24.0,24.0,24.0,24.0,1800,3.6
1998-08-12,22.25,23.25,22.25,23.0,4800,3.45
1998-08-13,23.0,23.0,22.0,22.0,8000,3.3
1998-08-14,21.75,21.75,21.75,21.75,1000,3.27
1998-08-17,22.0,24.0,22.0,23.62,14200,3.55
1998-08-18,23.62,23.62,23.62,23.62,9200,3.55
1998-08-19,23.0,23.75,23.0,23.0,27100,3.45
1998-08-20,23.5,23.5,23.0,23.5,10700,3.53
1998-08-21,23.25,23.25,23.25,23.25,7100,3.49
1998-08-24,23.0,23.0,21.5,23.0,7100,3.45
1998-08-25,23.0,23.0,23.0,23.0,0,3.45
1998-08-26,22.87,23.25,22.5,23.25,41400,3.49
1998-08-27,21.5,21.5,21.5,21.5,1000,3.23
1998-08-28,21.75,21.75,21.5,21.5,1800,3.23
1998-08-31,21.25,21.5,20.5,21.5,13600,3.23
1998-09-01,21.75,21.75,21.0,21.0,12100,3.15
1998-09-02,20.37,20.37,19.25,19.62,51400,2.95
1998-09-03,20.0,20.0,20.0,20.0,30900,3.0
1998-09-04,18.5,20.0,18.5,20.0,1600,3.0
1998-09-08,20.0,20.0,20.0,20.0,0,3.0
1998-09-09,19.0,20.0,19.0,20.0,400,3.0
1998-09-10,18.88,18.88,18.88,18.88,0,2.99
1998-09-11,18.88,18.88,18.88,18.88,0,2.99
1998-09-14,19.13,19.13,17.13,17.13,10000,2.71
1998-09-15,17.13,17.13,17.13,17.13,4400,2.71
1998-09-16,17.5,18.0,17.13,17.63,19400,2.79
1998-09-17,18.0,18.0,18.0,18.0,10400,2.85
1998-09-18,17.5,17.5,17.5,17.5,14200,2.77
1998-09-21,17.0,17.0,17.0,17.0,1600,2.69
1998-09-22,19.0,19.0,19.0,19.0,1000,3.01
1998-09-23,17.0,17.0,17.0,17.0,200,2.69
1998-09-24,18.5,19.0,18.5,19.0,7400,3.01
1998-09-25,18.0,19.0,18.0,18.25,76700,2.89
1998-09-28,18.25,18.25,18.25,18.25,0,2.89
1998-09-29,18.0,18.5,18.0,18.5,3600,2.93
1998-09-30,18.63,18.63,18.63,18.63,8400,2.95
1998-10-01,18.38,18.63,18.38,18.38,26300,2.91
1998-10-02,18.38,18.38,18.38,18.38,0,2.91
1998-10-05,18.38,18.63,18.38,18.63,29700,2.95
1998-10-06,18.63,18.63,18.0,18.38,10700,2.91
1998-10-07,18.5,18.5,18.0,18.0,19400,2.85
1998-10-08,18.0,18.0,18.0,18.0,0,2.85
1998-10-09,18.0,18.0,18.0,18.0,22800,2.85
1998-10-12,18.5,18.5,18.5,18.5,6800,2.93
1998-10-13,18.5,18.5,18.5,18.5,0,2.93
1998-10-14,18.5,18.5,18.25,18.25,3200,2.89
1998-10-15,18.25,18.25,18.25,18.25,0,2.89
1998-10-16,18.5,18.5,18.5,18.5,1200,2.93
1998-10-19,18.25,18.25,18.25,18.25,6800,2.89
1998-10-20,18.25,18.25,18.25,18.25,0,2.89
1998-10-21,18.25,18.25,18.25,18.25,0,2.89
1998-10-22,17.25,17.5,17.25,17.5,3800,2.77
1998-10-23,17.5,17.5,17.5,17.5,0,2.77
1998-10-26,18.13,18.13,18.0,18.0,1400,2.85
1998-10-27,17.13,17.13,17.13,17.13,600,2.71
1998-10-28,17.5,17.5,17.0,17.0,15600,2.69
1998-10-29,17.25,17.25,17.25,17.25,3200,2.73
1998-10-30,17.25,17.25,17.25,17.25,0,2.73
1998-11-02,17.75,17.75,17.75,17.75,200,2.81
1998-11-03,18.0,18.38,18.0,18.38,79400,2.91
1998-11-04,18.75,19.0,18.75,18.75,14200,2.97
1998-11-05,18.5,19.25,18.5,18.88,8000,2.99
1998-11-06,19.0,19.25,18.88,19.25,7100,3.05
1998-11-09,19.0,19.0,19.0,19.0,8000,3.01
1998-11-10,19.0,19.13,19.0,19.13,1400,3.03
1998-11-11,19.0,19.0,19.0,19.0,1000,3.01
1998-11-12,18.75,18.75,18.75,18.75,800,2.97
1998-11-13,19.13,19.13,19.0,19.0,4800,3.01
1998-11-16,19.0,19.0,19.0,19.0,0,3.01
1998-11-17,18.88,18.88,18.88,18.88,1200,2.99
1998-11-18,19.0,19.0,18.75,18.75,7700,2.97
1998-11-19,18.75,18.75,18.75,18.75,0,2.97
1998-11-20,19.0,19.5,19.0,19.13,53700,3.03
1998-11-23,19.75,19.75,19.5,19.5,5600,3.09
1998-11-24,19.25,19.75,19.25,19.75,60100,3.13
1998-11-25,19.75,19.75,19.75,19.75,0,3.13
1998-11-27,19.75,19.75,19.75,19.75,0,3.15
1998-11-30,19.38,19.5,19.38,19.5,1400,3.11
1998-12-01,19.13,19.13,19.13,19.13,600,3.05
1998-12-02,19.38,19.38,19.38,19.38,600,3.09
1998-12-03,19.63,19.63,19.63,19.63,1800,3.13
1998-12-04,19.5,19.5,19.5,19.5,28600,3.11
1998-12-07,19.5,19.56,19.5,19.56,6800,3.12
1998-12-08,19.5,20.0,19.5,19.75,8800,3.15
1998-12-09,19.75,19.75,19.5,19.75,12100,3.15
1998-12-10,19.75,19.75,19.75,19.75,0,3.15
1998-12-11,19.5,19.5,19.5,19.5,10400,3.11
1998-12-14,19.38,19.5,19.38,19.5,1600,3.11
1998-12-15,19.5,19.5,19.5,19.5,0,3.11
1998-12-16,19.5,20.0,19.5,20.0,43000,3.19
1998-12-17,19.5,20.0,19.5,20.0,600,3.19
1998-12-18,20.0,20.0,19.0,19.0,41200,3.03
1998-12-21,19.5,19.5,19.5,19.5,800,3.11
1998-12-22,19.0,19.0,19.0,19.0,1600,3.03
1998-12-23,18.75,19.88,18.75,18.75,21500,2.99
1998-12-24,19.5,19.5,19.5,19.5,800,3.11
1998-12-28,19.5,19.5,19.5,19.5,27100,3.11
1998-12-29,19.88,19.88,19.0,19.0,46700,3.03
1998-12-30,19.5,20.0,19.5,19.5,10400,3.11
1998-12-31,19.5,19.5,19.5,19.5,800,3.11
1999-01-04,20.0,20.0,20.0,20.0,600,3.19
1999-01-05,20.0,20.13,19.88,20.0,64900,3.19
1999-01-06,19.75,20.0,19.75,20.0,1000,3.19
1999-01-07,20.0,20.13,19.75,19.75,8400,3.15
1999-01-08,20.0,20.13,20.0,20.13,1800,3.21
1999-01-11,20.0,20.0,19.94,20.0,22500,3.19
1999-01-12,19.75,19.75,19.5,19.5,1600,3.11
1999-01-13,19.75,19.75,19.5,19.75,6000,3.15
1999-01-14,19.75,19.75,19.75,19.75,0,3.15
1999-01-15,19.75,19.75,19.75,19.75,0,3.15
1999-01-19,19.25,19.5,19.25,19.5,400,3.11
1999-01-20,19.75,19.75,19.0,19.63,9600,3.13
1999-01-21,19.0,19.0,19.0,19.0,600,3.03
1999-01-22,18.75,18.75,18.75,18.75,1600,2.99
1999-01-25,18.75,18.88,18.38,18.75,10400,2.99
1999-01-26,18.75,19.0,18.75,19.0,800,3.03
1999-01-27,18.25,18.75,18.0,18.25,16300,2.91
1999-01-28,18.5,18.5,18.0,18.0,4000,2.87
1999-01-29,17.75,18.25,17.75,18.25,3600,2.91
1999-02-01,17.75,18.88,17.75,18.88,1600,3.01
1999-02-02,18.44,18.44,17.88,18.0,16100,2.87
1999-02-03,17.5,17.5,17.5,17.5,400,2.79
1999-02-04,18.0,18.0,18.0,18.0,800,2.87
1999-02-05,18.0,18.63,17.63,18.0,43000,2.87
1999-02-08,17.63,18.75,17.63,18.75,400,2.99
1999-02-09,18.25,18.25,17.63,17.63,11700,2.81
1999-02-10,17.63,17.63,17.63,17.63,0,2.81
1999-02-11,17.25,18.0,16.75,17.5,35900,2.79
1999-02-12,18.0,18.0,17.5,18.0,4800,2.87
1999-02-16,18.13,18.75,18.13,18.75,7100,2.99
1999-02-17,18.75,18.75,18.75,18.75,0,2.99
1999-02-18,18.75,18.75,18.75,18.75,0,2.99
1999-02-19,18.75,18.75,18.75,18.75,0,2.99
1999-02-22,18.25,18.75,18.25,18.5,21300,2.95
1999-02-23,18.5,18.5,18.5,18.5,0,2.95
1999-02-24,18.5,18.5,18.5,18.5,0,2.95
1999-02-25,18.63,18.63,18.63,18.63,200,2.97
1999-02-26,18.38,18.38,18.38,18.38,6800,2.93
1999-03-01,18.38,18.5,18.25,18.5,54200,2.95
1999-03-02,18.5,18.5,18.5,18.5,0,2.95
1999-03-03,18.25,18.25,18.13,18.13,4400,2.89
1999-03-04,18.13,18.25,17.75,17.75,31100,2.83
1999-03-05,17.75,18.0,17.75,18.0,800,2.87
1999-03-08,17.75,17.75,17.75,17.75,1000,2.83
1999-03-09,17.75,17.88,17.75,17.75,9200,2.83
1999-03-10,17.88,17.88,17.5,17.5,6000,2.79
1999-03-11,17.25,18.0,17.13,18.0,39400,2.87
1999-03-12,17.75,18.5,17.75,18.5,36500,2.95
1999-03-15,18.13,18.13,18.13,18.13,1200,2.89
1999-03-16,18.13,18.13,18.13,18.13,0,2.89
1999-03-17,18.13,18.13,18.13,18.13,0,2.89
1999-03-18,18.13,18.13,18.13,18.13,1000,2.9
1999-03-19,18.25,18.5,17.88,17.88,50600,2.86
1999-03-22,17.88,18.5,17.88,18.5,3400,2.96
1999-03-23,18.0,18.0,18.0,18.0,3200,2.88
1999-03-24,18.5,18.5,17.13,17.13,17100,2.74
1999-03-25,17.0,17.25,17.0,17.25,3800,2.76
1999-03-26,18.5,18.5,18.5,18.5,200,2.96
1999-03-29,17.25,17.25,17.13,17.13,46000,2.74
1999-03-30,17.88,17.88,17.5,17.5,1000,2.8
1999-03-31,17.13,17.88,17.13,17.13,3200,2.74
1999-04-01,17.13,17.13,17.13,17.13,400,2.74
1999-04-05,17.13,17.13,17.13,17.13,3200,2.74
1999-04-06,17.25,17.25,17.0,17.0,4800,2.72
1999-04-07,17.0,17.0,17.0,17.0,0,2.72
1999-04-08,17.0,17.0,17.0,17.0,200,2.72
1999-04-09,17.25,17.75,17.25,17.75,6000,2.84
1999-04-12,17.75,17.75,17.75,17.75,0,2.84
1999-04-13,17.44,17.5,17.44,17.44,1000,2.79
1999-04-14,17.25,17.56,17.0,17.56,69600,2.81
1999-04-15,17.5,17.5,17.25,17.25,12100,2.76
1999-04-16,17.13,17.63,17.13,17.63,25800,2.82
1999-04-19,17.13,17.13,17.13,17.13,400,2.74
1999-04-20,17.13,17.94,17.13,17.75,45100,2.84
1999-04-21,17.75,17.75,17.75,17.75,1200,2.84
