Date,Open,High,Low,Close,Volume,Adj Close
1993-11-16,18.0,19.5,18.0,19.0,2837100,5.37
1993-11-17,19.0,19.75,19.0,19.25,802500,5.44
1993-11-18,19.25,19.75,19.25,19.37,420300,5.48
1993-11-19,19.37,19.75,19.25,19.25,120000,5.44
1993-11-22,19.25,19.5,19.0,19.37,397800,5.48
1993-11-23,19.0,19.5,19.0,19.0,245700,5.37
1993-11-24,19.5,19.5,19.0,19.5,42900,5.51
1993-11-26,19.5,19.5,19.0,19.5,18600,5.51
1993-11-29,19.0,19.5,19.0,19.0,408000,5.37
1993-11-30,19.0,20.0,19.0,19.5,272400,5.51
1993-12-01,19.5,21.5,19.5,21.5,263100,6.08
1993-12-02,21.0,22.63,21.0,22.63,310500,6.4
1993-12-03,22.75,22.75,22.0,22.0,293400,6.22
1993-12-06,22.0,22.75,22.0,22.75,48900,6.43
1993-12-07,22.0,23.75,22.0,23.75,257100,6.71
1993-12-08,23.75,24.0,23.0,24.0,94500,6.78
1993-12-09,24.5,24.5,23.25,24.0,556200,6.78
1993-12-10,23.5,23.62,23.25,23.25,125100,6.57
1993-12-13,23.25,24.0,23.0,23.75,379500,6.71
1993-12-14,23.0,23.75,23.0,23.0,125100,6.5
1993-12-15,23.87,24.5,23.25,24.5,159300,6.93
1993-12-16,23.75,25.0,23.75,24.0,341400,6.78
1993-12-17,24.75,24.75,24.0,24.25,101400,6.85
1993-12-20,24.0,24.75,24.0,24.75,115500,7.0
1993-12-21,24.25,24.38,24.25,24.38,101400,6.89
1993-12-22,24.75,25.75,24.38,25.75,164400,7.28
1993-12-23,25.0,25.75,25.0,25.0,2700,7.07
1993-12-27,25.5,25.5,25.5,25.5,7500,7.21
1993-12-28,25.0,29.0,25.0,26.75,265800,7.56
1993-12-29,27.25,28.25,26.75,28.0,115200,7.91
1993-12-30,27.25,28.25,27.25,28.25,46800,7.99
1993-12-31,28.25,30.75,28.0,30.75,102300,8.69
1994-01-03,30.75,30.75,29.25,29.38,1169700,8.3
1994-01-04,29.25,30.0,27.75,28.25,1297800,7.99
1994-01-05,28.0,28.5,26.0,27.0,393900,7.63
1994-01-06,26.25,27.25,26.25,27.25,24300,7.7
1994-01-07,27.13,27.5,26.75,27.13,48000,7.67
1994-01-10,27.38,27.75,27.0,27.75,42300,7.84
1994-01-11,28.0,29.75,27.5,29.38,222900,8.3
1994-01-12,29.75,30.75,28.25,29.0,194400,8.2
1994-01-13,29.25,29.25,28.0,28.75,61800,8.13
1994-01-14,28.37,29.5,28.37,29.0,38400,8.2
1994-01-17,29.75,30.62,29.0,30.0,69900,8.48
1994-01-18,30.0,31.75,30.0,31.37,143700,8.87
1994-01-19,31.25,33.25,31.25,32.5,595500,9.19
1994-01-20,32.5,33.25,32.5,32.5,176700,9.19
1994-01-21,33.0,33.0,31.75,31.75,77100,8.97
1994-01-24,32.5,32.5,31.75,31.75,26400,8.97
1994-01-25,31.75,32.5,31.75,31.75,27300,8.97
1994-01-26,31.75,31.75,31.75,31.75,0,8.97
1994-01-27,32.5,32.5,31.25,31.75,84000,8.97
1994-01-28,32.0,32.0,31.0,31.5,17100,8.9
1994-01-31,31.0,31.75,30.5,31.0,171900,8.76
1994-02-01,31.0,31.0,29.75,29.75,128700,8.41
1994-02-02,29.75,30.5,28.5,28.5,68400,8.06
1994-02-03,28.5,28.75,28.5,28.63,162600,8.09
1994-02-04,28.5,28.75,28.5,28.5,98700,8.07
1994-02-07,28.5,29.0,28.5,29.0,12300,8.21
1994-02-08,29.0,29.0,27.5,28.5,52800,8.07
1994-02-09,28.75,28.75,28.25,28.75,24900,8.14
1994-02-10,28.25,28.75,28.0,28.0,12300,7.93
1994-02-11,28.0,28.0,28.0,28.0,3000,7.93
1994-02-14,28.0,28.12,28.0,28.0,69300,7.93
1994-02-15,28.12,28.75,28.12,28.75,53400,8.14
1994-02-16,28.5,28.75,28.0,28.75,7200,8.14
1994-02-17,28.75,28.75,28.5,28.5,285300,8.07
1994-02-18,28.75,28.75,28.0,28.0,22500,7.93
1994-02-22,28.75,28.75,28.12,28.12,150300,7.96
1994-02-23,28.75,28.75,28.25,28.5,16800,8.07
1994-02-24,29.0,29.0,28.5,28.63,33000,8.11
1994-02-25,29.0,29.0,28.25,29.0,7500,8.21
1994-02-28,28.75,29.0,28.25,29.0,77700,8.21
1994-03-01,28.12,28.25,28.0,28.0,149700,7.93
1994-03-02,27.75,28.0,26.5,26.5,55800,7.5
1994-03-03,27.25,27.25,27.25,27.25,600,7.72
1994-03-04,26.5,28.5,26.5,28.5,54300,8.07
1994-03-07,28.75,28.75,28.0,28.0,51300,7.93
1994-03-08,28.0,28.0,27.25,27.25,12000,7.72
1994-03-09,26.75,27.5,26.75,27.5,51900,7.79
1994-03-10,26.75,27.0,26.5,27.0,26400,7.65
1994-03-11,26.25,26.25,26.25,26.25,600,7.43
1994-03-14,27.0,27.0,26.75,26.75,1500,7.57
1994-03-15,26.25,27.0,26.25,27.0,1500,7.65
1994-03-16,26.5,27.0,26.5,26.62,24900,7.54
1994-03-17,27.0,27.0,26.25,26.62,12900,7.54
1994-03-18,26.75,27.25,26.5,26.75,168600,7.57
1994-03-21,26.87,27.25,26.5,26.5,54000,7.5
1994-03-22,26.87,27.0,26.5,27.0,123000,7.65
1994-03-23,27.25,27.75,27.0,27.75,3900,7.86
1994-03-24,27.75,27.75,27.5,27.5,16800,7.79
1994-03-25,27.5,27.75,27.25,27.75,128100,7.86
1994-03-28,27.0,27.0,26.0,26.75,60000,7.57
1994-03-29,26.75,26.75,26.0,26.0,14700,7.36
1994-03-30,26.25,26.25,25.0,25.75,63600,7.29
1994-03-31,25.0,26.25,25.0,26.25,25200,7.43
1994-04-04,25.5,25.63,24.75,25.25,37200,7.15
1994-04-05,24.75,25.75,24.75,25.75,9600,7.29
1994-04-06,25.75,26.0,25.25,26.0,6900,7.36
1994-04-07,25.75,25.75,25.25,25.25,12600,7.15
1994-04-08,25.75,25.75,25.0,25.0,5400,7.08
1994-04-11,25.75,25.75,25.0,25.25,60600,7.15
1994-04-12,25.25,25.25,25.25,25.25,0,7.15
1994-04-13,25.5,25.75,25.5,25.75,3300,7.29
1994-04-14,25.75,25.75,25.75,25.75,0,7.29
1994-04-15,25.75,25.75,25.75,25.75,9000,7.29
1994-04-18,25.5,25.5,25.0,25.0,900,7.08
1994-04-19,25.0,25.75,24.75,24.75,34200,7.01
1994-04-20,25.0,25.0,23.5,23.5,82800,6.65
1994-04-21,23.62,24.25,23.62,24.25,24600,6.87
1994-04-22,24.13,24.25,23.5,23.5,30900,6.65
1994-04-25,23.5,24.25,23.5,23.87,12600,6.76
1994-04-26,23.25,23.5,23.25,23.5,32100,6.65
1994-04-28,23.5,23.5,22.88,22.88,18600,6.48
1994-04-29,23.5,23.5,22.75,22.75,14700,6.44
1994-05-02,23.5,23.5,23.0,23.5,10200,6.65
1994-05-03,23.5,23.5,23.5,23.5,0,6.65
1994-05-04,23.5,23.5,22.0,22.75,41700,6.44
1994-05-05,22.0,22.0,22.0,22.0,6000,6.23
1994-05-06,22.25,22.5,22.0,22.0,23700,6.23
1994-05-09,22.0,22.0,22.0,22.0,9000,6.23
1994-05-10,22.12,22.12,22.12,22.12,1500,6.26
1994-05-11,22.75,22.75,20.25,20.25,77400,5.73
1994-05-12,20.5,20.5,20.5,20.5,7500,5.8
1994-05-13,20.5,20.75,20.25,20.25,24600,5.73
1994-05-16,20.75,21.0,19.75,19.75,12900,5.59
1994-05-17,20.25,20.25,18.75,18.88,227700,5.34
1994-05-18,19.5,19.5,18.88,19.25,87600,5.45
1994-05-19,19.12,19.5,18.75,19.5,30000,5.52
1994-05-20,19.5,19.5,18.0,18.75,37500,5.31
1994-05-23,18.0,18.75,17.75,18.25,25500,5.17
1994-05-24,17.5,18.25,17.5,18.25,13800,5.17
1994-05-25,18.25,18.75,18.0,18.25,358500,5.17
1994-05-26,18.75,18.75,18.25,18.25,208200,5.17
1994-05-27,18.75,19.0,18.0,18.75,266400,5.31
1994-05-31,19.0,19.0,18.75,19.0,515400,5.38
1994-06-01,19.0,19.0,18.5,18.5,102900,5.24
1994-06-02,19.0,19.0,18.5,19.0,112500,5.38
1994-06-03,19.0,19.0,18.5,19.0,285300,5.38
1994-06-06,18.75,19.75,18.62,19.0,242400,5.38
1994-06-07,19.0,20.25,19.0,20.12,257400,5.7
1994-06-08,20.25,20.75,20.12,20.75,26100,5.88
1994-06-09,21.0,21.0,20.5,20.75,46200,5.88
1994-06-10,21.0,21.5,20.75,21.5,134100,6.09
1994-06-13,21.5,21.5,21.25,21.5,3600,6.09
1994-06-14,21.25,21.5,21.0,21.5,11400,6.09
1994-06-15,21.5,21.5,20.75,20.75,14100,5.88
1994-06-16,21.25,22.0,21.25,22.0,12000,6.23
1994-06-17,22.0,22.0,21.25,22.0,78000,6.23
1994-06-20,21.5,21.5,21.25,21.25,24000,6.02
1994-06-21,21.25,22.0,21.25,21.5,153000,6.09
1994-06-22,22.0,22.0,20.75,20.75,157500,5.88
1994-06-23,21.0,22.0,20.5,21.5,129900,6.09
1994-06-24,22.0,22.0,21.25,21.44,164400,6.07
1994-06-27,21.25,21.5,21.25,21.5,23100,6.09
1994-06-28,22.0,22.75,21.75,22.75,77100,6.44
1994-06-29,22.75,22.75,22.0,22.0,45600,6.23
1994-06-30,21.75,22.0,21.25,21.5,28800,6.09
1994-07-01,22.0,22.0,21.5,21.75,86700,6.16
1994-07-05,22.25,22.25,22.0,22.0,25500,6.23
1994-07-06,22.25,22.25,21.5,21.5,7200,6.09
1994-07-07,22.25,22.25,21.25,21.5,115800,6.09
1994-07-08,21.5,21.5,21.38,21.38,17700,6.05
1994-07-11,20.75,21.5,20.75,21.25,196200,6.02
1994-07-12,21.0,21.25,20.75,20.75,229500,5.88
1994-07-13,21.13,21.13,20.62,20.75,190500,5.88
1994-07-14,20.5,20.62,20.5,20.5,51300,5.8
1994-07-15,21.25,21.25,20.87,20.87,23100,5.91
1994-07-18,21.25,21.75,20.5,21.75,348300,6.16
1994-07-19,21.75,21.75,21.5,21.5,34800,6.09
1994-07-20,21.5,22.25,21.5,22.25,63900,6.3
1994-07-21,22.25,23.25,22.25,23.25,27600,6.58
1994-07-22,22.5,22.5,22.5,22.5,1500,6.37
1994-07-25,22.75,22.75,22.5,22.5,13800,6.37
1994-07-26,24.0,25.25,23.75,24.75,50700,7.01
1994-07-27,23.75,23.75,23.75,23.75,9600,6.73
1994-07-28,24.5,26.25,24.0,25.5,213000,7.22
1994-07-29,25.5,27.38,25.25,26.25,96300,7.43
1994-08-01,27.0,27.0,26.25,26.75,18600,7.57
1994-08-02,26.5,27.75,26.5,27.75,107700,7.86
1994-08-03,26.75,27.75,26.75,27.0,140100,7.65
1994-08-04,27.75,27.75,26.75,26.94,72300,7.64
1994-08-05,27.5,27.5,24.5,26.25,99000,7.45
1994-08-08,25.75,26.25,25.75,26.25,1800,7.45
1994-08-09,26.25,26.25,25.5,25.56,121200,7.25
1994-08-10,25.5,25.5,25.5,25.5,17400,7.23
1994-08-11,25.5,25.5,25.5,25.5,0,7.23
1994-08-12,26.25,26.25,26.25,26.25,1500,7.45
1994-08-15,25.88,25.88,25.5,25.5,94200,7.23
1994-08-16,25.75,25.75,25.5,25.5,4200,7.23
1994-08-17,25.5,25.5,25.5,25.5,900,7.23
1994-08-18,26.25,26.25,25.12,25.5,29400,7.23
1994-08-19,25.0,25.0,25.0,25.0,300,7.09
1994-08-22,25.25,25.25,24.5,25.0,21300,7.09
1994-08-23,25.0,25.5,25.0,25.5,24600,7.23
1994-08-24,24.5,24.62,24.5,24.62,15900,6.99
1994-08-25,25.0,25.5,25.0,25.0,1800,7.09
1994-08-26,24.5,26.0,24.5,25.75,27900,7.3
1994-08-29,26.0,26.38,25.75,26.25,57300,7.45
1994-08-30,26.25,26.75,25.75,26.75,205800,7.59
1994-08-31,25.75,25.75,25.75,25.75,900,7.3
1994-09-01,25.75,25.75,25.75,25.75,0,7.3
1994-09-02,25.75,26.5,25.75,26.5,36300,7.52
1994-09-06,26.5,26.5,26.5,26.5,0,7.52
1994-09-07,25.75,25.75,25.75,25.75,900,7.3
1994-09-08,25.75,25.75,25.75,25.75,300,7.3
1994-09-09,25.75,26.75,25.75,26.75,3000,7.59
1994-09-12,25.75,25.75,25.75,25.75,300,7.3
1994-09-13,25.75,25.75,25.75,25.75,2100,7.3
1994-09-14,25.75,26.5,25.75,26.5,8400,7.52
1994-09-15,26.75,26.75,26.12,26.12,9600,7.41
1994-09-16,26.75,26.75,26.12,26.12,5700,7.41
1994-09-19,26.75,26.75,26.0,26.0,45600,7.38
1994-09-20,26.0,26.12,26.0,26.12,12300,7.41
1994-09-21,26.0,26.0,26.0,26.0,15600,7.38
1994-09-22,25.25,25.5,24.88,25.0,36000,7.09
1994-09-23,25.0,25.0,23.75,24.5,35100,6.95
1994-09-26,23.62,24.0,23.62,24.0,28800,6.81
1994-09-27,24.13,24.25,23.62,23.87,68100,6.77
1994-09-28,24.25,24.5,24.0,24.5,175500,6.95
1994-09-29,24.5,24.5,23.75,24.5,75900,6.95
1994-09-30,23.5,24.5,23.5,23.5,51600,6.67
1994-10-03,24.25,24.5,24.0,24.25,123900,6.88
1994-10-04,24.5,24.5,23.75,23.75,7800,6.74
1994-10-05,23.75,23.87,23.75,23.75,49500,6.74
1994-10-06,24.0,24.5,23.75,23.75,34500,6.74
1994-10-07,23.75,23.75,23.75,23.75,0,6.74
1994-10-10,23.62,23.62,23.62,23.62,3000,6.7
1994-10-11,24.0,24.0,23.5,23.62,25800,6.7
1994-10-12,23.25,24.0,23.25,24.0,1200,6.81
1994-10-13,24.0,24.0,24.0,24.0,6000,6.81
1994-10-14,24.0,24.0,24.0,24.0,0,6.81
1994-10-17,24.25,24.25,23.25,23.25,38400,6.6
1994-10-18,24.25,24.25,23.62,24.0,129900,6.81
1994-10-19,24.25,24.25,23.5,24.0,101400,6.81
1994-10-20,23.75,24.25,23.75,24.0,5100,6.81
1994-10-21,24.25,24.25,23.25,23.87,60300,6.77
1994-10-24,24.25,24.25,23.25,23.75,16500,6.74
1994-10-25,24.25,24.25,23.25,23.75,16500,6.74
1994-10-26,24.25,24.25,23.25,23.25,292500,6.6
1994-10-27,23.25,23.5,22.75,22.88,21600,6.49
1994-10-28,23.5,23.5,22.88,23.5,4200,6.67
1994-10-31,22.75,22.75,22.75,22.75,4800,6.45
1994-11-01,23.5,23.5,22.88,23.0,393300,6.52
1994-11-02,22.75,23.12,22.12,22.25,77700,6.31
1994-11-03,22.25,22.5,22.0,22.25,60000,6.31
1994-11-04,22.25,22.25,22.25,22.25,1800,6.33
1994-11-07,22.25,22.25,22.25,22.25,0,6.33
1994-11-08,22.5,22.5,22.0,22.0,55800,6.26
1994-11-09,21.75,21.75,21.75,21.75,600,6.18
1994-11-10,21.75,22.25,21.75,21.75,15300,6.18
1994-11-11,21.5,21.62,21.13,21.25,21600,6.04
1994-11-14,21.5,21.5,21.0,21.0,9000,5.97
1994-11-15,21.0,21.0,20.87,21.0,14700,5.97
1994-11-16,21.5,21.5,20.75,20.75,178500,5.9
1994-11-17,20.5,21.25,20.25,20.25,86400,5.76
1994-11-18,21.25,21.25,20.25,20.5,213600,5.83
1994-11-21,20.5,21.25,20.38,20.38,129900,5.79
1994-11-22,21.25,21.25,19.0,19.0,74700,5.4
1994-11-23,19.5,19.5,18.5,19.0,193800,5.4
1994-11-25,19.0,19.0,18.88,19.0,13500,5.4
1994-11-28,19.0,19.0,18.62,19.0,197400,5.4
1994-11-29,19.0,19.0,18.62,18.62,64500,5.3
1994-11-30,19.0,19.25,18.5,18.88,505200,5.37
1994-12-01,18.88,19.75,18.75,19.75,495000,5.62
1994-12-02,19.75,20.0,19.0,20.0,276300,5.69
1994-12-05,19.25,20.0,19.25,20.0,10500,5.69
1994-12-06,20.0,21.0,20.0,20.25,16500,5.76
1994-12-07,21.0,21.0,21.0,21.0,37500,5.97
1994-12-08,21.0,21.0,19.5,19.5,41700,5.54
1994-12-09,19.5,19.75,19.0,19.75,454500,5.62
1994-12-12,19.75,19.75,19.0,19.75,32100,5.62
1994-12-13,19.0,19.37,19.0,19.0,12900,5.4
1994-12-14,19.75,19.75,19.75,19.75,1500,5.62
1994-12-15,19.75,19.75,19.0,19.0,47700,5.4
1994-12-16,19.75,19.75,19.0,19.0,60000,5.4
1994-12-19,19.12,19.25,19.0,19.0,69900,5.4
1994-12-20,19.0,19.75,19.0,19.75,9300,5.62
1994-12-21,19.75,19.75,19.0,19.0,2700,5.4
1994-12-22,19.75,19.75,19.0,19.75,70200,5.62
1994-12-23,19.12,19.75,19.12,19.75,128100,5.62
1994-12-27,19.75,19.75,19.0,19.75,55800,5.62
1994-12-28,19.75,19.75,19.75,19.75,2100,5.62
1994-12-29,19.75,19.75,19.0,19.37,449700,5.51
1994-12-30,19.0,21.75,19.0,21.75,83100,6.18
1995-01-03,21.75,21.75,21.0,21.5,40200,6.11
1995-01-04,20.5,21.25,20.5,21.25,52800,6.04
1995-01-05,20.75,21.5,20.75,21.5,73800,6.11
1995-01-06,21.0,21.5,20.75,21.5,17400,6.11
1995-01-09,20.75,21.5,20.75,20.75,2700,5.9
1995-01-10,21.5,21.5,20.75,20.75,10200,5.9
1995-01-11,21.25,21.25,21.25,21.25,1500,6.04
1995-01-12,22.0,22.0,21.62,22.0,19800,6.26
1995-01-13,21.62,22.0,21.5,21.5,19500,6.11
1995-01-16,22.0,22.0,22.0,22.0,300,6.26
1995-01-17,22.0,22.0,22.0,22.0,3000,6.26
1995-01-18,22.0,22.0,22.0,22.0,0,6.26
1995-01-19,22.0,22.0,21.25,21.25,5100,6.04
1995-01-20,21.75,21.75,21.5,21.62,27900,6.15
1995-01-23,21.38,21.5,21.25,21.25,59400,6.04
1995-01-24,22.0,22.0,22.0,22.0,600,6.26
1995-01-25,22.0,22.0,22.0,22.0,300,6.26
1995-01-26,22.0,22.5,22.0,22.5,13200,6.4
1995-01-27,22.5,23.25,22.5,23.25,35700,6.61
1995-01-30,23.0,23.0,22.0,22.75,5700,6.47
1995-01-31,22.37,22.5,22.0,22.5,9300,6.4
1995-02-01,22.0,22.0,21.25,21.5,196500,6.11
1995-02-02,21.5,21.5,20.75,21.5,29100,6.11
1995-02-03,21.5,21.5,20.75,21.5,8100,6.13
1995-02-06,21.5,21.5,20.75,21.0,18300,5.98
1995-02-07,21.5,21.5,20.87,21.5,31200,6.13
1995-02-08,20.75,20.75,20.75,20.75,1500,5.91
1995-02-09,21.5,21.5,20.75,20.75,44100,5.91
1995-02-10,21.5,21.5,21.5,21.5,600,6.13
1995-02-13,21.0,21.0,21.0,21.0,600,5.98
1995-02-14,21.5,21.5,21.5,21.5,600,6.13
1995-02-15,21.5,21.5,20.0,20.0,23700,5.7
1995-02-16,19.25,20.0,19.0,20.0,2027700,5.7
1995-02-17,19.25,20.0,19.25,20.0,13800,5.7
1995-02-21,19.5,20.0,19.25,20.0,18900,5.7
1995-02-22,19.25,20.0,19.25,19.25,15000,5.49
1995-02-23,19.5,20.0,19.25,19.25,38700,5.49
1995-02-24,19.37,20.0,19.25,20.0,42300,5.7
1995-02-27,19.25,19.63,19.25,19.63,1200,5.59
1995-02-28,20.0,20.0,19.25,19.5,34200,5.56
1995-03-01,19.25,20.0,19.25,20.0,7200,5.7
1995-03-02,19.5,19.5,19.25,19.31,3900,5.5
1995-03-03,19.25,20.0,17.87,18.5,341400,5.27
1995-03-06,18.75,19.0,18.25,19.0,366900,5.41
1995-03-07,19.0,19.25,18.5,19.25,104700,5.49
1995-03-08,19.25,19.25,18.5,19.25,39000,5.49
1995-03-09,18.88,19.25,18.75,19.0,145200,5.41
1995-03-10,19.25,19.25,19.12,19.25,2400,5.49
1995-03-13,19.25,19.25,18.75,19.25,11400,5.49
1995-03-14,18.88,19.0,17.38,18.75,284100,5.34
1995-03-15,18.75,19.5,18.5,19.5,99300,5.56
1995-03-16,19.12,19.5,18.75,19.5,12600,5.56
1995-03-17,19.5,19.5,18.75,18.75,18900,5.34
1995-03-20,18.75,18.75,18.0,18.0,158400,5.13
1995-03-21,18.75,18.75,18.0,18.0,60000,5.13
1995-03-22,18.0,18.5,18.0,18.0,12900,5.13
1995-03-23,18.0,19.0,18.0,19.0,513300,5.41
1995-03-24,19.0,19.0,18.25,19.0,72600,5.41
1995-03-27,19.0,20.0,19.0,20.0,124800,5.7
1995-03-28,20.0,20.0,19.75,20.0,81900,5.7
1995-03-29,20.0,20.0,19.88,20.0,25800,5.7
1995-03-30,20.0,20.0,19.88,20.0,58500,5.7
1995-03-31,20.0,20.25,20.0,20.0,33300,5.7
1995-04-03,20.25,20.25,19.5,19.88,112500,5.66
1995-04-04,20.25,20.5,19.75,20.5,34500,5.84
1995-04-05,20.5,20.5,20.12,20.5,15300,5.84
1995-04-06,20.5,20.5,20.0,20.12,774300,5.74
1995-04-07,20.5,20.5,19.75,20.5,11700,5.84
1995-04-10,20.5,20.75,19.75,20.0,62100,5.7
1995-04-11,20.75,20.75,20.25,20.75,9900,5.91
1995-04-12,20.75,20.75,20.25,20.75,39900,5.91
1995-04-13,20.0,20.75,20.0,20.75,569700,5.91
1995-04-17,20.75,21.0,20.25,20.5,30000,5.84
1995-04-18,21.25,21.25,20.5,21.25,21000,6.06
1995-04-19,21.25,21.25,20.5,20.5,97200,5.84
1995-04-20,21.0,21.25,20.5,20.5,6600,5.84
