Date,Open,High,Low,Close,Volume,Adj Close
2010-06-09,0.12,0.12,0.12,0.12,5000,0.12
2010-06-10,0.12,0.12,0.12,0.12,5000,0.12
2010-06-11,0.12,0.12,0.12,0.12,0,0.12
2010-06-14,0.12,0.12,0.12,0.12,0,0.12
2010-06-15,0.12,0.12,0.12,0.12,0,0.12
2010-06-16,0.13,0.13,0.13,0.13,5000,0.13
2010-06-17,0.13,0.13,0.13,0.13,0,0.13
2010-06-18,0.14,0.15,0.14,0.15,68000,0.15
2010-06-21,0.15,0.15,0.15,0.15,51600,0.15
2010-06-22,0.15,0.15,0.15,0.15,6100,0.15
2010-06-23,0.14,0.14,0.14,0.14,29800,0.14
2010-06-24,0.14,0.14,0.14,0.14,7600,0.14
2010-06-25,0.14,0.14,0.14,0.14,0,0.14
2010-06-28,0.15,0.15,0.15,0.15,80000,0.15
2010-06-29,0.17,0.17,0.16,0.16,49000,0.16
2010-06-30,0.16,0.19,0.15,0.16,704800,0.16
2010-07-01,0.18,0.18,0.17,0.18,278500,0.18
2010-07-02,0.18,0.2,0.17,0.19,680800,0.19
2010-07-06,0.19,0.19,0.18,0.19,371700,0.19
2010-07-07,0.18,0.18,0.18,0.18,143000,0.18
2010-07-08,0.17,0.19,0.17,0.19,105100,0.19
2010-07-09,0.19,0.19,0.19,0.19,63500,0.19
2010-07-12,0.19,0.2,0.19,0.2,471700,0.2
2010-07-13,0.21,0.21,0.19,0.2,224200,0.2
2010-07-14,0.22,0.26,0.22,0.24,1218400,0.24
2010-07-15,0.24,0.24,0.21,0.24,303500,0.24
2010-07-16,0.23,0.23,0.21,0.21,90000,0.21
2010-07-19,0.22,0.25,0.22,0.23,272100,0.23
2010-07-20,0.25,0.26,0.24,0.25,628700,0.25
2010-07-21,0.27,0.3,0.25,0.27,1153200,0.27
2010-07-22,0.29,0.3,0.27,0.27,280300,0.27
2010-07-23,0.26,0.26,0.24,0.26,237500,0.26
2010-07-26,0.26,0.28,0.23,0.24,203400,0.24
2010-07-27,0.25,0.25,0.22,0.25,83700,0.25
2010-07-28,0.24,0.24,0.21,0.23,153300,0.23
2010-07-29,0.23,0.25,0.23,0.23,307100,0.23
2010-07-30,0.28,0.28,0.23,0.24,133900,0.24
2010-08-02,0.24,0.3,0.24,0.3,111500,0.3
2010-08-03,0.27,0.28,0.26,0.27,214800,0.27
2010-08-04,0.27,0.27,0.24,0.27,128000,0.27
2010-08-05,0.28,0.28,0.27,0.28,153500,0.28
2010-08-06,0.3,0.3,0.27,0.3,285900,0.3
2010-08-09,0.31,0.31,0.31,0.31,11000,0.31
2010-08-10,0.29,0.29,0.26,0.28,78000,0.28
2010-08-11,0.27,0.27,0.23,0.27,70000,0.27
2010-08-12,0.26,0.27,0.24,0.26,297200,0.26
2010-08-13,0.27,0.28,0.24,0.27,138400,0.27
2010-08-16,0.29,0.29,0.29,0.29,208100,0.29
2010-08-17,0.3,0.3,0.28,0.3,54500,0.3
2010-08-18,0.31,0.31,0.3,0.3,157700,0.3
2010-08-19,0.32,0.32,0.3,0.32,150100,0.32
2010-08-20,0.33,0.34,0.31,0.33,191100,0.33
2010-08-23,0.33,0.34,0.32,0.33,189200,0.33
2010-08-24,0.32,0.32,0.3,0.32,154700,0.32
2010-08-25,0.3,0.3,0.29,0.3,247000,0.3
2010-08-26,0.29,0.32,0.29,0.32,73600,0.32
2010-08-27,0.32,0.33,0.32,0.32,47600,0.32
2010-08-30,0.31,0.31,0.27,0.3,71800,0.3
2010-08-31,0.3,0.3,0.26,0.27,139200,0.27
2010-09-01,0.28,0.3,0.25,0.3,96100,0.3
2010-09-02,0.26,0.27,0.26,0.27,9600,0.27
2010-09-03,0.28,0.29,0.26,0.29,228800,0.29
2010-09-07,0.29,0.29,0.27,0.28,152000,0.28
2010-09-08,0.27,0.3,0.27,0.3,22000,0.3
2010-09-09,0.28,0.31,0.28,0.31,37500,0.31
2010-09-10,0.28,0.29,0.28,0.29,210600,0.29
2010-09-13,0.3,0.3,0.29,0.3,84700,0.3
2010-09-14,0.3,0.3,0.29,0.3,39100,0.3
2010-09-15,0.31,0.31,0.29,0.31,176500,0.31
2010-09-16,0.31,0.31,0.3,0.31,48500,0.31
2010-09-17,0.31,0.31,0.31,0.31,105300,0.31
2010-09-20,0.31,0.33,0.31,0.33,148100,0.33
2010-09-21,0.33,0.33,0.31,0.31,44800,0.31
2010-09-22,0.31,0.31,0.3,0.31,44300,0.31
2010-09-23,0.31,0.31,0.3,0.3,40500,0.3
2010-09-24,0.3,0.31,0.3,0.3,171400,0.3
2010-09-27,0.32,0.33,0.32,0.33,188200,0.33
2010-09-28,0.38,0.38,0.37,0.38,191300,0.38
2010-09-29,0.36,0.37,0.36,0.37,148000,0.37
2010-09-30,0.38,0.38,0.36,0.37,44000,0.37
2010-10-01,0.38,0.38,0.37,0.37,113800,0.37
2010-10-04,0.4,0.4,0.39,0.39,27100,0.39
2010-10-05,0.39,0.39,0.37,0.39,73800,0.39
2010-10-06,0.36,0.38,0.36,0.37,263500,0.37
2010-10-07,0.39,0.39,0.37,0.37,23500,0.37
