Date,Open,High,Low,Close,Volume,Adj Close
1987-12-30,33.0,33.12,33.0,33.0,2100,3.73
1987-12-31,32.88,33.25,32.62,32.62,11300,3.69
1988-01-04,32.88,33.5,32.75,33.5,4600,3.79
1988-01-05,33.75,34.5,33.62,34.25,5900,3.87
1988-01-06,34.38,34.88,34.25,34.88,5000,3.94
1988-01-07,35.0,35.62,35.0,35.5,3700,4.02
1988-01-08,35.75,35.75,34.75,34.75,4700,3.93
1988-01-11,34.38,34.38,34.0,34.12,5700,3.86
1988-01-12,33.88,33.88,33.62,33.75,1400,3.82
1988-01-13,33.5,33.75,33.38,33.75,1400,3.82
1988-01-14,33.5,33.75,33.0,33.0,3100,3.73
1988-01-15,33.0,33.88,33.0,33.5,12000,3.79
1988-01-18,33.25,33.75,33.25,33.5,3900,3.79
1988-01-19,33.75,34.0,33.62,33.62,3100,3.8
1988-01-20,33.75,33.75,33.5,33.75,3200,3.82
1988-01-21,33.62,33.62,33.12,33.12,2300,3.75
1988-01-22,33.12,34.0,33.12,34.0,6200,3.85
1988-01-25,34.0,34.5,33.88,34.5,3300,3.9
1988-01-26,34.75,34.75,34.12,34.12,2800,3.86
1988-01-27,34.25,34.25,34.0,34.25,3300,3.87
1988-01-28,34.12,34.5,33.88,34.5,2100,3.9
1988-01-29,34.62,34.62,34.25,34.5,1600,3.9
1988-02-01,34.62,35.38,34.62,35.25,3900,3.99
1988-02-02,35.5,36.62,35.25,36.25,8400,4.1
1988-02-03,36.5,37.5,36.5,37.12,4800,4.2
1988-02-04,37.0,37.0,36.5,36.62,5600,4.14
1988-02-05,36.38,36.75,36.25,36.75,2600,4.16
1988-02-08,36.75,36.75,36.25,36.25,6000,4.1
1988-02-09,36.25,36.62,36.25,36.62,1900,4.14
1988-02-10,36.75,37.0,36.5,36.62,4700,4.14
1988-02-11,36.75,36.88,36.5,36.88,3200,4.17
1988-02-12,36.0,36.5,36.0,36.5,1500,4.23
1988-02-16,36.25,36.25,36.12,36.25,2400,4.2
1988-02-17,36.25,36.62,36.12,36.25,2600,4.2
1988-02-18,36.5,36.62,36.25,36.25,1700,4.2
1988-02-19,36.38,36.38,36.12,36.25,3300,4.2
1988-02-22,36.0,36.12,35.88,35.88,4800,4.16
1988-02-23,35.75,36.0,35.5,36.0,2200,4.17
1988-02-24,36.25,36.25,35.88,36.0,3700,4.17
1988-02-25,36.0,36.25,36.0,36.0,1300,4.17
1988-02-26,35.88,36.0,35.62,36.0,3500,4.17
1988-02-29,35.88,36.12,35.88,36.12,1500,4.19
1988-03-01,36.38,36.88,36.38,36.88,4500,4.27
1988-03-02,36.75,36.88,36.62,36.88,3000,4.27
