Date,Open,High,Low,Close,Volume,Adj Close
2004-06-02,12.47,13.09,12.33,13.09,109200,6.55
2004-06-03,13.1,14.69,12.97,12.97,186400,6.49
2004-06-04,13.3,13.3,12.89,12.95,146200,6.47
2004-06-07,12.9,13.23,12.7,12.79,120800,6.39
2004-06-08,12.85,13.52,12.85,13.18,258200,6.59
2004-06-09,12.9,13.2,12.8,13.2,35000,6.6
2004-06-10,12.73,13.38,12.6,13.0,104600,6.5
2004-06-14,13.01,13.4,12.63,13.0,31600,6.5
2004-06-15,13.01,13.05,11.94,12.2,143400,6.1
2004-06-16,12.22,12.37,12.04,12.15,94800,6.07
2004-06-17,12.34,12.64,12.0,12.0,41600,6.0
2004-06-18,12.3,12.3,11.86,11.98,247200,5.99
2004-06-21,12.01,12.8,12.0,12.65,128000,6.32
2004-06-22,12.6,12.6,12.05,12.25,40000,6.12
2004-06-23,12.0,12.26,11.98,12.17,35800,6.09
2004-06-24,12.0,12.15,11.96,12.0,48400,6.0
2004-06-25,12.03,12.6,11.95,12.55,107800,6.28
2004-06-28,11.95,12.9,11.95,12.57,55000,6.28
2004-06-29,12.4,12.55,12.4,12.45,23000,6.22
2004-06-30,12.45,12.75,12.26,12.75,79000,6.38
2004-07-01,12.87,12.87,12.41,12.6,239400,6.3
2004-07-02,12.33,12.87,12.33,12.86,39800,6.43
2004-07-06,12.55,13.0,12.55,12.84,91400,6.42
2004-07-07,12.43,12.95,12.43,12.83,74000,6.41
2004-07-08,12.8,13.0,12.63,12.75,129200,6.38
2004-07-09,12.85,12.85,12.61,12.61,107400,6.3
2004-07-12,12.85,12.85,12.61,12.71,12800,6.36
2004-07-13,12.6,12.7,12.58,12.61,36400,6.3
2004-07-14,12.75,12.75,12.61,12.7,87200,6.35
2004-07-15,13.0,13.0,12.52,12.6,23000,6.3
2004-07-16,12.55,12.77,12.4,12.77,58400,6.39
2004-07-19,12.59,12.74,12.42,12.58,35600,6.29
2004-07-20,12.74,13.0,12.74,13.0,43200,6.5
2004-07-21,13.0,13.0,13.0,13.0,0,6.5
2004-07-22,12.66,12.93,12.66,12.93,1000,6.47
2004-07-23,12.98,12.98,12.69,12.97,16800,6.49
2004-07-26,12.6,12.95,12.28,12.85,27400,6.43
2004-07-27,12.75,12.77,12.52,12.67,28400,6.34
2004-07-28,12.95,13.05,12.84,12.85,37200,6.43
2004-07-29,12.77,12.9,12.65,12.85,13200,6.43
2004-07-30,12.66,12.76,12.65,12.69,70400,6.34
2004-08-02,13.0,13.0,12.79,12.79,2400,6.39
2004-08-03,12.75,12.84,12.7,12.7,25000,6.35
2004-08-04,12.7,12.7,12.7,12.7,3200,6.35
2004-08-05,12.7,12.7,12.7,12.7,4400,6.35
2004-08-06,12.75,12.75,12.75,12.75,80000,6.38
2004-08-09,12.75,12.75,12.4,12.4,73200,6.2
2004-08-10,12.4,12.4,12.4,12.4,400,6.2
2004-08-11,12.28,12.31,12.28,12.3,10600,6.15
2004-08-12,12.45,12.9,12.29,12.7,59600,6.35
2004-08-13,12.7,12.7,12.59,12.59,2800,6.3
2004-08-16,12.5,12.51,12.27,12.43,8000,6.22
2004-08-17,12.55,12.55,12.55,12.55,4600,6.28
2004-08-18,12.7,12.7,12.34,12.52,55800,6.26
2004-08-19,12.72,12.72,12.72,12.72,3800,6.36
2004-08-20,12.72,12.72,12.72,12.72,0,6.36
2004-08-23,12.72,13.2,12.72,13.03,28000,6.51
2004-08-24,13.0,13.3,12.9,13.3,19600,6.65
2004-08-25,13.25,13.4,13.2,13.2,106800,6.6
2004-08-26,13.2,13.3,13.07,13.2,22200,6.6
2004-08-27,13.2,13.2,13.2,13.2,0,6.6
2004-08-30,13.2,13.2,13.2,13.2,0,6.6
2004-08-31,13.15,13.25,13.05,13.05,25400,6.53
2004-09-01,13.39,13.45,12.98,13.39,2200,6.7
2004-09-02,13.02,13.42,13.02,13.42,16000,6.71
2004-09-03,13.0,13.35,13.0,13.18,89800,6.59
2004-09-07,13.1,13.65,13.0,13.0,87400,6.5
2004-09-08,13.0,13.25,13.0,13.25,6200,6.62
2004-09-09,13.46,13.5,13.3,13.5,16000,6.75
2004-09-10,13.58,13.58,13.5,13.5,42400,6.75
2004-09-13,13.75,13.75,13.06,13.06,2800,6.53
2004-09-14,13.38,13.5,13.0,13.42,30800,6.71
2004-09-15,13.45,13.5,13.43,13.5,22000,6.75
2004-09-16,13.5,13.6,13.45,13.5,29800,6.75
2004-09-17,13.26,13.5,13.26,13.5,9600,6.75
2004-09-20,13.5,13.5,13.5,13.5,0,6.75
2004-09-21,13.29,13.29,13.2,13.25,3200,6.62
2004-09-22,13.49,13.5,13.0,13.01,14800,6.51
2004-09-23,13.49,13.49,12.97,12.97,66800,6.49
2004-09-24,13.0,13.02,12.97,13.02,11800,6.51
2004-09-27,12.95,13.0,12.95,13.0,5800,6.5
2004-09-28,13.0,13.02,12.31,12.31,538000,6.16
2004-09-29,12.28,13.3,12.25,12.89,56000,6.45
2004-09-30,12.88,13.38,12.76,13.19,132800,6.59
2004-10-01,13.39,13.39,12.33,12.59,4200,6.3
2004-10-04,12.95,13.2,12.94,13.05,2400,6.53
2004-10-05,13.1,13.34,12.32,12.38,44400,6.19
2004-10-06,12.3,12.7,12.3,12.47,21400,6.24
2004-10-07,12.33,12.53,12.25,12.25,55600,6.12
2004-10-08,12.28,12.32,12.04,12.25,38400,6.12
2004-10-11,12.25,12.7,12.15,12.7,16600,6.35
2004-10-12,12.28,12.59,12.17,12.59,10800,6.3
2004-10-13,12.6,13.6,12.6,13.4,23400,6.7
2004-10-14,13.04,13.24,12.74,12.97,23800,6.49
2004-10-15,12.47,13.14,12.47,13.14,4000,6.57
2004-10-18,12.51,13.07,12.47,13.07,1200,6.53
2004-10-19,12.75,12.75,12.75,12.75,2000,6.38
2004-10-20,12.57,12.62,12.57,12.61,2200,6.3
2004-10-21,12.66,12.85,12.6,12.6,11600,6.3
2004-10-22,12.6,12.6,12.6,12.6,0,6.3
2004-10-25,12.34,12.68,12.34,12.66,25800,6.33
2004-10-26,12.31,13.14,12.31,13.05,802000,6.53
2004-10-27,12.83,13.19,12.83,13.06,195600,6.53
2004-10-28,13.06,13.19,13.05,13.05,31200,6.53
2004-10-29,13.02,13.06,12.75,12.89,15200,6.45
2004-11-01,12.5,12.55,12.5,12.52,3000,6.26
2004-11-02,12.51,13.18,12.43,13.02,9600,6.51
2004-11-03,12.62,12.66,12.6,12.6,2600,6.3
2004-11-04,12.81,12.81,12.46,12.81,9400,6.41
2004-11-05,12.83,12.9,12.4,12.85,13600,6.43
2004-11-08,12.46,12.5,12.45,12.45,10200,6.22
2004-11-09,12.4,12.4,12.0,12.21,67400,6.11
2004-11-10,12.25,12.41,12.2,12.41,14400,6.2
2004-11-11,12.56,12.7,12.47,12.6,16800,6.3
2004-11-12,12.77,12.87,12.74,12.86,98200,6.43
2004-11-15,12.56,12.86,12.45,12.62,27600,6.31
2004-11-16,12.47,12.53,12.47,12.48,27400,6.24
2004-11-17,12.41,12.48,12.3,12.4,51000,6.2
2004-11-18,12.48,12.92,12.48,12.57,109200,6.28
2004-11-19,12.92,13.1,12.82,12.93,7600,6.47
2004-11-22,12.29,12.8,12.29,12.5,15200,6.25
2004-11-23,12.52,12.55,12.46,12.5,29000,6.25
2004-11-24,12.96,15.96,12.96,15.03,847400,7.51
2004-11-26,15.49,17.42,15.38,16.5,155600,8.25
2004-11-29,16.48,16.55,16.04,16.1,207000,8.05
2004-11-30,16.05,16.09,15.75,15.96,19800,7.98
2004-12-01,15.96,16.14,15.96,16.0,20200,8.0
2004-12-02,15.7,16.0,15.7,15.97,8200,7.99
2004-12-03,15.99,16.0,15.83,15.99,9600,7.99
