Date,Open,High,Low,Close,Volume,Adj Close
2012-04-10,11.9,11.9,11.9,11.9,700,11.9
2012-04-11,11.9,11.9,11.9,11.9,400,11.9
2012-04-12,11.9,12.1,11.9,12.1,10500,12.1
2012-04-13,12.06,12.06,12.0,12.0,14300,12.0
2012-04-16,12.0,12.04,12.0,12.04,5700,12.04
2012-04-17,12.1,12.35,12.1,12.35,1100,12.35
2012-04-18,12.5,13.4,12.5,13.4,6800,13.4
2012-04-19,13.48,13.5,12.91,12.91,5900,12.91
2012-04-20,13.05,13.05,12.7,12.7,3800,12.7
2012-04-23,12.85,12.94,12.7,12.8,1100,12.8
2012-04-24,12.9,12.9,12.6,12.6,11700,12.6
2012-04-25,12.6,12.62,12.6,12.6,4400,12.6
2012-04-26,12.6,12.6,12.5,12.55,6600,12.55
2012-04-27,12.5,12.52,12.5,12.52,1000,12.52
2012-04-30,12.48,12.48,12.4,12.48,400,12.48
2012-05-01,12.5,12.52,12.48,12.52,3700,12.52
2012-05-02,12.45,12.45,12.25,12.25,3600,12.25
2012-05-03,12.25,12.25,12.25,12.25,0,12.25
2012-05-04,12.25,12.25,12.25,12.25,500,12.25
2012-05-07,12.2,12.2,12.0,12.1,7300,12.1
2012-05-08,12.08,12.15,12.08,12.15,300,12.15
2012-05-09,12.15,12.15,12.15,12.15,0,12.15
2012-05-10,12.2,12.2,12.1,12.1,7600,12.1
2012-05-11,12.23,12.23,12.2,12.2,5000,12.2
2012-05-14,12.17,12.23,12.17,12.17,700,12.17
2012-05-15,12.17,12.2,12.15,12.2,4400,12.2
2012-05-16,12.2,12.25,12.2,12.24,4400,12.24
2012-05-17,12.2,12.22,12.2,12.22,200,12.22
2012-05-18,12.2,12.24,12.18,12.2,21300,12.2
2012-05-21,12.22,12.25,12.22,12.25,10100,12.25
2012-05-22,12.25,12.25,12.25,12.25,1300,12.25
2012-05-23,12.22,12.22,12.2,12.22,212000,12.22
2012-05-24,12.2,12.2,12.2,12.2,300,12.2
2012-05-25,12.2,12.2,12.15,12.15,4100,12.15
2012-05-29,12.16,12.16,12.16,12.16,200,12.16
2012-05-30,12.13,12.17,12.1,12.17,4000,12.17
2012-05-31,12.15,12.15,12.15,12.15,2300,12.15
2012-06-01,12.15,12.15,12.15,12.15,0,12.15
2012-06-04,12.15,12.15,11.98,12.0,26900,12.0
2012-06-05,12.0,12.06,12.0,12.05,9700,12.05
2012-06-06,12.1,12.1,12.1,12.1,4100,12.1
2012-06-07,12.07,12.07,12.03,12.05,10800,12.05
2012-06-08,12.1,12.1,12.1,12.1,100,12.1
2012-06-11,12.05,12.05,12.05,12.05,100,12.05
2012-06-12,12.05,12.05,12.05,12.05,0,12.05
2012-06-13,12.0,12.0,11.98,12.0,25400,12.0
2012-06-14,12.0,12.0,12.0,12.0,6500,12.0
2012-06-15,12.03,12.2,12.03,12.2,3200,12.2
2012-06-18,12.05,12.05,11.95,11.95,9700,11.95
2012-06-19,12.15,12.15,12.0,12.0,12400,12.0
2012-06-20,12.0,12.0,11.95,11.96,43100,11.96
2012-06-21,12.01,12.01,11.93,12.0,11300,12.0
2012-06-22,11.95,11.95,11.9,11.92,2500,11.92
2012-06-25,11.9,11.93,11.9,11.93,4600,11.93
2012-06-26,11.81,11.81,11.78,11.8,19300,11.8
2012-06-27,11.78,11.78,11.75,11.75,12300,11.75
2012-06-28,11.7,11.7,11.5,11.5,18200,11.5
2012-06-29,11.46,11.46,10.67,10.9,6900,10.9
2012-07-02,10.97,10.97,10.66,10.9,47400,10.9
2012-07-03,10.94,11.24,10.94,11.11,16900,11.11
2012-07-05,11.21,11.21,10.9,10.96,8300,10.96
2012-07-06,10.9,11.05,10.9,11.05,9200,11.05
2012-07-09,10.98,11.05,10.95,10.96,9300,10.96
2012-07-10,11.0,11.0,10.96,10.96,11500,10.96
2012-07-11,10.96,11.0,10.9,10.95,19900,10.95
2012-07-12,10.96,11.0,10.8,10.8,25400,10.8
2012-07-13,10.82,10.85,10.8,10.8,23400,10.8
2012-07-16,10.85,10.9,10.78,10.8,22700,10.8
2012-07-17,10.85,11.0,10.85,10.88,18300,10.88
2012-07-18,11.0,11.4,10.85,10.85,10000,10.85
2012-07-19,10.93,11.0,10.85,10.89,21000,10.89
2012-07-20,10.85,10.96,10.85,10.9,4600,10.9
2012-07-23,10.9,10.9,10.9,10.9,0,10.9
2012-07-24,10.85,11.0,10.8,11.0,1800,11.0
2012-07-25,10.92,10.94,10.82,10.85,17100,10.85
2012-07-26,10.82,10.82,10.48,10.58,13100,10.58
2012-07-27,10.25,10.63,10.25,10.47,23400,10.47
2012-07-30,10.65,10.66,10.31,10.5,26200,10.5
2012-07-31,10.5,10.65,10.42,10.43,24500,10.43
2012-08-01,10.47,10.5,10.2,10.22,30600,10.22
2012-08-02,10.28,10.36,10.15,10.25,14900,10.25
2012-08-03,10.4,10.41,10.24,10.3,10400,10.3
2012-08-06,10.3,10.35,10.3,10.35,800,10.35
2012-08-07,10.31,10.5,10.31,10.5,7800,10.5
2012-08-08,10.49,10.55,10.49,10.5,6200,10.5
2012-08-09,10.5,10.55,10.48,10.5,44400,10.5
2012-08-10,10.5,10.5,10.48,10.5,26400,10.5
2012-08-13,10.5,10.52,10.48,10.52,36000,10.52
2012-08-14,10.55,10.55,10.51,10.55,11300,10.55
2012-08-15,10.51,10.55,10.45,10.5,86100,10.5
2012-08-16,10.53,10.6,10.53,10.6,13600,10.6
2012-08-17,10.65,10.7,10.65,10.7,10400,10.7
2012-08-20,10.68,10.85,10.62,10.85,20600,10.85
2012-08-21,10.85,10.95,10.85,10.9,2200,10.9
2012-08-22,10.82,10.99,10.8,10.95,29300,10.95
2012-08-23,10.95,10.95,10.95,10.95,0,10.95
2012-08-24,10.93,10.93,10.8,10.89,17100,10.89
2012-08-27,10.91,11.14,10.91,10.99,15800,10.99
2012-08-28,10.9,10.94,10.9,10.94,17100,10.94
2012-08-29,10.95,10.95,10.87,10.94,424100,10.94
2012-08-30,10.95,10.95,10.9,10.95,3400,10.95
2012-08-31,10.89,10.94,10.88,10.88,900,10.88
2012-09-04,10.98,11.08,10.98,10.98,7400,10.98
2012-09-05,10.98,10.99,10.95,10.99,22600,10.99
2012-09-06,11.0,11.1,10.92,10.93,23600,10.93
2012-09-07,11.0,11.0,10.95,10.98,88500,10.98
2012-09-10,10.96,11.06,10.96,10.99,87000,10.99
2012-09-11,10.99,11.05,10.99,11.02,12700,11.02
2012-09-12,10.98,11.25,10.98,11.1,33300,11.1
2012-09-13,11.05,11.05,10.96,11.0,149900,11.0
2012-09-14,10.99,11.04,10.95,11.01,27900,11.01
2012-09-17,11.03,11.05,11.0,11.01,42400,11.01
2012-09-18,11.07,11.1,11.0,11.05,52700,11.05
2012-09-19,11.05,11.09,11.05,11.09,15600,11.09
2012-09-20,11.01,11.04,10.98,11.0,40900,11.0
2012-09-21,11.05,11.1,10.98,11.06,96200,11.06
2012-09-24,11.06,11.07,11.05,11.05,1700,11.05
2012-09-25,11.07,11.13,11.06,11.13,11100,11.13
2012-09-26,11.1,11.15,11.1,11.15,8900,11.15
2012-09-27,11.13,11.5,11.13,11.5,4000,11.5
2012-09-28,11.46,11.59,11.46,11.57,4700,11.57
2012-10-01,11.91,12.0,11.6,11.69,6500,11.69
2012-10-02,11.6,11.65,11.59,11.59,3600,11.59
2012-10-03,11.55,11.69,11.2,11.65,25600,11.65
2012-10-04,11.59,11.59,11.54,11.56,1200,11.56
2012-10-05,11.5,11.5,11.49,11.49,1500,11.49
2012-10-08,11.45,11.5,11.4,11.5,18200,11.5
2012-10-09,11.45,11.52,11.3,11.3,1700,11.3
2012-10-10,11.3,11.3,11.3,11.3,0,11.3
2012-10-11,11.36,11.55,11.36,11.5,2500,11.5
2012-10-12,11.56,11.98,11.56,11.98,1800,11.98
2012-10-15,11.92,11.92,11.75,11.87,1300,11.87
2012-10-16,11.85,11.9,11.75,11.9,4900,11.9
2012-10-17,11.9,11.9,11.9,11.9,0,11.9
2012-10-18,11.9,11.9,11.9,11.9,0,11.9
2012-10-19,11.88,11.9,11.79,11.9,2500,11.9
2012-10-22,11.81,11.84,11.47,11.48,5600,11.48
2012-10-23,11.24,11.24,11.24,11.24,100,11.24
2012-10-24,11.3,11.45,11.27,11.38,20600,11.38
2012-10-25,11.28,11.42,11.15,11.33,3500,11.33
2012-10-26,11.32,11.6,11.29,11.54,17700,11.54
2012-10-31,11.6,11.69,11.6,11.68,900,11.68
2012-11-01,11.71,11.93,11.71,11.92,2400,11.92
2012-11-02,11.92,12.0,11.92,12.0,2200,12.0
