Date,Open,High,Low,Close,Volume,Adj Close
2014-03-27,20.0,20.7,19.53,20.6,5283700,20.6
2014-03-28,20.45,20.65,20.15,20.49,426700,20.49
2014-03-31,20.25,20.45,19.95,20.1,432700,20.1
2014-04-01,20.5,20.5,19.99,20.06,828800,20.06
2014-04-02,20.1,20.19,19.95,20.09,411300,20.09
2014-04-03,20.0,20.15,19.95,20.13,247400,20.13
2014-04-04,20.08,20.49,20.0,20.02,119000,20.02
2014-04-07,19.65,20.0,19.02,19.78,471500,19.78
2014-04-08,19.85,19.95,19.77,19.86,79900,19.86
2014-04-09,19.93,20.09,19.65,19.98,429100,19.98
2014-04-10,19.94,19.94,19.1,19.55,212100,19.55
2014-04-11,19.25,20.0,19.15,19.66,138400,19.66
2014-04-14,19.7,19.86,19.5,19.73,24500,19.73
2014-04-15,19.69,19.73,19.25,19.45,171100,19.45
2014-04-16,19.35,19.58,18.83,19.03,358100,19.03
2014-04-17,18.36,19.0,18.2,18.96,251200,18.96
2014-04-21,18.53,19.04,18.53,19.03,87100,19.03
2014-04-22,18.89,19.05,18.89,18.98,38400,18.98
2014-04-23,19.05,19.05,18.67,18.78,86800,18.78
2014-04-24,18.84,19.04,18.77,18.9,110400,18.9
