Date,Open,High,Low,Close,Volume,Adj Close
1996-09-03,22.25,22.75,22.0,22.75,16200,8.43
1996-09-04,22.75,23.0,22.75,23.0,16200,8.52
1996-09-05,22.75,23.25,22.75,23.25,3400,8.62
1996-09-06,22.87,22.87,22.87,22.87,1400,8.48
1996-09-09,22.5,22.5,22.5,22.5,300,8.34
1996-09-10,22.87,22.87,22.87,22.87,100,8.48
1996-09-11,22.5,23.25,22.5,23.25,500,8.62
1996-09-12,22.5,23.0,22.5,23.0,3800,8.52
1996-09-13,23.0,23.0,23.0,23.0,0,8.52
1996-09-16,22.75,22.75,22.75,22.75,11800,8.43
1996-09-17,22.75,23.0,22.75,23.0,5800,8.52
1996-09-18,23.0,23.0,23.0,23.0,0,8.52
1996-09-19,22.81,23.0,22.75,22.75,5000,8.43
1996-09-20,22.75,23.25,22.75,22.75,49000,8.43
1996-09-23,23.0,23.0,22.5,22.87,13400,8.48
1996-09-24,23.0,23.0,22.75,22.75,1300,8.43
1996-09-25,22.75,22.75,22.75,22.75,0,8.43
1996-09-26,22.5,23.0,22.5,22.5,4900,8.34
1996-09-27,22.5,22.5,22.5,22.5,0,8.34
1996-09-30,22.5,23.25,22.5,22.5,5000,8.34
1996-10-01,22.5,22.5,22.5,22.5,2400,8.34
1996-10-02,22.87,23.25,22.75,22.75,1300,8.43
1996-10-03,23.25,23.25,23.0,23.0,3600,8.52
1996-10-04,22.5,22.5,22.5,22.5,1400,8.34
1996-10-07,22.5,22.5,22.5,22.5,0,8.34
1996-10-08,23.0,23.0,23.0,23.0,700,8.52
1996-10-09,22.5,22.5,22.5,22.5,500,8.34
1996-10-10,22.75,23.0,22.5,22.75,4200,8.43
1996-10-11,22.75,22.75,22.75,22.75,0,8.43
1996-10-14,22.5,22.5,22.5,22.5,1900,8.34
1996-10-15,22.5,22.5,22.5,22.5,0,8.34
1996-10-16,22.5,23.25,22.5,23.25,9700,8.62
1996-10-17,23.25,23.25,23.25,23.25,0,8.62
1996-10-18,22.75,22.75,22.5,22.5,8800,8.34
1996-10-21,22.5,22.75,22.5,22.75,1500,8.43
1996-10-22,23.25,23.25,22.75,23.25,5200,8.62
1996-10-23,23.25,23.25,23.25,23.25,0,8.62
1996-10-24,22.5,22.5,22.5,22.5,200,8.34
1996-10-25,22.5,22.5,22.5,22.5,500,8.34
1996-10-28,23.25,23.25,23.25,23.25,200,8.62
1996-10-29,22.62,23.25,22.62,23.25,9600,8.62
1996-10-30,22.62,22.87,22.62,22.75,4400,8.43
1996-10-31,23.25,23.25,22.87,22.87,1900,8.48
1996-11-01,23.25,23.25,23.25,23.25,200,8.65
1996-11-04,23.25,23.25,23.25,23.25,0,8.65
1996-11-05,23.0,23.0,23.0,23.0,200,8.56
1996-11-06,22.62,22.62,22.62,22.62,200,8.42
1996-11-07,23.25,23.25,23.25,23.25,200,8.65
1996-11-08,23.25,23.25,23.0,23.25,34700,8.65
1996-11-11,23.12,23.25,23.0,23.25,72700,8.65
1996-11-12,23.25,23.25,23.25,23.25,0,8.65
1996-11-13,23.25,23.25,23.25,23.25,0,8.65
1996-11-14,23.25,23.25,23.25,23.25,0,8.65
1996-11-15,23.25,23.25,23.25,23.25,0,8.65
1996-11-18,23.25,23.25,23.25,23.25,0,8.65
1996-11-19,22.62,22.75,22.62,22.75,700,8.46
1996-11-20,23.5,23.5,22.62,22.62,1900,8.42
1996-11-21,23.5,23.5,23.5,23.5,100,8.74
1996-11-22,22.62,22.75,22.62,22.75,1300,8.46
1996-11-25,23.5,23.5,23.5,23.5,2900,8.74
1996-11-26,22.62,23.5,22.62,23.5,3500,8.74
1996-11-27,23.5,24.25,22.62,23.5,38200,8.74
1996-11-29,23.5,23.5,23.5,23.5,800,8.74
1996-12-02,24.25,24.25,23.5,23.5,300,8.74
1996-12-03,24.25,25.25,24.0,25.0,25500,9.3
1996-12-04,24.87,24.87,24.5,24.5,3400,9.11
1996-12-05,25.25,25.25,24.5,25.25,5300,9.39
1996-12-06,24.5,25.0,24.5,24.75,13300,9.21
1996-12-09,24.5,24.5,24.5,24.5,1500,9.11
1996-12-10,25.0,25.5,24.75,25.0,32800,9.3
1996-12-11,25.0,25.0,25.0,25.0,0,9.3
1996-12-12,25.25,25.5,25.25,25.5,31000,9.49
1996-12-13,25.0,25.0,25.0,25.0,8200,9.3
1996-12-16,25.25,25.25,25.0,25.25,3600,9.39
1996-12-17,25.0,25.25,24.5,25.25,700,9.39
1996-12-18,25.0,25.0,24.5,25.0,10500,9.3
1996-12-19,24.5,25.5,24.5,25.5,5300,9.49
1996-12-20,25.5,25.5,25.5,25.5,1300,9.49
1996-12-23,24.75,25.5,24.75,25.25,19600,9.39
1996-12-24,25.25,25.25,25.0,25.0,2000,9.3
1996-12-26,25.25,25.25,24.75,24.75,800,9.21
1996-12-27,24.75,25.25,24.5,24.5,1900,9.11
1996-12-30,24.5,24.5,24.5,24.5,0,9.11
1996-12-31,24.5,24.75,24.5,24.5,11800,9.11
1997-01-02,24.5,24.5,24.5,24.5,4200,9.11
1997-01-03,24.25,24.75,24.25,24.75,1900,9.21
1997-01-06,24.5,24.5,24.25,24.25,2000,9.02
1997-01-07,24.25,24.25,24.25,24.25,0,9.02
1997-01-08,24.62,24.62,24.62,24.62,2400,9.16
1997-01-09,25.0,25.0,24.87,24.87,2900,9.25
1997-01-10,24.5,24.5,24.0,24.0,4100,8.93
1997-01-13,24.5,24.5,24.5,24.5,2900,9.11
1997-01-14,24.0,25.0,24.0,25.0,600,9.3
1997-01-15,25.0,25.0,25.0,25.0,200,9.3
1997-01-16,24.25,24.25,24.25,24.25,200,9.02
1997-01-17,24.25,24.25,24.25,24.25,300,9.02
1997-01-20,24.25,24.25,24.25,24.25,200,9.02
