Date,Open,High,Low,Close,Volume,Adj Close
2001-08-30,9.4,9.4,9.4,9.4,102300,3.61
2001-08-31,9.4,9.4,9.4,9.4,0,3.61
2001-09-04,9.4,9.4,9.4,9.4,0,3.61
2001-09-05,9.4,9.4,9.4,9.4,0,3.61
2001-09-06,9.4,9.4,9.4,9.4,0,3.61
2001-09-07,9.0,9.0,9.0,9.0,102300,3.45
2001-09-10,9.0,9.0,9.0,9.0,0,3.45
2001-09-17,9.0,9.0,9.0,9.0,0,3.45
2001-09-18,9.0,9.0,9.0,9.0,0,3.45
2001-09-19,8.48,8.48,8.48,8.48,45000,3.25
2001-09-20,8.48,8.48,8.48,8.48,0,3.25
2001-09-21,8.48,8.48,8.48,8.48,0,3.25
2001-09-24,8.48,8.48,8.48,8.48,0,3.25
2001-09-25,7.4,7.4,7.4,7.4,56200,2.84
2001-09-26,7.4,7.4,7.4,7.4,0,2.84
2001-09-27,7.4,7.4,7.4,7.4,0,2.84
2001-09-28,7.4,7.4,7.4,7.4,0,2.84
2001-10-01,7.4,7.4,7.4,7.4,0,2.84
2001-10-02,7.4,7.4,7.4,7.4,0,2.84
2001-10-03,7.4,7.4,7.4,7.4,0,2.84
2001-10-04,7.88,8.0,7.88,8.0,615300,3.07
2001-10-05,8.0,8.0,8.0,8.0,0,3.07
2001-10-08,8.0,8.0,8.0,8.0,0,3.07
2001-10-09,8.0,8.0,8.0,8.0,292500,3.07
2001-10-10,7.48,7.48,7.48,7.48,1800,2.87
2001-10-11,7.48,7.72,7.48,7.48,45400,2.87
2001-10-12,7.48,7.48,7.48,7.48,0,2.87
2001-10-15,7.48,7.48,7.48,7.48,9100,2.87
2001-10-16,7.48,7.48,7.48,7.48,9100,2.87
2001-10-17,8.0,8.0,8.0,8.0,11400,3.07
2001-10-18,9.0,9.16,9.0,9.08,1428700,3.49
2001-10-19,9.08,9.08,9.08,9.08,0,3.49
2001-10-22,8.72,8.72,8.72,8.72,1800,3.35
2001-10-23,8.72,8.72,8.72,8.72,0,3.35
2001-10-24,8.72,8.72,8.56,8.56,285700,3.29
2001-10-25,8.56,8.8,8.56,8.72,157500,3.35
2001-10-26,8.72,8.72,8.64,8.72,27100,3.35
2001-10-29,8.72,8.8,8.64,8.8,11400,3.38
2001-10-30,8.8,9.0,8.64,8.8,1266900,3.38
2001-10-31,8.8,9.16,8.8,8.8,934200,3.38
2001-11-01,8.8,8.8,8.8,8.8,0,3.38
2001-11-02,8.8,8.96,8.8,8.96,222700,3.44
2001-11-05,8.96,9.0,8.96,9.0,1638000,3.45
2001-11-06,9.0,9.08,9.0,9.08,1591600,3.49
2001-11-07,9.08,11.88,9.0,9.0,112500,3.45
2001-11-08,9.24,9.32,9.24,9.32,452200,3.58
2001-11-09,9.32,9.48,9.24,9.32,960700,3.58
2001-11-12,9.16,9.16,9.16,9.16,100,3.52
2001-11-13,9.48,9.96,9.48,9.72,256200,3.73
2001-11-14,9.72,9.96,9.72,9.8,1581700,3.76
2001-11-15,9.8,10.48,9.56,10.16,4116300,3.9
2001-11-16,10.32,10.72,10.32,10.48,1244200,4.02
2001-11-19,10.72,11.48,10.72,11.48,702900,4.41
2001-11-20,11.48,14.08,11.48,14.0,1875300,5.37
2001-11-21,14.0,14.8,13.96,14.56,1971900,5.59
2001-11-23,15.0,16.16,15.0,15.48,66600,5.94
2001-11-26,15.48,15.48,14.88,15.0,304300,5.76
2001-11-27,15.0,15.0,14.0,14.48,730000,5.56
2001-11-28,14.48,14.8,14.24,14.56,1206100,5.59
2001-11-29,14.56,14.56,14.08,14.48,243000,5.56
2001-11-30,14.48,15.48,14.48,15.24,1594000,5.85
