Date,Open,High,Low,Close,Volume,Adj Close
1992-04-21,39.5,39.5,39.0,39.0,11200,2.36
1992-04-22,41.88,41.88,41.88,41.88,800,2.53
1992-04-23,41.88,41.88,41.88,41.88,0,2.53
1992-04-24,42.5,42.5,40.5,40.5,5600,2.45
1992-04-27,44.0,44.0,40.5,41.0,4800,2.48
1992-04-28,41.0,41.0,41.0,41.0,0,2.48
1992-04-29,41.0,41.0,41.0,41.0,0,2.48
1992-04-30,44.0,44.0,44.0,44.0,10400,2.66
1992-05-01,42.5,42.5,42.5,42.5,3200,2.57
1992-05-04,44.0,44.5,44.0,44.5,4000,2.69
1992-05-05,44.5,44.5,44.5,44.5,0,2.69
1992-05-06,45.0,45.0,45.0,45.0,800,2.72
1992-05-07,45.0,45.0,45.0,45.0,0,2.72
1992-05-08,45.0,45.0,44.0,44.0,3200,2.66
1992-05-11,44.0,44.0,44.0,44.0,0,2.66
1992-05-12,45.5,45.5,43.0,43.5,8000,2.63
1992-05-13,43.5,43.5,43.5,43.5,0,2.63
1992-05-14,43.5,43.5,43.5,43.5,0,2.63
1992-05-15,43.5,43.5,43.5,43.5,0,2.63
1992-05-18,44.0,44.0,43.0,43.0,16000,2.6
1992-05-19,43.25,43.5,43.0,43.5,30400,2.63
1992-05-20,43.5,43.5,43.5,43.5,0,2.63
1992-05-21,45.5,45.5,42.5,45.0,7200,2.72
1992-05-22,46.0,46.0,46.0,46.0,1600,2.78
1992-05-26,46.0,46.0,46.0,46.0,0,2.78
1992-05-27,46.0,46.0,46.0,46.0,0,2.78
1992-05-28,45.0,45.0,45.0,45.0,800,2.72
1992-05-29,46.0,46.0,46.0,46.0,800,2.78
1992-06-01,46.0,46.0,46.0,46.0,0,2.78
1992-06-02,45.0,45.0,43.0,43.0,18400,2.6
1992-06-03,44.0,44.0,44.0,44.0,4000,2.66
1992-06-04,44.0,44.0,44.0,44.0,0,2.66
1992-06-05,43.75,45.5,43.75,45.5,10400,2.75
1992-06-08,47.0,47.0,46.5,46.5,4000,2.81
1992-06-09,48.0,48.0,48.0,48.0,800,2.9
1992-06-10,48.0,48.0,48.0,48.0,0,2.9
1992-06-11,48.5,50.0,48.5,50.0,12000,3.02
1992-06-12,50.0,50.0,50.0,50.0,0,3.02
1992-06-15,26.0,26.0,24.75,26.0,12400,3.15
1992-06-16,26.5,26.5,26.5,26.5,1200,3.21
1992-06-17,26.25,27.0,25.12,25.5,32000,3.09
1992-06-18,25.0,27.0,25.0,27.0,6800,3.27
1992-06-19,25.25,27.0,25.25,27.0,4000,3.27
1992-06-22,27.0,27.0,27.0,27.0,0,3.27
1992-06-23,27.0,27.0,27.0,27.0,0,3.27
1992-06-24,27.0,27.0,27.0,27.0,0,3.27
1992-06-25,26.5,26.5,26.0,26.25,6400,3.2
1992-06-26,26.25,27.0,25.75,27.0,21600,3.29
1992-06-29,25.5,26.0,25.5,26.0,3600,3.17
1992-06-30,26.0,26.0,26.0,26.0,0,3.17
1992-07-01,26.0,26.0,26.0,26.0,0,3.17
1992-07-02,27.0,27.0,25.5,25.5,1600,3.11
1992-07-06,27.0,27.0,25.25,25.25,10400,3.08
1992-07-07,24.5,26.0,24.25,25.5,17200,3.11
1992-07-08,24.0,25.0,24.0,25.0,5600,3.05
1992-07-09,25.0,25.0,25.0,25.0,0,3.05
1992-07-10,25.0,25.0,23.5,25.0,6800,3.05
1992-07-13,25.0,25.0,24.0,24.0,1200,2.93
1992-07-14,24.0,24.0,24.0,24.0,0,2.93
1992-07-15,25.0,25.0,24.25,24.25,1600,2.96
1992-07-16,25.0,25.0,24.0,25.0,9200,3.05
1992-07-17,25.0,25.0,25.0,25.0,0,3.05
1992-07-20,25.0,25.0,25.0,25.0,0,3.05
1992-07-21,25.5,25.5,25.5,25.5,1600,3.11
1992-07-22,24.25,25.25,24.25,25.25,4400,3.08
1992-07-23,24.12,25.25,24.12,25.25,7200,3.08
1992-07-24,25.25,25.25,24.0,24.0,14400,2.93
1992-07-27,25.25,25.25,25.25,25.25,5200,3.08
1992-07-28,24.5,24.75,24.12,24.12,7200,2.94
1992-07-29,25.25,25.25,25.25,25.25,400,3.08
1992-07-30,25.25,25.25,25.25,25.25,0,3.08
1992-07-31,24.0,25.25,24.0,25.25,2800,3.08
1992-08-03,25.25,25.25,24.0,24.0,1200,2.93
1992-08-04,24.0,24.0,24.0,24.0,1600,2.93
1992-08-05,25.25,25.25,24.75,25.25,26000,3.08
1992-08-06,24.0,25.0,24.0,25.0,4000,3.05
1992-08-07,25.5,25.5,25.5,25.5,2400,3.11
1992-08-10,25.5,25.5,25.5,25.5,0,3.11
1992-08-11,25.5,25.5,25.5,25.5,400,3.11
1992-08-12,24.5,24.5,24.5,24.5,1200,2.99
1992-08-13,24.5,24.5,24.5,24.5,0,2.99
1992-08-14,25.5,25.5,25.5,25.5,4400,3.11
1992-08-17,25.0,25.0,24.0,24.0,5600,2.93
1992-08-18,25.5,25.5,25.5,25.5,800,3.11
1992-08-19,24.5,24.5,24.5,24.5,2000,2.99
1992-08-20,25.5,25.5,25.5,25.5,4400,3.11
1992-08-21,25.5,25.5,25.5,25.5,0,3.11
1992-08-24,25.5,25.5,25.5,25.5,0,3.11
1992-08-25,25.5,25.5,24.0,24.75,36400,3.02
1992-08-26,24.62,25.0,24.62,24.75,6400,3.02
1992-08-27,25.0,25.5,24.62,24.75,11200,3.02
1992-08-28,25.5,25.5,24.25,24.25,5600,2.96
1992-08-31,24.25,24.75,24.25,24.75,12000,3.02
1992-09-01,25.0,25.5,25.0,25.5,8800,3.11
1992-09-02,25.5,25.5,24.5,24.5,3600,2.99
1992-09-03,25.5,25.5,25.5,25.5,2800,3.11
1992-09-04,25.5,25.75,24.5,25.12,27600,3.06
1992-09-08,24.5,25.5,24.5,25.5,9600,3.11
1992-09-09,25.0,25.75,24.5,25.5,23600,3.11
1992-09-10,25.5,25.5,25.0,25.0,4800,3.05
1992-09-11,25.75,25.75,25.5,25.5,3200,3.11
1992-09-14,24.5,25.5,24.5,25.0,16400,3.05
1992-09-15,25.5,25.5,24.12,24.5,17600,2.99
1992-09-16,25.0,25.0,25.0,25.0,2000,3.05
1992-09-17,25.5,25.5,25.5,25.5,1600,3.11
1992-09-18,25.5,25.5,25.5,25.5,0,3.11
1992-09-21,25.25,25.25,24.0,24.0,7200,2.93
1992-09-22,25.5,25.5,24.0,25.5,10000,3.11
1992-09-23,25.75,25.75,24.0,24.0,18400,2.93
1992-09-24,24.0,24.75,24.0,24.5,17600,2.99
1992-09-25,24.0,24.0,24.0,24.0,400,2.95
1992-09-28,25.75,25.75,25.75,25.75,400,3.16
1992-09-29,25.75,25.75,24.5,24.5,3600,3.01
1992-09-30,25.75,25.75,24.25,24.25,6000,2.98
1992-10-01,24.5,24.75,24.5,24.5,7600,3.01
1992-10-02,24.5,24.5,24.5,24.5,0,3.01
1992-10-05,24.5,24.5,24.5,24.5,0,3.01
1992-10-06,24.5,24.88,24.5,24.88,43200,3.06
1992-10-07,24.88,24.88,24.88,24.88,0,3.06
1992-10-08,24.25,24.25,24.25,24.25,400,2.98
1992-10-09,24.25,24.25,24.25,24.25,0,2.98
1992-10-12,24.25,24.25,24.25,24.25,0,2.98
1992-10-13,24.25,24.25,24.25,24.25,0,2.98
1992-10-14,24.25,24.25,24.25,24.25,0,2.98
1992-10-15,24.25,24.25,24.25,24.25,0,2.98
1992-10-16,24.0,24.0,24.0,24.0,800,2.95
