Date,Open,High,Low,Close,Volume,Adj Close
1990-03-28,16.25,16.25,16.25,16.25,800,4.29
1990-03-29,16.25,16.5,16.25,16.37,49400,4.32
1990-03-30,16.37,16.37,16.37,16.37,0,4.32
1990-04-02,16.25,16.25,16.25,16.25,1400,4.29
1990-04-03,16.25,17.0,16.25,17.0,3200,4.49
1990-04-04,17.0,17.0,17.0,17.0,200,4.49
1990-04-05,17.0,17.0,17.0,17.0,0,4.49
1990-04-06,17.0,17.0,16.25,17.0,13800,4.49
1990-04-09,17.0,17.0,17.0,17.0,1400,4.49
1990-04-10,16.5,16.5,16.5,16.5,3000,4.35
1990-04-11,17.0,17.0,17.0,17.0,1200,4.49
1990-04-12,17.0,17.0,17.0,17.0,4400,4.49
1990-04-16,16.5,17.25,16.5,17.25,6600,4.55
1990-04-17,17.25,17.38,17.0,17.25,21800,4.55
1990-04-18,17.75,18.0,17.75,17.75,20400,4.68
1990-04-19,17.75,17.75,17.75,17.75,1200,4.68
1990-04-20,17.87,17.87,17.75,17.75,15200,4.68
1990-04-23,17.75,18.25,17.75,18.25,20000,4.82
1990-04-24,18.25,18.25,18.25,18.25,200,4.82
1990-04-25,18.25,18.25,17.75,17.75,1200,4.68
1990-04-26,17.75,17.75,17.75,17.75,0,4.68
1990-04-27,17.75,17.75,17.75,17.75,0,4.68
1990-04-30,17.75,17.75,17.75,17.75,1400,4.68
1990-05-01,17.75,17.75,17.75,17.75,1400,4.68
1990-05-02,17.75,17.75,17.75,17.75,0,4.68
1990-05-03,17.75,17.75,17.75,17.75,200,4.68
1990-05-04,17.75,17.75,17.75,17.75,0,4.68
1990-05-07,18.25,18.25,18.25,18.25,3000,4.82
1990-05-08,18.25,18.25,18.0,18.0,1400,4.75
1990-05-09,17.75,18.25,17.75,17.75,1800,4.68
1990-05-10,17.75,17.87,17.75,17.75,11600,4.68
1990-05-11,17.75,17.75,17.75,17.75,600,4.68
1990-05-14,17.75,18.25,17.75,18.25,9800,4.82
1990-05-15,17.75,17.75,17.75,17.75,200,4.68
1990-05-16,18.25,18.25,17.75,17.75,5000,4.68
1990-05-17,17.75,18.0,17.75,18.0,11000,4.75
1990-05-18,18.0,18.0,18.0,18.0,200,4.75
1990-05-21,17.25,17.38,17.25,17.38,2600,4.59
1990-05-22,17.25,17.5,17.25,17.5,11400,4.62
1990-05-23,17.25,17.38,17.25,17.38,3800,4.59
1990-05-24,17.25,17.5,17.25,17.25,3800,4.55
1990-05-25,18.0,18.0,17.25,17.25,3200,4.55
1990-05-29,17.25,17.25,17.25,17.25,800,4.55
1990-05-30,17.25,17.25,17.25,17.25,0,4.55
1990-05-31,18.0,18.0,18.0,18.0,19400,4.75
1990-06-01,18.25,18.25,18.0,18.0,5600,4.75
1990-06-04,17.75,18.5,17.75,18.5,8400,4.88
1990-06-05,18.5,18.5,18.5,18.5,0,4.88
1990-06-06,18.5,18.5,17.75,17.75,2400,4.68
1990-06-07,17.75,17.75,17.75,17.75,0,4.68
1990-06-08,17.75,17.75,17.75,17.75,1200,4.68
1990-06-11,17.75,17.75,17.75,17.75,2600,4.68
1990-06-12,17.75,18.25,17.75,17.87,60200,4.72
1990-06-13,18.25,18.25,18.25,18.25,3600,4.82
1990-06-14,18.25,18.25,17.75,17.75,800,4.68
1990-06-15,17.75,18.0,17.75,17.75,18000,4.68
1990-06-18,18.0,18.0,18.0,18.0,1400,4.75
1990-06-19,18.5,18.5,18.5,18.5,1400,4.88
1990-06-20,17.75,17.75,17.75,17.75,1400,4.68
1990-06-21,17.75,17.75,17.75,17.75,1200,4.68
1990-06-22,17.75,18.13,17.75,18.0,30200,4.75
1990-06-25,17.75,17.75,17.75,17.75,600,4.71
1990-06-26,17.75,18.5,17.75,18.5,4200,4.91
1990-06-27,17.75,18.0,17.75,18.0,2000,4.78
1990-06-28,17.75,17.75,17.75,17.75,600,4.71
1990-06-29,17.75,18.5,17.75,18.5,3600,4.91
1990-07-02,17.75,18.5,17.75,18.5,3600,4.91
1990-07-03,17.75,17.75,17.75,17.75,200,4.71
1990-07-05,17.75,17.75,17.75,17.75,3000,4.71
1990-07-06,18.5,18.5,18.5,18.5,200,4.91
1990-07-09,17.75,17.87,17.75,17.75,202200,4.71
1990-07-10,17.75,17.75,17.75,17.75,600,4.71
1990-07-11,17.75,17.75,17.75,17.75,200,4.71
1990-07-12,17.75,17.75,17.75,17.75,600,4.71
1990-07-13,18.25,18.25,17.75,17.75,800,4.71
