Date,Open,High,Low,Close,Volume,Adj Close
1999-06-25,14.78,15.31,12.88,13.69,3081000,18.62
1999-06-28,14.25,15.5,13.0,13.25,687400,18.02
1999-06-29,13.12,15.75,13.0,14.5,494800,19.72
1999-06-30,15.12,19.06,14.5,17.5,970300,23.8
1999-07-01,19.0,24.5,17.75,22.25,779800,30.27
1999-07-02,23.12,35.25,23.12,33.5,1775400,45.57
1999-07-06,37.25,45.81,36.0,36.31,1897400,49.39
1999-07-07,34.12,34.88,31.0,32.06,739300,43.61
1999-07-08,32.25,32.62,27.38,27.5,539500,37.41
1999-07-09,30.75,34.56,30.12,32.44,796500,44.12
1999-07-12,34.62,36.0,31.06,31.62,293100,43.02
1999-07-13,29.5,31.0,28.12,30.44,217800,41.4
1999-07-14,31.12,34.75,28.25,32.75,437100,44.55
1999-07-15,35.94,46.0,35.5,45.38,2471200,61.72
1999-07-16,44.25,44.62,40.0,40.62,805800,55.26
1999-07-19,46.0,51.25,43.5,46.19,1496700,62.83
1999-07-20,46.25,50.38,42.5,48.0,1029100,65.29
1999-07-21,49.5,52.5,45.62,45.81,627700,62.32
1999-07-22,44.5,46.0,40.0,44.75,522400,60.87
1999-07-23,46.12,47.38,42.0,44.12,253700,60.02
1999-07-26,42.5,42.5,37.5,37.75,244700,51.35
1999-07-27,41.38,41.38,37.5,39.5,246900,53.73
1999-07-28,39.75,40.44,33.62,34.31,379800,46.67
1999-07-29,32.62,36.0,30.38,31.5,494500,42.85
1999-07-30,33.38,34.06,31.62,33.75,284100,45.91
1999-08-02,34.5,34.75,32.0,33.25,231500,45.23
1999-08-03,33.88,33.88,30.0,32.12,193200,43.7
1999-08-04,32.12,32.5,26.0,28.66,347200,38.98
1999-08-05,27.38,27.75,23.5,27.56,455000,37.49
1999-08-06,26.75,36.75,26.38,36.0,1142500,48.97
1999-08-09,40.5,43.25,30.5,31.69,3205500,43.1
1999-08-10,32.75,33.25,28.25,33.12,1181200,45.06
1999-08-11,34.0,34.75,30.5,31.12,450300,42.34
1999-08-12,31.12,32.5,30.31,31.38,382900,42.68
1999-08-13,32.25,35.69,32.12,34.0,546300,46.25
1999-08-16,32.88,34.25,31.75,31.75,176600,43.19
1999-08-17,33.19,34.0,31.75,32.12,188800,43.7
