Date,Open,High,Low,Close,Volume,Adj Close
1987-12-30,14.62,14.88,14.25,14.25,6400,3.6
1987-12-31,14.25,14.5,14.0,14.12,12000,3.57
1988-01-04,14.12,14.5,14.12,14.5,4400,3.66
1988-01-05,14.75,15.0,14.5,14.5,7800,3.66
1988-01-06,14.75,14.75,14.5,14.62,17400,3.7
1988-01-07,14.62,14.75,14.62,14.75,1000,3.73
1988-01-08,15.0,15.0,14.5,14.5,18600,3.66
1988-01-11,14.5,14.5,14.25,14.38,22400,3.63
1988-01-12,14.5,14.5,14.5,14.5,19600,3.66
1988-01-13,14.5,14.5,14.5,14.5,5000,3.66
1988-01-14,14.5,14.5,14.5,14.5,600,3.66
1988-01-15,14.75,14.75,14.62,14.62,3600,3.7
1988-01-18,14.75,15.0,14.75,15.0,1400,3.79
1988-01-19,14.62,15.12,14.62,15.12,34800,3.82
1988-01-20,15.12,15.12,15.0,15.0,317800,3.79
1988-01-21,14.88,15.0,14.75,15.0,27000,3.79
1988-01-22,14.75,15.5,14.75,15.38,18400,3.88
1988-01-25,15.12,15.25,15.12,15.12,10600,3.82
1988-01-26,15.12,15.25,15.0,15.25,39800,3.85
1988-01-27,15.38,15.38,14.5,14.75,27200,3.73
1988-01-28,15.0,15.75,15.0,15.75,24200,3.98
1988-01-29,15.62,16.25,15.62,16.25,8800,4.11
1988-02-01,16.0,16.12,15.88,16.0,3800,4.04
1988-02-02,16.0,16.0,15.75,16.0,9600,4.04
1988-02-03,16.0,16.0,15.88,15.88,17400,4.01
1988-02-04,15.62,15.75,15.62,15.75,52600,4.01
1988-02-05,15.62,15.62,15.62,15.62,2000,3.98
1988-02-08,15.62,15.62,15.62,15.62,3800,3.98
1988-02-09,15.88,15.88,15.62,15.62,7200,3.98
1988-02-10,15.5,16.0,15.5,16.0,6200,4.08
1988-02-11,15.75,16.0,15.75,15.75,11200,4.01
1988-02-12,15.75,16.0,15.75,15.88,2000,4.05
1988-02-16,15.75,15.88,15.62,15.88,6000,4.05
1988-02-17,16.0,16.0,15.62,15.62,341000,3.98
1988-02-18,15.5,15.88,15.5,15.88,4400,4.05
1988-02-19,15.75,15.88,15.62,15.88,4800,4.05
1988-02-22,15.88,16.0,15.75,16.0,5000,4.08
1988-02-23,15.75,16.25,15.75,16.25,13800,4.14
1988-02-24,16.25,16.75,16.25,16.75,19400,4.27
1988-02-25,16.62,16.88,16.5,16.5,4600,4.21
1988-02-26,16.38,16.38,16.25,16.25,8000,4.14
1988-02-29,16.12,16.5,16.12,16.5,5000,4.21
1988-03-01,16.38,16.38,16.12,16.38,3800,4.17
1988-03-02,16.12,16.38,15.75,15.75,24400,4.01
1988-03-03,15.75,15.88,15.75,15.75,9800,4.01
1988-03-04,16.0,16.38,16.0,16.12,33600,4.11
1988-03-07,16.0,16.25,16.0,16.25,4000,4.14
1988-03-08,16.12,16.38,16.0,16.25,48600,4.14
1988-03-09,16.12,16.25,16.12,16.25,27000,4.14
1988-03-10,16.25,16.25,16.12,16.12,13200,4.11
1988-03-11,16.38,16.38,16.0,16.25,118200,4.14
1988-03-14,16.38,16.38,16.12,16.12,8800,4.11
1988-03-15,16.25,16.25,15.88,15.88,26200,4.05
1988-03-16,16.12,16.25,16.0,16.25,4600,4.14
1988-03-17,16.12,16.62,16.12,16.62,14200,4.24
1988-03-18,16.75,17.88,16.75,17.62,47400,4.49
1988-03-21,17.12,17.5,17.12,17.5,20000,4.46
1988-03-22,17.75,17.88,17.62,17.62,13800,4.49
1988-03-23,17.5,17.75,17.25,17.75,23800,4.52
1988-03-24,17.5,17.5,16.5,17.0,19200,4.33
1988-03-25,17.25,17.25,16.5,16.5,5200,4.21
1988-03-28,16.75,16.75,16.0,16.0,10200,4.08
1988-03-29,16.12,16.12,15.88,16.0,7200,4.08
1988-03-30,16.25,16.25,16.12,16.25,5400,4.14
1988-03-31,16.0,16.75,16.0,16.75,14400,4.27
1988-04-04,16.5,16.75,16.5,16.75,7800,4.27
1988-04-05,16.88,17.5,16.75,17.5,170200,4.46
1988-04-06,17.62,17.88,17.38,17.38,27600,4.43
1988-04-07,17.12,17.62,17.12,17.5,42000,4.46
1988-04-08,17.25,17.62,17.25,17.5,37000,4.46
1988-04-11,17.25,17.75,17.25,17.62,8000,4.49
1988-04-12,17.38,17.38,16.75,16.88,10800,4.3
1988-04-13,16.62,17.0,16.62,17.0,5400,4.33
1988-04-14,16.75,16.75,16.38,16.38,2200,4.17
1988-04-15,16.38,16.5,15.75,15.88,26200,4.05
1988-04-18,15.88,16.0,15.88,15.88,4600,4.05
1988-04-19,16.0,16.25,16.0,16.12,13600,4.11
1988-04-20,16.25,16.38,16.12,16.12,5200,4.11
1988-04-21,16.12,16.25,16.0,16.25,27400,4.14
1988-04-22,16.25,16.25,16.25,16.25,28200,4.14
1988-04-25,16.25,17.0,16.25,16.75,10000,4.27
1988-04-26,17.0,18.25,17.0,18.25,66800,4.65
1988-04-27,18.5,19.25,18.25,18.62,53800,4.75
1988-04-28,18.88,18.88,18.75,18.75,6600,4.78
1988-04-29,18.62,19.38,18.5,19.38,40000,4.94
1988-05-02,19.12,19.12,18.88,19.12,9000,4.88
1988-05-03,18.88,19.12,18.88,19.12,6000,4.88
1988-05-04,18.88,19.0,18.62,19.0,3400,4.84
1988-05-05,18.75,19.62,18.75,19.5,50200,5.01
1988-05-06,19.5,19.62,19.38,19.5,24000,5.01
1988-05-09,19.38,19.88,19.38,19.88,49200,5.1
1988-05-10,19.75,19.75,19.25,19.5,96200,5.01
1988-05-11,19.75,19.75,19.25,19.38,37600,4.98
1988-05-12,19.38,19.38,19.25,19.25,22000,4.94
1988-05-13,19.25,19.38,19.25,19.25,43000,4.94
1988-05-16,19.12,19.12,18.75,18.75,72400,4.81
1988-05-17,18.88,19.12,18.75,19.0,63200,4.88
1988-05-18,19.25,19.75,19.12,19.12,12800,4.91
1988-05-19,18.88,19.12,18.88,18.88,30000,4.85
1988-05-20,18.75,19.0,18.75,19.0,24600,4.88
1988-05-23,19.0,19.0,18.75,18.75,15600,4.81
1988-05-24,18.88,19.25,18.88,19.25,18800,4.94
1988-05-25,19.0,19.25,19.0,19.12,8400,4.91
1988-05-26,19.12,19.12,19.0,19.12,7000,4.91
1988-05-27,19.12,19.62,19.12,19.62,65000,5.04
1988-05-31,19.62,20.25,19.62,20.12,28400,5.17
1988-06-01,19.88,20.25,19.75,20.25,63200,5.2
1988-06-02,20.25,20.38,20.0,20.25,5800,5.2
