Date,Open,High,Low,Close,Volume,Adj Close
2006-06-08,1.83,1.83,1.73,1.83,5400,1.83
2006-06-09,1.8,1.91,1.8,1.8,5500,1.8
2006-06-12,1.86,1.86,1.81,1.86,4800,1.86
2006-06-13,1.53,1.59,1.53,1.53,5800,1.53
2006-06-14,1.55,1.55,1.55,1.55,400,1.55
2006-06-15,2.0,2.0,1.9,2.0,3000,2.0
2006-06-16,2.0,2.0,2.0,2.0,0,2.0
2006-06-19,2.0,2.0,2.0,2.0,0,2.0
2006-06-20,1.77,1.77,1.7,1.77,1500,1.77
2006-06-21,1.79,1.79,1.78,1.79,1100,1.79
2006-06-22,1.74,1.74,1.73,1.74,4000,1.74
2006-06-23,1.74,1.74,1.74,1.74,0,1.74
2006-06-26,1.81,1.81,1.81,1.81,1000,1.81
2006-06-27,1.81,1.81,1.81,1.81,0,1.81
2006-06-28,1.81,1.81,1.81,1.81,0,1.81
2006-06-29,1.75,1.75,1.75,1.75,2000,1.75
2006-06-30,1.75,1.75,1.75,1.75,0,1.75
2006-07-03,1.75,1.75,1.75,1.75,0,1.75
2006-07-05,1.92,1.92,1.92,1.92,13000,1.92
2006-07-06,1.92,1.92,1.92,1.92,7000,1.92
2006-07-07,1.93,1.95,1.93,1.93,7500,1.93
2006-07-10,2.08,2.08,2.08,2.08,3000,2.08
2006-07-11,2.08,2.08,2.08,2.08,0,2.08
2006-07-12,2.11,2.11,2.08,2.11,2500,2.11
2006-07-13,2.31,2.31,2.26,2.31,1500,2.31
2006-07-14,2.31,2.31,2.31,2.31,0,2.31
2006-07-17,2.01,2.01,1.92,2.01,2300,2.01
2006-07-18,2.01,2.01,2.01,2.01,0,2.01
2006-07-19,1.98,2.0,1.95,1.98,22500,1.98
2006-07-20,1.98,1.98,1.98,1.98,0,1.98
2006-07-21,1.97,1.97,1.97,1.97,2000,1.97
2006-07-24,1.9,1.9,1.9,1.9,600,1.9
2006-07-25,1.9,1.9,1.9,1.9,0,1.9
2006-07-26,1.9,1.9,1.9,1.9,0,1.9
2006-07-27,1.9,1.9,1.9,1.9,0,1.9
2006-07-28,2.12,2.12,2.09,2.12,1800,2.12
2006-07-31,2.18,2.18,2.14,2.18,2500,2.18
2006-08-01,2.18,2.18,2.18,2.18,0,2.18
2006-08-02,2.21,2.21,2.21,2.21,1000,2.21
2006-08-03,2.21,2.21,2.21,2.21,0,2.21
2006-08-04,2.2,2.2,2.2,2.2,1000,2.2
2006-08-07,2.2,2.2,2.2,2.2,0,2.2
2006-08-08,2.2,2.2,2.2,2.2,0,2.2
2006-08-09,2.12,2.12,2.12,2.12,1000,2.12
2006-08-10,2.27,2.27,2.19,2.27,12200,2.27
2006-08-11,2.43,2.43,2.43,2.43,26000,2.43
2006-08-14,2.73,2.78,2.64,2.73,38900,2.73
2006-08-15,2.65,2.82,2.65,2.65,13100,2.65
2006-08-16,2.61,2.7,2.61,2.61,5300,2.61
2006-08-17,2.6,2.6,2.59,2.6,2000,2.6
2006-08-18,2.6,2.6,2.6,2.6,0,2.6
2006-08-21,2.6,2.6,2.6,2.6,0,2.6
2006-08-22,2.6,2.6,2.6,2.6,0,2.6
2006-08-23,3.06,3.06,2.96,3.06,1400,3.06
2006-08-24,3.06,3.06,3.06,3.06,0,3.06
2006-08-25,3.22,3.22,3.22,3.22,2000,3.22
2006-08-28,3.11,3.11,3.11,3.11,1200,3.11
2006-08-29,2.88,2.96,2.85,2.88,5300,2.88
2006-08-30,2.86,2.87,2.82,2.86,7000,2.86
2006-08-31,3.15,3.32,3.08,3.15,10600,3.15
2006-09-01,3.51,3.51,3.44,3.51,2500,3.51
2006-09-05,6.14,6.14,4.48,6.14,17200,6.14
2006-09-06,5.66,6.32,5.4,5.66,33200,5.66
2006-09-07,5.19,5.29,5.04,5.19,11800,5.19
2006-09-08,5.1,5.15,5.02,5.1,10700,5.1
2006-09-11,5.16,5.2,5.16,5.16,2300,5.16
2006-09-12,4.63,4.95,4.5,4.63,38600,4.63
2006-09-13,5.15,5.15,4.75,5.15,32100,5.15
2006-09-14,5.26,5.35,5.26,5.26,5200,5.26
2006-09-15,5.72,5.72,5.25,5.72,2000,5.72
2006-09-18,5.55,5.72,5.55,5.55,10300,5.55
2006-09-19,5.5,5.59,5.5,5.5,3100,5.5
2006-09-20,5.55,5.56,5.55,5.55,1400,5.55
2006-09-21,5.6,5.72,5.6,5.6,12100,5.6
2006-09-22,5.6,5.6,5.6,5.6,0,5.6
2006-09-25,5.49,5.49,5.49,5.49,1000,5.49
2006-09-26,5.41,5.42,5.41,5.41,1100,5.41
2006-09-27,5.43,5.46,5.42,5.43,2900,5.43
2006-09-28,5.43,5.43,5.43,5.43,0,5.43
2006-09-29,5.34,5.34,5.34,5.34,200,5.34
2006-10-02,5.34,5.34,5.34,5.34,0,5.34
2006-10-03,5.09,5.09,5.09,5.09,1000,5.09
2006-10-04,4.83,5.0,4.83,4.83,10300,4.83
2006-10-05,5.04,5.04,5.03,5.04,2000,5.04
2006-10-06,5.04,5.04,5.04,5.04,0,5.04
2006-10-09,5.04,5.04,5.04,5.04,0,5.04
2006-10-10,5.04,5.04,5.04,5.04,0,5.04
2006-10-11,5.23,5.29,5.21,5.23,1500,5.23
2006-10-12,5.21,5.21,5.19,5.21,3000,5.21
2006-10-13,5.07,5.19,5.07,5.07,2100,5.07
2006-10-16,5.17,5.17,5.16,5.17,10000,5.17
2006-10-17,5.67,5.67,5.6,5.67,16000,5.67
2006-10-18,6.03,6.14,6.03,6.03,6100,6.03
2006-10-19,5.98,5.99,5.9,5.98,2800,5.98
2006-10-20,5.64,5.88,5.64,5.64,1600,5.64
2006-10-23,5.47,5.47,5.47,5.47,1000,5.47
2006-10-24,5.53,5.53,5.53,5.53,1000,5.53
2006-10-25,5.69,5.69,5.6,5.69,33500,5.69
2006-10-26,5.9,5.97,5.89,5.9,4600,5.9
2006-10-27,6.09,6.1,6.05,6.09,13500,6.09
2006-10-30,6.62,6.63,6.18,6.62,17600,6.62
2006-10-31,6.45,6.59,6.39,6.45,34500,6.45
2006-11-01,6.08,6.15,6.08,6.08,5500,6.08
2006-11-02,5.92,6.08,5.92,5.92,4200,5.92
2006-11-03,6.31,6.31,6.02,6.31,6400,6.31
2006-11-06,6.44,6.57,6.38,6.44,55400,6.44
2006-11-07,6.88,6.88,6.48,6.88,45200,6.88
2006-11-08,7.14,7.33,6.82,7.14,44300,7.14
2006-11-09,7.0,7.09,6.94,7.0,18300,7.0
2006-11-10,6.78,6.99,6.78,6.78,26600,6.78
2006-11-13,6.62,6.76,6.5,6.62,22400,6.62
2006-11-14,6.44,6.64,6.44,6.44,20400,6.44
2006-11-15,6.38,6.53,6.35,6.38,5900,6.38
2006-11-16,6.34,6.44,6.34,6.34,10800,6.34
2006-11-17,5.95,6.13,5.93,5.95,61000,5.95
2006-11-20,6.41,6.41,5.97,6.41,6100,6.41
2006-11-21,6.66,6.73,6.6,6.66,8800,6.66
2006-11-22,7.1,7.1,6.69,7.1,36700,7.1
2006-11-24,7.1,7.1,7.1,7.1,0,7.1
2006-11-27,7.09,7.41,7.0,7.09,17000,7.09
2006-11-28,7.25,7.25,6.95,7.25,32200,7.25
2006-11-29,7.49,7.63,7.36,7.49,25300,7.49
2006-11-30,7.45,7.59,7.45,7.45,3800,7.45
2006-12-01,7.42,7.45,7.34,7.42,6600,7.42
2006-12-04,7.37,7.37,7.27,7.37,11700,7.37
2006-12-05,7.56,7.56,7.46,7.56,55900,7.56
2006-12-06,7.49,7.72,7.49,7.49,14000,7.49
2006-12-07,8.0,8.0,7.84,8.0,73500,8.0
2006-12-08,7.9,8.07,7.9,7.9,6100,7.9
2006-12-11,8.55,8.56,8.26,8.55,2000,8.55
2006-12-12,8.18,8.46,8.12,8.18,4800,8.18
2006-12-13,8.1,8.22,7.99,8.1,22300,8.1
2006-12-14,8.37,8.37,8.14,8.37,4200,8.37
2006-12-15,8.32,8.43,8.29,8.32,2200,8.32
2006-12-18,8.29,8.34,8.25,8.29,4800,8.29
2006-12-19,8.33,8.33,7.97,8.33,6500,8.33
2006-12-20,7.92,8.22,7.92,7.92,33100,7.92
2006-12-21,7.63,7.8,7.5,7.63,7100,7.63
2006-12-22,7.78,7.82,7.76,7.78,3600,7.78
2006-12-26,7.78,7.78,7.78,7.78,0,7.78
2006-12-27,7.61,7.75,7.61,7.61,26800,7.61
2006-12-28,8.18,8.18,7.61,8.18,14100,8.18
2006-12-29,8.55,8.55,8.36,8.55,17000,8.55
2007-01-03,8.33,8.78,8.23,8.33,67500,8.33
2007-01-04,7.93,8.15,7.75,7.93,49100,7.93
2007-01-05,8.12,8.49,7.77,8.12,33700,8.12
2007-01-08,7.94,8.11,7.9,7.94,22600,7.94
2007-01-09,7.7,7.7,7.6,7.7,5000,7.7
2007-01-10,7.33,7.38,7.19,7.33,27800,7.33
2007-01-11,7.39,7.52,7.25,7.39,29400,7.39
2007-01-12,7.02,7.51,7.02,7.02,40300,7.02
2007-01-16,6.97,7.1,6.91,6.97,15200,6.97
2007-01-17,7.35,7.39,7.09,7.35,42200,7.35
2007-01-18,7.42,7.67,7.35,7.42,34800,7.42
2007-01-19,7.47,7.5,7.35,7.47,7900,7.47
2007-01-22,6.96,7.37,6.86,6.96,11900,6.96
2007-01-23,7.1,7.17,6.98,7.1,39200,7.1
2007-01-24,7.21,7.23,7.21,7.21,19900,7.21
2007-01-25,7.03,7.2,6.96,7.03,12200,7.03
2007-01-26,7.04,7.08,6.98,7.04,17300,7.04
2007-01-29,6.88,6.95,6.85,6.88,10200,6.88
2007-01-30,6.85,6.94,6.62,6.85,47700,6.85
2007-01-31,6.71,6.86,6.71,6.71,23800,6.71
2007-02-01,6.5,6.7,6.5,6.5,15100,6.5
2007-02-02,6.78,6.82,6.51,6.78,15300,6.78
2007-02-05,6.78,6.78,6.78,6.78,0,6.78
2007-02-06,6.62,6.62,6.47,6.62,4500,6.62
2007-02-07,6.39,6.54,6.38,6.39,6200,6.39
2007-02-08,6.51,6.51,6.39,6.51,23800,6.51
2007-02-09,6.46,6.5,6.36,6.46,63500,6.46
2007-02-12,6.12,6.31,6.08,6.12,32600,6.12
2007-02-13,6.76,6.87,6.35,6.76,43000,6.76
2007-02-14,6.72,6.74,6.62,6.72,10700,6.72
2007-02-15,6.94,6.94,6.6,6.94,10200,6.94
2007-02-16,6.99,7.04,6.98,6.99,12400,6.99
2007-02-20,7.31,7.48,7.26,7.31,41600,7.31
2007-02-21,7.52,7.52,7.3,7.52,22500,7.52
2007-02-22,7.7,7.79,7.58,7.7,8200,7.7
2007-02-23,7.91,7.95,7.91,7.91,2900,7.91
2007-02-26,7.98,8.0,7.94,7.98,8900,7.98
2007-02-27,7.44,7.73,7.44,7.44,12100,7.44
2007-02-28,7.55,7.59,7.12,7.55,28600,7.55
2007-03-01,7.35,7.35,7.04,7.35,13700,7.35
2007-03-02,7.37,7.41,7.13,7.37,9600,7.37
2007-03-05,7.14,7.25,6.86,7.14,15000,7.14
2007-03-06,7.66,7.66,7.38,7.66,9800,7.66
2007-03-07,8.01,8.12,8.0,8.01,13700,8.01
2007-03-08,7.8,8.1,7.8,7.8,11900,7.8
2007-03-09,7.79,7.81,7.74,7.79,15500,7.79
2007-03-12,8.5,8.5,7.97,8.5,10300,8.5
2007-03-13,8.04,8.37,7.96,8.04,24600,8.04
