Date,Open,High,Low,Close,Volume,Adj Close
2007-02-22,15.25,15.32,15.2,15.24,17800,7.28
2007-02-23,15.3,15.4,14.7,14.9,48500,7.12
2007-02-26,14.98,14.98,14.57,14.57,23800,6.96
2007-02-27,14.57,14.85,14.25,14.5,23200,6.92
2007-02-28,14.5,14.9,14.25,14.75,12300,7.04
2007-03-01,14.63,14.63,14.32,14.32,6600,6.84
2007-03-02,14.74,14.74,14.42,14.43,3400,6.89
2007-03-05,14.75,14.75,14.47,14.47,10700,6.91
2007-03-06,14.8,14.8,14.29,14.31,3400,6.83
2007-03-07,14.35,14.4,14.3,14.3,7400,6.83
2007-03-08,14.4,14.5,14.08,14.08,12200,6.72
2007-03-09,14.49,14.5,14.08,14.08,4100,6.72
2007-03-12,14.1,14.7,13.98,14.7,16700,7.02
2007-03-13,14.69,14.69,14.05,14.05,13500,6.71
2007-03-14,14.08,14.47,14.05,14.34,8200,6.85
2007-03-15,14.19,14.2,13.75,14.13,15300,6.75
2007-03-16,14.14,14.15,13.83,13.95,4000,6.66
2007-03-19,14.24,14.25,14.0,14.15,2600,6.76
2007-03-20,14.1,14.2,14.04,14.07,4800,6.72
2007-03-21,14.02,14.05,13.87,14.05,7400,6.71
2007-03-22,13.98,14.05,13.87,13.87,8800,6.62
2007-03-23,13.91,14.0,13.8,14.0,19000,6.69
2007-03-26,14.0,14.0,13.75,13.78,4900,6.58
2007-03-27,13.76,14.0,13.45,13.45,17400,6.42
2007-03-28,13.6,14.0,13.6,13.9,15500,6.64
2007-03-29,13.98,13.98,13.57,13.6,23100,6.49
2007-03-30,13.9,13.99,13.65,13.65,3400,6.52
2007-04-02,13.98,14.25,13.58,14.02,8500,6.7
2007-04-03,13.78,14.24,13.78,14.1,17600,6.73
2007-04-04,14.21,14.35,14.17,14.19,5800,6.78
2007-04-05,14.28,14.5,14.03,14.03,6800,6.7
2007-04-09,14.26,14.4,14.22,14.22,700,6.79
2007-04-10,14.44,14.52,14.25,14.52,17500,6.93
2007-04-11,14.63,15.0,13.88,14.75,11800,7.04
2007-04-12,14.7,14.7,13.88,14.29,10800,6.82
2007-04-13,14.16,14.5,14.16,14.37,3600,6.86
2007-04-16,14.26,14.73,13.89,14.5,5200,6.92
2007-04-17,14.5,14.92,14.5,14.9,13200,7.12
2007-04-18,14.53,14.92,14.27,14.59,15500,6.97
2007-04-19,14.91,14.92,14.29,14.51,3900,6.93
2007-04-20,14.81,14.91,14.78,14.78,3600,7.06
2007-04-23,14.74,14.74,14.59,14.68,2500,7.01
2007-04-24,14.69,14.77,14.46,14.66,5100,7.0
2007-04-25,14.8,14.91,14.21,14.5,7400,6.92
2007-04-26,14.54,14.55,14.4,14.4,2700,6.88
2007-04-27,14.22,14.25,13.71,14.01,32800,6.69
2007-04-30,14.01,14.48,14.01,14.11,4400,6.74
2007-05-01,14.08,14.49,13.77,14.19,5200,6.78
2007-05-02,14.44,14.5,13.75,14.45,8200,6.9
2007-05-03,14.5,14.5,14.0,14.38,11500,6.87
2007-05-04,14.45,14.6,14.35,14.35,13400,6.85
2007-05-07,14.49,14.6,14.31,14.6,6700,6.97
2007-05-08,14.4,14.75,14.4,14.55,27500,6.95
2007-05-09,14.75,14.79,14.7,14.7,9800,7.02
2007-05-10,14.75,14.8,14.71,14.71,11700,7.02
2007-05-11,14.89,15.0,14.77,14.85,34400,7.09
2007-05-14,15.5,15.5,14.95,14.95,17300,7.14
2007-05-15,15.0,15.0,14.78,14.9,16800,7.12
2007-05-16,14.9,15.0,14.77,15.0,21000,7.16
2007-05-17,15.0,15.75,14.9,14.9,4700,7.12
2007-05-18,15.0,15.0,14.75,14.75,4000,7.04
2007-05-21,14.75,14.75,14.58,14.6,21000,6.97
2007-05-22,14.6,14.64,14.41,14.41,13100,6.88
2007-05-23,14.49,14.67,14.43,14.48,12200,6.92
2007-05-24,14.7,14.84,14.5,14.52,59600,6.93
2007-05-25,14.84,14.99,14.5,14.6,9800,6.97
2007-05-29,14.89,14.9,14.71,14.71,5800,7.1
2007-05-30,14.8,14.88,14.67,14.67,3200,7.08
2007-05-31,14.61,14.85,14.6,14.7,4900,7.09
2007-06-01,14.55,14.9,14.51,14.55,22300,7.02
2007-06-04,14.93,14.95,14.05,14.65,42400,7.07
2007-06-05,14.85,14.9,14.75,14.75,3900,7.12
2007-06-06,14.99,15.0,14.51,14.68,28600,7.08
2007-06-07,14.74,14.8,14.6,14.77,7900,7.13
2007-06-08,14.69,14.78,14.59,14.59,8100,7.04
2007-06-11,14.69,14.71,14.43,14.43,11500,6.96
2007-06-12,15.79,15.79,14.11,14.6,18000,7.04
2007-06-13,14.6,14.61,14.51,14.61,7700,7.05
