Date,Open,High,Low,Close,Volume,Adj Close
2008-04-01,50.57,51.93,50.57,51.93,86100,44.3
2008-04-02,51.18,52.06,50.7,50.96,91800,43.47
2008-04-03,50.6,54.4,50.3,50.78,74300,43.32
2008-04-04,50.62,51.0,50.36,50.78,38400,43.32
2008-04-07,51.05,51.17,50.68,50.79,36800,43.33
2008-04-08,50.82,51.05,50.75,50.98,56200,43.49
2008-04-09,50.68,50.8,50.49,50.63,49800,43.19
2008-04-10,50.74,51.17,50.5,51.0,51400,43.5
2008-04-11,50.5,50.5,50.0,50.04,33400,42.69
2008-04-14,50.2,50.23,49.95,50.2,39300,42.82
2008-04-15,50.4,50.4,50.05,50.18,40800,42.81
2008-04-16,51.85,52.55,51.85,52.55,149400,44.83
2008-04-17,52.54,52.63,52.41,52.58,39800,44.85
2008-04-18,52.78,53.0,52.65,52.75,52800,45.0
2008-04-21,52.07,52.21,51.89,52.15,22000,44.49
2008-04-22,52.56,52.56,52.13,52.34,21500,44.65
2008-04-23,51.74,51.92,51.61,51.86,24700,44.24
2008-04-24,51.79,52.37,51.49,52.11,34900,44.45
2008-04-25,51.18,51.44,50.97,51.4,17100,43.85
2008-04-28,51.4,51.54,51.34,51.44,15500,43.88
2008-04-29,51.3,51.34,51.01,51.09,84700,43.58
2008-04-30,51.6,56.55,51.22,51.24,37800,43.71
2008-05-01,51.41,51.83,51.16,51.83,17300,44.21
2008-05-02,52.39,52.39,51.88,51.99,187300,44.35
2008-05-05,52.0,52.17,51.57,51.81,14900,44.2
2008-05-06,51.94,52.46,51.8,52.17,19800,44.5
2008-05-07,52.39,52.45,51.58,51.7,149300,44.1
2008-05-08,51.71,52.13,51.69,52.07,21800,44.42
2008-05-09,51.79,51.79,51.37,51.51,57300,43.94
2008-05-12,50.66,51.14,50.62,51.14,15000,43.62
2008-05-13,50.67,50.73,50.37,50.61,17800,43.17
2008-05-14,51.18,51.31,51.03,51.03,24400,43.53
2008-05-15,51.38,52.08,51.38,52.06,53600,44.41
2008-05-16,52.58,52.84,52.44,52.71,65200,44.96
2008-05-19,52.7,53.31,52.66,52.8,68500,45.04
2008-05-20,53.06,53.06,52.42,52.73,57300,44.98
2008-05-21,53.73,53.76,52.95,53.19,53800,45.37
2008-05-22,53.19,53.93,53.15,53.63,917100,45.75
2008-05-23,53.47,53.47,52.76,52.95,314400,45.17
2008-05-27,51.85,51.89,51.39,51.83,296100,44.21
2008-05-28,50.06,50.21,49.65,50.08,265200,42.72
2008-05-29,49.61,49.98,49.39,49.85,67900,42.52
2008-05-30,50.0,50.38,49.86,50.19,195400,42.81
2008-06-02,48.53,48.53,47.54,47.73,164300,40.72
2008-06-03,47.85,47.85,47.09,47.58,166400,40.59
2008-06-04,47.44,49.04,47.37,47.55,143200,40.56
2008-06-05,47.32,48.03,47.16,47.93,122300,40.89
2008-06-06,47.38,47.38,46.4,46.47,72800,39.64
2008-06-09,46.57,46.57,45.94,46.28,51900,39.48
2008-06-10,46.12,46.12,45.66,46.11,60400,39.33
2008-06-11,45.6,45.66,44.84,45.08,88200,38.45
2008-06-12,45.53,45.86,45.41,45.53,47400,38.84
2008-06-13,45.43,45.61,45.17,45.36,39700,38.69
2008-06-16,44.91,45.34,44.88,45.24,26500,38.59
2008-06-17,44.72,44.97,44.3,44.39,213300,37.87
2008-06-18,43.89,43.89,43.03,43.24,85100,36.89
