Date,Open,High,Low,Close,Volume,Adj Close
1990-03-28,18.5,19.5,18.5,19.5,400,2.79
1990-03-29,19.75,19.75,19.75,19.75,100,2.82
1990-03-30,19.75,19.75,19.75,19.75,0,2.82
1990-04-02,19.0,20.0,19.0,20.0,300,2.86
1990-04-03,20.0,20.0,20.0,20.0,0,2.86
1990-04-04,20.0,20.0,20.0,20.0,0,2.86
1990-04-05,20.0,20.0,19.25,19.25,900,2.75
1990-04-06,19.0,19.75,19.0,19.75,3900,2.82
1990-04-09,19.75,19.75,19.75,19.75,0,2.82
1990-04-10,19.75,19.75,19.75,19.75,0,2.82
1990-04-11,19.75,19.75,19.75,19.75,0,2.82
1990-04-12,19.75,19.75,19.75,19.75,0,2.82
1990-04-16,20.0,20.0,20.0,20.0,300,2.86
1990-04-17,19.0,19.0,19.0,19.0,2400,2.71
1990-04-18,19.5,19.5,19.25,19.5,1600,2.79
1990-04-19,19.5,19.5,19.5,19.5,0,2.79
1990-04-20,19.5,19.5,19.5,19.5,0,2.79
1990-04-23,18.5,19.5,18.5,19.5,600,2.79
1990-04-24,18.25,18.25,18.25,18.25,700,2.61
1990-04-25,18.25,18.25,18.25,18.25,0,2.61
1990-04-26,18.25,18.25,18.25,18.25,0,2.61
1990-04-27,18.25,18.25,18.25,18.25,1500,2.61
1990-04-30,19.5,19.5,19.5,19.5,100,2.79
1990-05-01,19.25,19.25,19.25,19.25,600,2.75
1990-05-02,19.25,19.25,19.25,19.25,0,2.75
1990-05-03,19.25,19.25,19.25,19.25,0,2.75
1990-05-04,19.25,19.25,19.25,19.25,0,2.75
1990-05-07,19.25,19.25,19.25,19.25,0,2.75
1990-05-08,19.25,19.25,19.25,19.25,0,2.75
1990-05-09,19.5,19.5,19.5,19.5,300,2.79
1990-05-10,18.5,19.25,18.5,18.5,2700,2.64
1990-05-11,18.5,18.5,18.5,18.5,0,2.64
1990-05-14,18.5,19.25,18.5,19.25,1800,2.75
1990-05-15,18.5,19.25,18.5,19.25,1800,2.75
1990-05-16,19.25,19.25,19.25,19.25,0,2.75
1990-05-17,19.25,19.25,19.25,19.25,0,2.75
1990-05-18,19.5,19.5,19.5,19.5,100,2.79
1990-05-21,18.5,18.5,18.5,18.5,600,2.64
1990-05-22,18.5,18.5,18.5,18.5,0,2.64
1990-05-23,18.5,18.5,18.5,18.5,0,2.64
1990-05-24,18.5,18.5,18.5,18.5,0,2.64
1990-05-25,18.5,18.5,18.5,18.5,0,2.64
1990-05-29,18.25,18.75,18.25,18.75,8800,2.68
1990-05-30,19.5,19.5,19.5,19.5,300,2.79
1990-05-31,19.5,19.5,19.5,19.5,0,2.79
1990-06-01,18.75,18.75,18.25,18.25,3000,2.61
1990-06-04,18.25,18.25,18.25,18.25,300,2.61
1990-06-05,18.25,18.25,18.25,18.25,0,2.61
1990-06-06,18.25,18.25,18.25,18.25,400,2.61
1990-06-07,18.25,18.25,18.25,18.25,0,2.61
1990-06-08,18.25,18.25,18.25,18.25,0,2.61
1990-06-11,18.25,18.25,18.25,18.25,0,2.61
1990-06-12,19.25,19.25,18.5,18.5,3400,2.64
1990-06-13,19.25,19.25,18.25,18.25,2800,2.61
1990-06-14,18.0,18.25,18.0,18.25,1800,2.61
1990-06-15,18.75,19.0,18.0,19.0,4600,2.71
1990-06-18,18.0,18.0,18.0,18.0,700,2.57
1990-06-19,18.0,18.0,18.0,18.0,900,2.57
1990-06-20,18.0,18.0,18.0,18.0,0,2.57
1990-06-21,18.0,18.0,18.0,18.0,0,2.57
1990-06-22,18.5,18.5,18.5,18.5,700,2.64
1990-06-25,18.5,18.5,18.5,18.5,0,2.64
1990-06-26,18.5,18.5,18.5,18.5,0,2.64
1990-06-27,17.25,17.25,17.25,17.25,3900,2.46
1990-06-28,18.0,18.0,18.0,18.0,100,2.57
1990-06-29,17.75,18.0,17.25,18.0,2400,2.57
1990-07-02,18.75,18.75,18.75,18.75,100,2.68
1990-07-03,17.25,17.88,17.25,17.88,600,2.55
1990-07-05,17.88,17.88,17.88,17.88,0,2.55
1990-07-06,17.25,17.25,17.25,17.25,700,2.46
1990-07-09,18.75,18.75,18.75,18.75,100,2.68
1990-07-10,17.38,18.0,17.38,18.0,600,2.57
1990-07-11,18.0,18.0,18.0,18.0,0,2.57
1990-07-12,17.25,17.25,17.25,17.25,1600,2.46
1990-07-13,17.0,17.0,17.0,17.0,8600,2.43
1990-07-16,16.5,17.25,16.5,16.5,2800,2.36
1990-07-17,16.5,16.5,16.5,16.5,300,2.36
1990-07-18,16.5,16.5,16.5,16.5,0,2.36
1990-07-19,16.5,17.0,16.5,17.0,1600,2.43
1990-07-20,16.5,17.5,16.5,17.5,600,2.5
1990-07-23,17.5,17.5,17.5,17.5,0,2.5
1990-07-24,16.5,16.5,16.5,16.5,6200,2.36
1990-07-25,17.25,17.25,17.25,17.25,100,2.46
1990-07-26,16.0,17.0,16.0,16.5,6200,2.36
1990-07-27,16.5,16.5,16.5,16.5,300,2.36
1990-07-30,17.0,17.0,17.0,17.0,1800,2.43
1990-07-31,17.0,17.0,16.5,16.5,1300,2.36
1990-08-01,17.0,17.0,17.0,17.0,900,2.43
1990-08-02,17.0,17.0,17.0,17.0,0,2.43
1990-08-03,17.0,17.0,17.0,17.0,0,2.43
1990-08-06,16.87,16.87,16.0,16.0,11800,2.29
1990-08-07,15.5,15.5,15.5,15.5,100,2.21
1990-08-08,15.5,15.5,15.5,15.5,0,2.21
1990-08-09,16.25,16.25,16.25,16.25,2800,2.32
1990-08-10,16.25,16.25,16.25,16.25,0,2.32
1990-08-13,16.25,16.25,16.25,16.25,0,2.32
1990-08-14,16.25,16.25,16.25,16.25,0,2.32
1990-08-15,16.25,16.25,16.25,16.25,0,2.32
1990-08-16,16.75,16.75,16.12,16.37,12300,2.34
1990-08-17,15.5,16.5,15.5,16.5,14700,2.36
1990-08-20,16.5,16.5,16.5,16.5,0,2.36
1990-08-21,16.5,16.5,16.5,16.5,0,2.36
1990-08-22,16.5,16.5,16.5,16.5,0,2.36
1990-08-23,16.5,16.5,16.5,16.5,0,2.36
1990-08-24,15.38,15.75,15.38,15.75,4600,2.25
1990-08-27,16.0,16.75,15.0,16.25,5600,2.34
1990-08-28,16.25,16.25,16.25,16.25,0,2.34
1990-08-29,16.0,16.0,15.0,16.0,3000,2.31
1990-08-30,15.5,15.5,15.5,15.5,100,2.23
1990-08-31,17.0,17.0,17.0,17.0,100,2.45
1990-09-04,17.0,17.0,17.0,17.0,0,2.45
1990-09-05,17.0,17.0,17.0,17.0,0,2.45
1990-09-06,15.0,15.0,15.0,15.0,600,2.16
1990-09-07,15.0,15.0,15.0,15.0,0,2.16
1990-09-10,15.0,16.5,15.0,16.5,300,2.38
1990-09-11,15.0,15.0,15.0,15.0,300,2.16
1990-09-12,15.0,15.0,15.0,15.0,0,2.16
1990-09-13,15.0,15.0,15.0,15.0,300,2.16
1990-09-14,15.0,15.0,15.0,15.0,22200,2.16
1990-09-17,15.75,15.75,15.75,15.75,5500,2.27
1990-09-18,16.5,16.5,16.5,16.5,100,2.38
1990-09-19,15.0,15.0,15.0,15.0,400,2.16
1990-09-20,15.0,15.0,15.0,15.0,0,2.16
1990-09-21,15.0,15.0,15.0,15.0,0,2.16
1990-09-24,16.5,16.5,15.0,16.5,4000,2.38
1990-09-25,15.25,16.5,15.25,16.5,2200,2.38
1990-09-26,15.25,15.5,15.25,15.5,1800,2.23
1990-09-27,15.13,16.12,15.13,15.13,300,2.18
1990-09-28,16.12,16.12,16.12,16.12,400,2.32
1990-10-01,16.25,16.25,16.25,16.25,300,2.34
1990-10-02,16.5,16.5,15.0,15.0,600,2.16
1990-10-03,16.5,16.5,16.5,16.5,100,2.38
1990-10-04,16.0,16.5,16.0,16.5,900,2.38
1990-10-05,16.5,16.5,16.5,16.5,0,2.38
1990-10-08,16.5,16.5,16.5,16.5,0,2.38
1990-10-09,15.0,15.0,15.0,15.0,1800,2.16
1990-10-10,15.0,15.0,15.0,15.0,100,2.16
1990-10-11,15.0,15.0,15.0,15.0,1900,2.16
1990-10-12,15.5,15.5,15.5,15.5,100,2.23
1990-10-15,15.5,15.5,15.5,15.5,100,2.23
1990-10-16,15.5,15.5,15.5,15.5,0,2.23
1990-10-17,15.5,15.5,15.5,15.5,0,2.23
1990-10-18,14.0,15.5,14.0,15.5,900,2.23
1990-10-19,14.75,14.75,14.75,14.75,1800,2.13
1990-10-22,14.75,15.0,14.0,15.0,1600,2.16
1990-10-23,14.75,15.0,14.25,15.0,4400,2.16
1990-10-24,15.0,15.0,15.0,15.0,0,2.16
1990-10-25,14.75,14.75,14.75,14.75,1800,2.13
1990-10-26,15.0,15.0,14.0,14.0,8600,2.02
1990-10-29,14.0,14.0,14.0,14.0,0,2.02
1990-10-30,14.0,14.0,14.0,14.0,100,2.02
1990-10-31,14.5,14.5,14.5,14.5,300,2.09
1990-11-01,14.75,14.75,14.75,14.75,1500,2.15
1990-11-02,14.75,14.75,14.75,14.75,0,2.15
1990-11-05,13.5,13.5,13.5,13.5,1900,1.97
1990-11-06,15.0,15.0,15.0,15.0,100,2.18
1990-11-07,15.0,15.0,15.0,15.0,0,2.18
1990-11-08,15.0,15.0,15.0,15.0,0,2.18
1990-11-09,14.75,14.75,14.75,14.75,1500,2.15
1990-11-12,14.75,14.75,14.75,14.75,0,2.15
1990-11-13,15.0,15.0,15.0,15.0,400,2.18
1990-11-14,15.0,15.25,15.0,15.25,1500,2.22
1990-11-15,16.25,16.25,14.25,16.25,1800,2.37
1990-11-16,16.25,16.25,16.25,16.25,0,2.37
1990-11-19,16.25,16.25,15.5,15.5,600,2.26
1990-11-20,14.75,14.75,14.75,14.75,1500,2.15
1990-11-21,16.25,16.5,16.0,16.0,3000,2.33
1990-11-23,16.0,16.0,16.0,16.0,0,2.33
1990-11-26,16.12,16.75,15.75,16.75,12100,2.46
1990-11-27,16.75,16.75,16.75,16.75,0,2.46
1990-11-28,16.75,16.75,16.75,16.75,0,2.46
1990-11-29,16.75,16.75,16.75,16.75,0,2.46
1990-11-30,16.75,16.75,15.5,15.5,1900,2.28
1990-12-03,15.5,16.5,15.5,16.0,7200,2.35
1990-12-04,16.75,16.75,16.75,16.75,100,2.46
1990-12-05,16.75,16.75,15.87,16.25,2200,2.39
1990-12-06,15.5,16.37,15.5,16.0,8000,2.35
1990-12-07,16.0,16.0,16.0,16.0,0,2.35
1990-12-10,16.0,16.0,16.0,16.0,0,2.35
1990-12-11,16.25,16.25,16.25,16.25,5500,2.39
1990-12-12,15.87,16.5,15.25,15.25,4400,2.24
1990-12-13,15.25,15.25,15.25,15.25,300,2.24
1990-12-14,14.5,14.5,14.5,14.5,1500,2.13
1990-12-17,15.0,15.0,14.0,14.75,20200,2.17
1990-12-18,14.75,14.75,14.75,14.75,0,2.17
1990-12-19,14.0,15.5,14.0,15.5,11200,2.28
1990-12-20,15.0,15.5,14.0,14.37,5000,2.11
1990-12-21,13.62,13.75,13.62,13.75,300,2.02
1990-12-24,13.75,13.75,13.75,13.75,0,2.02
1990-12-26,13.75,13.75,13.75,13.75,0,2.02
1990-12-27,13.5,15.0,13.5,15.0,900,2.2
1990-12-28,13.5,13.5,13.5,13.5,100,1.98
1990-12-31,14.0,15.5,14.0,15.5,2700,2.28
1991-01-02,15.5,15.5,13.5,14.75,9600,2.17
1991-01-03,14.75,14.75,14.75,14.75,0,2.17
1991-01-04,15.5,15.5,15.5,15.5,300,2.28
1991-01-07,14.37,14.37,14.37,14.37,100,2.11
1991-01-08,14.37,14.37,14.37,14.37,0,2.11
1991-01-09,14.37,14.37,14.37,14.37,0,2.11
1991-01-10,13.5,15.0,13.5,15.0,300,2.2
1991-01-11,13.5,13.5,13.5,13.5,700,1.98
1991-01-14,13.87,13.87,13.87,13.87,300,2.04
1991-01-15,13.75,15.0,13.5,15.0,1300,2.2
1991-01-16,15.0,15.0,15.0,15.0,0,2.2
1991-01-17,13.5,15.0,13.5,15.0,300,2.2
1991-01-18,13.5,13.5,13.5,13.5,400,1.98
1991-01-21,13.5,13.5,13.5,13.5,0,1.98
1991-01-22,13.5,13.5,13.5,13.5,0,1.98
1991-01-23,14.5,15.0,14.5,14.75,3900,2.17
1991-01-24,13.5,13.5,13.5,13.5,1500,1.98
1991-01-25,13.5,13.5,13.5,13.5,0,1.98
1991-01-28,14.75,14.75,14.75,14.75,1500,2.17
1991-01-29,14.5,15.0,14.5,15.0,300,2.2
1991-01-30,15.0,15.0,15.0,15.0,600,2.2
1991-01-31,15.0,15.0,15.0,15.0,2400,2.2
1991-02-01,15.0,15.0,15.0,15.0,0,2.2
1991-02-04,15.0,15.0,15.0,15.0,0,2.2
1991-02-05,15.0,15.0,15.0,15.0,0,2.2
1991-02-06,15.0,15.0,15.0,15.0,0,2.2
1991-02-07,15.0,15.0,14.12,14.37,8600,2.11
1991-02-08,14.37,14.37,14.37,14.37,0,2.11
1991-02-11,16.0,16.0,16.0,16.0,100,2.35
1991-02-12,16.0,16.0,16.0,16.0,0,2.35
1991-02-13,15.0,16.0,15.0,16.0,1600,2.35
1991-02-14,16.0,16.0,15.5,15.5,3100,2.28
1991-02-15,17.5,17.5,15.5,17.0,1600,2.5
1991-02-19,17.0,17.0,15.75,15.75,1500,2.31
1991-02-20,16.0,16.0,15.75,15.75,600,2.31
1991-02-21,15.75,15.75,15.75,15.75,0,2.31
1991-02-22,15.75,15.75,15.75,15.75,0,2.31
1991-02-25,17.5,17.5,17.5,17.5,600,2.6
1991-02-26,17.5,17.5,17.5,17.5,0,2.6
1991-02-27,17.0,17.5,16.12,17.5,9000,2.6
1991-02-28,17.5,17.5,17.5,17.5,2400,2.6
1991-03-01,17.0,18.5,17.0,18.5,3600,2.74
1991-03-04,18.5,18.5,18.5,18.5,0,2.74
1991-03-05,17.5,17.5,17.5,17.5,6000,2.6
1991-03-06,17.0,17.0,17.0,17.0,900,2.52
1991-03-07,16.5,16.5,16.5,16.5,15000,2.45
1991-03-08,18.5,18.5,18.5,18.5,100,2.74
1991-03-11,18.5,18.5,18.5,18.5,0,2.74
1991-03-12,18.5,18.5,18.5,18.5,0,2.74
1991-03-13,18.5,18.5,18.5,18.5,0,2.74
1991-03-14,18.5,18.5,18.5,18.5,0,2.74
1991-03-15,17.75,18.5,17.0,17.0,6000,2.52
1991-03-18,17.0,17.0,17.0,17.0,400,2.52
1991-03-19,17.0,17.0,17.0,17.0,0,2.52
1991-03-20,17.0,17.0,17.0,17.0,0,2.52
1991-03-21,17.0,17.0,17.0,17.0,0,2.52
1991-03-22,17.0,17.0,17.0,17.0,0,2.52
1991-03-25,17.0,17.0,17.0,17.0,0,2.52
1991-03-26,18.5,18.5,17.5,17.5,2800,2.6
1991-03-27,17.5,17.5,17.5,17.5,0,2.6
1991-03-28,18.0,18.0,17.0,17.0,400,2.52
1991-04-01,17.0,17.0,17.0,17.0,300,2.52
1991-04-02,17.0,17.0,17.0,17.0,0,2.52
1991-04-03,17.25,17.25,17.0,17.0,6000,2.52
1991-04-04,17.0,17.0,17.0,17.0,0,2.52
1991-04-05,18.0,18.0,18.0,18.0,300,2.67
1991-04-08,18.0,18.0,18.0,18.0,0,2.67
1991-04-09,18.0,18.0,18.0,18.0,0,2.67
1991-04-10,17.0,17.0,17.0,17.0,900,2.52
1991-04-11,17.0,17.0,17.0,17.0,0,2.52
1991-04-12,17.0,17.0,17.0,17.0,400,2.52
1991-04-15,18.5,18.5,17.0,17.5,900,2.6
1991-04-16,18.5,18.5,18.5,18.5,100,2.74
1991-04-17,17.5,17.5,17.5,17.5,600,2.6
1991-04-18,17.5,17.5,17.5,17.5,0,2.6
1991-04-19,17.75,17.75,17.75,17.75,100,2.63
1991-04-22,17.0,18.5,17.0,17.75,1800,2.63
1991-04-23,17.75,17.75,17.75,17.75,0,2.63
1991-04-24,17.75,17.75,17.75,17.75,0,2.63
1991-04-25,17.75,17.75,17.75,17.75,0,2.63
1991-04-26,17.5,17.5,17.5,17.5,400,2.6
1991-04-29,17.5,17.5,17.5,17.5,0,2.6
1991-04-30,17.5,17.5,17.5,17.5,0,2.6
1991-05-01,18.0,18.0,18.0,18.0,300,2.67
1991-05-02,18.0,18.0,18.0,18.0,0,2.67
1991-05-03,18.0,18.0,18.0,18.0,0,2.67
1991-05-06,17.0,17.5,17.0,17.5,1600,2.6
1991-05-07,18.5,18.5,18.5,18.5,300,2.74
1991-05-08,17.75,17.75,17.75,17.75,300,2.63
1991-05-09,18.0,18.0,17.5,17.5,600,2.6
1991-05-10,17.0,17.0,17.0,17.0,1800,2.52
1991-05-13,18.0,18.0,17.0,17.0,300,2.52
1991-05-14,17.0,17.0,17.0,17.0,0,2.52
1991-05-15,18.5,18.5,18.5,18.5,700,2.74
1991-05-16,17.75,17.75,17.75,17.75,100,2.63
1991-05-17,17.0,17.0,17.0,17.0,900,2.52
1991-05-20,17.0,17.0,17.0,17.0,0,2.52
1991-05-21,17.0,17.0,17.0,17.0,0,2.52
1991-05-22,17.63,17.63,17.63,17.63,1800,2.61
1991-05-23,17.0,17.0,17.0,17.0,900,2.52
1991-05-24,17.0,17.0,17.0,17.0,600,2.54
1991-05-28,17.0,17.0,17.0,17.0,4400,2.54
1991-05-29,17.0,17.0,17.0,17.0,0,2.54
1991-05-30,17.0,17.0,17.0,17.0,0,2.54
1991-05-31,17.0,17.0,17.0,17.0,0,2.54
1991-06-03,18.0,18.0,17.5,17.5,1900,2.62
1991-06-04,17.5,17.5,17.5,17.5,0,2.62
1991-06-05,17.5,17.5,17.5,17.5,0,2.62
1991-06-06,17.0,17.0,17.0,17.0,100,2.54
1991-06-07,17.5,17.5,17.0,17.0,400,2.54
1991-06-10,17.5,17.5,17.5,17.5,300,2.62
1991-06-11,17.0,17.5,17.0,17.5,5600,2.62
1991-06-12,17.5,17.5,17.5,17.5,900,2.62
1991-06-13,18.0,18.0,17.5,17.5,2400,2.62
1991-06-14,18.0,18.0,18.0,18.0,100,2.69
1991-06-17,17.75,17.75,17.75,17.75,5000,2.66
1991-06-18,17.5,17.5,17.5,17.5,300,2.62
1991-06-19,17.5,17.5,17.5,17.5,0,2.62
1991-06-20,17.5,17.5,17.5,17.5,0,2.62
1991-06-21,17.0,17.0,17.0,17.0,700,2.54
1991-06-24,17.0,17.0,17.0,17.0,100,2.54
1991-06-25,17.5,17.5,17.5,17.5,300,2.62
1991-06-26,17.5,17.5,17.5,17.5,0,2.62
1991-06-27,17.5,17.5,17.5,17.5,0,2.62
1991-06-28,17.0,18.0,16.5,16.5,5000,2.47
1991-07-01,16.5,16.5,16.5,16.5,0,2.47
1991-07-02,16.5,16.5,16.5,16.5,1600,2.47
1991-07-03,16.5,16.5,16.5,16.5,0,2.47
1991-07-05,16.5,16.5,16.5,16.5,0,2.47
1991-07-08,16.5,16.5,16.5,16.5,0,2.47
1991-07-09,16.5,16.5,16.5,16.5,0,2.47
1991-07-10,16.5,16.5,16.5,16.5,0,2.47
1991-07-11,17.5,17.5,17.5,17.5,400,2.62
1991-07-12,17.5,17.5,17.5,17.5,0,2.62
1991-07-15,17.5,17.5,17.5,17.5,0,2.62
1991-07-16,17.5,17.5,17.5,17.5,0,2.62
1991-07-17,16.5,16.5,16.5,16.5,600,2.47
1991-07-18,17.5,17.5,17.5,17.5,600,2.62
1991-07-19,17.5,17.5,17.5,17.5,0,2.62
1991-07-22,17.0,18.5,17.0,18.5,3900,2.77
1991-07-23,16.5,16.5,16.5,16.5,2800,2.47
1991-07-24,17.5,17.5,17.5,17.5,700,2.62
1991-07-25,17.5,17.5,17.5,17.5,0,2.62
1991-07-26,17.5,17.5,17.5,17.5,300,2.62
1991-07-29,17.5,17.5,17.5,17.5,0,2.62
1991-07-30,17.5,17.5,17.5,17.5,0,2.62
1991-07-31,16.5,17.5,16.5,17.5,3900,2.62
1991-08-01,16.5,17.5,16.5,17.5,3000,2.62
1991-08-02,17.5,17.5,17.5,17.5,0,2.62
1991-08-05,16.5,16.5,16.5,16.5,8000,2.47
1991-08-06,17.25,17.5,17.25,17.5,700,2.62
1991-08-07,16.5,18.0,16.5,16.5,300,2.47
1991-08-08,17.5,17.5,17.5,17.5,300,2.62
1991-08-09,17.5,17.5,17.5,17.5,0,2.62
1991-08-12,17.5,17.5,17.5,17.5,0,2.62
1991-08-13,17.5,17.5,17.5,17.5,0,2.62
1991-08-14,18.0,18.0,16.5,16.5,7200,2.47
1991-08-15,17.25,17.25,16.5,16.5,5600,2.47
1991-08-16,16.5,16.5,16.5,16.5,6200,2.47
1991-08-19,17.25,17.5,16.75,17.5,2400,2.62
1991-08-20,17.0,17.0,17.0,17.0,9600,2.54
1991-08-21,17.5,17.5,17.5,17.5,1800,2.62
1991-08-22,16.87,16.87,16.87,16.87,1800,2.53
1991-08-23,17.0,17.0,17.0,17.0,300,2.54
1991-08-26,17.0,17.0,17.0,17.0,100,2.57
1991-08-27,16.5,17.0,16.5,17.0,2200,2.57
1991-08-28,16.5,17.0,16.5,17.0,300,2.57
1991-08-29,17.0,17.0,17.0,17.0,0,2.57
1991-08-30,17.0,17.0,17.0,17.0,400,2.57
1991-09-03,16.75,16.75,16.75,16.75,100,2.53
1991-09-04,16.5,17.0,16.5,17.0,300,2.57
1991-09-05,17.0,17.0,17.0,17.0,0,2.57
1991-09-06,17.0,17.0,17.0,17.0,0,2.57
1991-09-09,17.0,17.0,17.0,17.0,0,2.57
1991-09-10,17.0,17.0,17.0,17.0,0,2.57
1991-09-11,17.0,17.0,17.0,17.0,0,2.57
1991-09-12,17.0,17.0,17.0,17.0,0,2.57
1991-09-13,17.0,17.0,16.5,16.5,9000,2.49
1991-09-16,17.0,17.0,17.0,17.0,5600,2.57
1991-09-17,16.5,16.5,16.5,16.5,100,2.49
1991-09-18,17.12,17.12,17.12,17.12,600,2.59
1991-09-19,17.12,17.12,17.12,17.12,0,2.59
1991-09-20,17.12,17.12,17.12,17.12,0,2.59
1991-09-23,17.12,17.12,17.12,17.12,0,2.59
1991-09-24,17.12,17.12,17.12,17.12,0,2.59
1991-09-25,17.12,17.12,17.12,17.12,0,2.59
1991-09-26,17.12,17.12,17.12,17.12,0,2.59
1991-09-27,16.5,16.5,16.5,16.5,3900,2.49
1991-09-30,16.75,16.75,16.5,16.5,1500,2.49
1991-10-01,16.75,17.25,16.75,17.25,700,2.61
1991-10-02,17.25,17.25,17.25,17.25,0,2.61
1991-10-03,16.75,17.5,16.75,17.5,4800,2.64
