Date,Open,High,Low,Close,Volume,Adj Close
2002-03-05,15.9,16.06,15.1,15.1,4944600,3.9
2002-03-06,15.15,15.2,15.0,15.0,1657400,3.88
2002-03-07,15.02,15.25,15.02,15.24,229800,3.94
2002-03-08,15.1,15.15,15.0,15.01,1171600,3.88
2002-03-11,15.05,15.1,15.0,15.05,332200,3.89
2002-03-12,15.0,15.05,15.0,15.01,326800,3.88
2002-03-13,15.01,15.04,15.0,15.0,595800,3.88
2002-03-14,15.0,15.05,15.0,15.04,370000,3.89
2002-03-15,15.03,15.1,15.0,15.08,364000,3.9
2002-03-18,15.05,15.05,15.0,15.0,592200,3.88
2002-03-19,15.0,15.03,14.75,14.85,425200,3.84
2002-03-20,14.8,14.85,14.7,14.7,45600,3.8
2002-03-21,14.7,14.7,14.57,14.7,70400,3.8
2002-03-22,14.7,15.05,14.7,14.95,86600,3.86
2002-03-25,15.0,15.04,14.9,14.91,76600,3.85
2002-03-26,14.9,15.1,14.9,15.1,53600,3.9
2002-03-27,15.15,15.4,15.0,15.08,130600,3.9
2002-03-28,15.05,15.25,15.05,15.23,101000,3.94
2002-04-01,15.23,15.25,15.1,15.15,53200,3.92
2002-04-02,15.2,15.2,15.0,15.0,45400,3.88
2002-04-03,15.0,15.08,15.0,15.0,15600,3.88
2002-04-04,14.9,15.02,14.9,14.95,31400,3.86
2002-04-05,14.85,15.0,14.8,15.0,34200,3.88
2002-04-08,15.0,15.02,14.97,15.02,108200,3.88
2002-04-09,15.05,15.1,15.0,15.05,91200,3.89
2002-04-10,15.09,15.1,15.05,15.1,82600,3.9
2002-04-11,15.05,15.2,15.05,15.15,76800,3.92
2002-04-12,15.18,15.6,15.18,15.4,248000,3.98
2002-04-15,15.45,15.46,15.25,15.25,56000,3.94
2002-04-16,15.35,15.4,15.25,15.25,19200,3.94
2002-04-17,15.3,15.4,15.05,15.1,37400,3.9
2002-04-18,15.05,15.3,15.05,15.3,28800,3.96
2002-04-19,15.2,15.35,15.2,15.35,10000,3.97
2002-04-22,15.35,15.42,15.26,15.42,6000,3.99
2002-04-23,15.35,15.35,15.15,15.2,21400,3.93
2002-04-24,15.15,15.25,14.95,15.25,27400,3.94
2002-04-25,15.25,15.29,15.1,15.2,16000,3.93
2002-04-26,15.15,15.15,15.06,15.1,11800,3.9
2002-04-29,15.05,15.1,15.02,15.05,8400,3.89
2002-04-30,15.09,15.2,15.0,15.2,181400,3.93
2002-05-01,15.11,15.2,15.1,15.2,4400,3.93
2002-05-02,15.1,15.22,15.1,15.15,15600,3.92
2002-05-03,15.15,15.75,15.15,15.75,195200,4.07
2002-05-06,15.7,15.7,15.4,15.4,20000,3.98
2002-05-07,15.4,15.7,15.35,15.7,146600,4.06
2002-05-08,15.74,15.75,15.72,15.72,21600,4.06
2002-05-09,15.72,15.75,15.7,15.7,14200,4.06
2002-05-10,15.72,15.8,15.71,15.8,84600,4.08
2002-05-13,15.8,15.82,15.71,15.71,35200,4.06
2002-05-14,15.85,15.95,15.8,15.9,124800,4.11
2002-05-15,15.95,15.95,15.85,15.85,29800,4.1
2002-05-16,15.76,15.84,15.76,15.84,10800,4.1
2002-05-17,15.84,15.85,15.8,15.85,4800,4.1
2002-05-20,15.85,15.85,15.85,15.85,1200,4.1
2002-05-21,15.9,15.94,15.8,15.94,47000,4.12
2002-05-22,15.94,16.1,15.94,16.0,71400,4.14
2002-05-23,16.05,16.4,16.05,16.4,139400,4.24
2002-05-24,16.5,16.5,16.05,16.15,74600,4.18
2002-05-28,16.12,16.3,16.1,16.18,17800,4.18
2002-05-29,16.1,16.22,16.1,16.22,16600,4.19
2002-05-30,16.15,16.35,16.1,16.35,62400,4.23
2002-05-31,16.2,16.2,16.05,16.15,38600,4.18
2002-06-03,16.05,16.05,15.8,15.8,57600,4.08
2002-06-04,15.7,15.8,15.56,15.64,17000,4.04
2002-06-05,15.65,15.65,15.09,15.15,94200,3.92
2002-06-06,15.15,15.15,14.97,14.97,556600,3.87
2002-06-07,14.9,14.91,14.75,14.8,535000,3.83
2002-06-10,14.7,14.7,14.46,14.7,590200,3.8
2002-06-11,14.75,14.8,14.7,14.8,10000,3.83
2002-06-12,14.85,14.9,14.75,14.75,207800,3.81
2002-06-13,14.7,14.7,14.61,14.7,6000,3.8
2002-06-14,14.75,14.75,14.61,14.7,144200,3.8
2002-06-17,14.8,14.8,14.72,14.75,13600,3.81
2002-06-18,14.75,14.75,14.75,14.75,4000,3.81
2002-06-19,14.75,14.75,14.65,14.75,14400,3.81
2002-06-20,14.65,14.7,14.55,14.55,19200,3.76
2002-06-21,14.5,14.5,14.3,14.35,72400,3.71
2002-06-24,14.3,14.45,14.2,14.45,23200,3.74
2002-06-25,14.5,14.5,14.0,14.0,279200,3.62
2002-06-26,13.5,14.0,13.5,13.98,106000,3.61
2002-06-27,14.0,14.0,14.0,14.0,7600,3.62
2002-06-28,13.91,14.0,13.85,14.0,86200,3.62
2002-07-01,14.0,14.0,13.93,14.0,25000,3.62
2002-07-02,14.0,14.0,13.9,14.0,8200,3.62
2002-07-03,13.9,13.95,13.9,13.93,11600,3.6
2002-07-05,13.96,13.97,13.96,13.97,7400,3.61
2002-07-08,13.95,14.0,13.9,13.9,14400,3.59
2002-07-09,13.87,13.88,13.87,13.88,12000,3.59
2002-07-10,13.88,13.88,13.5,13.5,1236000,3.49
2002-07-11,13.5,13.5,13.4,13.45,9200,3.48
2002-07-12,13.45,13.45,12.75,12.75,27200,3.3
2002-07-15,12.75,12.78,12.25,12.25,62600,3.17
2002-07-16,12.25,12.3,12.25,12.28,27400,3.17
2002-07-17,12.35,12.47,12.25,12.35,204000,3.19
2002-07-18,12.25,12.3,12.15,12.15,14200,3.14
2002-07-19,12.05,12.15,12.05,12.05,61000,3.12
2002-07-22,12.1,12.1,11.75,11.8,240800,3.05
2002-07-23,11.75,11.75,11.7,11.75,3400,3.04
2002-07-24,11.65,11.72,11.6,11.72,29400,3.03
2002-07-25,11.72,11.74,11.66,11.73,85800,3.03
2002-07-26,11.71,11.71,11.7,11.7,8000,3.02
2002-07-29,11.72,11.75,11.6,11.75,13200,3.04
2002-07-30,11.75,11.85,11.72,11.85,25400,3.06
2002-07-31,11.82,11.82,11.75,11.78,13400,3.05
2002-08-01,11.75,11.82,11.7,11.75,21200,3.04
2002-08-02,11.69,11.7,11.63,11.65,8600,3.01
2002-08-05,11.65,11.65,11.55,11.6,5000,3.0
2002-08-06,11.25,11.32,11.15,11.31,19200,2.92
2002-08-07,11.31,11.31,11.31,11.31,200,2.92
2002-08-08,11.31,11.31,10.85,10.85,1303600,2.8
2002-08-09,10.85,10.85,9.9,10.0,166400,2.59
2002-08-12,9.9,9.9,9.45,9.48,515400,2.45
2002-08-13,9.48,9.48,9.45,9.45,35400,2.44
2002-08-14,9.45,9.55,9.45,9.5,44800,2.46
2002-08-15,9.5,10.0,9.42,10.0,124200,2.59
2002-08-16,10.0,10.75,9.95,10.75,149600,2.78
2002-08-19,10.75,11.85,10.75,11.85,33800,3.06
2002-08-20,11.85,13.35,11.85,12.9,136600,3.33
2002-08-21,13.2,13.2,12.75,12.75,25800,3.3
2002-08-22,12.6,12.6,12.6,12.6,1800,3.26
2002-08-23,12.6,12.75,12.6,12.75,21000,3.3
2002-08-26,12.62,12.75,12.3,12.4,53200,3.21
2002-08-27,12.4,12.4,12.35,12.35,12400,3.19
2002-08-28,12.35,12.35,12.35,12.35,9800,3.19
2002-08-29,12.35,12.35,12.35,12.35,10000,3.19
2002-08-30,12.35,12.35,12.35,12.35,0,3.19
2002-09-03,12.25,12.25,12.1,12.1,6400,3.13
2002-09-04,12.1,12.1,12.0,12.05,4200,3.12
2002-09-05,12.02,12.02,11.85,11.93,8400,3.08
2002-09-06,11.9,11.9,11.7,11.74,46600,3.04
2002-09-09,11.74,11.74,11.72,11.72,21000,3.03
2002-09-10,11.72,11.72,11.7,11.71,3400,3.03
2002-09-11,11.7,11.7,11.62,11.65,2000,3.01
2002-09-12,11.6,11.6,11.4,11.41,130800,2.95
2002-09-13,11.4,11.4,11.38,11.38,21400,2.94
2002-09-16,11.35,11.35,11.34,11.34,21400,2.93
2002-09-17,11.3,11.3,11.3,11.3,17800,2.92
2002-09-18,11.21,11.21,10.9,10.9,122000,2.82
2002-09-19,10.9,10.9,10.7,10.7,38600,2.77
2002-09-20,10.7,10.8,10.67,10.75,86800,2.78
2002-09-23,10.7,10.8,10.7,10.8,22400,2.79
2002-09-24,10.7,10.7,10.7,10.7,15000,2.77
2002-09-25,10.75,10.89,10.75,10.89,19000,2.82
2002-09-26,10.89,11.0,10.89,11.0,39600,2.84
2002-09-27,11.0,11.0,10.81,10.9,83000,2.82
2002-09-30,10.9,10.9,10.6,10.9,46200,2.82
2002-10-01,10.95,11.3,10.95,11.3,8400,2.92
2002-10-02,11.4,11.55,11.4,11.55,3600,2.99
2002-10-03,11.55,11.59,11.45,11.59,70600,3.0
2002-10-04,11.55,11.55,11.55,11.55,10000,2.99
2002-10-07,11.55,11.55,11.48,11.5,32400,2.97
2002-10-08,11.8,11.8,11.7,11.7,53200,3.02
2002-10-09,11.77,11.85,11.73,11.75,67600,3.04
2002-10-10,11.75,11.85,11.65,11.65,88400,3.01
2002-10-11,11.25,11.45,11.2,11.23,102000,3.03
2002-10-14,11.3,11.35,11.3,11.35,1400,3.07
2002-10-15,11.35,11.95,11.35,11.87,142600,3.21
2002-10-16,11.85,11.9,11.85,11.89,25000,3.21
2002-10-17,11.65,12.05,11.65,12.05,30400,3.25
2002-10-18,12.03,12.12,12.03,12.05,232800,3.25
2002-10-21,12.02,12.2,12.01,12.18,7200,3.29
2002-10-22,12.15,12.25,12.12,12.13,511000,3.28
2002-10-23,12.08,12.08,12.0,12.01,42800,3.24
2002-10-24,12.04,12.1,11.8,11.9,156800,3.21
2002-10-25,11.85,11.9,11.83,11.9,3000,3.21
2002-10-28,11.9,11.94,11.9,11.93,3200,3.22
2002-10-29,11.93,11.93,11.46,11.49,48200,3.1
2002-10-30,11.49,11.49,11.46,11.47,4600,3.1
2002-10-31,11.45,11.47,11.35,11.47,11000,3.1
2002-11-01,11.45,11.46,11.4,11.43,1000,3.09
2002-11-04,11.43,11.58,11.43,11.58,15600,3.13
2002-11-05,11.56,11.56,11.54,11.55,2400,3.12
2002-11-06,11.55,11.55,11.4,11.4,7000,3.08
2002-11-07,11.4,11.49,11.35,11.48,3400,3.1
2002-11-08,11.45,11.45,11.45,11.45,2000,3.09
2002-11-11,11.43,11.43,11.3,11.3,64200,3.05
2002-11-12,11.32,11.32,11.15,11.15,48200,3.01
2002-11-13,11.2,11.3,11.2,11.3,19400,3.05
2002-11-14,11.33,11.33,11.27,11.28,7800,3.05
2002-11-15,11.25,11.25,11.25,11.25,400,3.04
2002-11-18,11.25,11.25,10.99,11.1,25800,3.0
2002-11-19,11.07,11.23,11.07,11.23,8800,3.03
2002-11-20,11.23,11.85,11.1,11.85,120400,3.2
2002-11-21,11.9,11.9,11.8,11.85,99400,3.2
2002-11-22,11.85,11.85,11.85,11.85,0,3.2
2002-11-25,11.77,11.8,11.77,11.8,21800,3.19
2002-11-26,11.75,11.8,11.75,11.75,5000,3.17
2002-11-27,11.65,11.65,11.6,11.64,14200,3.14
2002-11-29,11.65,11.68,11.65,11.68,6400,3.15
2002-12-02,11.68,11.88,11.68,11.88,17600,3.21
2002-12-03,11.8,11.83,11.7,11.72,40400,3.17
2002-12-04,11.75,11.8,11.75,11.78,20600,3.18
2002-12-05,11.66,11.83,11.65,11.8,51400,3.19
2002-12-06,11.75,12.05,11.75,12.05,156200,3.25
2002-12-09,12.1,12.1,12.05,12.05,16400,3.25
2002-12-10,12.08,12.08,12.0,12.0,112200,3.24
2002-12-11,12.05,12.05,11.7,11.75,57000,3.17
2002-12-12,11.75,11.75,11.65,11.68,77200,3.15
2002-12-13,11.65,11.8,11.65,11.79,168800,3.18
2002-12-16,11.79,11.79,11.7,11.74,283400,3.17
2002-12-17,11.74,12.15,11.74,12.15,418400,3.28
2002-12-18,12.13,12.8,12.13,12.8,202600,3.46
