Date,Open,High,Low,Close,Volume,Adj Close
1999-05-05,16.0,20.25,16.0,20.25,16700,5.22
1999-05-06,20.0,21.0,15.69,15.69,31800,4.04
1999-05-07,15.87,21.0,15.75,21.0,57800,5.41
1999-05-10,21.25,21.25,15.5,20.0,22500,5.15
1999-05-11,20.25,20.25,20.0,20.0,3000,5.15
1999-05-12,20.0,20.25,19.75,19.75,3800,5.09
1999-05-13,18.0,18.0,18.0,18.0,300,4.64
1999-05-14,20.0,20.0,18.0,19.75,8500,5.09
1999-05-17,19.25,20.0,17.0,19.13,6900,4.93
1999-05-18,20.0,20.0,18.0,19.75,3800,5.09
1999-05-19,20.0,20.0,20.0,20.0,1200,5.15
1999-05-20,19.75,20.5,19.5,20.5,5300,5.28
1999-05-21,19.5,20.63,19.0,20.63,30100,5.31
1999-05-24,21.0,21.0,20.0,20.0,1500,5.15
1999-05-25,20.0,20.0,20.0,20.0,0,5.15
1999-05-26,20.63,20.63,20.0,20.63,2700,5.31
1999-05-27,20.0,21.25,19.0,20.75,16700,5.35
1999-05-28,20.0,20.0,20.0,20.0,24100,5.15
1999-06-01,19.5,19.5,19.5,19.5,1200,5.02
1999-06-02,19.5,19.5,19.5,19.5,0,5.02
1999-06-03,20.13,20.25,20.0,20.25,53400,5.22
1999-06-04,20.25,20.25,20.25,20.25,10400,5.22
1999-06-07,20.0,20.0,19.0,19.5,31100,5.02
1999-06-08,20.0,20.0,19.5,19.5,2100,5.02
1999-06-09,19.5,19.5,19.5,19.5,0,5.02
1999-06-10,19.5,19.5,19.5,19.5,0,5.02
1999-06-11,19.5,19.5,19.5,19.5,0,5.02
1999-06-14,20.0,20.0,19.5,20.0,19300,5.15
1999-06-15,19.5,20.0,19.25,19.25,14300,4.96
1999-06-16,19.25,20.25,19.25,20.25,5600,5.22
1999-06-17,20.0,20.0,19.5,19.5,900,5.02
1999-06-18,20.0,20.0,19.25,19.25,20900,4.96
1999-06-21,19.0,19.0,19.0,19.0,5600,4.89
1999-06-22,19.5,19.5,19.0,19.0,4700,4.89
1999-06-23,19.0,19.0,19.0,19.0,0,4.89
1999-06-24,19.75,19.75,19.25,19.25,1500,4.96
1999-06-25,19.25,19.25,19.25,19.25,2100,4.96
1999-06-28,19.5,19.75,19.5,19.75,900,5.09
1999-06-29,19.0,19.75,19.0,19.25,4100,4.96
1999-06-30,18.63,19.25,18.63,18.63,10000,4.8
1999-07-01,19.25,19.25,19.25,19.25,3800,4.96
1999-07-02,19.0,19.25,19.0,19.25,3800,4.96
1999-07-06,19.25,19.25,19.25,19.25,3800,4.96
1999-07-07,19.38,19.5,19.25,19.38,9100,4.99
1999-07-08,19.38,19.38,19.38,19.38,0,4.99
1999-07-09,19.75,19.75,19.25,19.25,2100,4.96
1999-07-12,19.75,19.75,19.75,19.75,5300,5.09
1999-07-13,19.5,20.0,19.5,20.0,7900,5.15
1999-07-14,20.0,20.0,19.75,19.75,3800,5.09
1999-07-15,19.75,19.75,19.75,19.75,3800,5.09
1999-07-16,20.13,20.41,20.13,20.41,8500,5.26
1999-07-19,20.13,20.13,19.94,19.94,8200,5.14
1999-07-20,19.75,20.25,19.75,19.75,6200,5.09
1999-07-21,20.0,20.0,19.88,19.88,1500,5.12
1999-07-22,19.75,20.0,19.5,19.5,9400,5.02
1999-07-23,20.0,20.0,20.0,20.0,3300,5.15
1999-07-26,20.25,20.25,20.0,20.0,73100,5.15
1999-07-27,20.5,20.5,20.38,20.38,900,5.25
1999-07-28,20.0,20.0,20.0,20.0,300,5.15
1999-07-29,20.0,20.38,20.0,20.25,12300,5.22
1999-07-30,20.5,22.0,20.38,21.75,5000,5.6
1999-08-02,20.25,20.25,20.25,20.25,900,5.22
1999-08-03,21.75,21.75,21.0,21.5,2100,5.54
1999-08-04,21.5,21.5,21.25,21.25,1800,5.47
1999-08-05,20.25,20.25,20.25,20.25,300,5.22
1999-08-06,20.25,20.25,20.25,20.25,0,5.22
1999-08-09,20.25,21.5,20.25,21.25,2100,5.47
1999-08-10,21.25,21.25,21.25,21.25,0,5.47
1999-08-11,20.25,20.25,20.25,20.25,1200,5.22
1999-08-12,20.25,20.25,20.25,20.25,2400,5.22
1999-08-13,21.0,21.0,20.25,20.25,2700,5.22
1999-08-16,21.25,21.25,21.25,21.25,300,5.47
1999-08-17,20.88,20.88,20.25,20.5,2400,5.28
1999-08-18,20.5,20.5,20.5,20.5,1500,5.28
1999-08-19,20.5,20.5,20.5,20.5,0,5.28
1999-08-20,20.25,20.25,20.25,20.25,1500,5.22
1999-08-23,20.25,20.25,20.25,20.25,0,5.22
1999-08-24,20.25,20.25,20.25,20.25,0,5.22
1999-08-25,20.25,20.25,20.25,20.25,0,5.22
1999-08-26,20.25,20.25,20.25,20.25,1500,5.22
1999-08-27,20.0,20.25,20.0,20.25,2400,5.22
1999-08-30,20.88,20.88,20.88,20.88,600,5.38
1999-08-31,21.0,21.0,20.25,21.0,2400,5.41
1999-09-01,21.0,21.0,21.0,21.0,0,5.41
1999-09-02,21.0,21.0,21.0,21.0,0,5.41
1999-09-03,20.25,21.0,20.25,21.0,8200,5.41
1999-09-07,21.0,21.0,21.0,21.0,0,5.41
1999-09-08,20.5,21.0,20.5,21.0,3800,5.41
1999-09-09,21.25,21.25,21.19,21.25,13200,5.47
1999-09-10,21.25,21.25,21.19,21.19,25400,5.46
1999-09-13,21.25,21.5,20.5,21.5,26000,5.54
1999-09-14,21.63,21.63,21.63,21.63,2400,5.57
1999-09-15,21.5,22.0,21.5,22.0,2700,5.67
1999-09-16,22.0,22.0,22.0,22.0,0,5.67
1999-09-17,21.0,21.0,21.0,21.0,300,5.41
1999-09-20,21.5,21.5,21.5,21.5,3000,5.54
1999-09-21,22.0,22.0,22.0,22.0,2100,5.67
1999-09-22,21.5,22.25,21.5,22.25,1200,5.73
1999-09-23,22.25,22.25,22.25,22.25,0,5.73
1999-09-24,21.5,22.0,21.5,22.0,4700,5.67
1999-09-27,21.5,22.25,21.5,22.0,5900,5.67
1999-09-28,22.0,22.0,22.0,22.0,300,5.67
1999-09-29,22.0,22.0,22.0,22.0,0,5.67
1999-09-30,22.0,22.0,22.0,22.0,0,5.67
1999-10-01,21.75,22.0,21.75,22.0,2700,5.67
1999-10-04,22.0,22.0,22.0,22.0,0,5.67
1999-10-05,22.25,22.25,21.25,21.25,1500,5.47
1999-10-06,21.0,21.0,21.0,21.0,300,5.41
1999-10-07,21.0,21.0,21.0,21.0,0,5.41
1999-10-08,21.0,21.0,21.0,21.0,0,5.41
1999-10-11,21.0,21.0,21.0,21.0,1500,5.41
1999-10-12,21.0,21.25,21.0,21.25,5300,5.47
1999-10-13,21.25,21.25,21.25,21.25,0,5.47
1999-10-14,21.25,21.25,21.25,21.25,0,5.47
1999-10-15,21.0,21.25,21.0,21.25,5600,5.47
1999-10-18,20.0,21.25,20.0,21.25,4400,5.47
1999-10-19,21.25,21.25,21.25,21.25,0,5.47
1999-10-20,20.5,21.5,20.5,21.0,12000,5.41
1999-10-21,20.5,20.5,20.5,20.5,1800,5.28
1999-10-22,21.25,21.25,21.25,21.25,1800,5.47
1999-10-25,21.25,21.25,21.25,21.25,600,5.47
1999-10-26,21.25,21.25,21.25,21.25,0,5.47
1999-10-27,21.25,21.25,21.25,21.25,0,5.47
1999-10-28,21.25,21.25,21.25,21.25,900,5.47
1999-10-29,21.25,21.25,21.25,21.25,0,5.47
1999-11-01,21.25,21.25,21.25,21.25,600,5.47
1999-11-02,20.75,21.25,20.75,21.25,1800,5.47
1999-11-03,21.25,21.25,21.25,21.25,3000,5.47
1999-11-04,21.25,21.25,21.25,21.25,3800,5.47
1999-11-05,21.25,21.25,20.5,21.0,26000,5.41
1999-11-08,20.63,20.63,20.0,20.0,12300,5.15
1999-11-09,20.5,20.5,20.5,20.5,15800,5.28
1999-11-10,20.0,20.0,20.0,20.0,900,5.15
1999-11-11,20.5,20.5,20.5,20.5,300,5.28
1999-11-12,20.5,20.5,20.5,20.5,0,5.28
1999-11-15,20.5,21.0,20.5,20.5,6500,5.28
1999-11-16,20.25,20.25,20.0,20.0,5600,5.15
1999-11-17,20.0,20.0,20.0,20.0,0,5.15
1999-11-18,20.0,20.0,20.0,20.0,0,5.15
1999-11-19,20.5,20.5,20.5,20.5,300,5.28
1999-11-22,20.5,20.88,20.0,20.0,25400,5.15
1999-11-23,20.0,20.0,20.0,20.0,0,5.15
1999-11-24,19.5,19.5,19.5,19.5,900,5.02
1999-11-26,19.5,19.5,19.5,19.5,0,5.02
1999-11-29,19.5,19.5,19.5,19.5,4700,5.02
1999-11-30,19.75,20.0,19.75,19.75,7900,5.09
1999-12-01,19.5,19.5,19.5,19.5,1200,5.02
1999-12-02,19.5,20.0,19.0,19.0,4700,4.89
1999-12-03,19.0,19.0,19.0,19.0,0,4.89
1999-12-06,19.38,19.38,19.38,19.38,600,4.99
1999-12-07,19.38,19.38,19.38,19.38,0,4.99
1999-12-08,19.38,19.38,19.38,19.38,300,4.99
1999-12-09,19.0,19.19,19.0,19.19,1200,4.94
1999-12-10,19.0,19.0,19.0,19.0,300,4.89
1999-12-13,19.0,19.0,19.0,19.0,4100,4.89
1999-12-14,19.0,19.38,19.0,19.0,10000,4.89
1999-12-15,19.0,19.0,19.0,19.0,900,4.89
1999-12-16,19.0,19.0,19.0,19.0,2400,4.89
1999-12-17,19.0,19.0,19.0,19.0,300,4.89
1999-12-20,19.0,19.0,19.0,19.0,0,4.89
1999-12-21,19.38,19.38,19.0,19.0,4700,4.89
1999-12-22,19.0,19.0,19.0,19.0,600,4.89
1999-12-23,19.0,19.31,19.0,19.31,11100,4.98
1999-12-27,19.0,19.0,19.0,19.0,300,4.89
1999-12-28,19.0,19.0,18.0,18.0,4700,4.64
1999-12-29,18.0,19.0,18.0,19.0,3300,4.89
1999-12-30,17.0,17.5,17.0,17.5,15800,4.51
1999-12-31,17.0,17.5,17.0,17.5,1500,4.51
2000-01-03,17.25,18.0,17.12,18.0,2700,4.64
2000-01-04,17.12,17.25,17.12,17.25,6900,4.44
2000-01-05,18.0,18.5,18.0,18.5,4100,4.77
2000-01-06,17.5,18.5,17.5,18.0,6900,4.64
2000-01-07,17.5,18.0,17.5,18.0,2400,4.64
2000-01-10,17.5,17.5,17.0,17.0,5000,4.38
2000-01-11,18.0,18.25,18.0,18.25,5900,4.7
2000-01-12,18.25,18.25,17.25,17.5,2100,4.51
2000-01-13,17.5,17.5,17.5,17.5,4100,4.51
2000-01-14,17.62,18.25,17.62,17.62,38700,4.54
2000-01-18,17.5,17.75,17.0,17.37,19300,4.48
2000-01-19,17.25,17.25,17.0,17.0,1500,4.38
2000-01-20,17.0,17.0,17.0,17.0,0,4.38
2000-01-21,17.0,17.0,17.0,17.0,0,4.38
2000-01-24,17.5,17.5,17.5,17.5,3800,4.51
2000-01-25,17.0,17.25,16.0,16.0,8500,4.12
2000-01-26,17.0,17.0,16.5,16.5,3000,4.25
2000-01-27,17.25,17.5,17.25,17.5,6500,4.51
2000-01-28,16.75,16.75,16.75,16.75,600,4.32
2000-01-31,16.75,17.0,16.75,16.75,900,4.32
2000-02-01,18.0,18.0,18.0,18.0,1200,4.64
2000-02-02,18.0,18.0,18.0,18.0,0,4.64
2000-02-03,16.75,17.25,16.75,17.25,1200,4.44
2000-02-04,17.75,17.75,16.75,16.75,1500,4.32
