Date,Open,High,Low,Close,Volume,Adj Close
1992-03-17,20.25,20.25,20.0,20.0,3400,18.78
1992-03-18,20.0,20.25,20.0,20.0,1900,18.78
1992-03-19,20.87,20.87,20.63,20.75,11800,19.48
1992-03-20,20.75,21.0,20.75,21.0,11300,19.72
1992-03-23,20.87,20.87,20.87,20.87,300,19.6
1992-03-24,21.0,21.5,20.87,21.5,7300,20.19
1992-03-25,21.62,21.62,21.38,21.38,1600,20.07
1992-03-26,21.38,21.5,21.0,21.38,4800,20.07
1992-03-27,21.5,21.5,21.38,21.38,600,20.07
1992-03-30,21.25,21.25,21.0,21.25,1600,19.95
1992-03-31,21.0,21.0,21.0,21.0,500,19.72
1992-04-01,20.75,20.75,20.75,20.75,1300,19.48
1992-04-02,20.5,20.75,20.5,20.5,2000,19.25
1992-04-03,20.75,20.75,20.75,20.75,2900,19.48
1992-04-06,20.5,20.5,20.25,20.25,3900,19.01
1992-04-07,20.25,20.5,20.12,20.12,1200,18.9
1992-04-08,20.12,20.25,19.63,20.25,15300,19.01
1992-04-09,20.25,20.38,20.25,20.38,10000,19.13
1992-04-10,20.38,20.87,20.38,20.87,4000,19.6
1992-04-13,20.87,20.87,20.75,20.75,2100,19.48
1992-04-14,21.0,21.13,21.0,21.0,12000,19.72
1992-04-15,21.0,21.25,21.0,21.0,10200,19.72
1992-04-16,21.0,21.13,20.75,20.75,9000,19.48
1992-04-20,20.63,20.63,20.5,20.5,400,19.25
1992-04-21,20.75,20.75,20.75,20.75,200,19.48
1992-04-22,20.75,20.75,20.75,20.75,0,19.48
1992-04-23,20.75,20.75,20.75,20.75,0,19.48
1992-04-24,20.5,20.63,20.5,20.63,800,19.37
1992-04-27,20.38,20.38,20.12,20.12,2700,18.9
1992-04-28,20.0,20.0,19.87,19.87,300,18.66
1992-04-29,20.0,20.0,20.0,20.0,400,18.78
1992-04-30,19.75,19.75,19.75,19.75,500,18.54
1992-05-01,19.75,19.87,19.75,19.75,2200,18.54
1992-05-04,19.75,19.75,19.75,19.75,0,18.54
1992-05-05,19.87,19.87,19.75,19.75,500,18.54
1992-05-06,19.75,19.75,19.25,19.37,4800,18.19
1992-05-07,19.25,19.37,19.25,19.37,2300,18.19
1992-05-08,19.37,19.37,19.37,19.37,1300,18.19
1992-05-11,19.37,19.5,19.37,19.5,4400,18.31
1992-05-12,19.5,19.5,19.37,19.5,3900,18.31
1992-05-13,19.5,19.5,19.25,19.37,3000,18.19
1992-05-14,19.12,19.25,19.12,19.25,700,18.08
1992-05-15,19.0,19.0,18.75,18.75,3900,17.61
1992-05-18,18.37,18.63,18.37,18.37,4900,17.49
1992-05-19,18.5,18.63,18.37,18.37,11400,17.49
1992-05-20,18.5,18.63,18.5,18.5,2000,17.61
1992-05-21,18.37,18.5,18.25,18.5,10800,17.61
1992-05-22,18.5,18.5,18.5,18.5,0,17.61
1992-05-26,18.5,18.5,18.25,18.25,1400,17.37
1992-05-27,18.25,18.25,18.25,18.25,100,17.37
1992-05-28,18.13,18.13,18.13,18.13,400,17.25
1992-05-29,18.13,18.13,18.13,18.13,0,17.25
1992-06-01,18.13,18.25,18.0,18.0,1200,17.13
1992-06-02,18.37,18.37,18.0,18.0,1900,17.13
1992-06-03,18.0,18.0,18.0,18.0,1800,17.13
1992-06-04,17.88,18.13,17.75,18.0,4600,17.13
1992-06-05,17.88,17.88,17.88,17.88,300,17.01
1992-06-08,18.0,18.0,17.37,17.5,7200,16.65
1992-06-09,17.5,17.75,17.37,17.75,25700,16.89
1992-06-10,18.0,18.0,17.88,17.88,1000,17.01
1992-06-11,17.88,17.88,17.62,17.62,4400,16.77
1992-06-12,17.88,17.88,17.88,17.88,200,17.01
1992-06-15,17.75,17.75,17.62,17.62,700,16.77
1992-06-16,17.62,17.75,17.62,17.62,1800,16.77
1992-06-17,17.62,17.75,17.5,17.5,2200,16.65
1992-06-18,17.37,17.37,17.0,17.0,2400,16.18
1992-06-19,17.25,17.25,17.13,17.13,1000,16.3
1992-06-22,17.25,17.25,17.25,17.25,1500,16.42
1992-06-23,17.25,17.25,17.25,17.25,2900,16.42
1992-06-24,17.13,17.13,17.13,17.13,300,16.3
1992-06-25,17.13,17.13,17.13,17.13,0,16.3
1992-06-26,17.13,17.13,17.13,17.13,0,16.3
1992-06-29,16.87,17.13,16.87,17.0,3800,16.18
1992-06-30,16.75,17.0,16.75,16.75,3400,15.94
1992-07-01,16.87,17.37,16.87,17.37,6800,16.54
1992-07-02,17.37,17.88,17.25,17.88,5200,17.01
