Date,Open,High,Low,Close,Volume,Adj Close
1995-02-24,18.88,19.88,18.88,19.0,4743200,7.46
1995-02-27,18.62,18.62,17.88,18.0,1349200,7.06
1995-02-28,18.0,18.12,18.0,18.0,258800,7.06
1995-03-01,18.12,19.0,18.12,18.62,542400,7.31
1995-03-02,18.75,19.25,18.75,19.25,554400,7.55
1995-03-03,19.0,19.25,19.0,19.12,244200,7.51
1995-03-06,19.12,19.12,18.5,18.5,248800,7.26
1995-03-07,18.5,18.75,18.38,18.5,137200,7.26
1995-03-08,18.5,18.5,18.0,18.12,165200,7.11
1995-03-09,18.12,18.38,18.12,18.38,163200,7.21
1995-03-10,18.38,18.5,18.25,18.38,72800,7.21
1995-03-13,18.38,18.5,18.25,18.25,46400,7.16
1995-03-14,18.12,18.25,18.0,18.0,52600,7.06
1995-03-15,18.12,18.12,18.0,18.0,100800,7.06
1995-03-16,18.0,18.12,18.0,18.0,279200,7.06
1995-03-17,18.12,18.12,18.0,18.12,39600,7.11
1995-03-20,18.12,18.25,18.0,18.12,68400,7.11
1995-03-21,18.12,18.5,18.12,18.12,163800,7.11
1995-03-22,18.0,18.25,18.0,18.0,637000,7.06
1995-03-23,18.0,18.12,18.0,18.12,21800,7.11
1995-03-24,18.12,18.12,17.62,17.75,359000,6.97
1995-03-27,17.88,17.88,17.75,17.75,29800,6.97
1995-03-28,17.62,18.12,17.62,18.0,61600,7.06
1995-03-29,18.0,18.0,17.88,17.88,58600,7.01
1995-03-30,18.0,18.0,17.88,17.88,226000,7.01
1995-03-31,17.88,18.0,17.75,18.0,98400,7.06
1995-04-03,18.0,18.12,18.0,18.12,38800,7.11
1995-04-04,18.12,18.25,18.0,18.25,47200,7.16
1995-04-05,18.25,18.25,18.0,18.12,17000,7.11
1995-04-06,18.0,18.0,17.88,18.0,10600,7.06
1995-04-07,18.0,18.0,17.88,17.88,26400,7.01
1995-04-10,17.75,18.0,17.75,18.0,51200,7.06
1995-04-11,18.0,18.12,18.0,18.12,30800,7.11
1995-04-12,18.12,18.38,18.12,18.25,84400,7.16
1995-04-13,18.25,18.25,18.12,18.25,16200,7.16
1995-04-17,18.25,18.75,18.25,18.38,99600,7.21
1995-04-18,18.38,18.38,18.25,18.25,14400,7.16
1995-04-19,18.38,18.38,18.0,18.0,40800,7.06
1995-04-20,18.12,18.25,18.12,18.12,35000,7.11
1995-04-21,18.12,18.25,18.12,18.12,15200,7.11
1995-04-24,18.0,18.12,18.0,18.12,29400,7.11
1995-04-25,18.0,18.0,17.88,17.88,55400,7.01
1995-04-26,17.88,18.0,17.88,17.88,20600,7.01
1995-04-27,17.88,18.0,17.88,17.88,9800,7.01
1995-04-28,17.88,18.38,17.88,18.38,38600,7.21
1995-05-01,18.25,18.38,18.12,18.25,10000,7.16
1995-05-02,18.25,18.5,18.25,18.5,39200,7.26
1995-05-03,18.25,18.62,18.25,18.38,59200,7.21
1995-05-04,18.38,18.75,18.38,18.62,49400,7.31
1995-05-05,18.62,19.25,18.62,19.12,42400,7.51
1995-05-08,19.12,19.88,19.12,19.88,78800,7.8
1995-05-09,19.88,19.88,19.5,19.5,52200,7.65
1995-05-10,19.5,19.62,19.38,19.5,34200,7.65
1995-05-11,19.62,19.62,19.5,19.5,30400,7.65
1995-05-12,19.38,19.5,19.38,19.5,12600,7.65
1995-05-15,19.38,19.5,19.25,19.38,13400,7.6
1995-05-16,19.38,19.38,19.25,19.25,16600,7.55
1995-05-17,19.25,19.38,19.25,19.25,29200,7.55
1995-05-18,19.25,19.38,19.25,19.25,15600,7.55
1995-05-19,19.25,19.38,19.12,19.25,30000,7.55
1995-05-22,19.38,20.38,19.38,20.25,94800,7.95
1995-05-23,20.25,20.25,19.88,20.12,33800,7.9
1995-05-24,20.12,20.25,20.12,20.12,22200,7.9
1995-05-25,20.25,20.25,20.12,20.12,47800,7.9
1995-05-26,20.12,20.38,20.12,20.38,40200,8.0
1995-05-30,20.38,20.5,20.25,20.25,18000,7.95
1995-05-31,20.38,20.75,20.25,20.62,70600,8.09
1995-06-01,20.75,21.25,20.62,21.12,68600,8.29
1995-06-02,21.12,21.75,21.12,21.62,75400,8.49
1995-06-05,21.75,21.75,21.5,21.62,49600,8.49
1995-06-06,21.5,21.75,21.5,21.5,56400,8.44
1995-06-07,21.5,21.5,21.25,21.38,110400,8.39
1995-06-08,21.25,21.38,21.12,21.12,47800,8.29
1995-06-09,21.25,21.25,20.5,20.88,24800,8.19
1995-06-12,20.75,21.38,20.75,21.38,105400,8.39
1995-06-13,21.38,21.38,21.12,21.12,9800,8.29
1995-06-14,21.0,21.62,21.0,21.38,122400,8.39
1995-06-15,21.38,21.38,20.75,20.75,23200,8.14
1995-06-16,20.38,20.5,20.25,20.38,38200,8.0
1995-06-19,20.5,20.5,20.0,20.12,27800,7.9
1995-06-20,20.0,20.62,20.0,20.25,370800,7.95
1995-06-21,20.25,20.75,20.25,20.38,39000,8.0
1995-06-22,20.62,20.75,20.5,20.62,32000,8.09
1995-06-23,20.62,20.62,20.38,20.5,12200,8.05
1995-06-26,20.62,20.62,20.12,20.12,287600,7.9
1995-06-27,20.12,20.12,20.0,20.0,25000,7.85
1995-06-28,20.0,20.44,20.0,20.44,29200,8.02
1995-06-29,20.62,21.62,20.38,21.38,57000,8.39
1995-06-30,21.62,21.62,21.5,21.62,30200,8.49
1995-07-03,21.5,21.5,21.38,21.5,3600,8.44
1995-07-05,21.5,22.5,21.5,22.25,62000,8.73
1995-07-06,22.38,23.25,22.12,23.12,56600,9.08
1995-07-07,23.0,23.88,23.0,23.5,48000,9.22
1995-07-10,23.75,25.25,23.75,24.38,174800,9.57
1995-07-11,24.25,24.38,23.88,24.0,76600,9.42
1995-07-12,24.0,24.5,23.62,24.38,92000,9.57
1995-07-13,24.38,24.62,24.38,24.62,38800,9.66
1995-07-14,24.25,24.62,23.88,24.5,30000,9.61
1995-07-17,24.62,24.88,24.38,24.62,28200,9.66
1995-07-18,24.5,24.75,24.12,24.5,25400,9.61
1995-07-19,24.25,24.38,23.62,23.88,13600,9.37
1995-07-20,23.75,24.5,23.75,24.5,21200,9.61
1995-07-21,24.62,25.0,24.5,25.0,68800,9.81
1995-07-24,25.0,25.62,24.75,25.62,76400,10.06
1995-07-25,25.62,25.62,24.88,25.12,41000,9.86
1995-07-26,25.12,25.12,24.88,25.0,16800,9.81
1995-07-27,24.88,25.25,24.88,24.88,32400,9.76
1995-07-28,24.88,24.88,24.5,24.88,22600,9.76
1995-07-31,25.0,25.25,25.0,25.0,25200,9.81
1995-08-01,24.75,25.0,24.62,24.88,7800,9.76
1995-08-02,24.88,25.0,24.75,24.75,7000,9.71
1995-08-03,24.62,25.0,24.5,24.75,40000,9.71
1995-08-04,25.0,25.38,25.0,25.25,14600,9.91
1995-08-07,25.25,25.5,25.25,25.38,65000,9.96
1995-08-08,25.5,26.25,25.5,26.25,26000,10.3
1995-08-09,26.25,26.38,25.0,25.25,216200,9.91
1995-08-10,25.0,25.25,25.0,25.25,22800,9.91
1995-08-11,25.25,25.62,25.25,25.62,26800,10.06
1995-08-14,25.5,26.12,25.38,26.0,20200,10.2
1995-08-15,25.88,25.88,25.62,25.88,22000,10.15
1995-08-16,25.88,26.62,25.75,26.38,91600,10.35
1995-08-17,26.12,26.38,26.12,26.25,29200,10.3
1995-08-18,26.12,27.12,26.12,27.12,42200,10.65
1995-08-21,27.12,27.25,26.75,26.88,33800,10.55
1995-08-22,27.0,27.0,26.62,26.75,27800,10.5
1995-08-23,26.75,26.75,26.62,26.62,7800,10.45
1995-08-24,26.75,26.75,26.38,26.38,13800,10.35
1995-08-25,26.5,26.5,26.38,26.38,3200,10.35
1995-08-28,26.62,26.62,26.25,26.25,29200,10.3
1995-08-29,26.25,26.25,25.75,25.88,11800,10.15
1995-08-30,25.75,25.75,25.38,25.5,29400,10.01
1995-08-31,25.25,25.25,24.75,24.88,113000,9.76
1995-09-01,24.88,24.88,24.38,24.75,47800,9.71
1995-09-05,24.88,24.88,24.75,24.75,20800,9.71
1995-09-06,24.88,26.0,24.88,25.88,27000,10.15
1995-09-07,26.0,26.38,25.75,26.0,63200,10.2
1995-09-08,26.0,26.5,26.0,26.25,20600,10.3
1995-09-11,26.12,26.25,25.75,26.25,52400,10.3
