Date,Open,High,Low,Close,Volume,Adj Close
2008-03-28,49.5,49.5,47.54,47.56,119200,42.25
2008-03-31,45.99,46.61,45.7,46.36,112300,41.18
2008-04-01,49.13,50.18,48.73,50.07,77900,44.48
2008-04-02,50.6,51.2,49.9,50.5,42700,44.86
2008-04-03,49.78,50.26,48.99,49.65,46800,44.11
2008-04-04,50.24,51.32,50.24,50.82,63800,45.15
2008-04-07,52.27,52.57,51.54,51.81,68200,46.02
2008-04-08,51.78,52.08,51.49,51.9,33400,46.1
2008-04-09,52.52,52.65,51.79,52.1,41400,46.28
2008-04-10,51.81,51.91,50.9,51.47,63700,45.72
2008-04-11,50.83,51.05,50.27,50.32,14600,44.7
2008-04-14,50.54,50.63,50.15,50.33,60100,44.71
2008-04-15,50.52,50.66,49.8,50.05,52600,44.46
2008-04-16,49.97,50.58,49.67,50.39,50200,44.76
2008-04-17,49.33,49.63,49.1,49.53,162000,44.0
2008-04-18,50.86,51.59,50.86,51.44,93900,45.7
2008-04-21,51.27,51.81,51.27,51.78,7800,46.0
2008-04-22,51.58,51.66,51.2,51.59,72400,45.83
2008-04-23,51.94,52.22,51.59,51.96,16800,46.16
2008-04-24,52.72,53.6,52.35,52.95,39700,47.04
2008-04-25,53.1,53.56,52.68,53.39,69000,47.43
2008-04-28,53.63,53.87,53.3,53.42,34100,47.45
2008-04-29,52.62,52.94,52.06,52.18,87400,46.35
2008-04-30,52.36,55.5,52.32,53.34,59300,47.38
2008-05-01,52.67,53.33,52.46,53.33,18200,47.37
2008-05-02,54.83,54.83,54.16,54.48,66400,48.4
2008-05-05,54.84,54.84,54.07,54.44,56600,48.36
2008-05-06,54.0,54.88,53.6,54.74,71800,48.63
2008-05-07,54.7,54.82,53.74,53.77,77100,47.77
2008-05-08,53.16,53.18,52.65,52.89,75900,46.98
2008-05-09,52.54,52.65,51.75,52.34,28600,46.5
2008-05-12,52.73,53.25,52.0,53.1,34600,47.17
2008-05-13,53.06,53.44,52.72,53.33,21100,47.37
2008-05-14,53.52,54.32,53.52,53.85,21800,47.84
2008-05-15,54.34,55.26,53.9,55.1,82300,48.95
2008-05-16,55.3,55.3,54.25,54.72,39700,48.61
2008-05-19,54.91,55.61,54.74,55.1,52000,48.95
2008-05-20,53.7,53.7,52.73,53.17,112800,47.23
2008-05-21,52.45,52.57,51.01,51.1,50200,45.39
2008-05-22,51.45,52.02,51.32,51.62,65400,45.86
2008-05-23,51.06,51.06,50.15,50.36,52200,44.74
2008-05-27,51.02,51.46,50.73,51.46,41000,45.71
2008-05-28,51.44,51.44,50.74,51.38,37000,45.64
2008-05-29,50.36,51.57,50.36,51.34,62700,45.61
2008-05-30,52.0,52.4,51.76,52.24,50200,46.41
2008-06-02,51.92,52.03,51.47,51.71,22200,45.94
2008-06-03,52.36,52.38,51.12,51.58,51300,45.82
2008-06-04,51.27,51.31,50.0,50.64,62700,44.99
