Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,13.0,14.35,11.77,13.98,9465500,13.98
2014-03-31,14.49,14.82,13.61,13.65,561000,13.65
2014-04-01,13.65,14.15,13.65,14.06,467300,14.06
2014-04-02,14.1,15.61,13.93,15.61,592100,15.61
2014-04-03,15.85,15.89,13.27,14.15,485200,14.15
2014-04-04,13.89,14.19,13.0,13.06,415300,13.06
2014-04-07,13.05,13.39,12.83,12.99,213600,12.99
2014-04-08,13.24,13.28,12.86,13.01,119000,13.01
2014-04-09,13.31,13.31,12.67,12.97,140500,12.97
2014-04-10,12.89,13.19,12.52,13.08,165100,13.08
2014-04-11,13.27,13.27,12.57,12.94,214000,12.94
2014-04-14,13.3,13.3,12.82,12.85,221500,12.85
2014-04-15,13.4,13.4,12.0,12.6,401600,12.6
2014-04-16,12.02,12.74,12.02,12.52,163800,12.52
2014-04-17,12.4,13.19,12.28,13.06,82200,13.06
2014-04-21,13.3,13.3,12.95,13.1,71800,13.1
2014-04-22,13.34,14.65,13.34,14.17,633700,14.17
2014-04-23,14.33,14.86,14.17,14.4,137000,14.4
2014-04-24,14.52,14.77,14.2,14.7,95300,14.7
