Date,Open,High,Low,Close,Volume,Adj Close
1990-03-26,30.75,30.75,30.75,30.75,1800,2.01
1990-03-27,31.25,31.25,30.75,30.75,2600,2.01
1990-03-28,30.75,30.75,30.75,30.75,0,2.01
1990-03-29,30.75,30.75,30.75,30.75,0,2.01
1990-03-30,30.75,30.75,30.75,30.75,3600,2.01
1990-04-02,30.75,30.75,30.75,30.75,0,2.01
1990-04-03,30.75,30.75,30.75,30.75,4400,2.01
1990-04-04,30.75,30.75,30.75,30.75,0,2.01
1990-04-05,30.5,30.5,30.5,30.5,27000,2.0
1990-04-06,30.5,30.5,30.5,30.5,0,2.0
1990-04-09,30.5,30.5,30.5,30.5,9000,2.0
1990-04-10,31.0,31.0,31.0,31.0,2600,2.03
1990-04-11,30.5,30.5,30.5,30.5,4400,2.0
1990-04-12,31.0,31.0,31.0,31.0,18800,2.03
1990-04-16,31.0,31.0,30.5,30.75,425600,2.01
1990-04-17,30.75,31.5,30.75,31.25,70200,2.05
1990-04-18,31.25,31.25,31.25,31.25,0,2.05
1990-04-19,31.25,31.25,31.25,31.25,0,2.05
1990-04-20,30.75,30.75,30.75,30.75,800,2.01
1990-04-23,31.0,31.0,31.0,31.0,9000,2.03
1990-04-24,31.0,31.0,31.0,31.0,0,2.03
1990-04-25,31.0,31.0,31.0,31.0,117000,2.03
1990-04-26,31.0,31.0,31.0,31.0,9000,2.03
1990-04-27,30.75,30.75,30.75,30.75,11600,2.01
1990-04-30,30.75,30.75,30.75,30.75,0,2.01
1990-05-01,30.75,30.75,30.75,30.75,0,2.01
1990-05-02,31.0,31.0,31.0,31.0,1800,2.03
1990-05-03,31.0,31.0,31.0,31.0,0,2.03
1990-05-04,31.0,31.0,31.0,31.0,0,2.03
1990-05-07,31.0,31.0,31.0,31.0,0,2.03
1990-05-08,31.0,31.0,30.75,30.75,15200,2.01
1990-05-09,30.75,30.75,30.75,30.75,800,2.01
1990-05-10,30.75,30.75,30.75,30.75,800,2.01
1990-05-11,30.75,30.75,30.75,30.75,800,2.01
1990-05-14,30.75,30.75,30.75,30.75,0,2.01
