Date,Open,High,Low,Close,Volume,Adj Close
2013-01-15,17.5,17.93,17.4,17.6,9229600,16.42
2013-01-16,17.7,17.8,17.57,17.57,1699400,16.39
2013-01-17,17.58,17.7,17.5,17.5,665900,16.32
2013-01-18,17.5,17.58,17.25,17.4,565300,16.23
2013-01-22,17.45,17.91,17.28,17.87,438700,16.67
2013-01-23,17.94,17.94,17.69,17.83,435300,16.63
2013-01-24,17.77,17.91,17.72,17.8,257600,16.6
2013-01-25,17.89,17.98,17.75,17.8,264400,16.6
2013-01-28,17.78,17.85,17.64,17.75,131500,16.56
2013-01-29,17.8,17.84,17.66,17.75,156100,16.56
2013-01-30,17.8,17.82,17.66,17.78,131800,16.59
2013-01-31,17.85,17.85,17.65,17.72,103900,16.53
2013-02-01,17.75,17.95,17.74,17.82,114200,16.62
2013-02-04,17.89,17.89,17.55,17.75,88200,16.56
2013-02-05,17.85,17.85,17.65,17.75,106400,16.56
2013-02-06,17.75,17.9,17.65,17.79,140700,16.6
2013-02-07,17.73,17.95,17.71,17.91,117200,16.71
2013-02-08,17.84,17.95,17.72,17.95,115100,16.74
2013-02-11,18.11,18.44,18.05,18.31,989900,17.08
2013-02-12,18.45,18.77,18.4,18.45,401700,17.21
2013-02-13,18.57,18.85,18.43,18.51,231900,17.27
2013-02-14,18.56,18.66,18.38,18.39,149000,17.16
2013-02-15,18.33,18.45,18.13,18.4,218100,17.16
2013-02-19,18.33,18.48,18.13,18.4,190200,17.16
2013-02-20,18.33,18.55,18.23,18.26,182700,17.03
2013-02-21,18.26,18.35,18.02,18.03,167300,16.82
2013-02-22,18.17,18.45,18.17,18.34,178300,17.11
2013-02-25,18.31,18.46,18.12,18.16,108000,16.94
2013-02-26,18.3,18.49,18.06,18.45,166300,17.21
2013-02-27,18.49,18.67,18.27,18.57,185900,17.32
2013-02-28,18.47,18.69,18.39,18.65,207400,17.4
2013-03-01,18.53,18.8,18.32,18.7,129500,17.44
2013-03-04,18.77,19.0,18.6,18.97,131900,17.7
2013-03-05,18.98,19.3,18.97,19.2,189300,17.91
2013-03-06,19.16,19.25,18.62,19.05,180000,17.77
2013-03-07,19.0,19.2,18.82,19.16,54800,17.87
2013-03-08,18.83,19.39,18.83,19.31,214600,18.01
2013-03-11,19.29,19.65,19.04,19.6,129500,18.28
2013-03-12,19.51,19.75,19.3,19.52,110100,18.21
2013-03-13,19.45,19.75,19.32,19.65,80000,18.33
2013-03-14,19.65,19.85,19.45,19.61,114700,18.29
2013-03-15,19.47,19.82,19.41,19.76,104100,18.43
2013-03-18,19.7,19.7,19.25,19.52,143400,18.21
2013-03-19,19.51,19.52,19.2,19.2,152000,17.91
2013-03-20,19.18,19.26,18.67,19.18,176500,17.89
2013-03-21,19.0,19.17,18.85,19.13,66500,17.85
2013-03-22,19.23,19.35,18.93,19.2,44200,17.91
2013-03-25,19.15,19.22,19.0,19.2,62900,17.91
2013-03-26,19.15,19.5,19.1,19.47,66200,18.16
2013-03-27,19.27,19.66,19.17,19.65,77400,18.33
2013-03-28,19.56,20.0,19.48,20.0,136100,18.66
2013-04-01,19.83,19.99,19.71,19.9,127600,18.56
2013-04-02,19.95,20.08,19.85,20.0,144100,18.66
2013-04-03,20.0,20.01,19.61,19.62,175300,18.3
2013-04-04,19.56,19.65,19.36,19.61,104700,18.29
2013-04-05,19.36,19.89,18.77,19.75,68100,18.42
2013-04-08,19.66,19.98,19.33,19.86,82700,18.53
2013-04-09,19.76,20.01,19.75,19.97,101600,18.63
2013-04-10,19.99,20.03,19.81,20.01,79100,18.67
2013-04-11,20.02,20.25,19.85,20.0,180100,18.66
2013-04-12,19.91,20.0,19.76,19.99,34500,18.65
2013-04-15,19.81,19.98,19.27,19.58,130300,18.27
2013-04-16,19.66,19.74,19.53,19.69,124300,18.37
2013-04-17,19.53,19.65,19.17,19.29,138100,17.99
2013-04-18,19.19,19.72,19.05,19.62,191000,18.3
2013-04-19,19.48,19.98,19.4,19.8,100700,18.47
2013-04-22,19.75,20.03,19.71,19.97,62400,18.63
2013-04-23,19.9,20.92,19.8,20.8,134500,19.4
2013-04-24,20.87,21.18,20.62,20.89,145100,19.49
2013-04-25,20.95,21.89,20.79,21.18,152200,19.76
2013-04-26,21.48,21.58,20.75,20.81,92600,19.41
2013-04-29,21.0,21.38,21.0,21.26,169900,19.83
2013-04-30,21.34,21.6,21.15,21.5,130800,20.06
2013-05-01,20.98,21.78,20.98,21.52,15400,20.41
2013-05-02,21.52,21.6,21.16,21.4,60400,20.29
2013-05-03,21.51,21.72,21.3,21.7,114400,20.58
2013-05-06,21.61,22.29,21.54,22.19,84600,21.04
2013-05-07,22.3,22.47,22.2,22.43,43100,21.27
2013-05-08,22.32,22.68,22.23,22.33,73400,21.17
2013-05-09,22.27,22.32,21.43,22.0,208400,20.86
2013-05-10,21.86,22.46,21.66,22.3,103200,21.14
2013-05-13,22.0,22.34,21.95,22.22,103600,21.07
2013-05-14,22.01,22.21,21.65,21.78,134900,20.65
2013-05-15,21.9,22.05,21.5,21.77,57300,20.64
2013-05-16,21.68,21.84,21.68,21.7,47100,20.58
2013-05-17,21.81,22.07,21.72,21.98,47600,20.84
2013-05-20,22.02,22.2,21.8,21.87,15000,20.74
2013-05-21,21.87,22.0,21.82,21.85,42500,20.72
2013-05-22,21.82,21.99,21.82,21.85,35200,20.72
2013-05-23,21.8,21.8,21.32,21.44,38000,20.33
2013-05-24,21.35,21.94,21.35,21.88,47500,20.75
2013-05-28,22.0,22.42,21.84,22.12,66800,20.97
2013-05-29,22.14,22.72,22.14,22.72,119400,21.54
2013-05-30,22.59,22.83,22.29,22.31,126500,21.15
2013-05-31,22.45,22.64,22.05,22.19,24600,21.04
2013-06-03,23.35,23.35,22.37,22.86,97200,21.68
2013-06-04,22.75,22.86,21.65,21.65,268200,20.53
2013-06-05,21.63,21.74,20.37,20.59,233200,19.52
2013-06-06,20.66,20.94,20.52,20.72,55900,19.65
2013-06-07,20.84,21.25,20.68,21.17,39300,20.07
2013-06-10,21.2,22.12,21.2,21.93,136500,20.79
2013-06-11,21.66,22.19,21.66,22.17,25800,21.02
2013-06-12,22.11,22.5,21.53,22.26,29600,21.11
2013-06-13,22.12,22.65,21.67,22.62,27500,21.45
2013-06-14,22.03,23.0,22.03,22.94,30300,21.75
2013-06-17,23.23,23.26,22.77,23.24,68600,22.04
2013-06-18,22.98,23.38,22.87,23.32,73400,22.11
2013-06-19,23.13,23.35,23.06,23.34,28600,22.13
2013-06-20,23.32,23.38,22.77,23.05,83200,21.86
2013-06-21,23.0,23.17,22.77,23.07,110100,21.88
2013-06-24,22.82,23.2,22.13,23.18,67100,21.98
2013-06-25,23.25,23.72,23.12,23.12,71200,21.92
2013-06-26,23.41,23.43,23.0,23.17,65400,21.97
2013-06-27,23.17,23.33,23.06,23.31,23300,22.1
2013-06-28,23.15,23.66,23.15,23.53,57600,22.31
2013-07-01,23.98,24.2,23.44,23.89,67500,22.65
2013-07-02,23.85,24.08,23.73,23.84,45500,22.61
2013-07-03,23.87,23.88,23.27,23.34,24700,22.13
2013-07-05,23.59,23.79,23.44,23.53,28100,22.31
2013-07-08,23.53,24.4,23.42,24.16,72200,22.91
2013-07-09,24.01,24.36,24.01,24.3,40600,23.04
2013-07-10,24.36,24.4,24.2,24.31,16300,23.05
2013-07-11,24.35,24.48,24.2,24.4,35000,23.14
2013-07-12,24.37,24.66,24.31,24.4,21200,23.14
2013-07-15,24.51,24.73,24.51,24.69,102000,23.41
2013-07-16,24.94,24.95,24.6,24.83,136500,23.54
2013-07-17,24.87,25.6,24.87,25.48,45100,24.16
2013-07-18,25.92,25.96,25.5,25.55,109300,24.23
2013-07-19,25.61,25.97,25.61,25.85,21000,24.51
2013-07-22,26.0,26.17,25.78,25.78,36000,24.44
2013-07-23,26.02,26.08,25.09,25.21,38600,23.9
2013-07-24,25.36,25.36,24.66,24.68,25800,23.4
2013-07-25,24.79,25.38,24.57,25.21,27700,23.9
2013-07-26,25.35,25.6,25.03,25.52,31100,24.2
2013-07-29,25.6,25.86,24.9,25.5,40500,24.18
2013-07-30,25.77,26.2,25.38,25.98,420700,24.63
2013-07-31,25.74,25.74,25.1,25.38,41300,24.48
2013-08-01,25.5,26.3,25.41,26.19,39500,25.26
2013-08-02,26.19,26.19,25.71,26.06,16600,25.14
2013-08-05,26.5,26.5,26.02,26.1,11600,25.17
2013-08-06,26.2,26.2,25.6,25.61,21100,24.7
2013-08-07,25.67,25.95,25.26,25.76,22300,24.85
2013-08-08,25.85,26.15,25.68,25.98,20900,25.06
2013-08-09,26.15,26.5,25.97,26.27,37600,25.34
2013-08-12,26.32,26.32,25.18,25.22,33300,24.33
2013-08-13,24.61,25.07,23.52,24.48,444600,23.61
2013-08-14,25.47,25.71,25.05,25.3,123800,24.4
2013-08-15,25.16,25.74,24.31,24.41,53600,23.54
2013-08-16,24.51,24.51,23.98,24.2,38700,23.34
2013-08-19,24.35,24.38,23.75,23.82,29100,22.98
2013-08-20,24.37,24.65,23.8,24.0,27300,23.15
2013-08-21,23.9,24.49,23.8,24.49,13800,23.62
