Date,Open,High,Low,Close,Volume,Adj Close
2014-02-28,39.0,47.94,38.0,44.0,7376600,44.0
2014-03-03,44.1,49.74,42.76,43.19,1144800,43.19
2014-03-04,45.86,46.7,44.0,45.0,479700,45.0
2014-03-05,45.0,50.82,45.0,49.25,557400,49.25
2014-03-06,51.5,54.22,50.0,53.09,607700,53.09
2014-03-07,56.5,56.8,52.45,53.48,406800,53.48
2014-03-10,53.4,53.99,47.16,47.49,560200,47.49
2014-03-11,48.0,48.22,43.91,44.54,599500,44.54
2014-03-12,42.77,44.57,40.56,44.0,1121400,44.0
2014-03-13,45.2,45.98,41.67,43.1,400300,43.1
2014-03-14,42.78,43.94,41.7,42.0,245400,42.0
2014-03-17,42.35,44.93,41.05,44.56,238500,44.56
2014-03-18,45.75,46.75,44.23,45.01,261200,45.01
2014-03-19,45.0,46.5,44.1,46.34,215800,46.34
2014-03-20,46.1,46.6,43.45,43.71,184200,43.71
2014-03-21,43.65,43.65,38.27,39.86,438400,39.86
2014-03-24,39.75,39.75,35.12,36.51,454800,36.51
2014-03-25,38.07,43.9,37.4,43.78,550000,43.78
2014-03-26,44.21,45.0,38.06,38.38,317300,38.38
2014-03-27,38.13,38.52,35.26,36.6,279200,36.6
2014-03-28,36.48,37.84,34.72,35.08,371100,35.08
2014-03-31,35.5,36.71,33.61,35.76,828500,35.76
2014-04-01,35.84,38.3,35.2,36.97,271300,36.97
2014-04-02,36.06,36.92,35.0,35.29,283200,35.29
2014-04-03,35.55,36.49,32.75,33.39,324200,33.39
2014-04-04,33.48,33.96,31.41,31.92,250100,31.92
2014-04-07,31.64,32.0,29.79,29.97,448600,29.97
2014-04-08,30.12,30.6,26.19,26.67,685500,26.67
2014-04-09,27.02,29.25,25.55,29.02,752100,29.02
2014-04-10,28.35,29.15,26.07,26.91,392600,26.91
2014-04-11,28.47,28.47,25.57,25.64,270100,25.64
2014-04-14,25.98,27.69,25.51,26.92,452800,26.92
2014-04-15,27.0,27.55,25.8,26.5,348300,26.5
2014-04-16,26.79,27.45,25.8,27.13,149100,27.13
2014-04-17,27.16,28.64,26.2,28.24,227400,28.24
2014-04-21,28.11,28.36,27.01,27.36,155600,27.36
2014-04-22,27.85,30.81,27.45,30.48,388000,30.48
2014-04-23,30.51,30.51,28.56,28.92,134600,28.92
2014-04-24,29.16,29.68,27.05,28.1,171000,28.1
