Date,Open,High,Low,Close,Volume,Adj Close
2014-03-21,28.0,36.3,28.0,31.37,6076300,31.37
2014-03-24,31.0,32.65,27.5,29.64,775200,29.64
2014-03-25,29.66,33.48,29.32,31.12,113600,31.12
2014-03-26,31.2,32.98,30.53,30.87,113800,30.87
2014-03-27,30.62,30.94,27.0,30.01,254500,30.01
2014-03-28,29.98,30.55,28.83,29.94,230700,29.94
2014-03-31,30.45,31.3,29.93,30.05,77400,30.05
2014-04-01,30.0,30.6,29.89,29.96,186000,29.96
2014-04-02,29.58,31.73,28.53,30.03,259600,30.03
2014-04-03,29.96,30.55,28.26,28.57,139300,28.57
2014-04-04,29.85,29.85,27.07,27.36,207500,27.36
2014-04-07,26.65,28.43,26.6,27.96,166900,27.96
2014-04-08,28.37,28.48,27.31,27.74,145000,27.74
2014-04-09,27.99,28.56,26.51,28.0,110600,28.0
2014-04-10,27.87,28.25,27.0,27.12,308100,27.12
2014-04-11,26.18,26.94,23.51,26.01,266800,26.01
2014-04-14,26.12,26.46,24.07,24.56,375800,24.56
2014-04-15,25.98,27.44,24.75,26.0,369500,26.0
2014-04-16,26.37,27.5,26.02,26.69,276800,26.69
2014-04-17,26.89,27.17,25.0,25.36,100600,25.36
2014-04-21,25.36,27.25,25.01,26.7,34900,26.7
2014-04-22,26.99,29.21,25.7,28.33,268800,28.33
2014-04-23,28.52,29.98,27.56,29.71,232300,29.71
2014-04-24,29.95,30.35,28.53,29.89,266000,29.89
