Date,Open,High,Low,Close,Volume,Adj Close
2002-06-13,13.48,16.24,13.24,16.24,20400,10.03
2002-06-14,16.24,16.24,16.24,16.24,0,10.03
2002-06-17,16.24,16.24,16.24,16.24,0,10.03
2002-06-18,16.24,16.24,16.24,16.24,2000,10.03
2002-06-19,16.24,16.48,16.24,16.24,18400,10.03
2002-06-20,16.0,16.0,15.4,15.4,6900,9.52
2002-06-21,15.64,15.64,15.4,15.4,5400,9.52
2002-06-24,15.24,15.48,15.24,15.48,1700,9.56
2002-06-25,15.64,15.88,15.64,15.72,19800,9.71
2002-06-26,15.24,15.72,15.24,15.24,3000,9.42
2002-06-27,15.0,15.0,14.72,14.72,2200,9.1
2002-06-28,14.88,15.0,14.0,14.0,70900,8.65
2002-07-01,14.0,14.0,13.08,13.08,52100,8.08
2002-07-02,13.0,13.15,12.9,12.9,99800,7.97
2002-07-03,12.9,13.05,12.6,12.6,60200,7.79
2002-07-05,12.7,12.7,12.43,12.59,49900,7.78
2002-07-08,12.65,12.95,12.55,12.6,140500,7.79
2002-07-09,12.55,12.7,12.4,12.4,62300,7.66
2002-07-10,12.5,12.5,11.45,11.71,72700,7.24
2002-07-11,11.7,11.95,11.7,11.7,31500,7.23
2002-07-12,11.7,11.7,11.4,11.6,114000,7.17
2002-07-15,11.6,11.95,11.55,11.95,171300,7.38
2002-07-16,12.2,12.65,12.1,12.55,50300,7.75
2002-07-17,12.62,13.45,12.62,13.0,109800,8.03
2002-07-18,12.98,13.25,12.8,12.9,30100,7.97
2002-07-19,12.9,14.35,12.9,14.35,22300,8.87
2002-07-22,14.25,14.45,13.7,13.7,27800,8.46
2002-07-23,13.65,13.76,12.31,12.34,29900,7.62
2002-07-24,12.44,12.6,12.1,12.45,119900,7.69
2002-07-25,12.45,13.45,12.35,13.45,19800,8.31
2002-07-26,13.45,13.45,13.15,13.45,26300,8.31
2002-07-29,13.5,13.55,13.19,13.33,82100,8.24
2002-07-30,13.3,13.5,13.06,13.39,17900,8.27
2002-07-31,13.4,13.57,13.4,13.41,13600,8.29
2002-08-01,13.4,13.45,13.24,13.28,7400,8.21
2002-08-02,13.22,13.23,12.8,13.0,12000,8.03
2002-08-05,13.0,13.4,12.79,13.4,39900,8.28
2002-08-06,13.4,13.45,13.3,13.45,16400,8.31
2002-08-07,13.46,13.8,13.35,13.77,20500,8.51
2002-08-08,14.0,14.78,13.9,14.7,16300,9.08
2002-08-09,14.7,15.3,14.65,15.3,15000,9.45
2002-08-12,15.5,17.27,15.5,16.85,58200,10.41
2002-08-13,16.85,16.9,16.5,16.5,45900,10.19
2002-08-14,16.5,16.5,16.1,16.1,9000,9.95
2002-08-15,16.1,16.5,16.1,16.5,81400,10.19
2002-08-16,16.4,16.4,16.0,16.0,38600,9.89
2002-08-19,15.9,15.9,15.45,15.75,20300,9.73
2002-08-20,15.75,15.85,15.45,15.49,26300,9.57
2002-08-21,15.5,15.5,15.25,15.25,22300,9.42
2002-08-22,15.27,15.31,14.8,14.8,19200,9.14
2002-08-23,14.7,14.7,14.6,14.6,1300,9.02
2002-08-26,14.6,14.6,14.32,14.5,19500,8.96
2002-08-27,14.45,14.8,14.4,14.7,9400,9.08
2002-08-28,14.65,14.65,14.4,14.4,9400,8.9
2002-08-29,14.35,14.45,14.25,14.25,6400,8.8
2002-08-30,14.25,14.5,14.25,14.5,6000,8.96
2002-09-03,14.4,14.5,14.3,14.4,13000,8.9
2002-09-04,14.38,14.4,14.17,14.23,48500,8.79
2002-09-05,14.01,14.15,14.01,14.05,23000,8.68
2002-09-06,14.02,14.41,14.01,14.4,11200,8.9
2002-09-09,14.3,14.56,14.15,14.56,25800,9.0
2002-09-10,14.65,14.82,14.6,14.6,4900,9.02
2002-09-11,14.6,14.85,14.6,14.85,4200,9.18
2002-09-12,14.95,14.95,14.8,14.94,3500,9.24
2002-09-13,14.99,14.99,14.86,14.86,6100,9.19
2002-09-16,14.9,14.95,14.8,14.95,3300,9.25
2002-09-17,14.95,14.95,14.67,14.72,2600,9.11
2002-09-18,14.62,14.62,14.45,14.45,1700,8.94
2002-09-19,14.4,14.4,14.25,14.25,9000,8.82
2002-09-20,14.15,14.2,13.8,14.15,20000,8.75
2002-09-23,14.1,14.1,14.0,14.0,16900,8.66
2002-09-24,13.91,14.05,13.91,14.01,2400,8.67
2002-09-25,14.01,14.01,14.0,14.0,3000,8.66
2002-09-26,14.0,14.2,14.0,14.15,1600,8.75
2002-09-27,14.25,14.25,14.1,14.1,1900,8.72
2002-09-30,14.09,14.25,13.95,14.24,8700,8.81
2002-10-01,14.16,14.2,14.0,14.05,27700,8.69
2002-10-02,14.04,14.15,13.99,13.99,103800,8.66
2002-10-03,13.99,14.1,13.9,14.05,44500,8.69
2002-10-04,14.0,14.15,14.0,14.0,4300,8.66
2002-10-07,13.95,14.09,13.9,14.05,6300,8.69
2002-10-08,13.98,14.08,13.93,14.03,4600,8.68
