Date,Open,High,Low,Close,Volume,Adj Close
2013-10-10,24.0,24.74,23.62,24.1,10930300,23.89
2013-10-11,24.08,24.48,23.88,24.3,974800,24.09
2013-10-14,24.29,24.33,24.13,24.26,324000,24.05
2013-10-15,24.03,24.49,24.03,24.23,145100,24.02
2013-10-16,24.35,24.4,24.02,24.13,162800,23.92
2013-10-17,24.19,24.2,23.6,23.75,297000,23.54
2013-10-18,23.83,24.16,23.12,24.01,1661200,23.8
2013-10-21,24.06,24.38,23.9,23.95,263300,23.74
2013-10-22,24.5,24.5,23.93,24.01,267600,23.8
2013-10-23,23.79,24.2,23.75,23.92,501200,23.71
2013-10-24,23.8,24.01,23.5,23.61,492700,23.4
2013-10-25,23.7,24.0,23.33,23.71,101300,23.5
2013-10-28,23.8,23.94,23.5,23.77,223500,23.56
2013-10-29,23.73,24.25,23.59,24.18,558100,23.97
2013-10-30,24.98,24.98,24.33,24.53,414500,24.32
2013-10-31,24.54,24.65,24.45,24.55,249000,24.34
2013-11-01,24.58,24.63,24.25,24.34,239700,24.13
2013-11-04,24.62,25.77,24.61,25.55,444800,25.33
2013-11-05,25.5,25.65,25.2,25.45,296900,25.23
2013-11-06,25.5,26.39,25.39,26.02,389000,25.79
2013-11-07,26.02,26.39,25.86,26.24,164100,26.01
2013-11-08,26.4,26.45,25.77,25.91,174300,25.68
2013-11-11,25.88,25.89,25.64,25.82,133500,25.59
2013-11-12,25.82,25.84,25.49,25.5,235300,25.28
2013-11-13,25.23,25.55,25.1,25.32,109300,25.1
2013-11-14,25.47,26.04,25.28,25.34,133800,25.12
2013-11-15,25.49,25.5,25.07,25.17,167000,24.95
2013-11-18,25.33,25.5,25.0,25.05,64300,24.83
2013-11-19,25.0,25.46,24.4,24.7,78800,24.48
2013-11-20,24.73,25.24,23.88,24.39,225600,24.18
2013-11-21,24.54,25.16,24.12,24.22,133100,24.01
2013-11-22,24.22,24.88,24.22,24.87,20500,24.65
2013-11-25,24.76,25.43,24.76,25.43,12400,25.21
2013-11-26,25.45,25.75,25.08,25.26,66000,25.04
2013-11-27,25.36,25.59,25.07,25.2,38200,24.98
2013-11-29,25.29,25.49,25.2,25.44,19900,25.22
2013-12-02,25.44,25.65,25.1,25.46,73100,25.24
2013-12-03,25.33,25.96,25.09,25.96,97200,25.73
2013-12-04,25.75,25.97,25.03,25.06,40400,24.84
2013-12-05,25.06,25.12,24.29,24.44,73500,24.23
2013-12-06,24.44,24.74,24.17,24.54,102300,24.33
2013-12-09,24.69,25.08,24.59,25.0,42600,24.78
2013-12-10,25.0,25.06,24.17,24.2,67600,23.99
2013-12-11,24.35,24.66,24.08,24.35,26400,24.14
2013-12-12,24.5,24.5,24.1,24.47,16000,24.26
2013-12-13,24.51,24.91,24.25,24.9,81000,24.68
2013-12-16,24.91,25.26,24.57,25.11,49000,24.89
2013-12-17,24.99,25.5,24.99,25.37,36300,25.15
2013-12-18,25.27,26.09,24.94,26.09,33200,25.86
2013-12-19,26.23,26.3,25.79,26.1,25400,25.87
