Date,Open,High,Low,Close,Volume,Adj Close
2013-10-31,21.2,27.0,21.15,24.12,20628500,24.12
2013-11-01,25.1,26.0,24.47,25.0,2779200,25.0
2013-11-04,24.97,25.24,24.03,24.58,1090400,24.58
2013-11-05,24.4,28.0,24.31,27.38,1390800,27.38
2013-11-06,27.56,27.58,26.0,26.62,919600,26.62
2013-11-07,26.41,27.73,25.66,26.47,827400,26.47
2013-11-08,26.0,28.79,25.7,28.54,1087300,28.54
2013-11-11,29.0,34.45,28.5,31.88,1671400,31.88
2013-11-12,32.2,33.6,31.37,33.14,745000,33.14
2013-11-13,33.1,38.5,32.5,36.0,1462100,36.0
2013-11-14,37.83,37.83,34.83,35.5,802800,35.5
2013-11-15,35.32,35.53,34.0,34.11,688000,34.11
2013-11-18,34.27,35.8,34.2,34.74,489700,34.74
2013-11-19,35.19,37.68,35.0,35.88,748900,35.88
2013-11-20,36.1,37.5,35.8,35.95,405600,35.95
2013-11-21,36.0,37.21,36.0,36.45,322100,36.45
2013-11-22,36.98,38.7,32.63,33.59,1004500,33.59
2013-11-25,33.59,34.6,31.67,32.62,38800,32.62
2013-11-26,33.43,38.15,33.3,37.3,765800,37.3
2013-11-27,33.5,34.6,32.39,33.51,1855500,33.51
2013-11-29,34.0,34.0,31.55,32.71,695000,32.71
2013-12-02,32.75,32.78,30.0,30.84,960100,30.84
2013-12-03,30.1,31.05,28.01,28.11,1397600,28.11
2013-12-04,28.15,30.19,27.66,29.93,833900,29.93
2013-12-05,30.0,31.18,29.25,31.15,541900,31.15
2013-12-06,31.15,31.7,30.0,30.09,370800,30.09
2013-12-09,31.0,31.47,29.0,29.46,286300,29.46
2013-12-10,29.84,30.2,29.06,29.58,261000,29.58
2013-12-11,29.79,30.75,29.5,29.7,463900,29.7
2013-12-12,30.45,31.49,29.33,31.2,483900,31.2
2013-12-13,31.2,32.43,29.8,30.15,607900,30.15
2013-12-16,30.25,30.8,29.0,29.29,298000,29.29
2013-12-17,29.29,29.66,28.75,29.66,223300,29.66
2013-12-18,29.75,30.33,29.5,30.04,289800,30.04
2013-12-19,30.09,30.62,29.74,30.49,210700,30.49
2013-12-20,30.85,31.85,30.76,31.26,828400,31.26
2013-12-23,31.75,32.02,31.45,31.72,622900,31.72
2013-12-24,31.75,31.98,31.05,31.32,199900,31.32
2013-12-26,31.43,35.74,31.4,35.73,855600,35.73
2013-12-27,35.5,39.63,34.21,38.99,1479600,38.99
