Date,Open,High,Low,Close,Volume,Adj Close
2005-05-06,20.88,25.15,20.5,24.87,6796600,12.44
2005-05-09,25.1,25.69,23.4,24.51,805000,12.26
2005-05-10,24.5,24.6,23.76,24.1,358800,12.05
2005-05-11,24.2,24.6,23.85,24.25,282400,12.12
2005-05-12,23.66,24.0,23.5,23.5,252200,11.75
2005-05-13,23.42,23.94,23.1,23.12,154200,11.56
2005-05-16,23.11,23.2,22.75,23.16,102200,11.58
2005-05-17,22.76,24.83,22.76,24.83,80200,12.41
2005-05-18,24.84,25.9,24.36,25.12,341800,12.56
2005-05-19,25.94,25.94,25.0,25.7,93600,12.85
2005-05-20,26.0,26.45,25.13,25.5,230800,12.75
2005-05-23,26.38,26.38,25.31,25.79,113800,12.9
2005-05-24,25.88,25.88,24.99,25.75,60600,12.88
2005-05-25,25.25,25.7,25.0,25.07,226600,12.53
2005-05-26,25.08,26.0,25.0,25.3,319400,12.65
2005-05-27,25.35,26.0,25.35,25.4,289800,12.7
2005-05-31,25.75,25.75,25.27,25.63,212000,12.81
2005-06-01,25.6,27.34,25.5,26.0,663000,13.0
2005-06-02,26.42,28.0,26.32,27.1,435400,13.55
2005-06-03,27.25,27.79,26.86,27.62,50000,13.81
2005-06-06,27.65,28.45,27.65,28.17,99600,14.09
2005-06-07,28.4,29.28,27.94,28.75,84800,14.38
2005-06-08,28.97,28.97,27.17,28.0,129400,14.0
2005-06-09,28.38,28.38,27.27,27.33,80600,13.66
2005-06-10,27.55,27.62,27.1,27.4,17400,13.7
2005-06-13,27.53,27.8,26.0,27.31,215200,13.65
2005-06-14,27.6,27.69,27.06,27.16,17800,13.58
2005-06-15,29.3,30.05,28.41,29.84,729600,14.92
2005-06-16,30.0,31.82,29.37,30.3,583400,15.15
2005-06-17,31.01,31.01,30.11,30.25,128200,15.12
2005-06-20,29.99,30.27,29.0,29.17,202400,14.59
2005-06-21,29.39,30.0,29.1,29.95,62600,14.98
2005-06-22,30.47,30.74,29.44,29.96,112400,14.98
2005-06-23,30.82,31.54,29.1,30.45,207000,15.23
2005-06-24,30.9,30.98,30.03,30.08,330000,15.04
2005-06-27,30.1,30.3,29.78,30.05,101800,15.02
2005-06-28,30.17,30.5,30.01,30.27,51000,15.14
2005-06-29,30.26,30.57,30.15,30.57,210200,15.28
2005-06-30,30.61,30.98,29.1,29.15,141400,14.57
2005-07-01,29.25,29.3,27.41,29.12,132000,14.56
2005-07-05,29.1,30.09,28.9,29.85,164600,14.93
2005-07-06,29.28,31.18,29.28,30.95,145400,15.48
2005-07-07,30.72,31.19,30.62,31.03,151200,15.52
2005-07-08,31.22,32.64,31.13,31.36,151200,15.68
2005-07-11,31.49,31.87,30.98,31.18,58400,15.59
2005-07-12,31.08,31.72,30.85,31.2,54200,15.6
2005-07-13,31.5,32.74,31.41,32.19,280200,16.09
2005-07-14,32.48,32.8,32.0,32.8,67000,16.4
2005-07-15,32.96,33.34,32.56,33.15,35200,16.58
2005-07-18,33.51,34.58,33.13,33.21,82600,16.6
2005-07-19,33.37,34.55,33.23,33.53,38400,16.76
2005-07-20,33.71,34.08,33.53,34.0,17800,17.0
2005-07-21,34.15,35.09,33.75,33.83,64000,16.92
2005-07-22,34.76,34.76,33.47,34.12,20800,17.06
2005-07-25,34.46,36.69,33.9,34.14,97600,17.07
