Date,Open,High,Low,Close,Volume,Adj Close
1999-12-13,1.06,1.06,1.06,1.06,100,10.63
1999-12-14,1.06,1.06,1.06,1.06,600,10.63
1999-12-15,1.31,1.31,1.31,1.31,0,13.13
1999-12-16,1.31,1.31,1.31,1.31,0,13.13
1999-12-17,1.31,1.72,1.31,1.72,200,17.19
1999-12-20,1.72,1.72,1.72,1.72,500,17.19
1999-12-21,1.72,1.72,1.72,1.72,0,17.19
1999-12-22,1.72,1.72,1.72,1.72,0,17.19
1999-12-23,1.72,1.72,1.72,1.72,0,17.19
1999-12-27,1.72,1.72,1.5,1.72,200,17.19
1999-12-28,1.63,1.63,1.25,1.25,100,12.5
1999-12-29,1.5,1.5,0.88,0.88,1200,8.75
1999-12-30,1.0,1.06,1.0,1.06,300,10.63
1999-12-31,1.06,1.5,1.06,1.5,200,15.0
2000-01-03,1.06,1.06,1.0,1.0,1600,10.0
2000-01-04,1.38,1.38,0.81,1.13,100,11.25
2000-01-05,1.13,1.13,1.13,1.13,200,11.25
2000-01-06,0.81,1.06,0.81,1.06,1100,10.63
2000-01-07,1.06,1.38,0.81,0.81,300,8.13
2000-01-10,0.81,1.19,0.81,1.19,100,11.88
2000-01-11,0.81,0.81,0.81,0.81,0,8.13
2000-01-12,0.81,1.38,0.81,1.25,100,12.5
2000-01-13,1.25,1.25,1.25,1.25,0,12.5
2000-01-14,1.25,1.25,1.25,1.25,0,12.5
2000-01-18,1.25,1.25,1.25,1.25,0,12.5
2000-01-19,1.25,1.25,1.25,1.25,0,12.5
2000-01-20,1.25,1.25,1.25,1.25,0,12.5
2000-01-21,0.81,0.81,0.81,0.81,0,8.13
2000-01-24,1.25,1.25,0.81,0.81,200,8.13
2000-01-25,0.81,0.88,0.81,0.88,1900,8.75
2000-01-26,0.88,0.88,0.88,0.88,100,8.75
2000-01-27,0.94,0.94,0.94,0.94,0,9.38
2000-01-28,0.81,0.81,0.81,0.81,100,8.13
2000-01-31,0.94,0.94,0.81,0.81,300,8.13
2000-02-01,0.81,0.81,0.81,0.81,0,8.13
2000-02-02,0.81,0.81,0.81,0.81,400,8.13
2000-02-03,0.81,0.81,0.81,0.81,0,8.13
2000-02-04,0.81,0.94,0.81,0.94,0,9.38
2000-02-07,1.0,1.13,1.0,1.13,1100,11.25
2000-02-08,1.25,1.25,1.0,1.25,800,12.5
2000-02-09,1.03,1.05,1.03,1.05,200,10.47
2000-02-10,1.25,1.25,1.25,1.25,0,12.5
2000-02-11,1.25,1.25,1.25,1.25,700,12.5
2000-02-14,1.25,1.5,1.19,1.19,1200,11.88
2000-02-15,1.19,1.19,1.19,1.19,0,11.88
2000-02-16,1.38,1.38,1.25,1.25,1000,12.5
2000-02-17,1.25,1.44,1.25,1.44,1800,14.38
2000-02-18,1.38,1.56,1.38,1.5,1700,15.0
2000-02-22,1.47,1.47,1.47,1.47,100,14.69
2000-02-23,1.47,1.47,1.47,1.47,200,14.69
2000-02-24,1.47,1.53,1.47,1.47,100,14.69
2000-02-25,1.47,1.47,1.47,1.47,300,14.69
2000-02-28,1.13,1.13,1.13,1.13,200,11.25
2000-02-29,1.25,1.25,1.25,1.25,200,12.5
2000-03-01,1.25,1.25,1.25,1.25,0,12.5
2000-03-02,1.19,1.25,1.19,1.19,500,11.88
2000-03-03,1.25,1.25,1.25,1.25,100,12.5
2000-03-06,1.25,1.25,1.25,1.25,0,12.5
2000-03-07,1.25,1.25,1.25,1.25,0,12.5
2000-03-08,1.25,1.25,1.25,1.25,800,12.5
2000-03-09,0.97,1.25,0.97,1.25,500,12.5
2000-03-10,1.0,1.0,1.0,1.0,200,10.0
2000-03-13,1.0,1.13,1.0,1.13,2100,11.25
2000-03-14,1.13,1.13,1.03,1.03,1000,10.31
2000-03-15,1.06,1.06,1.06,1.06,1600,10.63
2000-03-16,1.06,1.25,1.06,1.25,300,12.5
2000-03-17,1.25,1.38,1.25,1.25,3100,12.5
2000-03-20,1.38,1.38,1.38,1.38,100,13.75
2000-03-21,1.13,1.5,1.13,1.5,400,15.0
2000-03-22,1.47,1.5,1.38,1.38,1300,13.75
2000-03-23,1.38,1.38,1.13,1.13,600,11.25
2000-03-24,1.5,1.5,1.5,1.5,0,15.0
2000-03-27,1.13,1.5,1.13,1.5,0,15.0
2000-03-28,1.5,1.5,1.13,1.5,200,15.0
2000-03-29,1.38,1.5,1.38,1.5,100,15.0
2000-03-30,1.06,1.5,1.06,1.5,600,15.0
2000-03-31,1.06,1.5,1.06,1.5,100,15.0
2000-04-03,1.5,1.5,0.66,1.06,3200,10.63
2000-04-04,1.06,1.06,1.06,1.06,100,10.63
2000-04-05,1.06,1.06,1.06,1.06,0,10.63
2000-04-06,1.06,1.06,0.63,0.63,300,6.25
2000-04-07,1.06,1.06,1.06,1.06,0,10.63
2000-04-10,1.06,1.06,1.06,1.06,0,10.63
2000-04-11,0.63,0.63,0.63,0.63,0,6.25
2000-04-12,1.06,1.06,1.06,1.06,100,10.63
2000-04-13,0.81,1.06,0.81,1.06,100,10.63
2000-04-14,0.81,1.06,0.81,1.06,0,10.63
2000-04-17,0.66,1.06,0.66,1.06,100,10.63
2000-04-18,1.06,1.06,1.06,1.06,0,10.63
2000-04-19,1.06,1.06,1.06,1.06,0,10.63
2000-04-20,0.66,0.66,0.66,0.66,0,6.56
2000-04-24,1.06,1.06,1.06,1.06,0,10.63
2000-04-25,1.06,1.06,1.06,1.06,0,10.63
2000-04-26,1.06,1.06,1.06,1.06,0,10.63
2000-04-27,1.06,1.06,1.06,1.06,1000,10.63
2000-04-28,0.75,1.13,0.75,1.13,0,11.25
2000-05-01,0.72,1.13,0.72,1.13,0,11.25
2000-05-02,1.13,1.13,1.13,1.13,0,11.25
2000-05-03,1.13,1.13,1.13,1.13,0,11.25
2000-05-04,1.13,1.13,1.13,1.13,0,11.25
2000-05-05,1.13,1.13,1.13,1.13,0,11.25
2000-05-08,1.13,1.13,1.13,1.13,0,11.25
2000-05-09,0.72,1.13,0.72,1.13,0,11.25
2000-05-10,1.13,1.13,1.13,1.13,0,11.25
2000-05-11,1.13,1.13,1.13,1.13,0,11.25
2000-05-12,1.06,1.06,1.06,1.06,100,10.63
2000-05-15,1.06,1.06,0.69,0.69,900,6.88
2000-05-16,1.06,1.06,1.06,1.06,0,10.63
2000-05-17,1.06,1.06,1.06,1.06,0,10.63
2000-05-18,1.06,1.06,1.06,1.06,0,10.63
2000-05-19,0.69,1.06,0.69,1.0,400,10.0
2000-05-22,0.69,1.0,0.69,1.0,0,10.0
2000-05-23,0.69,1.0,0.69,1.0,0,10.0
2000-05-24,1.0,1.0,1.0,1.0,0,10.0
2000-05-25,1.0,1.0,1.0,1.0,0,10.0
2000-05-26,1.0,1.0,1.0,1.0,0,10.0
