Date,Open,High,Low,Close,Volume,Adj Close
1997-01-02,2.77,2.8,2.7,2.77,211100,0.94
1997-01-03,2.79,2.8,2.75,2.79,308600,0.95
1997-01-06,2.76,2.82,2.65,2.76,296400,0.94
1997-01-07,2.77,2.77,2.71,2.77,83500,0.94
1997-01-08,2.86,2.86,2.75,2.86,196700,0.97
1997-01-09,2.9,2.92,2.82,2.9,147200,0.99
1997-01-10,2.88,2.92,2.86,2.88,55300,0.98
1997-01-13,2.86,2.95,2.86,2.86,164000,0.97
1997-01-14,2.85,2.92,2.85,2.85,127400,0.97
1997-01-15,2.9,2.92,2.86,2.9,141800,0.99
1997-01-16,2.88,2.91,2.86,2.88,306900,0.98
1997-01-17,2.85,2.9,2.8,2.85,173000,0.97
1997-01-20,2.84,2.86,2.8,2.84,37800,0.97
1997-01-21,2.78,2.84,2.72,2.78,178000,0.95
1997-01-22,2.8,2.8,2.73,2.8,195300,0.95
1997-01-23,2.75,2.8,2.7,2.75,79500,0.93
1997-01-24,2.55,2.81,2.0,2.55,847100,0.87
1997-01-27,2.56,2.75,2.5,2.56,173900,0.87
1997-01-28,2.53,2.57,2.45,2.53,350100,0.86
1997-01-29,2.59,2.62,2.51,2.59,75600,0.88
1997-01-30,2.58,2.62,2.57,2.58,218300,0.88
1997-01-31,2.65,2.72,2.59,2.65,159400,0.9
1997-02-03,2.6,2.68,2.57,2.6,121200,0.88
1997-02-04,2.61,2.65,2.59,2.61,99000,0.89
1997-02-05,2.59,2.62,2.59,2.59,22300,0.88
1997-02-06,2.58,2.61,2.58,2.58,39300,0.88
1997-02-07,2.6,2.6,2.58,2.6,108200,0.88
1997-02-10,2.6,2.6,2.58,2.6,65000,0.88
1997-02-11,2.58,2.6,2.57,2.58,59000,0.88
1997-02-12,2.59,2.6,2.57,2.59,127300,0.88
1997-02-13,2.58,2.58,2.55,2.58,147500,0.88
1997-02-14,2.58,2.62,2.56,2.58,374100,0.88
1997-02-18,2.57,2.6,2.56,2.57,23100,0.87
1997-02-19,2.57,2.63,2.57,2.57,145600,0.87
1997-02-20,2.62,2.67,2.57,2.62,189400,0.89
1997-02-21,2.82,2.82,2.62,2.82,225900,0.96
1997-02-24,2.82,2.85,2.75,2.82,141300,0.96
1997-02-25,2.7,2.85,2.7,2.7,96700,0.92
1997-02-26,2.72,2.77,2.72,2.72,56900,0.92
1997-02-27,2.72,2.75,2.66,2.72,81700,0.92
1997-02-28,2.73,2.75,2.69,2.73,106100,0.93
1997-03-03,2.8,2.84,2.72,2.8,78100,0.95
1997-03-04,2.84,2.88,2.8,2.84,39600,0.97
1997-03-05,2.82,2.88,2.8,2.82,123000,0.96
1997-03-06,2.89,2.89,2.8,2.89,71300,0.98
1997-03-07,2.86,2.89,2.84,2.86,98800,0.97
1997-03-10,2.89,2.89,2.84,2.89,19100,0.98
1997-03-11,2.83,2.89,2.82,2.83,22800,0.96
1997-03-12,2.87,2.88,2.82,2.87,19300,0.98
1997-03-13,2.83,2.94,2.75,2.83,181900,0.96
1997-03-14,2.8,2.85,2.8,2.8,45800,0.95
1997-03-17,2.7,2.8,2.69,2.7,169800,0.92
1997-03-18,2.66,2.71,2.66,2.66,114300,0.9
1997-03-19,2.76,2.78,2.66,2.76,120100,0.94
1997-03-20,2.7,2.74,2.7,2.7,129600,0.92
1997-03-21,2.68,2.72,2.67,2.68,80400,0.91
1997-03-24,2.7,2.72,2.68,2.7,134500,0.92
1997-03-25,2.67,2.71,2.67,2.67,166000,0.91
1997-03-26,2.68,2.7,2.68,2.68,70900,0.91
1997-03-27,2.67,2.7,2.67,2.67,112500,0.91
1997-03-31,2.72,2.72,2.48,2.72,262800,0.92
1997-04-01,2.63,2.69,2.63,2.63,29700,0.89
1997-04-02,2.58,2.63,2.51,2.58,96000,0.88
1997-04-03,2.59,2.65,2.56,2.59,113300,0.88
1997-04-04,2.58,2.67,2.58,2.58,158800,0.88
1997-04-07,2.63,2.65,2.58,2.63,98100,0.89
1997-04-08,2.66,2.66,2.6,2.66,40400,0.9
1997-04-09,2.65,2.69,2.63,2.65,68200,0.9
1997-04-10,2.67,2.7,2.65,2.67,48100,0.91
1997-04-11,2.69,2.7,2.67,2.69,70100,0.91
1997-04-14,2.68,2.71,2.67,2.68,98800,0.91
1997-04-15,2.72,2.73,2.68,2.72,159000,0.92
1997-04-16,2.74,2.74,2.69,2.74,21900,0.93
1997-04-17,2.72,2.72,2.69,2.72,53500,0.92
1997-04-18,2.7,2.72,2.69,2.7,37900,0.92
1997-04-21,2.69,2.74,2.69,2.69,274300,0.91
1997-04-22,2.73,2.73,2.69,2.73,96500,0.93
1997-04-23,2.7,2.72,2.7,2.7,89400,0.92
1997-04-24,2.72,2.72,2.7,2.72,56700,0.92
1997-04-25,2.72,2.72,2.71,2.72,45300,0.92
1997-04-28,2.7,2.73,2.7,2.7,128000,0.92
1997-04-29,2.69,2.72,2.69,2.69,157700,0.91
1997-04-30,2.69,2.71,2.68,2.69,109500,0.91
1997-05-01,2.67,2.69,2.66,2.67,157800,0.91
1997-05-02,2.58,2.66,2.55,2.58,74800,0.88
1997-05-05,2.55,2.59,2.55,2.55,89400,0.87
1997-05-06,2.5,2.56,2.5,2.5,249300,0.85
1997-05-07,2.49,2.55,2.49,2.49,40300,0.85
1997-05-08,2.53,2.54,2.49,2.53,167500,0.86
1997-05-09,2.53,2.58,2.52,2.53,59200,0.86
1997-05-12,2.57,2.59,2.53,2.57,105600,0.87
1997-05-13,2.57,2.6,2.57,2.57,186200,0.87
1997-05-14,2.62,2.63,2.56,2.62,592300,0.89
1997-05-15,2.6,2.63,2.59,2.6,905700,0.88
1997-05-16,2.63,2.7,2.6,2.63,46000,0.89
1997-05-19,2.67,2.67,2.63,2.67,41500,0.91
1997-05-20,2.65,2.66,2.64,2.65,56800,0.9
1997-05-21,2.64,2.68,2.64,2.64,45100,0.9
1997-05-22,2.66,2.68,2.64,2.66,96200,0.9
1997-05-23,2.65,2.67,2.64,2.65,11900,0.9
1997-05-27,2.66,2.66,2.64,2.66,55700,0.9
1997-05-28,2.65,2.67,2.65,2.65,6200,0.9
1997-05-29,2.67,2.73,2.65,2.67,35600,0.91
1997-05-30,2.68,2.68,2.67,2.68,7000,0.91
1997-06-02,2.71,2.73,2.68,2.71,16500,0.92
1997-06-03,2.7,2.72,2.7,2.7,97200,0.92
1997-06-04,2.74,2.74,2.7,2.74,37900,0.93
1997-06-05,2.73,2.75,2.7,2.73,33600,0.93
