Date,Open,High,Low,Close,Volume,Adj Close
1992-03-17,8.5,8.63,8.38,8.56,2600,85.63
1992-03-18,8.5,8.63,8.5,8.56,900,85.63
1992-03-19,8.63,8.75,8.38,8.38,2200,83.75
1992-03-20,8.38,8.63,8.38,8.5,1800,85.0
1992-03-23,8.38,8.69,8.38,8.69,1200,86.88
1992-03-24,8.63,8.63,8.31,8.38,1300,83.75
1992-03-25,8.44,8.5,8.19,8.38,4000,83.75
1992-03-26,8.38,8.38,6.13,6.88,16300,68.75
1992-03-27,7.0,7.25,6.31,7.19,15800,71.88
1992-03-30,7.19,7.25,7.0,7.13,3400,71.25
1992-03-31,7.13,7.13,6.88,6.94,1200,69.38
1992-04-01,6.94,6.94,6.25,6.94,10000,69.38
1992-04-02,6.94,6.94,6.31,6.31,1900,63.13
1992-04-03,6.06,6.25,6.06,6.13,2100,61.25
1992-04-06,6.25,6.38,6.13,6.38,2000,63.75
1992-04-07,6.38,6.5,6.25,6.38,1400,63.75
1992-04-08,6.25,6.38,6.0,6.31,1000,63.13
1992-04-09,6.31,6.38,6.13,6.38,900,63.75
1992-04-10,6.5,6.63,6.25,6.38,3100,63.75
1992-04-13,6.25,6.44,6.13,6.13,700,61.25
1992-04-14,6.25,6.38,6.13,6.31,600,63.13
1992-04-15,6.19,6.31,6.0,6.19,1400,61.88
1992-04-16,6.25,6.25,6.19,6.19,400,61.88
1992-04-20,6.19,6.19,5.75,5.94,2900,59.38
1992-04-21,5.81,5.88,5.63,5.88,800,58.75
1992-04-22,5.75,6.0,5.75,6.0,1200,60.0
1992-04-23,6.13,6.81,6.13,6.44,4200,64.38
1992-04-24,6.56,6.81,6.5,6.81,1600,68.13
1992-04-27,6.63,6.63,6.38,6.38,600,63.75
1992-04-28,6.38,6.38,6.0,6.0,1300,60.0
1992-04-29,6.13,6.19,6.0,6.13,1600,61.25
1992-04-30,6.19,6.5,6.06,6.25,1900,62.5
1992-05-01,6.25,6.88,6.13,6.88,3900,68.75
1992-05-04,6.88,6.94,6.69,6.69,1400,66.88
1992-05-05,6.81,6.81,6.63,6.75,1200,67.5
1992-05-06,6.56,6.88,6.56,6.88,1000,68.75
1992-05-07,6.75,6.81,6.63,6.81,1000,68.13
1992-05-08,6.69,6.81,6.63,6.81,800,68.13
1992-05-11,6.75,6.81,6.69,6.75,500,67.5
1992-05-12,6.75,6.75,6.44,6.44,500,64.38
1992-05-13,6.31,6.5,6.25,6.44,900,64.38
1992-05-14,6.31,6.38,6.19,6.19,400,61.88
1992-05-15,6.31,6.31,6.13,6.13,800,61.25
1992-05-18,6.13,6.19,5.75,5.88,2500,58.75
1992-05-19,6.0,6.13,6.0,6.0,1200,60.0
1992-05-20,6.13,6.13,5.88,5.94,1700,59.38
1992-05-21,6.06,6.19,6.0,6.13,1100,61.25
1992-05-22,6.0,6.63,6.0,6.5,1700,65.0
1992-05-26,6.63,6.81,6.5,6.69,2900,66.88
1992-05-27,6.75,6.88,6.63,6.63,500,66.25
1992-05-28,6.75,6.94,6.63,6.94,1400,69.38
1992-05-29,7.0,7.25,6.94,7.13,2200,71.25
1992-06-01,6.94,7.06,6.69,7.0,1200,70.0
1992-06-02,7.06,7.25,7.0,7.25,1300,72.5
1992-06-03,7.25,7.31,7.13,7.25,1400,72.5
1992-06-04,7.31,7.31,7.25,7.25,900,72.5
