Date,Open,High,Low,Close,Volume,Adj Close
1995-08-14,5.87,6.0,5.25,5.25,15500,89.24
1995-08-15,5.37,5.37,4.87,4.87,4400,82.87
1995-08-16,5.31,5.5,5.19,5.5,2600,93.49
1995-08-17,5.62,6.12,5.25,5.62,9800,95.62
1995-08-18,5.81,6.25,5.75,6.0,9900,101.99
1995-08-21,6.25,6.75,6.0,6.5,10900,110.49
1995-08-22,6.75,6.75,5.75,6.37,5300,108.37
1995-08-23,6.5,6.5,6.0,6.25,5200,106.24
1995-08-24,6.37,7.25,6.25,6.75,11500,114.74
1995-08-25,6.87,7.0,6.31,6.62,8400,112.62
1995-08-28,6.62,6.62,6.37,6.5,1400,110.49
1995-08-29,6.5,6.5,5.75,5.75,1900,97.74
1995-08-30,6.12,6.12,5.75,6.0,700,101.99
1995-08-31,6.25,6.25,6.0,6.12,2800,104.12
1995-09-01,6.25,6.25,6.0,6.25,300,106.24
1995-09-05,6.0,6.25,6.0,6.25,1000,106.24
1995-09-06,6.25,6.25,5.87,5.87,1500,99.87
1995-09-07,5.75,5.87,5.37,5.37,2200,91.37
1995-09-08,5.37,5.75,5.37,5.62,1100,95.62
1995-09-11,5.62,5.75,5.5,5.5,500,93.49
1995-09-12,5.75,5.75,5.5,5.62,500,95.62
1995-09-13,5.75,5.75,5.5,5.75,1700,97.74
1995-09-14,5.5,5.75,5.5,5.5,1400,93.49
1995-09-15,5.5,5.75,5.37,5.75,700,97.74
1995-09-18,5.75,5.75,5.37,5.37,500,91.37
1995-09-19,5.37,5.37,5.37,5.37,800,91.37
1995-09-20,5.5,5.62,5.37,5.62,600,95.62
1995-09-21,5.62,5.62,5.31,5.48,800,93.23
1995-09-22,5.25,5.5,5.25,5.25,1300,89.24
1995-09-25,5.25,5.5,5.25,5.25,1500,89.24
1995-09-26,5.5,5.5,5.12,5.25,900,89.24
1995-09-27,5.12,5.37,4.87,4.87,800,82.87
1995-09-28,5.0,5.12,5.0,5.0,1000,84.99
1995-09-29,5.25,5.25,5.0,5.0,300,84.99
1995-10-02,5.0,5.0,5.0,5.0,0,84.99
1995-10-03,5.0,5.0,4.87,4.87,300,82.87
1995-10-04,4.87,4.87,4.87,4.87,0,82.87
1995-10-05,4.87,4.87,4.87,4.87,200,82.87
1995-10-06,5.12,5.12,4.87,4.87,0,82.87
1995-10-09,5.0,5.0,4.87,4.87,100,82.87
1995-10-10,4.87,5.12,4.87,5.12,400,87.12
1995-10-11,4.87,5.12,4.87,5.12,200,87.12
1995-10-12,4.87,5.0,4.87,5.0,100,84.99
1995-10-13,5.12,5.25,4.87,5.25,400,89.24
1995-10-16,5.25,5.75,5.12,5.75,800,97.74
1995-10-17,5.5,5.62,5.5,5.62,300,95.62
1995-10-18,5.5,5.75,5.5,5.75,900,97.74
1995-10-19,5.75,6.0,5.75,6.0,2300,101.99
1995-10-20,6.0,6.0,5.75,5.94,2800,100.93
1995-10-23,5.87,5.94,5.62,5.62,1200,95.62
1995-10-24,5.62,5.62,5.37,5.37,400,91.37
1995-10-25,5.62,5.75,5.5,5.5,2200,93.49
1995-10-26,5.87,5.87,5.75,5.81,3800,98.81
1995-10-27,5.87,6.12,5.75,6.12,6200,104.12
1995-10-30,5.87,6.12,5.75,6.0,4200,101.99
1995-10-31,6.12,6.12,5.87,5.87,700,99.87
1995-11-01,6.12,6.12,5.87,6.12,200,104.12
1995-11-02,6.12,6.12,5.87,5.87,200,99.87
1995-11-03,6.25,6.25,6.0,6.25,200,106.24
1995-11-06,6.25,6.25,6.0,6.0,400,101.99
1995-11-07,6.0,6.0,5.62,5.75,1600,97.74
1995-11-08,5.87,5.87,5.25,5.37,700,91.37
1995-11-09,5.25,5.62,5.25,5.62,0,95.62
1995-11-10,5.62,5.62,5.31,5.5,1500,93.49
1995-11-13,5.5,5.5,5.5,5.5,100,93.49
1995-11-14,5.5,5.5,5.25,5.25,200,89.24
1995-11-15,5.25,5.25,5.25,5.25,0,89.24
1995-11-16,5.25,5.5,5.25,5.25,300,89.24
1995-11-17,5.25,5.25,5.12,5.12,400,87.12
1995-11-20,5.12,5.12,5.12,5.12,0,87.12
1995-11-21,5.37,5.5,5.12,5.12,1500,87.12
1995-11-22,5.12,5.25,5.12,5.25,400,89.24
1995-11-24,5.25,5.25,5.25,5.25,0,89.24
1995-11-27,5.12,5.12,5.12,5.12,200,87.12
1995-11-28,5.37,5.37,5.12,5.12,200,87.12
1995-11-29,5.0,5.0,5.0,5.0,700,84.99
1995-11-30,4.75,4.75,4.75,4.75,100,80.75
1995-12-01,4.75,4.87,4.62,4.62,1400,78.62
1995-12-04,4.62,4.62,4.62,4.62,100,78.62
1995-12-05,4.75,4.75,4.62,4.75,600,80.75
1995-12-06,4.62,4.62,4.62,4.62,0,78.62
1995-12-07,4.62,4.62,4.5,4.5,1300,76.5
1995-12-08,4.5,4.5,4.25,4.5,400,76.5
1995-12-11,4.25,4.5,4.25,4.5,2700,76.5
1995-12-12,4.25,4.5,4.0,4.37,6300,74.37
1995-12-13,4.5,4.62,4.25,4.62,800,78.62
1995-12-14,4.37,4.75,4.37,4.75,300,80.75
1995-12-15,4.75,4.75,4.62,4.75,400,80.75
1995-12-18,4.75,4.75,4.5,4.75,2300,80.75
1995-12-19,4.5,4.75,4.5,4.69,600,79.68
1995-12-20,4.87,4.87,4.81,4.87,300,82.87
1995-12-21,4.94,5.0,4.94,5.0,1400,84.99
1995-12-22,5.0,5.37,4.87,5.37,3200,91.37
1995-12-26,5.12,5.12,4.87,5.0,700,84.99
1995-12-27,5.0,5.12,5.0,5.12,200,87.12
1995-12-28,5.25,5.25,5.25,5.25,100,89.24
1995-12-29,5.25,5.25,4.87,5.12,100,87.12
1996-01-02,5.0,5.25,5.0,5.25,400,89.24
1996-01-03,5.37,5.37,5.37,5.37,0,91.37
1996-01-04,5.37,5.37,5.37,5.37,0,91.37
1996-01-05,5.12,5.37,5.12,5.12,300,87.12
1996-01-08,5.12,5.25,5.12,5.25,100,89.24
1996-01-09,5.37,5.37,5.12,5.37,600,91.37
1996-01-10,5.06,5.12,5.06,5.12,300,87.12
1996-01-11,5.37,5.37,5.37,5.37,0,91.37
1996-01-12,5.37,5.37,5.12,5.25,600,89.24
1996-01-15,5.37,5.87,5.25,5.77,4100,98.01
1996-01-16,6.0,6.0,6.0,6.0,700,101.99
1996-01-17,5.75,6.0,5.75,6.0,700,101.99
1996-01-18,5.75,6.0,5.5,5.5,2200,93.49
1996-01-19,5.75,5.87,5.5,5.5,400,93.49
1996-01-22,5.62,6.0,5.62,5.87,1200,99.87
1996-01-23,6.0,6.0,5.87,5.87,600,99.87
1996-01-24,5.87,6.0,5.62,5.62,800,95.62
1996-01-25,5.87,5.87,5.37,5.37,800,91.37
1996-01-26,5.37,5.37,5.37,5.37,0,91.37
1996-01-29,5.62,5.62,5.37,5.37,700,91.37
1996-01-30,5.62,5.62,5.37,5.37,500,91.37
1996-01-31,5.37,5.75,5.37,5.37,200,91.37
1996-02-01,5.5,5.62,5.5,5.62,100,95.62
1996-02-02,5.62,5.62,5.37,5.37,800,91.37
