Date,Open,High,Low,Close,Volume,Adj Close
2000-10-04,249.8,686.95,249.8,624.5,300,292010.27
2000-10-05,499.6,624.5,424.66,499.6,100,233608.22
2000-10-06,499.6,686.95,499.6,574.54,0,268649.43
2000-10-10,624.5,624.5,562.05,562.05,0,262809.23
2000-10-11,624.5,624.5,562.05,562.05,0,262809.23
2000-10-12,624.5,624.5,562.05,562.05,0,262809.23
2000-10-13,562.05,686.95,562.05,686.95,0,321211.3
2000-10-16,624.5,686.95,624.5,686.95,0,321211.3
2000-10-18,562.05,562.05,504.6,504.6,0,235944.3
2000-10-19,546.41,546.41,546.41,546.41,0,255497.54
2000-10-20,468.38,468.38,468.38,468.38,0,219007.7
2000-10-25,468.38,468.38,468.38,468.38,0,219007.7
2000-10-26,468.38,468.38,468.38,468.38,0,219007.7
2000-10-27,546.41,546.41,468.38,468.38,0,219007.7
2000-10-30,530.83,593.28,530.83,593.28,0,277409.76
2000-10-31,593.28,655.72,562.05,562.05,0,262809.23
2000-11-01,624.5,686.95,593.28,686.95,0,321211.3
2000-11-02,655.72,702.54,655.72,655.72,0,306610.77
2000-11-03,624.5,702.54,624.5,624.5,0,292010.27
2000-11-06,686.95,718.17,686.95,718.17,0,335811.8
2000-11-07,718.17,718.17,718.17,718.17,0,335811.8
2000-11-08,718.17,718.17,655.72,655.72,0,306610.77
2000-11-09,686.95,686.95,624.5,686.95,0,321211.3
2000-11-10,718.17,718.17,686.95,686.95,0,321211.3
2000-11-13,674.46,718.17,674.46,702.54,0,328500.11
2000-11-14,718.17,749.4,686.95,686.95,0,321211.3
2000-11-15,655.72,780.62,655.72,686.95,0,321211.3
2000-11-16,718.17,718.17,686.95,686.95,0,321211.3
2000-11-17,624.5,624.5,624.5,624.5,0,292010.27
2000-11-20,686.95,749.4,624.5,624.5,0,292010.27
2000-11-22,593.28,593.28,593.28,593.28,0,277409.76
2000-11-24,515.19,515.19,468.38,499.6,0,233608.22
2000-11-27,499.6,499.6,437.15,437.15,0,204407.18
2000-11-28,437.15,437.15,374.7,437.15,0,204407.18
2000-11-29,374.7,374.7,374.7,374.7,0,175206.17
2000-12-01,437.15,483.96,437.15,483.96,0,226296.51
2000-12-04,483.96,483.96,483.96,483.96,0,226296.51
2000-12-05,483.96,483.96,483.96,483.96,0,226296.51
2000-12-06,390.29,390.29,390.29,390.29,0,182494.96
2000-12-11,405.92,468.38,405.92,464.63,0,217255.63
2000-12-12,468.38,468.38,468.38,468.38,0,219007.7
2000-12-14,468.38,468.38,437.15,437.15,0,204407.18
