Date,Open,High,Low,Close,Volume,Adj Close
1998-04-28,42.0,42.0,37.5,37.5,2700,5.46
1998-04-29,37.5,37.5,37.5,37.5,0,5.46
1998-04-30,37.5,37.5,37.5,37.5,0,5.46
1998-05-01,37.5,37.5,37.5,37.5,0,5.46
1998-05-04,37.5,37.5,37.5,37.5,600,5.46
1998-05-05,40.0,40.0,39.0,39.0,3300,5.67
1998-05-06,39.0,39.0,39.0,39.0,0,5.67
1998-05-07,39.0,39.0,39.0,39.0,0,5.67
1998-05-08,39.0,39.0,39.0,39.0,0,5.67
1998-05-11,37.75,38.25,37.75,38.0,4200,5.53
1998-05-12,37.25,38.0,37.25,37.25,2100,5.42
1998-05-13,38.0,43.5,38.0,39.5,10500,5.75
1998-05-14,39.5,39.5,39.5,39.5,0,5.75
1998-05-15,39.75,40.5,38.0,40.5,7800,5.89
1998-05-18,40.5,40.5,39.5,39.5,14400,5.75
1998-05-19,43.0,43.0,43.0,43.0,6000,6.26
1998-05-20,43.0,43.0,41.5,42.0,3300,6.11
1998-05-21,41.5,41.5,41.5,41.5,1200,6.04
1998-05-22,40.0,40.0,40.0,40.0,600,5.82
1998-05-26,41.62,41.62,40.0,40.0,2400,5.82
1998-05-27,40.0,40.0,40.0,40.0,0,5.82
1998-05-28,40.0,40.0,40.0,40.0,0,5.82
1998-05-29,41.5,41.5,41.5,41.5,300,6.04
1998-06-01,39.5,39.5,39.5,39.5,1800,5.75
1998-06-02,39.5,39.5,39.5,39.5,0,5.75
1998-06-03,39.5,39.5,39.5,39.5,0,5.75
1998-06-04,39.5,39.5,39.5,39.5,0,5.75
1998-06-05,39.5,39.5,39.5,39.5,1500,5.75
1998-06-08,40.0,40.0,39.75,39.75,2100,5.78
1998-06-09,40.5,41.0,39.5,39.5,1800,5.75
1998-06-10,40.0,40.5,38.5,38.5,3900,5.6
1998-06-11,38.5,38.5,38.5,38.5,1500,5.6
1998-06-12,38.5,38.5,38.5,38.5,0,5.6
1998-06-15,38.5,38.5,38.5,38.5,0,5.6
1998-06-16,38.5,38.5,38.5,38.5,0,5.6
1998-06-17,38.5,38.5,38.5,38.5,0,5.6
1998-06-18,38.5,38.5,38.5,38.5,0,5.6
1998-06-19,40.0,40.0,40.0,40.0,300,5.82
1998-06-22,40.0,40.0,40.0,40.0,0,5.82
1998-06-23,40.0,40.0,40.0,40.0,0,5.82
1998-06-24,40.0,40.0,40.0,40.0,0,5.82
1998-06-25,40.0,40.0,40.0,40.0,0,5.82
1998-06-26,40.0,40.0,40.0,40.0,0,5.82
1998-06-29,40.0,40.0,40.0,40.0,0,5.82
1998-06-30,40.0,40.0,40.0,40.0,0,5.82
1998-07-01,40.0,40.0,40.0,40.0,0,5.82
1998-07-02,40.0,40.0,40.0,40.0,0,5.82
1998-07-06,40.0,40.0,40.0,40.0,0,5.82
1998-07-07,40.0,40.0,40.0,40.0,300,5.82
1998-07-08,40.0,40.0,40.0,40.0,0,5.82
1998-07-09,40.0,40.0,40.0,40.0,0,5.82
1998-07-10,40.0,40.0,40.0,40.0,0,5.82
1998-07-13,40.0,40.0,40.0,40.0,0,5.82
1998-07-14,40.0,40.0,40.0,40.0,0,5.82
1998-07-15,40.0,40.0,40.0,40.0,0,5.82
1998-07-16,38.75,39.5,38.75,39.5,4500,5.75
1998-07-17,39.5,39.5,39.5,39.5,0,5.75
1998-07-20,39.5,39.5,39.5,39.5,0,5.75
1998-07-21,39.5,39.5,39.5,39.5,0,5.75
1998-07-22,39.5,39.5,39.5,39.5,0,5.75
1998-07-23,39.5,39.5,39.5,39.5,0,5.75
1998-07-24,39.5,39.5,39.5,39.5,0,5.75
1998-07-27,39.5,39.5,39.5,39.5,0,5.75
1998-07-28,39.5,39.5,39.5,39.5,0,5.75
1998-07-29,39.5,39.5,39.5,39.5,0,5.75
1998-07-30,38.0,38.0,38.0,38.0,300,5.53
1998-07-31,38.0,38.0,38.0,38.0,0,5.53
1998-08-03,38.0,38.0,38.0,38.0,0,5.53
1998-08-04,38.0,38.0,38.0,38.0,0,5.53
1998-08-05,38.0,38.0,38.0,38.0,0,5.53
1998-08-06,38.0,38.0,38.0,38.0,0,5.53
1998-08-07,38.0,38.0,38.0,38.0,0,5.53
1998-08-10,38.0,38.0,38.0,38.0,0,5.53
1998-08-11,36.5,36.75,36.13,36.13,12300,5.26
1998-08-12,36.13,36.13,36.13,36.13,0,5.26
1998-08-13,36.13,36.13,36.13,36.13,0,5.26
1998-08-14,37.5,37.5,37.5,37.5,600,5.46
1998-08-17,37.75,37.75,37.5,37.5,900,5.46
1998-08-18,37.5,37.5,37.5,37.5,0,5.46
1998-08-19,37.5,37.5,37.5,37.5,0,5.46
1998-08-20,37.5,37.5,37.5,37.5,0,5.46
1998-08-21,37.5,37.5,37.5,37.5,0,5.46
1998-08-24,37.5,37.5,37.5,37.5,0,5.46
1998-08-25,37.37,37.37,37.37,37.37,1800,5.44
1998-08-26,36.88,36.88,36.75,36.75,1500,5.35
1998-08-27,36.56,36.56,36.56,36.56,900,5.32
1998-08-28,36.56,36.56,36.56,36.56,0,5.32
1998-08-31,38.0,38.0,38.0,38.0,1500,5.53
1998-09-01,37.5,37.5,37.0,37.0,900,5.38
1998-09-02,37.0,37.0,37.0,37.0,0,5.38
