Date,Open,High,Low,Close,Volume,Adj Close
2006-03-08,8.0,8.89,8.0,8.67,118000,86.7
2006-03-09,8.84,8.84,8.25,8.28,26700,82.8
2006-03-10,8.55,8.58,8.1,8.3,4300,83.0
2006-03-13,8.14,8.75,8.14,8.75,5700,87.5
2006-03-14,8.8,8.8,8.5,8.7,3300,87.0
2006-03-15,8.54,8.84,8.51,8.65,6300,86.5
2006-03-16,8.75,8.75,8.55,8.7,2900,87.0
2006-03-17,8.74,9.5,8.66,9.11,3900,91.1
2006-03-20,9.5,10.03,9.25,9.5,7800,95.0
2006-03-21,10.2,10.59,9.79,9.8,7800,98.0
2006-03-22,9.88,10.0,9.5,9.89,3800,98.9
2006-03-23,9.96,10.0,9.5,9.9,5400,99.0
2006-03-24,9.82,10.2,9.78,9.84,6300,98.4
2006-03-27,9.99,9.99,9.5,9.5,3900,95.0
2006-03-28,9.56,9.91,9.19,9.81,3100,98.1
2006-03-29,9.99,10.0,9.63,9.87,3300,98.7
2006-03-30,9.78,9.9,9.64,9.64,600,96.4
2006-03-31,9.64,9.89,9.64,9.75,500,97.5
2006-04-03,10.0,10.0,9.7,9.8,1500,98.0
2006-04-04,10.0,10.0,9.81,9.81,700,98.1
2006-04-05,9.8,9.83,9.64,9.74,500,97.4
2006-04-06,9.72,10.0,9.52,9.73,1500,97.3
2006-04-07,9.52,9.68,9.52,9.61,700,96.1
2006-04-10,9.88,9.88,8.86,8.95,6100,89.5
2006-04-11,9.36,9.36,8.0,8.42,6000,84.2
2006-04-12,8.32,8.73,7.74,8.27,8400,82.7
2006-04-13,8.12,8.96,8.12,8.96,1100,89.6
2006-04-17,9.41,9.5,8.95,9.25,2700,92.5
2006-04-18,9.77,9.85,9.14,9.34,4400,93.4
2006-04-19,9.7,9.72,9.0,9.01,4900,90.1
2006-04-20,8.85,9.2,8.64,9.11,10100,91.1
2006-04-21,8.75,9.02,8.75,8.9,2300,89.0
2006-04-24,9.19,9.25,8.83,8.92,2100,89.2
2006-04-25,9.0,9.2,8.9,9.1,4700,91.0
2006-04-26,9.02,9.29,8.9,8.9,1600,89.0
2006-04-27,8.98,9.3,8.75,8.75,2600,87.5
2006-04-28,8.79,9.4,8.76,9.0,3000,90.0
2006-05-01,8.91,8.95,8.75,8.75,2100,87.5
2006-05-02,8.85,8.9,8.75,8.81,1700,88.1
2006-05-03,8.9,9.09,8.79,8.99,900,89.9
2006-05-04,9.12,9.34,8.8,9.09,2400,90.9
2006-05-05,9.11,9.2,8.99,9.02,700,90.2
2006-05-08,8.91,9.16,8.76,8.83,600,88.3
2006-05-09,9.03,9.03,8.75,8.78,1100,87.8
2006-05-10,8.78,8.94,8.78,8.84,200,88.4
2006-05-11,8.79,8.79,8.45,8.59,2200,85.9
