Date,Open,High,Low,Close,Volume,Adj Close
1998-12-21,4.53,5.0,4.53,4.53,3600,22.65
1998-12-24,3.75,5.0,3.75,3.75,400,18.75
1998-12-28,3.75,5.0,3.75,3.75,1000,18.75
1998-12-30,4.38,4.38,3.75,4.38,14100,21.88
1998-12-31,5.62,6.25,4.06,5.62,18200,28.12
1999-01-04,5.62,6.25,5.62,5.62,6900,28.12
1999-01-06,9.53,10.0,8.75,9.53,24400,47.65
1999-01-11,10.62,13.75,6.25,10.62,28900,53.12
1999-01-12,10.31,11.25,9.69,10.31,3800,51.55
1999-01-13,10.62,11.25,9.06,10.62,2000,53.12
1999-01-14,10.47,11.25,10.0,10.47,5200,52.33
1999-01-19,9.9,10.0,9.38,9.9,6200,49.5
1999-01-20,10.0,10.0,9.22,10.0,9900,50.0
1999-01-21,10.0,10.0,9.38,10.0,5800,50.0
1999-01-22,12.81,13.75,10.0,12.81,52100,64.05
1999-01-25,12.4,12.65,11.88,12.4,16600,62.0
1999-01-26,10.94,12.81,10.62,10.94,13400,54.68
1999-01-27,10.0,12.19,10.0,10.0,16900,50.0
1999-01-28,10.0,10.31,9.38,10.0,6700,50.0
1999-01-29,10.0,10.31,9.38,10.0,8500,50.0
1999-02-01,11.25,12.5,10.31,11.25,11000,56.25
1999-02-02,10.94,11.56,10.94,10.94,3500,54.68
1999-02-03,10.0,10.94,10.0,10.0,1600,50.0
1999-02-04,10.62,11.25,10.0,10.62,7900,53.12
1999-02-05,7.81,10.0,7.81,7.81,7100,39.05
1999-02-08,7.5,9.06,7.5,7.5,1100,37.5
1999-02-09,7.5,8.44,6.88,7.5,4700,37.5
1999-02-10,6.25,8.12,6.25,6.25,100,31.25
1999-02-11,10.0,10.0,7.81,10.0,2800,50.0
1999-02-12,8.12,8.12,7.5,8.12,1900,40.62
1999-02-16,8.12,9.38,8.12,8.12,2300,40.62
1999-02-17,9.38,9.38,9.38,9.38,400,46.88
1999-02-18,8.12,10.31,8.12,8.12,2300,40.62
1999-02-19,9.38,9.38,9.38,9.38,200,46.88
1999-02-22,9.38,9.38,9.38,9.38,0,46.88
1999-02-23,8.12,8.44,6.56,8.12,500,40.62
1999-02-24,8.44,8.44,7.81,8.44,400,42.18
1999-02-25,8.12,8.12,7.18,8.12,2300,40.62
1999-02-26,7.18,8.12,7.18,7.18,1300,35.92
1999-03-01,5.47,7.5,5.31,5.47,7100,27.33
1999-03-02,6.25,6.88,5.31,6.25,1500,31.25
1999-03-03,5.16,6.25,4.53,5.16,2400,25.78
1999-03-04,5.16,5.93,5.16,5.16,1700,25.78
1999-03-05,4.68,7.18,4.68,4.68,1000,23.42
1999-03-08,6.25,6.25,4.53,6.25,1100,31.25
1999-03-09,4.38,6.09,4.38,4.38,1900,21.88
1999-03-10,5.16,6.25,5.0,5.16,2600,25.78
1999-03-11,5.16,5.16,5.16,5.16,200,25.78
1999-03-12,5.0,5.16,5.0,5.0,2900,25.0
1999-03-15,5.31,5.62,5.0,5.31,8300,26.55
1999-03-16,5.31,5.31,5.31,5.31,1200,26.55
1999-03-17,5.31,5.31,5.16,5.31,1500,26.55
1999-03-19,5.31,5.31,5.31,5.31,0,26.55
1999-03-23,4.55,4.55,4.38,4.55,900,22.75
1999-03-24,4.53,5.31,4.53,4.53,800,22.65
1999-03-25,4.53,5.31,4.53,4.53,600,22.65
1999-03-26,4.68,5.0,4.38,4.68,2400,23.42
1999-03-29,5.31,5.31,4.38,5.31,2000,26.55
1999-03-30,5.31,5.5,4.22,5.31,1500,26.55
1999-03-31,4.22,4.22,4.22,4.22,600,21.08
1999-04-01,4.38,5.31,4.38,4.38,2800,21.88
1999-04-05,5.16,5.31,4.38,5.16,1400,25.78
1999-04-06,6.56,7.5,5.62,6.56,16000,32.8
1999-04-07,7.18,7.5,5.93,7.18,10100,35.92
1999-04-08,10.31,11.25,7.03,10.31,43000,51.55
1999-04-09,8.75,10.62,8.44,8.75,10500,43.75
1999-04-12,8.75,10.31,8.12,8.75,4100,43.75
1999-04-13,8.59,9.38,8.12,8.59,4700,42.95
1999-04-14,10.31,10.31,9.06,10.31,13800,51.55
1999-04-15,10.15,11.25,9.69,10.15,21000,50.77
1999-04-16,9.69,10.15,8.28,9.69,4700,48.43
1999-04-19,9.38,9.69,8.12,9.38,3500,46.88
1999-04-20,7.72,9.38,7.5,7.72,7600,38.62
1999-04-21,9.53,9.53,7.5,9.53,3400,47.65
1999-04-22,9.69,9.69,7.5,9.69,1600,48.43
1999-04-23,8.75,9.38,7.5,8.75,1300,43.75
1999-04-26,7.5,8.75,6.56,7.5,9200,37.5
1999-04-27,7.5,7.5,6.56,7.5,3900,37.5
1999-04-28,6.88,7.66,6.56,6.88,4000,34.38
1999-04-29,7.45,7.5,6.56,7.45,900,37.25
1999-04-30,7.25,7.45,6.56,7.25,1600,36.25
1999-05-03,6.88,8.44,6.56,6.88,2800,34.38
1999-05-04,6.25,8.44,6.25,6.25,3600,31.25
1999-05-05,5.93,6.56,5.93,5.93,2000,29.67
1999-05-07,6.56,6.56,5.93,6.56,2600,32.8
1999-05-10,6.56,6.56,6.56,6.56,1600,32.8
1999-05-11,5.93,6.56,5.93,5.93,1600,29.67
1999-05-12,6.56,6.56,6.56,6.56,2400,32.8
1999-05-13,6.25,6.56,5.93,6.25,2500,31.25
1999-05-14,6.41,6.41,5.93,6.41,4700,32.03
1999-05-17,6.72,6.72,6.25,6.72,6100,33.58
1999-05-18,6.72,6.72,6.25,6.72,1300,33.58
1999-05-19,6.72,6.72,6.25,6.72,700,33.58
1999-05-20,6.88,6.88,6.88,6.88,1100,34.38
