Date,Open,High,Low,Close,Volume,Adj Close
1995-10-02,6.0,8.75,6.0,8.25,390300,41.25
1995-10-03,8.5,8.75,8.25,8.38,44500,41.88
1995-10-04,8.75,8.75,8.25,8.31,18800,41.56
1995-10-05,8.75,8.75,8.25,8.25,10000,41.25
1995-10-06,8.5,8.75,8.25,8.31,21300,41.56
1995-10-09,8.25,8.75,8.25,8.25,20000,41.25
1995-10-10,8.5,8.75,8.25,8.25,47500,41.25
1995-10-11,8.25,8.75,8.25,8.25,16600,41.25
1995-10-12,8.31,8.5,7.5,7.75,19600,38.75
1995-10-13,7.5,7.5,6.0,6.19,62300,30.94
1995-10-16,6.63,6.75,6.0,6.0,20500,30.0
1995-10-17,6.0,6.5,6.0,6.0,17600,30.0
1995-10-18,6.0,6.5,6.0,6.03,14400,30.16
1995-10-19,6.0,6.25,6.0,6.0,27900,30.0
1995-10-20,6.0,6.25,6.0,6.13,71100,30.63
1995-10-23,6.0,6.25,5.97,6.0,61500,30.0
1995-10-24,6.0,6.25,6.0,6.0,93100,30.0
1995-10-25,6.25,6.25,6.0,6.0,2600,30.0
1995-10-26,6.0,6.25,6.0,6.0,4300,30.0
1995-10-27,6.0,6.5,6.0,6.13,23000,30.63
1995-10-30,6.13,6.38,6.13,6.38,17500,31.88
1995-10-31,6.38,6.63,6.13,6.63,7200,33.13
1995-11-01,6.38,6.63,6.25,6.25,12300,31.25
1995-11-02,6.38,6.38,6.13,6.16,11400,30.78
1995-11-03,6.13,6.38,6.13,6.13,6000,30.63
1995-11-06,6.13,6.5,6.13,6.5,4700,32.5
1995-11-07,6.5,6.5,6.13,6.25,4700,31.25
1995-11-08,6.5,6.5,6.13,6.13,6900,30.63
1995-11-09,6.13,6.5,6.13,6.5,8100,32.5
1995-11-10,6.13,6.5,6.13,6.5,3700,32.5
1995-11-13,6.13,6.5,6.13,6.25,2700,31.25
1995-11-14,6.25,6.63,6.25,6.25,5500,31.25
1995-11-15,6.25,6.63,6.25,6.5,5000,32.5
1995-11-16,6.25,6.63,6.25,6.25,45400,31.25
1995-11-17,6.25,6.63,6.25,6.63,74300,33.13
1995-11-20,6.31,6.63,6.25,6.5,7600,32.5
1995-11-21,6.25,6.63,6.25,6.25,7700,31.25
1995-11-22,6.25,6.63,6.25,6.31,21500,31.56
1995-11-24,6.25,6.63,6.25,6.25,6400,31.25
1995-11-27,6.25,6.25,6.25,6.25,2800,31.25
1995-11-28,6.25,6.63,6.25,6.25,7500,31.25
1995-11-29,6.25,6.63,6.25,6.25,4200,31.25
1995-11-30,6.25,7.25,6.25,6.88,15500,34.38
1995-12-01,7.25,7.25,6.75,6.75,3000,33.75
1995-12-04,6.75,7.25,6.75,7.25,10700,36.25
1995-12-05,7.25,7.25,6.44,7.0,33100,35.0
1995-12-06,7.25,7.25,6.75,6.81,10000,34.06
1995-12-07,7.25,7.25,6.75,6.75,3600,33.75
1995-12-08,7.25,7.25,6.75,7.25,7200,36.25
1995-12-11,6.75,7.5,6.75,7.13,13900,35.63
1995-12-12,7.5,7.5,7.13,7.13,11900,35.63
1995-12-13,7.5,7.5,7.13,7.38,6300,36.88
1995-12-14,7.63,7.63,7.25,7.5,16300,37.5
1995-12-15,7.25,7.5,7.25,7.5,9800,37.5
1995-12-18,7.5,7.5,7.25,7.25,5900,36.25
1995-12-19,7.25,7.5,7.25,7.25,5000,36.25
1995-12-20,7.5,7.5,7.0,7.13,15500,35.63
1995-12-21,6.88,7.25,6.63,7.13,6500,35.63
1995-12-22,7.25,7.38,7.13,7.25,3900,36.25
1995-12-26,7.13,7.38,7.0,7.0,36800,35.0
1995-12-27,7.38,7.38,6.88,6.88,1300,34.38
1995-12-28,6.88,7.13,6.75,6.75,4300,33.75
1995-12-29,7.25,7.75,7.25,7.25,17300,36.25
1996-01-02,7.75,7.75,7.0,7.0,17900,35.0
1996-01-03,7.63,7.63,6.75,7.38,8600,36.88
1996-01-04,7.38,7.38,6.75,7.38,9600,36.88
