Date,Open,High,Low,Close,Volume,Adj Close
1991-11-15,9.0,9.25,8.75,8.88,540600,35.5
1991-11-18,8.75,9.0,8.25,8.25,95400,33.0
1991-11-19,8.25,8.75,8.25,8.38,24800,33.5
1991-11-20,8.25,8.25,8.25,8.25,2100,33.0
1991-11-21,8.25,8.75,8.25,8.25,23800,33.0
1991-11-22,8.25,8.75,8.25,8.25,83100,33.0
1991-11-25,9.0,9.0,8.25,8.25,10000,33.0
1991-11-26,8.25,8.5,8.25,8.5,32200,34.0
1991-11-27,8.5,9.25,8.5,8.75,14400,35.0
1991-11-29,8.5,8.62,8.5,8.5,200,34.0
1991-12-02,8.5,9.25,8.5,8.5,12600,34.0
1991-12-03,8.75,9.25,8.5,9.25,600,37.0
1991-12-04,8.5,8.75,8.5,8.75,6500,35.0
1991-12-05,8.5,8.5,8.5,8.5,600,34.0
1991-12-06,8.5,9.25,8.25,8.5,8800,34.0
1991-12-09,8.5,9.25,8.5,9.25,1800,37.0
1991-12-10,8.5,9.25,8.5,8.75,5700,35.0
1991-12-11,8.5,9.25,8.5,8.5,7500,34.0
1991-12-12,8.5,9.0,8.5,8.5,3000,34.0
1991-12-13,8.5,8.5,8.38,8.5,28800,34.0
1991-12-16,8.5,8.5,8.5,8.5,700,34.0
1991-12-17,8.5,8.5,8.5,8.5,700,34.0
1991-12-18,8.5,9.0,8.5,8.5,6500,34.0
1991-12-19,9.0,9.0,8.38,8.5,15300,34.0
1991-12-20,8.5,9.0,8.5,8.5,1200,34.0
1991-12-23,8.5,8.88,8.38,8.88,8100,35.5
1991-12-24,8.88,8.88,8.88,8.88,0,35.5
1991-12-26,8.5,8.5,8.5,8.5,600,34.0
1991-12-27,8.5,9.0,8.5,9.0,400,36.0
1991-12-30,8.5,8.5,8.5,8.5,1300,34.0
1991-12-31,9.0,9.0,8.5,8.5,26700,34.0
1992-01-02,8.62,9.0,8.5,9.0,16200,36.0
1992-01-03,9.0,9.0,8.62,8.62,3900,34.5
1992-01-06,8.62,8.62,8.62,8.62,1300,34.5
1992-01-07,8.62,9.0,8.62,8.88,4600,35.5
1992-01-08,9.0,9.0,8.62,9.0,4500,36.0
1992-01-09,8.62,8.88,8.62,8.88,3500,35.5
1992-01-10,8.62,9.0,8.62,8.62,4400,34.5
1992-01-13,8.62,9.0,8.62,8.62,12100,34.5
1992-01-14,8.62,9.0,8.62,8.75,29000,35.0
1992-01-15,9.0,9.0,8.75,9.0,5600,36.0
1992-01-16,8.75,8.75,8.75,8.75,800,35.0
1992-01-17,8.75,9.0,8.75,9.0,4400,36.0
1992-01-20,8.75,8.88,8.75,8.88,1100,35.5
1992-01-21,8.75,8.75,8.75,8.75,400,35.0
1992-01-22,8.75,9.25,8.75,8.75,5200,35.0
1992-01-23,8.75,8.88,8.75,8.75,8400,35.0
1992-01-24,8.75,8.75,8.62,8.75,76900,35.0
1992-01-27,9.25,9.25,8.75,8.75,1200,35.0
1992-01-28,8.75,8.75,8.75,8.75,2300,35.0
1992-01-29,9.25,9.25,8.75,8.88,9200,35.5
1992-01-30,9.0,9.0,8.75,8.75,2600,35.0
1992-01-31,8.75,8.88,8.75,8.75,4900,35.0
1992-02-03,9.0,9.0,8.75,9.0,2500,36.0
1992-02-04,8.88,8.88,8.75,8.88,1400,35.5
1992-02-05,8.75,9.25,8.75,8.75,11700,35.0
1992-02-06,8.75,9.25,8.75,8.75,10100,35.0
1992-02-07,8.88,9.25,8.88,9.12,5100,36.5
1992-02-10,9.0,9.0,9.0,9.0,6000,36.0
1992-02-11,9.0,9.25,8.25,8.25,15200,33.0
1992-02-12,8.0,8.5,8.0,8.5,300,34.0
1992-02-13,8.0,8.5,8.0,8.12,61200,32.5
1992-02-14,8.0,8.0,8.0,8.0,300,32.0
1992-02-18,8.25,8.25,8.0,8.0,1600,32.0
1992-02-19,8.5,8.5,8.0,8.0,700,32.0
1992-02-20,8.0,8.25,8.0,8.25,1200,33.0
1992-02-21,8.5,8.5,8.0,8.0,1500,32.0
1992-02-24,8.0,8.0,8.0,8.0,800,32.0
1992-02-25,8.0,8.0,8.0,8.0,1200,32.0
1992-02-26,8.0,8.0,8.0,8.0,3500,32.0
1992-02-27,8.5,8.5,8.0,8.0,1300,32.0
1992-02-28,8.12,8.12,8.0,8.0,3700,32.0
1992-03-02,8.25,8.5,8.0,8.0,2800,32.0
1992-03-03,8.0,8.12,8.0,8.0,1600,32.0
1992-03-04,8.0,8.25,7.5,8.0,4700,32.0
1992-03-05,7.5,8.0,7.5,7.5,2400,30.0
1992-03-06,7.5,7.62,7.25,7.25,8800,29.0
1992-03-09,7.0,7.5,7.0,7.0,18100,28.0
1992-03-10,7.0,7.0,7.0,7.0,7800,28.0
1992-03-11,7.0,7.0,7.0,7.0,4900,28.0
1992-03-12,7.0,7.0,7.0,7.0,1000,28.0
1992-03-13,7.12,7.12,7.0,7.12,3000,28.5
1992-03-16,7.12,7.12,6.75,6.75,40800,27.0
1992-03-17,6.88,7.0,6.75,6.75,2300,27.0
1992-03-18,7.25,7.25,7.25,7.25,500,29.0
1992-03-19,7.25,7.25,6.75,6.75,7400,27.0
1992-03-20,7.5,7.5,7.12,7.12,4700,28.5
1992-03-23,7.0,7.0,7.0,7.0,500,28.0
1992-03-24,7.0,7.0,7.0,7.0,600,28.0
1992-03-25,7.0,7.0,7.0,7.0,0,28.0
1992-03-26,7.0,7.0,7.0,7.0,1200,28.0
1992-03-27,7.0,7.5,7.0,7.5,600,30.0
1992-03-30,7.5,7.5,7.5,7.5,800,30.0
1992-03-31,7.5,7.5,7.5,7.5,0,30.0
1992-04-01,7.0,7.5,7.0,7.5,800,30.0
1992-04-02,7.0,7.0,7.0,7.0,2800,28.0
1992-04-03,7.12,7.5,7.0,7.38,5900,29.5
1992-04-06,7.38,7.38,7.38,7.38,0,29.5
1992-04-07,7.5,7.5,7.0,7.0,6100,28.0
1992-04-08,7.0,7.0,7.0,7.0,1900,28.0
1992-04-09,7.0,7.0,7.0,7.0,200,28.0
1992-04-10,7.0,7.0,7.0,7.0,0,28.0
1992-04-13,7.0,7.0,7.0,7.0,1200,28.0
1992-04-14,7.0,7.0,7.0,7.0,300,28.0
1992-04-15,7.0,7.0,7.0,7.0,100,28.0
1992-04-16,7.5,7.5,7.0,7.0,400,28.0
1992-04-20,7.0,7.0,7.0,7.0,200,28.0
1992-04-21,7.0,7.0,7.0,7.0,1400,28.0
1992-04-22,7.0,7.0,6.25,6.25,35100,25.0
1992-04-23,6.75,6.75,5.5,5.75,6000,23.0
1992-04-24,5.5,6.0,5.38,5.5,28200,22.0
1992-04-27,6.0,6.0,5.75,5.75,1000,23.0
1992-04-28,5.5,5.5,5.5,5.5,1000,22.0
1992-04-29,5.5,5.5,5.5,5.5,0,22.0
1992-04-30,5.5,5.75,5.5,5.75,400,23.0
1992-05-01,5.75,5.75,5.75,5.75,0,23.0
1992-05-04,5.5,5.5,5.5,5.5,100,22.0
1992-05-05,5.62,5.62,5.5,5.5,1000,22.0
1992-05-06,5.5,5.62,4.25,4.88,96000,19.5
1992-05-07,4.75,4.75,4.5,4.62,21500,18.5
1992-05-08,4.62,5.25,4.5,4.5,2800,18.0
1992-05-11,4.75,4.75,4.62,4.62,800,18.5
1992-05-12,4.5,5.25,4.5,4.62,5600,18.5
1992-05-13,4.62,4.62,4.62,4.62,0,18.5
1992-05-14,4.62,4.75,4.62,4.62,9000,18.5
1992-05-15,4.5,4.75,4.5,4.75,4800,19.0
1992-05-18,5.0,5.0,5.0,5.0,0,20.0
1992-05-19,5.0,5.0,5.0,5.0,0,20.0
1992-05-20,4.75,4.75,4.75,4.75,2100,19.0
1992-05-21,4.75,4.75,4.75,4.75,1200,19.0
1992-05-22,4.75,4.75,4.75,4.75,0,19.0
1992-05-26,4.75,4.75,4.75,4.75,100,19.0
1992-05-27,4.88,5.0,4.5,4.62,11200,18.5
1992-05-28,4.5,4.5,4.25,4.38,39200,17.5
1992-05-29,4.25,4.25,4.25,4.25,0,17.0
1992-06-01,4.25,4.5,4.25,4.5,300,18.0
1992-06-02,4.25,4.75,4.25,4.25,2500,17.0
1992-06-03,4.38,4.75,4.38,4.75,2100,19.0
1992-06-04,4.25,4.25,4.25,4.25,800,17.0
1992-06-05,4.5,4.5,4.0,4.5,500,18.0
1992-06-08,4.0,4.5,4.0,4.5,200,18.0
1992-06-09,4.12,4.12,4.12,4.12,200,16.5
1992-06-10,4.0,4.25,4.0,4.25,26100,17.0
1992-06-11,4.12,4.38,4.12,4.38,37500,17.5
1992-06-12,4.0,4.5,4.0,4.5,22500,18.0
1992-06-15,4.5,4.5,4.5,4.5,0,18.0
1992-06-16,4.5,4.5,4.5,4.5,0,18.0
1992-06-17,4.25,4.5,4.25,4.5,7900,18.0
