Date,Open,High,Low,Close,Volume,Adj Close
1995-12-21,12.0,12.5,12.0,12.0,70200,120.0
1995-12-22,12.0,12.25,12.0,12.0,41600,120.0
1995-12-26,12.0,12.25,12.0,12.0,1500,120.0
1995-12-27,12.25,12.25,12.0,12.0,6600,120.0
1995-12-28,12.0,12.25,12.0,12.0,22500,120.0
1995-12-29,12.06,12.25,12.0,12.25,4200,122.5
1996-01-02,12.0,12.5,12.0,12.13,17400,121.25
1996-01-03,12.5,12.5,12.0,12.5,2600,125.0
1996-01-04,12.25,13.0,12.25,12.25,7900,122.5
1996-01-05,12.5,12.75,12.0,12.0,7300,120.0
1996-01-08,12.0,12.0,12.0,12.0,0,120.0
1996-01-09,12.75,12.75,12.0,12.75,6300,127.5
1996-01-10,12.0,12.75,12.0,12.75,600,127.5
1996-01-11,12.0,12.75,12.0,12.0,1300,120.0
1996-01-12,12.0,12.75,12.0,12.0,6400,120.0
1996-01-15,12.0,12.25,12.0,12.13,800,121.25
1996-01-16,12.0,12.75,12.0,12.25,6900,122.5
1996-01-17,12.25,12.75,12.0,12.75,7000,127.5
1996-01-18,12.25,12.75,12.0,12.0,6200,120.0
1996-01-19,12.75,12.75,12.13,12.75,900,127.5
1996-01-22,12.75,12.75,12.0,12.0,500,120.0
1996-01-23,12.0,12.0,12.0,12.0,700,120.0
1996-01-24,12.0,12.44,12.0,12.0,2100,120.0
1996-01-25,12.0,12.13,12.0,12.0,5400,120.0
1996-01-26,12.5,12.5,12.0,12.0,7800,120.0
1996-01-29,12.5,12.5,11.75,11.75,3400,117.5
1996-01-30,12.38,12.38,12.38,12.38,200,123.75
1996-01-31,11.75,12.13,11.75,12.13,15700,121.25
1996-02-01,12.5,12.5,11.75,12.5,1300,125.0
1996-02-02,11.88,12.5,11.88,12.5,3000,125.0
1996-02-05,12.13,12.5,11.75,11.75,1100,117.5
1996-02-06,11.75,15.0,11.75,14.0,10200,140.0
1996-02-07,13.75,14.5,13.0,14.0,25400,140.0
1996-02-08,14.0,14.5,14.0,14.0,3300,140.0
1996-02-09,14.25,14.38,13.75,14.0,11500,140.0
1996-02-12,14.5,14.5,14.0,14.25,6800,142.5
1996-02-13,14.5,15.0,14.25,14.88,12500,148.75
1996-02-14,15.0,15.25,14.75,15.0,7100,150.0
1996-02-15,14.75,15.0,14.5,14.75,4000,147.5
1996-02-16,14.69,15.0,14.5,15.0,5100,150.0
1996-02-20,15.0,15.0,14.25,14.25,10900,142.5
1996-02-21,14.38,14.38,14.0,14.38,4800,143.75
1996-02-22,14.0,14.63,14.0,14.63,0,146.25
1996-02-23,14.0,14.38,14.0,14.38,200,143.75
1996-02-26,14.63,14.63,14.0,14.63,1400,146.25
1996-02-27,14.0,14.63,14.0,14.63,300,146.25
1996-02-28,14.0,14.63,14.0,14.63,600,146.25
