Date,Open,High,Low,Close,Volume,Adj Close
2010-01-05,0.37,0.38,0.32,0.35,9600,2.8
2010-01-06,0.4,0.42,0.38,0.42,19900,3.36
2010-01-07,0.42,0.42,0.39,0.4,4200,3.2
2010-01-08,0.39,0.41,0.38,0.39,14400,3.12
2010-01-11,0.45,0.45,0.41,0.41,1000,3.28
2010-01-12,0.42,0.42,0.39,0.39,10100,3.12
2010-01-13,0.39,0.39,0.37,0.39,9400,3.12
2010-01-14,0.4,0.4,0.39,0.39,100,3.12
2010-01-15,0.39,0.39,0.37,0.37,8900,2.96
2010-01-19,0.38,0.39,0.36,0.36,6000,2.88
2010-01-20,0.34,0.36,0.33,0.36,3600,2.88
2010-01-21,0.33,0.33,0.3,0.3,5300,2.4
2010-01-22,0.31,0.32,0.29,0.31,11700,2.48
2010-01-25,0.31,0.34,0.31,0.31,4600,2.48
2010-01-26,0.31,0.31,0.3,0.31,3200,2.48
2010-01-27,0.3,0.3,0.27,0.27,5600,2.16
2010-01-28,0.28,0.28,0.28,0.28,300,2.24
2010-01-29,0.28,0.28,0.26,0.26,14500,2.08
2010-02-01,0.26,0.31,0.26,0.31,6300,2.48
2010-02-02,0.31,0.31,0.28,0.28,3000,2.24
2010-02-03,0.29,0.29,0.27,0.28,13200,2.24
2010-02-04,0.26,0.26,0.23,0.26,8600,2.08
2010-02-05,0.27,0.27,0.25,0.25,3000,2.0
2010-02-08,0.28,0.28,0.28,0.28,600,2.24
2010-02-09,0.28,0.28,0.28,0.28,1800,2.24
2010-02-10,0.28,0.28,0.28,0.28,500,2.24
2010-02-11,0.27,0.28,0.27,0.27,500,2.16
2010-02-12,0.27,0.28,0.26,0.27,2100,2.16
2010-02-16,0.29,0.29,0.28,0.29,900,2.32
2010-02-17,0.3,0.31,0.28,0.31,10200,2.48
2010-02-18,0.3,0.31,0.3,0.3,3500,2.4
2010-02-19,0.31,0.32,0.3,0.32,3900,2.56
2010-02-22,0.32,0.35,0.32,0.33,20900,2.64
2010-02-23,0.34,0.35,0.31,0.33,7300,2.64
2010-02-24,0.33,0.34,0.33,0.33,3700,2.64
2010-02-25,0.32,0.32,0.31,0.32,3300,2.56
2010-02-26,0.32,0.33,0.32,0.32,4000,2.56
2010-03-01,0.34,0.34,0.32,0.34,15100,2.72
2010-03-02,0.33,0.35,0.33,0.35,5100,2.8
2010-03-03,0.35,0.37,0.35,0.36,6600,2.88
2010-03-04,0.35,0.36,0.33,0.33,3300,2.64
2010-03-05,0.35,0.35,0.33,0.35,4900,2.8
2010-03-08,0.35,0.35,0.35,0.35,0,2.8
2010-03-09,0.34,0.34,0.32,0.32,1500,2.56
2010-03-10,0.35,0.35,0.35,0.35,300,2.8
2010-03-11,0.32,0.34,0.32,0.33,2500,2.64
2010-03-12,0.33,0.33,0.33,0.33,0,2.64
2010-03-15,0.34,0.35,0.33,0.33,2900,2.64
2010-03-16,0.32,0.33,0.32,0.33,1700,2.64
2010-03-17,0.33,0.33,0.32,0.32,3000,2.56
2010-03-18,0.32,0.32,0.32,0.32,1200,2.56
2010-03-19,0.3,0.31,0.29,0.31,5100,2.48
2010-03-22,0.29,0.29,0.29,0.29,800,2.32
2010-03-23,0.28,0.29,0.28,0.29,900,2.32
2010-03-24,0.27,0.29,0.26,0.27,12400,2.16
2010-03-25,0.27,0.28,0.26,0.28,1700,2.24
2010-03-26,0.27,0.27,0.26,0.27,1000,2.16
2010-03-29,0.26,0.29,0.25,0.29,11600,2.32
2010-03-30,0.29,0.29,0.29,0.29,1000,2.32
2010-03-31,0.29,0.3,0.29,0.29,32400,2.32
2010-04-01,0.3,0.31,0.3,0.3,1200,2.4
2010-04-05,0.31,0.31,0.3,0.3,2500,2.4
2010-04-06,0.31,0.31,0.3,0.31,1900,2.48
2010-04-07,0.32,0.32,0.31,0.31,800,2.48
2010-04-08,0.33,0.33,0.3,0.31,4200,2.48
2010-04-09,0.31,0.31,0.3,0.3,9600,2.4
2010-04-12,0.31,0.31,0.29,0.29,600,2.32
2010-04-13,0.28,0.29,0.28,0.28,3500,2.24
2010-04-14,0.28,0.28,0.28,0.28,100,2.24
2010-04-15,0.3,0.3,0.29,0.29,400,2.32
2010-04-16,0.27,0.27,0.27,0.27,2200,2.16
2010-04-19,0.27,0.27,0.27,0.27,0,2.16
2010-04-20,0.26,0.26,0.26,0.26,0,2.08
2010-04-21,0.28,0.28,0.26,0.28,20200,2.24
2010-04-22,0.29,0.29,0.28,0.28,1600,2.24
2010-04-23,0.27,0.3,0.27,0.3,5000,2.4
2010-04-26,0.29,0.31,0.29,0.3,7300,2.4
2010-04-27,0.33,0.33,0.32,0.32,6400,2.56
2010-04-28,0.31,0.31,0.29,0.31,8600,2.48
2010-04-29,0.31,0.31,0.3,0.3,11200,2.4
2010-04-30,0.29,0.29,0.29,0.29,5900,2.32
2010-05-03,0.31,0.31,0.3,0.31,500,2.48
2010-05-04,0.29,0.29,0.28,0.28,300,2.24
2010-05-05,0.29,0.29,0.28,0.28,2100,2.24
2010-05-06,0.31,0.31,0.31,0.31,2600,2.48
2010-05-07,0.3,0.3,0.27,0.27,1300,2.16
2010-05-10,0.29,0.29,0.29,0.29,2300,2.32
2010-05-11,0.31,0.32,0.29,0.31,27500,2.48
2010-05-12,0.34,0.34,0.34,0.34,10000,2.72
2010-05-13,0.34,0.36,0.34,0.35,32000,2.8
2010-05-14,0.35,0.36,0.34,0.36,28700,2.88
2010-05-17,0.35,0.35,0.34,0.34,1900,2.72
2010-05-18,0.36,0.37,0.35,0.35,1700,2.8
2010-05-19,0.34,0.34,0.31,0.31,6800,2.48
2010-05-20,0.29,0.3,0.28,0.29,12600,2.32
2010-05-21,0.28,0.29,0.28,0.29,4200,2.32
2010-05-24,0.29,0.29,0.29,0.29,0,2.32
2010-05-25,0.3,0.3,0.29,0.3,6500,2.4
2010-05-26,0.31,0.34,0.3,0.33,12900,2.64
2010-05-27,0.33,0.33,0.33,0.33,300,2.64
2010-05-28,0.33,0.33,0.3,0.3,4600,2.4
2010-06-01,0.31,0.33,0.31,0.31,1300,2.48
2010-06-02,0.3,0.31,0.29,0.31,5000,2.48
2010-06-03,0.29,0.29,0.29,0.29,600,2.32
2010-06-04,0.28,0.28,0.28,0.28,1300,2.24
2010-06-07,0.28,0.28,0.28,0.28,2000,2.24
2010-06-08,0.3,0.3,0.29,0.3,6900,2.4
2010-06-09,0.3,0.31,0.29,0.31,1800,2.48
2010-06-10,0.31,0.31,0.3,0.3,400,2.4
2010-06-11,0.29,0.29,0.29,0.29,500,2.32
2010-06-14,0.31,0.31,0.31,0.31,1500,2.48
2010-06-15,0.3,0.31,0.3,0.31,3200,2.48
2010-06-16,0.31,0.31,0.31,0.31,0,2.48
2010-06-17,0.3,0.31,0.29,0.31,3000,2.48
2010-06-18,0.31,0.32,0.3,0.32,2800,2.56
2010-06-21,0.32,0.32,0.31,0.31,2500,2.48
2010-06-22,0.28,0.3,0.28,0.3,1500,2.4
2010-06-23,0.29,0.29,0.27,0.27,3400,2.16
2010-06-24,0.27,0.27,0.27,0.27,0,2.16
2010-06-25,0.27,0.27,0.24,0.25,19700,2.0
2010-06-28,0.25,0.26,0.25,0.26,2000,2.08
2010-06-29,0.25,0.25,0.25,0.25,1600,2.0
2010-06-30,0.24,0.24,0.22,0.24,4200,1.92
2010-07-01,0.24,0.24,0.24,0.24,0,1.92
2010-07-02,0.25,0.25,0.23,0.24,2100,1.92
2010-07-06,0.22,0.24,0.22,0.24,2200,1.92
2010-07-07,0.22,0.24,0.22,0.24,1200,1.92
2010-07-08,0.23,0.24,0.22,0.23,3700,1.84
2010-07-09,0.23,0.24,0.22,0.24,8100,1.92
2010-07-12,0.23,0.24,0.23,0.23,5500,1.84
2010-07-13,0.23,0.23,0.22,0.22,33500,1.76
2010-07-14,0.24,0.24,0.22,0.22,13600,1.76
2010-07-15,0.22,0.22,0.22,0.22,3700,1.76
2010-07-16,0.23,0.23,0.23,0.23,1200,1.84
2010-07-19,0.22,0.22,0.21,0.22,12500,1.76
2010-07-20,0.22,0.22,0.22,0.22,11100,1.76
2010-07-21,0.22,0.23,0.22,0.22,8700,1.76
2010-07-22,0.23,0.23,0.23,0.23,1200,1.84
2010-07-23,0.23,0.23,0.23,0.23,0,1.84
2010-07-26,0.21,0.23,0.21,0.23,1600,1.84
2010-07-27,0.22,0.23,0.22,0.23,6500,1.84
2010-07-28,0.22,0.23,0.22,0.23,2500,1.84
2010-07-29,0.25,0.25,0.24,0.24,12500,1.92
2010-07-30,0.24,0.24,0.24,0.24,0,1.92
2010-08-02,0.25,0.28,0.25,0.25,6500,2.0
2010-08-03,0.25,0.25,0.25,0.25,1500,2.0
2010-08-04,0.27,0.27,0.27,0.27,1200,2.16
2010-08-05,0.26,0.26,0.26,0.26,600,2.08
2010-08-06,0.26,0.27,0.26,0.27,2000,2.16
2010-08-09,0.27,0.27,0.26,0.26,1800,2.08
2010-08-10,0.26,0.26,0.26,0.26,1200,2.08
2010-08-11,0.25,0.26,0.24,0.24,1300,1.92
2010-08-12,0.25,0.25,0.25,0.25,600,2.0
2010-08-13,0.26,0.26,0.25,0.25,900,2.0
2010-08-16,0.26,0.28,0.26,0.28,1400,2.24
2010-08-17,0.29,0.3,0.28,0.3,2500,2.4
2010-08-18,0.29,0.29,0.29,0.29,0,2.32
2010-08-19,0.29,0.29,0.27,0.27,800,2.16
2010-08-20,0.27,0.27,0.27,0.27,100,2.16
2010-08-23,0.29,0.29,0.28,0.28,500,2.24
2010-08-24,0.28,0.29,0.28,0.29,6200,2.32
2010-08-25,0.27,0.27,0.27,0.27,0,2.16
2010-08-26,0.27,0.28,0.27,0.28,2700,2.24
2010-08-27,0.26,0.28,0.26,0.27,4900,2.16
2010-08-30,0.27,0.28,0.26,0.28,4500,2.24
2010-08-31,0.28,0.28,0.27,0.28,1300,2.24
2010-09-01,0.26,0.26,0.26,0.26,0,2.08
2010-09-02,0.26,0.26,0.26,0.26,2300,2.08
2010-09-03,0.27,0.27,0.27,0.27,0,2.16
2010-09-07,0.26,0.26,0.26,0.26,5600,2.08
2010-09-08,0.26,0.27,0.26,0.26,2000,2.08
2010-09-09,0.26,0.26,0.26,0.26,0,2.08
2010-09-10,0.26,0.27,0.25,0.25,12200,2.0
2010-09-13,0.26,0.26,0.26,0.26,600,2.08
2010-09-14,0.27,0.28,0.27,0.27,12000,2.16
2010-09-15,0.28,0.29,0.28,0.29,6500,2.32
2010-09-16,0.29,0.31,0.29,0.31,14700,2.48
2010-09-17,0.31,0.31,0.31,0.31,7000,2.48
2010-09-20,0.3,0.31,0.3,0.31,4700,2.48
2010-09-21,0.3,0.31,0.29,0.3,2600,2.4
2010-09-22,0.29,0.31,0.29,0.31,28900,2.48
2010-09-23,0.32,0.32,0.3,0.31,2200,2.48
2010-09-24,0.32,0.32,0.31,0.31,1600,2.48
2010-09-27,0.31,0.31,0.29,0.29,2000,2.32
2010-09-28,0.31,0.31,0.31,0.31,3500,2.48
2010-09-29,0.31,0.31,0.3,0.3,5900,2.4
2010-09-30,0.3,0.31,0.3,0.31,3600,2.48
2010-10-01,0.31,0.34,0.31,0.34,10700,2.72
2010-10-04,0.34,0.37,0.33,0.37,19300,2.96
2010-10-05,0.37,0.4,0.37,0.4,30700,3.2
2010-10-06,0.4,0.47,0.39,0.4,26100,3.2
2010-10-07,0.41,0.43,0.4,0.4,23900,3.2
2010-10-08,0.4,0.4,0.37,0.37,27400,2.96
2010-10-11,0.4,0.4,0.4,0.4,4400,3.2
2010-10-12,0.38,0.38,0.35,0.36,19700,2.88
2010-10-13,0.38,0.38,0.36,0.37,9400,2.96
