Date,Open,High,Low,Close,Volume,Adj Close
2007-01-10,1.3,1.35,1.3,1.3,0,19.31
2007-01-11,1.3,1.3,1.3,1.3,0,19.31
2007-01-12,1.3,1.3,1.3,1.3,0,19.31
2007-01-16,1.25,1.25,1.15,1.15,200,17.08
2007-01-17,1.25,1.25,1.12,1.12,200,16.63
2007-01-18,1.2,1.2,1.2,1.2,0,17.82
2007-01-19,1.25,1.32,1.25,1.25,200,18.56
2007-01-22,1.25,1.26,1.25,1.25,0,18.56
2007-01-23,1.32,1.32,1.25,1.26,0,18.71
2007-01-24,1.2,1.25,1.12,1.25,200,18.56
2007-01-25,1.25,1.25,1.2,1.2,0,17.82
2007-01-26,1.2,1.25,1.2,1.25,0,18.56
2007-01-29,1.2,1.25,1.15,1.2,200,17.82
2007-01-30,1.2,1.31,1.13,1.22,400,18.12
2007-01-31,1.22,1.22,1.13,1.13,200,16.78
2007-02-01,1.2,1.2,1.13,1.2,0,17.82
2007-02-02,1.2,1.2,1.13,1.2,200,17.82
2007-02-05,1.2,1.2,1.16,1.16,0,17.23
2007-02-06,1.2,1.2,1.13,1.15,400,17.08
2007-02-07,1.15,1.2,1.15,1.2,0,17.82
2007-02-08,1.2,1.2,1.2,1.2,0,17.82
2007-02-09,1.2,1.2,1.2,1.2,0,17.82
2007-02-12,1.22,1.22,1.2,1.2,0,17.82
2007-02-13,1.2,1.2,1.2,1.2,0,17.82
2007-02-14,1.2,1.2,1.2,1.2,0,17.82
2007-02-15,1.2,1.2,1.2,1.2,0,17.82
2007-02-16,1.2,1.2,1.13,1.13,200,16.78
2007-02-20,1.2,1.2,1.2,1.2,0,17.82
2007-02-21,1.2,1.2,1.2,1.2,0,17.82
2007-02-22,1.2,1.2,1.2,1.2,0,17.82
2007-02-23,1.2,1.2,1.2,1.2,0,17.82
2007-02-26,1.17,1.2,1.15,1.2,200,17.82
2007-02-27,1.2,1.2,1.2,1.2,0,17.82
2007-02-28,1.2,1.2,1.18,1.2,0,17.82
2007-03-01,1.18,1.2,1.18,1.2,0,17.82
2007-03-02,1.2,1.2,1.2,1.2,0,17.82
2007-03-05,1.18,1.2,1.18,1.2,0,17.82
2007-03-06,1.19,1.2,1.19,1.2,0,17.82
2007-03-07,1.2,1.2,1.2,1.2,0,17.82
2007-03-08,1.19,1.2,1.19,1.2,0,17.82
2007-03-09,1.2,1.2,1.19,1.19,200,17.67
2007-03-12,1.13,1.2,1.11,1.15,2000,17.08
2007-03-13,1.2,1.2,1.2,1.2,0,17.82
2007-03-14,1.2,1.2,1.2,1.2,0,17.82
2007-03-15,1.2,1.2,1.2,1.2,0,17.82
2007-03-16,1.2,1.2,1.2,1.2,0,17.82
2007-03-19,1.2,1.2,1.2,1.2,0,17.82
2007-03-20,1.15,1.2,1.15,1.2,0,17.82
2007-03-21,1.2,1.5,1.2,1.5,200,22.28
2007-03-22,1.5,1.5,1.45,1.5,200,22.28
2007-03-23,1.5,1.5,1.5,1.5,0,22.28
2007-03-26,1.5,1.5,1.5,1.5,0,22.28
2007-03-27,1.5,1.5,1.5,1.5,0,22.28
2007-03-28,1.5,1.5,1.5,1.5,0,22.28
2007-03-29,1.5,1.5,1.5,1.5,0,22.28
2007-03-30,1.5,1.5,1.5,1.5,0,22.28
2007-04-02,1.45,1.5,1.45,1.5,0,22.28
2007-04-03,1.45,1.45,1.45,1.45,0,21.53
2007-04-04,1.45,1.5,1.45,1.5,0,22.28
2007-04-05,1.5,2.0,1.5,2.0,200,30.0
2007-04-09,1.95,2.0,1.95,1.95,0,29.25
2007-04-10,1.95,1.95,1.5,1.5,0,22.5
2007-04-11,1.75,1.75,1.75,1.75,0,26.25
2007-04-12,1.75,1.75,1.75,1.75,0,26.25
2007-04-13,1.75,1.75,1.75,1.75,0,26.25
2007-04-16,1.5,1.7,1.5,1.7,0,25.5
2007-04-17,1.5,1.7,1.5,1.7,0,25.5
2007-04-18,1.7,1.7,1.7,1.7,0,25.5
2007-04-19,1.5,1.55,1.5,1.55,200,23.25
2007-04-20,1.55,1.55,1.55,1.55,0,23.25
2007-04-23,1.5,1.5,1.5,1.5,0,22.5
2007-04-24,1.45,1.45,1.45,1.45,0,21.75
2007-04-25,1.4,1.4,1.4,1.4,0,21.0
2007-04-26,1.4,1.4,1.4,1.4,0,21.0
2007-04-27,1.4,1.4,1.4,1.4,0,21.0
2007-04-30,1.4,1.4,1.4,1.4,0,21.0
2007-05-01,1.4,1.4,1.4,1.4,0,21.0
2007-05-02,1.4,1.4,1.4,1.4,0,21.0
2007-05-03,1.4,1.4,1.4,1.4,0,21.0
2007-05-04,1.4,1.4,1.4,1.4,0,21.0
2007-05-07,1.4,1.4,1.4,1.4,0,21.0
2007-05-08,1.05,1.4,1.05,1.4,0,21.0
2007-05-09,1.35,1.35,1.35,1.35,0,20.25
2007-05-10,1.35,1.4,1.35,1.4,0,21.0
2007-05-11,1.25,1.25,1.05,1.05,200,15.75
2007-05-14,1.05,1.2,1.05,1.05,200,15.75
2007-05-15,1.05,1.15,1.05,1.14,1400,17.1
2007-05-16,1.02,1.02,0.85,0.85,200,12.75
2007-05-17,1.15,1.15,0.8,1.0,1000,15.0
2007-05-18,1.0,1.05,0.85,0.95,1200,14.25
2007-05-21,0.95,1.0,0.95,1.0,200,15.0
2007-05-22,1.0,1.0,1.0,1.0,0,15.0
2007-05-23,1.0,1.0,1.0,1.0,0,15.0
2007-05-24,0.88,1.0,0.8,1.0,800,15.0
2007-05-25,1.0,1.0,1.0,1.0,0,15.0
2007-05-29,1.0,1.0,1.0,1.0,0,15.0
2007-05-30,1.0,1.0,0.7,1.0,600,15.0
2007-05-31,0.75,0.9,0.7,0.75,600,11.25
2007-06-01,0.75,0.75,0.75,0.75,0,11.25
2007-06-04,0.75,0.75,0.7,0.75,1600,11.25
2007-06-05,0.7,0.75,0.7,0.7,1600,10.5
2007-06-06,0.7,0.7,0.7,0.7,200,10.5
2007-06-07,0.7,0.7,0.63,0.65,2400,9.75
2007-06-08,0.66,0.69,0.65,0.65,4400,9.75
2007-06-11,0.7,0.75,0.63,0.65,3600,9.75
2007-06-12,0.63,0.65,0.6,0.6,3400,9.0
2007-06-13,0.6,0.6,0.56,0.56,3800,8.4
2007-06-14,0.56,0.6,0.56,0.6,1200,9.0
2007-06-15,0.58,0.64,0.57,0.57,600,8.55
2007-06-18,0.58,0.58,0.56,0.58,4000,8.7
2007-06-19,0.56,0.56,0.55,0.56,800,8.4
2007-06-20,0.56,0.56,0.55,0.55,2000,8.25
2007-06-21,0.55,0.56,0.54,0.54,1200,8.1
2007-06-22,0.54,0.55,0.53,0.53,1000,7.95
2007-06-25,0.53,0.75,0.53,0.55,6800,8.25
2007-06-26,0.55,0.55,0.52,0.52,1800,7.8
2007-06-27,0.54,0.54,0.52,0.52,3600,7.8
2007-06-28,0.52,0.65,0.52,0.64,2000,9.6
2007-06-29,0.64,0.68,0.64,0.68,1000,10.2
2007-07-02,0.68,0.74,0.68,0.74,3400,11.1
2007-07-03,0.75,0.75,0.75,0.75,1800,11.25
2007-07-05,0.75,0.85,0.7,0.85,3200,12.75
2007-07-06,0.8,0.85,0.8,0.85,600,12.75
2007-07-09,0.77,0.85,0.77,0.85,600,12.75
2007-07-10,0.8,0.85,0.8,0.85,600,12.75
2007-07-11,0.8,0.85,0.78,0.85,2000,12.75
2007-07-12,0.85,0.95,0.85,0.95,800,14.25
2007-07-13,0.85,0.95,0.82,0.95,800,14.25
2007-07-16,0.9,0.97,0.88,0.95,1400,14.25
2007-07-17,0.95,0.95,0.86,0.86,200,12.9
2007-07-18,0.93,0.93,0.88,0.88,1000,13.2
2007-07-19,0.93,0.93,0.85,0.85,1200,12.75
2007-07-20,0.85,0.95,0.83,0.95,200,14.25
2007-07-23,0.95,0.95,0.88,0.89,600,13.35
2007-07-24,0.86,0.89,0.84,0.84,200,12.6
2007-07-25,0.84,0.84,0.84,0.84,0,12.6
2007-07-26,0.81,0.81,0.8,0.81,1000,12.15
2007-07-27,0.81,0.81,0.81,0.81,0,12.15
2007-07-30,0.81,0.81,0.75,0.75,600,11.25
2007-07-31,0.8,0.8,0.8,0.8,0,12.0
2007-08-01,0.75,0.8,0.65,0.75,400,11.25
2007-08-02,0.75,0.75,0.75,0.75,0,11.25
2007-08-03,0.75,0.75,0.75,0.75,0,11.25
2007-08-06,0.56,0.73,0.56,0.73,600,10.95
2007-08-07,0.73,0.73,0.73,0.73,400,10.95
2007-08-08,0.73,0.73,0.73,0.73,200,10.95
2007-08-09,0.73,0.73,0.73,0.73,0,10.95
2007-08-10,0.73,0.73,0.72,0.72,400,10.8
2007-08-13,0.72,0.73,0.72,0.73,200,10.95
2007-08-14,0.7,0.73,0.7,0.73,400,10.95
2007-08-15,0.73,0.73,0.73,0.73,200,10.95
2007-08-16,0.73,0.73,0.73,0.73,200,10.95
2007-08-17,0.73,0.73,0.73,0.73,0,10.95
2007-08-20,0.73,0.77,0.73,0.77,800,11.55
2007-08-21,0.75,0.77,0.75,0.77,200,11.55
2007-08-22,0.77,0.85,0.77,0.85,200,12.75
2007-08-23,0.75,0.85,0.75,0.85,400,12.75
2007-08-24,0.88,0.9,0.85,0.85,1000,12.75
2007-08-27,0.85,0.85,0.75,0.8,400,12.0
2007-08-28,0.8,0.8,0.78,0.8,200,12.0
2007-08-29,0.4,0.8,0.4,0.8,600,12.0
2007-08-30,0.78,0.78,0.78,0.78,0,11.7
2007-08-31,0.8,0.8,0.8,0.8,0,12.0
2007-09-04,0.8,0.8,0.8,0.8,200,12.0
2007-09-05,0.8,0.8,0.77,0.77,200,11.55
2007-09-06,0.77,0.77,0.77,0.77,0,11.55
2007-09-07,0.8,0.8,0.7,0.77,600,11.55
2007-09-10,0.78,0.8,0.78,0.8,800,12.0
2007-09-11,0.72,0.78,0.72,0.78,0,11.7
2007-09-12,0.78,0.8,0.78,0.78,200,11.7
