Date,Open,High,Low,Close,Volume,Adj Close
2003-09-18,11.26,17.98,11.25,12.94,108200,388.16
2003-09-19,12.71,12.84,11.88,12.2,14800,365.96
2003-09-22,12.32,12.57,12.0,12.4,6700,371.96
2003-09-23,12.42,13.32,12.26,13.1,16100,392.96
2003-09-24,13.06,13.74,12.62,12.9,8800,386.96
2003-09-25,12.65,12.66,12.48,12.55,2900,376.46
2003-09-26,12.56,12.65,11.95,12.5,6600,374.96
2003-09-29,12.3,12.5,12.1,12.15,4200,364.46
2003-09-30,12.19,12.33,12.05,12.07,3200,362.06
2003-10-01,12.1,12.17,11.93,12.05,5600,361.46
2003-10-02,12.18,12.5,12.0,12.33,1100,369.86
2003-10-03,12.34,12.66,12.34,12.56,1700,376.76
2003-10-06,12.6,12.71,12.12,12.47,1500,374.06
2003-10-07,12.05,12.67,12.05,12.5,3800,374.96
2003-10-08,12.5,12.7,12.5,12.6,2900,377.96
2003-10-09,12.68,12.75,12.5,12.5,1300,374.96
2003-10-10,12.63,12.75,12.55,12.71,700,381.26
2003-10-13,12.73,12.73,12.57,12.65,700,379.46
2003-10-14,12.62,12.76,12.5,12.62,700,378.56
2003-10-15,12.68,12.76,12.6,12.7,1600,380.96
2003-10-16,12.72,12.75,12.57,12.7,2200,380.96
2003-10-17,12.82,13.28,12.5,12.75,4900,382.46
2003-10-20,12.9,13.1,12.9,12.92,200,387.56
2003-10-21,12.96,13.09,12.7,12.99,500,389.66
2003-10-22,13.0,13.1,13.0,13.02,600,390.56
2003-10-23,13.0,13.02,12.6,13.0,300,389.96
2003-10-24,12.99,13.1,12.8,13.1,1000,392.96
2003-10-27,12.6,13.19,12.6,13.15,1000,394.46
2003-10-28,13.08,13.66,12.93,13.63,700,408.86
2003-10-29,13.6,14.4,13.39,14.25,7600,427.46
2003-10-30,14.45,14.9,14.23,14.9,4800,446.96
2003-10-31,14.9,15.15,14.0,14.65,5500,439.46
2003-11-03,14.62,14.94,14.61,14.8,3100,443.96
2003-11-04,15.26,15.99,15.07,15.4,2200,461.95
2003-11-05,15.69,15.69,15.06,15.06,1100,451.75
2003-11-06,15.01,15.01,14.2,14.73,1100,441.86
2003-11-07,15.0,15.22,14.94,15.22,200,456.55
2003-11-10,14.2,15.55,14.2,15.45,2200,463.45
2003-11-11,15.67,15.67,15.23,15.56,400,466.75
2003-11-12,15.9,16.55,15.41,16.25,1000,487.45
2003-11-13,16.04,16.49,15.75,16.49,800,494.65
2003-11-14,16.01,16.95,16.01,16.51,2900,495.25
2003-11-17,16.7,17.18,16.45,17.11,2200,513.25
2003-11-18,17.05,17.25,15.55,16.43,2200,492.85
2003-11-19,16.43,16.55,16.1,16.24,1700,487.15
2003-11-20,16.0,16.31,16.0,16.21,1500,486.25
2003-11-21,16.22,17.07,15.68,17.07,13700,512.05
2003-11-24,16.79,17.03,16.41,16.52,2500,495.55
2003-11-25,16.65,16.65,16.48,16.56,1600,496.75
2003-11-26,16.69,16.79,16.47,16.54,9200,496.15
2003-11-28,16.6,16.67,16.5,16.54,100,496.15
2003-12-01,16.44,16.6,15.94,16.53,1800,495.85
2003-12-02,16.56,17.2,16.5,17.2,2000,515.95
2003-12-03,16.87,17.58,16.87,17.35,1200,520.45
2003-12-04,17.07,17.5,17.07,17.45,1200,523.45
2003-12-05,17.55,17.55,17.19,17.28,700,518.35
2003-12-08,17.2,18.09,17.2,18.03,3100,540.85
2003-12-09,18.18,18.64,17.75,18.4,2600,551.94
2003-12-10,18.5,19.4,17.94,18.85,2200,565.44
2003-12-11,18.28,18.75,17.39,18.32,3000,549.55
2003-12-12,18.62,19.35,18.58,19.35,2000,580.44
2003-12-15,19.6,20.95,19.5,20.53,3200,615.84
2003-12-16,20.6,20.81,20.04,20.1,6800,602.94
2003-12-17,19.98,20.26,19.07,19.4,5500,581.94
2003-12-18,19.55,19.85,19.38,19.85,4300,595.44
2003-12-19,19.98,20.25,19.82,20.01,10200,600.24
2003-12-22,20.18,20.61,19.9,20.16,4200,604.74
2003-12-23,20.61,21.19,20.11,21.17,4200,635.04
2003-12-24,21.24,22.3,21.24,22.01,2600,660.23
2003-12-26,22.05,22.05,21.9,22.04,400,661.13
2003-12-29,22.06,23.27,22.06,23.27,5400,698.03
2003-12-30,23.49,24.27,23.4,23.76,3900,712.73
2003-12-31,23.96,24.0,23.28,23.58,1400,707.33
2004-01-02,24.05,24.05,23.61,23.99,4000,719.63
2004-01-05,24.04,24.92,23.86,24.92,2500,747.53
2004-01-06,24.72,24.94,24.02,24.23,1900,726.83
2004-01-07,24.54,24.6,24.24,24.47,1400,734.03
2004-01-08,24.27,25.66,24.25,25.0,1800,749.93
2004-01-09,24.65,25.69,24.65,25.35,2800,760.42
2004-01-12,25.55,26.04,24.9,25.02,2000,750.52
2004-01-13,24.83,25.19,23.03,23.64,4800,709.13
2004-01-14,22.71,23.05,18.05,21.05,23900,631.44
2004-01-15,19.3,20.92,19.29,19.96,3900,598.74
2004-01-16,19.4,22.36,18.86,21.59,5100,647.64
2004-01-20,21.82,22.38,21.0,21.69,2200,650.63
2004-01-21,21.8,21.82,20.87,21.66,1100,649.74
2004-01-22,21.89,22.63,21.42,21.76,2400,652.73
2004-01-23,22.2,22.63,21.56,22.26,5500,667.73
2004-01-26,22.26,22.26,21.39,21.96,1300,658.73
2004-01-27,21.96,21.96,20.75,21.31,4400,639.24
2004-01-28,21.03,21.53,21.0,21.4,1400,641.94
2004-01-29,21.0,21.15,19.9,20.74,1300,622.14
2004-01-30,20.45,21.48,20.45,21.48,2100,644.34
2004-02-02,21.5,21.5,20.82,21.25,900,637.44
2004-02-03,20.76,21.16,20.76,20.95,700,628.44
2004-02-04,20.9,21.18,20.52,20.61,600,618.24
2004-02-05,20.46,20.6,20.16,20.18,1200,605.34
2004-02-06,20.17,20.62,20.17,20.45,600,613.44
2004-02-09,20.45,21.39,20.45,21.04,500,631.14
2004-02-10,21.23,21.56,21.16,21.38,400,641.34
2004-02-11,22.48,22.48,21.7,22.2,900,665.93
2004-02-12,22.0,22.45,21.02,21.02,800,630.54
2004-02-13,21.7,21.7,20.86,21.08,300,632.34
2004-02-17,21.0,21.55,20.56,20.89,500,626.64
2004-02-18,21.42,21.74,20.57,20.77,800,623.04
2004-02-19,20.62,21.45,20.56,21.0,400,629.94
2004-02-20,20.96,20.99,20.55,20.92,800,627.54
2004-02-23,20.75,20.77,20.4,20.45,700,613.44
2004-02-24,20.36,20.5,19.84,20.13,3400,603.84
2004-02-25,19.96,20.28,19.75,19.91,1800,597.24
2004-02-26,20.09,20.09,19.0,19.5,2300,584.94
2004-02-27,19.27,20.36,19.27,20.21,1900,606.24
2004-03-01,20.21,21.63,20.21,21.01,1500,630.24
2004-03-02,21.07,21.26,20.76,20.99,900,629.64
2004-03-03,20.99,22.48,20.8,22.03,2800,660.83
2004-03-04,22.2,22.4,21.63,21.9,6400,656.93
2004-03-05,22.35,22.54,21.87,22.27,1100,668.03
2004-03-08,22.11,22.18,21.57,21.57,600,647.04
2004-03-09,21.52,22.01,21.13,21.57,1500,647.04
2004-03-10,21.14,21.35,20.56,20.91,1000,627.24
2004-03-11,20.34,20.58,19.5,19.75,1200,592.44
2004-03-12,20.46,20.46,19.59,19.89,700,596.64
2004-03-15,20.5,20.5,19.75,19.75,400,592.44
2004-03-16,19.94,19.94,19.35,19.72,2000,591.54
2004-03-17,20.1,20.25,19.91,20.25,700,607.44
2004-03-18,20.25,20.48,20.24,20.3,100,608.94
2004-03-19,21.2,21.4,20.47,20.64,2200,619.14
2004-03-22,20.52,20.69,19.72,19.98,900,599.34
2004-03-23,20.71,20.71,19.76,20.08,1900,602.34
2004-03-24,19.9,20.13,19.05,19.98,900,599.34
2004-03-25,20.2,20.82,20.2,20.38,600,611.34
2004-03-26,20.39,20.68,20.19,20.28,600,608.34
2004-03-29,20.34,21.65,20.34,21.03,1400,630.84
2004-03-30,21.1,21.35,21.0,21.17,600,635.04
2004-03-31,21.44,21.44,21.0,21.32,400,639.54
2004-04-01,21.24,22.47,21.24,22.44,3500,673.13
2004-04-02,22.52,23.86,22.35,23.85,5100,715.43
2004-04-05,23.52,24.29,23.45,24.15,3400,724.43
2004-04-06,24.0,24.65,24.0,24.4,1200,731.93
2004-04-07,24.43,24.47,24.04,24.4,1800,731.93
2004-04-08,24.37,24.44,24.08,24.36,200,730.73
2004-04-12,24.24,24.41,23.59,24.0,2000,719.93
2004-04-13,24.11,24.11,23.55,24.1,1700,722.93
2004-04-14,23.73,24.74,23.61,24.34,4500,730.13
2004-04-15,24.4,24.44,23.61,24.31,1100,729.23
2004-04-16,24.34,24.84,24.33,24.81,2600,744.23
2004-04-19,25.01,25.32,24.4,25.28,3600,758.32
2004-04-20,25.32,25.32,25.0,25.1,2700,752.92
2004-04-21,25.02,25.02,24.37,24.5,3400,734.93
2004-04-22,24.72,25.5,24.57,25.4,1400,761.92
2004-04-23,25.51,25.83,25.2,25.57,2400,767.02
2004-04-26,25.86,26.69,25.82,26.51,2600,795.22
2004-04-27,26.65,27.43,25.82,26.86,4000,805.72
2004-04-28,26.97,26.97,26.14,26.44,3000,793.12
2004-04-29,26.58,26.58,25.67,26.33,1900,789.82
2004-04-30,26.43,26.51,23.01,24.0,5900,719.93
2004-05-03,24.45,25.45,24.41,25.06,4000,751.72
2004-05-04,25.55,25.65,24.58,25.0,8200,749.93
2004-05-05,25.2,25.26,24.38,24.68,11800,740.33
2004-05-06,23.43,25.14,23.43,25.14,1500,754.12
2004-05-07,25.17,25.4,24.72,24.83,3100,744.83
2004-05-10,24.0,24.68,22.74,23.79,4300,713.63
2004-05-11,23.95,23.95,23.02,23.48,2400,704.33
2004-05-12,23.38,23.68,22.98,23.12,3000,693.53
2004-05-13,22.95,23.52,22.48,23.34,1500,700.13
2004-05-14,23.5,23.56,22.9,23.06,8800,691.73
2004-05-17,22.9,23.04,22.45,22.9,2000,686.93
2004-05-18,23.09,23.46,22.2,23.25,2500,697.43
2004-05-19,23.45,24.14,22.12,22.63,13600,678.83
2004-05-20,22.06,22.93,21.0,21.73,4100,651.83
2004-05-21,22.13,22.48,21.41,21.49,3700,644.64
2004-05-24,22.0,22.0,21.01,21.76,3300,652.73
2004-05-25,21.94,21.94,21.21,21.6,5400,647.94
2004-05-26,21.22,21.7,20.99,21.55,4400,646.44
2004-05-27,21.54,22.94,21.54,22.84,4100,685.13
2004-05-28,23.03,23.03,21.79,21.9,2800,656.93
2004-06-01,22.24,22.5,21.8,21.9,3100,656.93
2004-06-02,22.72,22.72,21.92,22.07,2900,662.03
2004-06-03,22.22,22.29,21.89,21.97,3900,659.03
2004-06-04,22.17,22.17,21.88,21.94,4600,658.13
2004-06-07,22.15,22.15,21.64,22.15,900,664.43
2004-06-08,22.16,22.65,21.85,22.05,1100,661.43
