Date,Open,High,Low,Close,Volume,Adj Close
1996-06-21,7.16,7.16,6.48,7.08,44800,177.0
1996-06-24,7.08,7.08,6.56,6.56,21000,164.0
1996-06-25,7.08,7.08,6.56,7.08,8200,177.0
1996-06-26,7.08,7.08,6.56,7.08,6600,177.0
1996-06-27,7.08,7.08,6.52,7.0,5300,175.0
1996-06-28,7.0,7.0,6.56,7.0,4800,175.0
1996-07-01,7.0,7.16,6.56,7.16,14700,179.0
1996-07-02,7.16,8.0,7.16,7.28,15200,182.0
1996-07-03,7.48,7.48,7.24,7.24,14400,181.0
1996-07-05,7.4,7.4,7.16,7.4,400,185.0
1996-07-08,7.32,7.32,7.0,7.04,15600,176.0
1996-07-09,7.24,7.32,7.0,7.32,900,183.0
1996-07-10,7.32,7.32,7.0,7.16,1400,179.0
1996-07-11,7.24,7.24,6.4,6.4,4400,160.0
1996-07-12,6.48,7.0,6.48,6.48,200,162.0
1996-07-15,6.48,7.0,6.32,6.56,1200,164.0
1996-07-16,6.56,6.56,6.32,6.48,600,162.0
1996-07-17,6.48,7.08,6.48,7.0,1000,175.0
1996-07-18,7.08,7.08,6.56,7.0,1300,175.0
1996-07-19,7.0,7.16,6.56,7.08,2800,177.0
1996-07-22,7.08,7.08,6.56,7.08,500,177.0
1996-07-23,7.08,7.08,6.48,6.48,1700,162.0
1996-07-24,6.48,6.48,6.24,6.24,2400,156.0
1996-07-25,6.4,6.4,6.24,6.32,2400,158.0
1996-07-26,6.32,6.32,6.24,6.32,1400,158.0
1996-07-29,6.24,6.32,6.0,6.16,1300,154.0
1996-07-30,6.0,6.0,5.24,6.0,7500,150.0
1996-07-31,6.0,6.0,5.32,5.32,600,133.0
1996-08-01,5.4,5.4,5.16,5.32,400,133.0
1996-08-02,5.4,5.4,5.16,5.16,1200,129.0
1996-08-05,5.32,5.48,5.16,5.4,1900,135.0
1996-08-06,5.4,5.48,5.24,5.32,1700,133.0
1996-08-07,5.32,5.48,5.24,5.24,1100,131.0
1996-08-08,5.24,5.4,5.24,5.24,5400,131.0
1996-08-09,5.4,5.4,5.24,5.32,1200,133.0
1996-08-12,5.48,5.48,5.48,5.48,0,137.0
1996-08-13,5.48,5.48,5.4,5.4,100,135.0
1996-08-14,5.48,5.56,5.4,5.56,500,139.0
1996-08-15,5.56,6.08,5.48,6.08,1400,152.0
1996-08-16,5.56,6.0,5.56,6.0,300,150.0
1996-08-19,6.0,6.0,6.0,6.0,300,150.0
1996-08-20,5.56,6.0,5.48,5.48,200,137.0
1996-08-21,5.48,6.0,5.48,6.0,500,150.0
1996-08-22,6.0,6.0,5.48,6.0,200,150.0
1996-08-23,6.0,6.0,5.48,5.56,200,139.0
1996-08-26,5.56,5.56,5.48,5.48,0,137.0
1996-08-27,5.56,5.56,5.48,5.56,800,139.0
1996-08-28,5.56,6.0,5.48,5.48,1600,137.0
1996-08-29,6.0,6.0,5.32,5.4,1800,135.0
1996-08-30,5.56,5.56,5.4,5.4,500,135.0
1996-09-03,5.48,5.56,5.24,5.48,2500,137.0
1996-09-04,5.4,5.56,5.4,5.56,1300,139.0
1996-09-05,5.55,5.56,5.4,5.56,1700,139.0
1996-09-06,5.4,5.48,5.4,5.48,200,137.0
1996-09-09,5.44,5.48,5.4,5.48,0,137.0
1996-09-10,5.48,5.48,5.24,5.4,400,135.0
1996-09-11,5.32,5.32,5.24,5.24,1100,131.0
1996-09-12,5.24,5.4,5.24,5.4,100,135.0
1996-09-13,5.32,5.48,5.32,5.4,300,135.0
1996-09-16,5.24,5.48,5.24,5.48,400,137.0
1996-09-17,5.24,5.48,5.24,5.32,1400,133.0
1996-09-18,5.32,5.48,5.32,5.4,200,135.0
1996-09-19,5.4,5.4,5.24,5.32,500,133.0
1996-09-20,5.24,5.32,5.24,5.32,200,133.0
1996-09-23,5.4,5.4,5.16,5.4,9000,135.0
1996-09-24,5.32,6.56,5.32,6.56,6100,164.0
1996-09-25,7.08,8.4,7.0,8.24,5400,206.0
1996-09-26,8.0,8.16,7.56,8.04,9100,201.0
1996-09-27,7.56,8.0,7.32,7.48,1300,187.0
1996-09-30,7.32,7.56,7.32,7.56,1300,189.0
1996-10-01,7.32,7.56,7.32,7.4,400,185.0
1996-10-02,7.56,7.56,7.32,7.44,500,186.0
1996-10-03,7.32,8.16,7.32,8.16,3400,204.0
1996-10-04,8.16,8.24,8.0,8.0,3500,200.0
1996-10-07,8.0,8.16,8.0,8.08,13200,202.0
