Date,Open,High,Low,Close,Volume,Adj Close
1999-12-22,0.47,0.47,0.44,0.47,29500,0.47
1999-12-23,0.44,0.47,0.44,0.47,70000,0.47
1999-12-27,0.47,0.5,0.41,0.5,28800,0.5
1999-12-28,0.41,0.41,0.41,0.41,900,0.41
1999-12-29,0.41,0.41,0.41,0.41,0,0.41
1999-12-30,0.41,0.41,0.41,0.41,0,0.41
1999-12-31,0.47,0.47,0.47,0.47,15000,0.47
2000-01-03,0.5,0.5,0.47,0.5,19000,0.5
2000-01-04,0.5,0.5,0.5,0.5,0,0.5
2000-01-05,0.53,0.53,0.53,0.53,1000,0.53
2000-01-06,0.53,0.53,0.53,0.53,0,0.53
2000-01-07,0.44,0.44,0.44,0.44,600,0.44
2000-01-10,0.44,0.44,0.44,0.44,0,0.44
2000-01-11,0.5,0.53,0.5,0.5,18800,0.5
2000-01-12,0.44,0.44,0.44,0.44,2500,0.44
2000-01-13,0.44,0.44,0.44,0.44,0,0.44
2000-01-14,0.44,0.44,0.44,0.44,0,0.44
2000-01-18,0.53,0.53,0.53,0.53,700,0.53
2000-01-19,0.53,0.53,0.53,0.53,0,0.53
2000-01-20,0.47,0.47,0.47,0.47,1500,0.47
2000-01-21,0.53,0.53,0.53,0.53,700,0.53
2000-01-24,0.47,0.47,0.47,0.47,5000,0.47
2000-01-25,0.47,0.47,0.47,0.47,500,0.47
2000-01-26,0.47,0.47,0.47,0.47,0,0.47
2000-01-27,0.53,0.53,0.53,0.53,4000,0.53
2000-01-28,0.47,0.47,0.47,0.47,5600,0.47
2000-01-31,0.47,0.47,0.47,0.47,0,0.47
2000-02-01,0.47,0.47,0.47,0.47,0,0.47
2000-02-02,0.5,0.5,0.47,0.5,19300,0.5
2000-02-03,0.5,0.5,0.5,0.5,0,0.5
2000-02-04,0.44,0.44,0.44,0.44,2600,0.44
2000-02-07,0.5,0.5,0.5,0.5,300,0.5
2000-02-08,0.5,0.5,0.5,0.5,5800,0.5
2000-02-09,0.5,0.5,0.5,0.5,0,0.5
2000-02-10,0.5,0.5,0.5,0.5,0,0.5
2000-02-11,0.5,0.5,0.5,0.5,7000,0.5
2000-02-14,0.5,0.5,0.5,0.5,1000,0.5
2000-02-15,0.5,0.5,0.5,0.5,1000,0.5
2000-02-16,0.5,0.5,0.5,0.5,4000,0.5
2000-02-17,0.5,0.5,0.5,0.5,0,0.5
2000-02-18,0.47,0.47,0.47,0.47,11500,0.47
2000-02-22,0.47,0.47,0.47,0.47,0,0.47
2000-02-23,0.47,0.47,0.47,0.47,0,0.47
2000-02-24,0.47,0.47,0.47,0.47,0,0.47
2000-02-25,0.47,0.47,0.47,0.47,0,0.47
2000-02-28,0.47,0.47,0.47,0.47,0,0.47
2000-02-29,0.47,0.47,0.47,0.47,0,0.47
2000-03-01,0.53,0.53,0.47,0.53,3200,0.53
2000-03-02,0.53,0.53,0.53,0.53,1100,0.53
2000-03-03,0.53,0.53,0.53,0.53,5000,0.53
2000-03-06,0.53,0.53,0.5,0.53,5500,0.53
2000-03-07,0.53,0.53,0.53,0.53,2500,0.53
2000-03-08,0.53,0.53,0.53,0.53,1000,0.53
2000-03-09,0.56,0.56,0.56,0.56,7100,0.56
2000-03-10,0.66,0.66,0.56,0.66,20700,0.66
2000-03-13,0.69,0.72,0.34,0.72,52900,0.72
2000-03-14,0.72,0.75,0.69,0.75,39000,0.75
2000-03-15,0.75,0.78,0.72,0.72,7600,0.72
2000-03-16,0.78,0.78,0.75,0.75,4000,0.75
2000-03-17,0.75,0.78,0.75,0.75,23800,0.75
2000-03-20,0.75,0.76,0.75,0.76,60000,0.76
2000-03-21,0.78,0.78,0.78,0.78,6800,0.78
2000-03-22,0.78,0.78,0.78,0.78,10000,0.78
2000-03-23,1.12,1.12,0.78,1.12,110800,1.12
2000-03-24,1.06,1.19,1.0,1.06,26500,1.06
2000-03-27,1.03,1.09,1.03,1.09,7800,1.09
2000-03-28,1.16,1.25,1.09,1.16,53500,1.16
2000-03-29,1.25,1.25,1.16,1.25,28900,1.25
2000-03-30,1.16,1.16,1.12,1.12,3400,1.12
2000-03-31,0.94,1.19,0.88,0.94,58600,0.94
2000-04-03,0.91,0.94,0.75,0.91,52700,0.91
2000-04-04,0.72,0.93,0.72,0.72,48200,0.72
2000-04-05,0.75,0.75,0.75,0.75,600,0.75
2000-04-06,0.72,0.72,0.72,0.72,42500,0.72
2000-04-07,0.72,0.75,0.72,0.72,42000,0.72
2000-04-10,0.72,0.72,0.72,0.72,0,0.72
2000-04-11,0.72,0.72,0.72,0.72,9100,0.72
2000-04-12,0.72,0.72,0.72,0.72,2500,0.72
2000-04-13,0.72,0.75,0.69,0.69,41300,0.69
2000-04-14,0.69,0.69,0.69,0.69,2500,0.69
2000-04-17,0.69,0.72,0.69,0.72,5500,0.72
2000-04-18,0.72,0.72,0.72,0.72,0,0.72
2000-04-19,0.66,0.72,0.6,0.6,16100,0.6
2000-04-20,0.6,0.6,0.6,0.6,0,0.6
2000-04-24,0.66,0.66,0.66,0.66,4000,0.66
2000-04-25,0.78,0.81,0.62,0.78,51800,0.78
2000-04-26,1.0,1.0,0.81,1.0,26000,1.0
2000-04-27,0.94,1.0,0.91,0.91,40500,0.91
2000-04-28,0.91,0.91,0.91,0.91,0,0.91
2000-05-01,0.91,0.91,0.91,0.91,0,0.91
2000-05-02,1.0,1.0,1.0,1.0,200,1.0
2000-05-03,0.97,0.97,0.97,0.97,4300,0.97
2000-05-04,0.94,0.94,0.94,0.94,7000,0.94
2000-05-05,0.88,0.94,0.88,0.88,8800,0.88
2000-05-08,0.88,0.88,0.88,0.88,3000,0.88
2000-05-09,0.81,0.81,0.81,0.81,44800,0.81
2000-05-10,0.69,0.69,0.69,0.69,500,0.69
2000-05-11,0.78,0.78,0.78,0.78,5300,0.78
2000-05-12,0.78,0.78,0.78,0.78,0,0.78
2000-05-15,0.81,0.81,0.81,0.81,10700,0.81
