Date,Open,High,Low,Close,Volume,Adj Close
2002-12-16,2.7,4.98,2.7,4.28,11900,428.0
2002-12-17,4.41,4.51,4.0,4.1,1300,410.0
2002-12-18,4.5,4.91,3.84,3.87,1700,387.0
2002-12-19,4.46,4.5,3.51,3.68,3100,368.0
2002-12-20,3.33,3.84,3.09,3.26,3300,326.0
2002-12-23,3.25,3.25,2.85,3.1,4400,310.0
2002-12-24,3.14,3.3,3.1,3.27,800,327.0
2002-12-26,3.11,3.44,3.11,3.44,300,344.0
2002-12-27,3.13,3.85,3.09,3.85,400,385.0
2002-12-30,3.5,3.76,3.33,3.6,600,360.0
2002-12-31,3.4,3.75,3.2,3.64,800,364.0
2003-01-02,3.27,3.65,3.27,3.65,500,365.0
2003-01-03,3.55,3.6,3.45,3.59,100,359.0
2003-01-06,3.5,3.65,3.4,3.49,1100,349.0
2003-01-07,3.52,3.52,3.2,3.35,400,335.0
2003-01-08,3.2,3.5,3.02,3.34,200,334.0
2003-01-09,3.3,3.4,3.2,3.29,500,329.0
2003-01-10,3.25,3.4,3.22,3.4,100,340.0
2003-01-13,3.45,3.5,3.19,3.19,600,319.0
2003-01-14,3.25,3.3,3.11,3.3,500,330.0
2003-01-15,3.25,3.27,2.94,3.14,1300,314.0
2003-01-16,3.06,3.22,3.0,3.19,500,319.0
2003-01-17,3.03,3.24,3.03,3.14,600,314.0
2003-01-21,3.0,3.15,2.66,2.7,700,270.0
2003-01-22,2.85,2.93,2.7,2.9,600,290.0
2003-01-23,2.97,3.0,2.9,3.0,600,300.0
2003-01-24,3.2,3.3,2.96,3.05,3300,305.0
2003-01-27,3.06,3.09,2.84,2.92,800,292.0
2003-01-28,3.3,3.3,2.92,2.99,900,299.0
2003-01-29,3.05,3.1,2.87,2.91,1000,291.0
2003-01-30,3.08,3.08,2.9,2.96,500,296.0
2003-01-31,2.99,3.02,2.9,3.0,400,300.0
2003-02-03,3.0,3.02,2.9,2.9,500,290.0
2003-02-04,2.95,3.0,2.79,2.8,800,280.0
2003-02-05,2.81,2.91,2.78,2.8,500,280.0
2003-02-06,2.95,3.02,2.71,2.8,500,280.0
2003-02-07,2.8,2.81,2.56,2.61,900,261.0
2003-02-10,2.64,2.64,2.44,2.48,200,248.0
2003-02-11,2.4,2.58,2.1,2.14,1000,214.0
2003-02-12,2.13,2.28,2.01,2.01,1600,201.0
