Date,Open,High,Low,Close,Volume,Adj Close
2004-01-07,13.4,13.6,13.3,13.52,206000,10.93
2004-01-08,13.56,13.71,13.4,13.45,97900,10.88
2004-01-09,13.45,13.59,13.45,13.49,115000,10.91
2004-01-12,13.55,13.55,13.3,13.47,54400,10.89
2004-01-13,13.5,13.5,13.25,13.35,29300,10.79
2004-01-14,13.3,13.33,13.04,13.15,46500,10.63
2004-01-15,13.1,13.25,13.1,13.22,23500,10.69
2004-01-16,13.23,13.23,13.1,13.15,30900,10.63
2004-01-20,13.2,13.23,13.15,13.18,45600,10.66
2004-01-21,13.23,13.25,13.05,13.15,24600,10.63
2004-01-22,13.15,13.23,13.15,13.22,24200,10.69
2004-01-23,13.26,13.26,13.0,13.17,61700,10.65
2004-01-26,13.0,13.23,13.0,13.15,19600,10.63
2004-01-27,13.15,13.15,13.08,13.14,21000,10.62
2004-01-28,13.15,13.27,13.05,13.27,57000,10.73
2004-01-29,13.0,13.37,13.0,13.31,51700,10.76
2004-01-30,13.2,13.56,13.2,13.3,41000,10.75
2004-02-02,13.3,13.56,13.3,13.3,38400,10.75
2004-02-03,13.2,13.35,13.2,13.3,14500,10.75
2004-02-04,13.3,13.33,13.2,13.2,24000,10.67
2004-02-05,13.2,13.49,13.2,13.3,13700,10.75
2004-02-06,13.4,13.56,13.35,13.42,20200,10.85
2004-02-09,13.21,13.5,13.21,13.3,17300,10.75
2004-02-10,13.31,13.44,13.31,13.34,26000,10.79
2004-02-11,13.44,13.49,13.36,13.49,19200,10.91
2004-02-12,13.5,13.56,13.45,13.5,24500,10.92
2004-02-13,13.5,13.5,13.37,13.37,12800,10.81
2004-02-17,13.4,13.67,13.4,13.51,12600,10.92
2004-02-18,13.58,13.75,13.52,13.61,19100,11.0
2004-02-19,13.63,13.75,13.61,13.65,11300,11.04
2004-02-20,13.52,13.75,13.52,13.63,8400,11.02
2004-02-23,13.6,13.62,13.38,13.4,16100,10.84
2004-02-24,13.4,13.6,13.3,13.35,14400,10.79
2004-02-25,13.4,13.4,13.25,13.4,28100,10.84
2004-02-26,13.25,13.35,13.25,13.35,12500,10.79
2004-02-27,13.3,13.35,13.3,13.35,8600,10.79
2004-03-01,13.29,13.3,13.29,13.3,17000,10.75
2004-03-02,13.35,13.35,13.31,13.31,3500,10.76
2004-03-03,13.31,13.31,13.31,13.31,0,10.76
2004-03-04,13.35,13.35,13.31,13.31,2600,10.76
2004-03-05,13.35,13.35,13.31,13.31,2300,10.76
