Date,Open,High,Low,Close,Volume,Adj Close
2014-01-07,9.5,9.5,9.5,9.5,100,9.5
2014-01-09,9.5,9.5,9.5,9.5,400,9.5
2014-01-10,9.5,10.0,9.5,9.85,11800,9.85
2014-01-13,9.86,9.86,9.8,9.8,2700,9.8
2014-01-14,9.9,10.9,9.9,10.9,12800,10.9
2014-01-15,11.5,11.9,11.0,11.0,3300,11.0
2014-01-16,10.5,11.0,10.5,11.0,1400,11.0
2014-01-17,11.0,11.0,11.0,11.0,1000,11.0
2014-01-21,11.0,11.0,11.0,11.0,0,11.0
2014-01-22,11.0,11.0,11.0,11.0,1400,11.0
2014-01-23,10.55,10.55,10.55,10.55,600,10.55
2014-01-24,10.55,10.96,10.5,10.5,9300,10.5
2014-01-27,10.7,10.7,10.5,10.5,6500,10.5
2014-01-28,10.5,10.5,10.5,10.5,600,10.5
2014-01-29,10.5,10.5,10.5,10.5,600,10.5
2014-01-30,10.49,10.49,10.0,10.2,4700,10.2
2014-01-31,6.66,9.2,6.06,8.9,132800,8.9
2014-02-03,8.85,9.0,7.7,8.15,51600,8.15
2014-02-04,8.0,8.0,7.0,7.0,28100,7.0
2014-02-05,7.0,7.0,7.0,7.0,14900,7.0
2014-02-06,7.25,7.98,6.8,7.28,42500,7.28
2014-02-07,7.95,9.0,7.75,7.86,32500,7.86
2014-02-10,8.3,8.3,7.27,7.88,49200,7.88
2014-02-11,7.5,8.05,7.4,7.81,8600,7.81
2014-02-12,7.8,7.8,7.6,7.8,11300,7.8
2014-02-13,7.66,7.66,7.49,7.5,9300,7.5
2014-02-14,7.66,7.79,7.51,7.74,9700,7.74
2014-02-18,7.76,8.0,7.5,7.55,15500,7.55
2014-02-19,7.5,7.5,7.3,7.3,20800,7.3
2014-02-20,7.45,7.45,7.05,7.05,10400,7.05
2014-02-21,7.27,7.48,7.05,7.1,21200,7.1
2014-02-24,6.91,7.29,6.91,7.05,17000,7.05
2014-02-25,7.05,7.08,6.8,6.85,15900,6.85
2014-02-26,6.85,7.04,6.85,6.87,3000,6.87
2014-02-27,6.78,6.95,6.21,6.5,75100,6.5
2014-02-28,6.4,6.5,5.76,6.45,45500,6.45
2014-03-03,6.5,6.5,6.0,6.25,33600,6.25
2014-03-04,6.5,6.5,6.1,6.15,39000,6.15
2014-03-05,6.1,6.2,5.91,6.19,36200,6.19
2014-03-06,6.2,6.74,6.2,6.6,28800,6.6
2014-03-07,6.32,6.5,6.11,6.49,9500,6.49
2014-03-10,6.91,6.91,6.55,6.91,11100,6.91
2014-03-11,6.66,6.91,6.66,6.8,20800,6.8
2014-03-12,7.1,7.1,6.6,7.1,36900,7.1
2014-03-13,6.56,6.88,6.49,6.85,19400,6.85
2014-03-14,6.85,6.85,6.75,6.75,20100,6.75
2014-03-17,6.75,6.75,6.65,6.74,42400,6.74
2014-03-18,6.76,6.85,6.76,6.85,8000,6.85
2014-03-19,6.85,6.85,6.75,6.85,9900,6.85
2014-03-20,6.9,6.9,6.85,6.9,4200,6.9
2014-03-21,7.0,7.0,6.75,6.75,42800,6.75
2014-03-24,6.7,7.0,6.65,7.0,41600,7.0
2014-03-25,6.9,7.0,6.8,6.95,4600,6.95
2014-03-26,6.9,6.9,6.65,6.65,29000,6.65
2014-03-27,6.65,6.7,6.6,6.6,4600,6.6
2014-03-28,6.6,6.6,6.6,6.6,0,6.6
2014-03-31,6.6,6.6,6.35,6.49,14900,6.49
2014-04-01,6.5,6.64,5.8,6.15,35900,6.15
2014-04-02,6.23,6.48,6.15,6.27,11600,6.27
2014-04-03,6.15,6.15,6.15,6.15,1100,6.15
2014-04-04,6.18,6.19,6.0,6.19,18900,6.19
2014-04-07,6.3,6.3,5.2,5.7,34400,5.7
2014-04-08,6.0,6.0,5.3,5.5,43900,5.5
2014-04-09,5.38,6.0,5.38,5.5,9400,5.5
2014-04-10,5.35,5.65,5.2,5.25,7500,5.25
2014-04-11,5.01,5.5,5.01,5.4,14100,5.4
2014-04-14,5.17,5.3,5.0,5.21,10100,5.21
2014-04-15,5.2,5.2,4.63,5.11,27900,5.11
2014-04-16,5.32,5.74,5.32,5.74,4300,5.74
2014-04-17,5.74,5.74,5.74,5.74,0,5.74
2014-04-21,5.35,5.6,5.35,5.6,4100,5.6
2014-04-22,5.69,5.7,5.58,5.68,2800,5.68
2014-04-23,5.63,6.0,5.63,5.86,10800,5.86
2014-04-24,5.85,6.27,5.85,6.16,11500,6.16
