Date,Open,High,Low,Close,Volume,Adj Close
1989-04-12,12.5,12.5,10.88,11.25,954400,2.81
1989-04-13,10.88,11.25,10.5,11.25,872400,2.81
1989-04-14,11.12,12.25,11.12,11.5,638800,2.88
1989-04-17,11.62,12.0,11.25,11.88,342800,2.97
1989-04-18,12.12,12.38,12.0,12.38,293600,3.09
1989-04-19,12.12,12.25,11.88,12.12,136400,3.03
1989-04-20,12.12,12.12,11.75,12.0,102800,3.0
1989-04-21,11.75,11.75,11.38,11.62,104400,2.91
1989-04-24,11.62,11.88,11.38,11.38,98400,2.84
1989-04-25,11.62,11.62,10.62,10.75,234000,2.69
1989-04-26,11.0,11.62,10.75,11.38,117600,2.84
1989-04-27,11.5,11.62,11.25,11.5,332800,2.88
1989-04-28,11.5,11.5,10.88,11.12,314400,2.78
1989-05-01,11.0,11.25,10.88,11.25,63600,2.81
1989-05-02,11.0,11.88,11.0,11.62,243200,2.91
1989-05-03,11.38,11.62,11.38,11.62,178400,2.91
1989-05-04,11.5,11.5,10.75,10.75,645600,2.69
1989-05-05,10.88,11.0,10.62,10.75,110400,2.69
1989-05-08,10.75,11.12,10.5,10.88,68000,2.72
1989-05-09,10.88,10.88,10.62,10.62,94400,2.66
1989-05-10,10.62,10.75,10.5,10.75,40400,2.69
1989-05-11,10.62,10.75,10.5,10.5,204400,2.62
1989-05-12,10.75,10.88,9.75,10.0,391200,2.5
1989-05-15,10.12,10.12,8.75,9.5,903600,2.38
1989-05-16,9.5,10.0,9.5,9.62,244400,2.41
1989-05-17,9.62,10.12,9.62,10.0,214800,2.5
1989-05-18,10.12,10.25,9.75,10.25,127600,2.56
1989-05-19,10.25,10.62,10.12,10.25,81600,2.56
1989-05-22,10.5,10.62,10.25,10.25,72000,2.56
1989-05-23,10.25,10.5,9.88,10.25,156800,2.56
1989-05-24,10.0,10.38,9.62,9.75,186400,2.44
1989-05-25,9.62,9.88,9.62,9.88,57600,2.47
1989-05-26,9.88,10.38,9.88,10.25,129600,2.56
1989-05-30,10.25,10.38,9.88,10.25,100400,2.56
1989-05-31,9.88,11.0,9.88,11.0,130400,2.75
1989-06-01,11.12,11.75,10.88,11.5,274000,2.88
1989-06-02,11.75,13.12,11.5,13.12,834400,3.28
1989-06-05,13.0,13.25,12.0,12.25,373600,3.06
1989-06-06,12.0,12.75,12.0,12.62,176400,3.16
1989-06-07,12.75,13.12,12.75,13.12,250800,3.28
1989-06-08,13.12,13.5,12.62,12.75,345200,3.19
1989-06-09,12.75,13.0,12.5,13.0,151600,3.25
1989-06-12,13.0,13.25,12.75,13.25,144400,3.31
1989-06-13,13.0,14.0,13.0,13.38,396400,3.34
1989-06-14,13.5,14.12,13.38,14.0,251600,3.5
1989-06-15,14.0,14.12,13.5,13.88,176000,3.47
1989-06-16,13.75,14.25,13.5,13.88,263600,3.47
1989-06-19,14.0,14.0,13.62,13.88,91600,3.47
1989-06-20,13.88,13.88,13.38,13.88,206400,3.47
1989-06-21,13.62,14.12,13.5,13.5,282000,3.38
1989-06-22,13.25,13.5,12.88,13.0,199200,3.25
1989-06-23,13.25,13.25,12.5,12.75,70800,3.19
1989-06-26,12.5,12.75,12.12,12.38,192000,3.09
1989-06-27,12.38,13.12,12.38,12.88,171200,3.22
1989-06-28,13.0,13.62,13.0,13.5,227600,3.38
1989-06-29,13.38,13.38,12.88,12.88,83200,3.22
1989-06-30,12.88,12.88,12.25,12.5,332400,3.12
1989-07-03,12.38,12.62,12.38,12.62,32800,3.16
1989-07-05,12.62,13.62,12.38,13.38,316800,3.34
1989-07-06,13.5,13.75,13.12,13.25,194000,3.31
1989-07-07,13.5,13.5,12.88,12.88,176800,3.22
1989-07-10,13.12,14.0,13.0,14.0,339200,3.5
1989-07-11,14.0,14.88,13.88,14.5,667200,3.62
1989-07-12,14.5,15.25,14.5,14.75,547600,3.69
1989-07-13,14.75,15.5,14.5,15.5,589600,3.88
1989-07-14,15.5,17.0,15.5,16.88,1548000,4.22
1989-07-17,17.12,17.62,16.88,17.38,687200,4.34
1989-07-18,17.12,17.38,16.25,16.88,434800,4.22
1989-07-19,17.0,17.0,16.5,16.5,219600,4.12
1989-07-20,16.5,17.0,14.38,14.5,908000,3.62
1989-07-21,14.75,16.0,14.5,15.88,365600,3.97
1989-07-24,15.88,16.75,15.75,16.38,336400,4.09
1989-07-25,16.5,16.75,15.25,15.38,470400,3.84
1989-07-26,15.12,15.88,14.88,15.88,450000,3.97
1989-07-27,15.75,15.88,11.0,12.5,2871600,3.12
1989-07-28,12.88,13.25,10.12,11.75,1402400,2.94
