Date,Open,High,Low,Close,Volume,Adj Close
2013-09-12,5.0,5.0,5.0,5.0,100,5.0
2013-09-13,5.25,5.25,5.0,5.0,3500,5.0
2013-09-16,5.0,5.0,4.75,4.75,400,4.75
2013-09-17,5.0,5.5,5.0,5.5,13100,5.5
2013-09-18,5.75,5.75,5.75,5.75,3000,5.75
2013-09-19,5.75,5.75,5.0,5.6,21000,5.6
2013-09-20,5.5,5.7,5.5,5.7,5000,5.7
2013-09-23,5.5,5.5,5.5,5.5,1500,5.5
2013-09-24,5.5,5.5,5.5,5.5,10000,5.5
2013-09-25,5.25,5.25,5.25,5.25,4000,5.25
2013-09-26,5.9,6.0,5.75,5.75,26400,5.75
2013-09-27,5.8,5.8,5.8,5.8,3300,5.8
2013-09-30,5.8,5.8,5.8,5.8,0,5.8
2013-10-01,5.7,5.75,5.7,5.75,6300,5.75
2013-10-02,5.4,5.75,5.4,5.75,4000,5.75
2013-10-03,5.75,5.75,5.75,5.75,2000,5.75
2013-10-04,5.5,5.5,5.5,5.5,500,5.5
2013-10-07,5.5,5.5,5.5,5.5,0,5.5
2013-10-08,5.5,5.5,5.5,5.5,0,5.5
2013-10-09,5.5,5.5,5.5,5.5,0,5.5
2013-10-10,5.4,5.4,5.4,5.4,100,5.4
2013-10-11,5.25,5.25,3.5,3.5,212900,3.5
2013-10-14,3.5,5.5,3.5,4.5,4200,4.5
2013-10-15,4.5,4.5,4.5,4.5,2000,4.5
2013-10-16,5.0,5.0,4.0,4.5,6500,4.5
2013-10-17,4.25,4.5,4.25,4.5,800,4.5
2013-10-18,4.5,4.5,4.5,4.5,0,4.5
2013-10-21,4.5,4.5,3.49,3.5,14100,3.5
2013-10-22,3.5,4.0,3.5,4.0,2100,4.0
2013-10-23,4.0,4.0,3.4,3.85,1100,3.85
2013-10-24,4.0,4.0,3.8,3.8,600,3.8
2013-10-25,3.8,3.8,3.8,3.8,0,3.8
2013-10-28,4.0,4.0,4.0,4.0,200,4.0
2013-10-29,3.75,3.75,3.75,3.75,2000,3.75
2013-10-30,3.35,4.5,3.15,3.15,112500,3.15
2013-10-31,3.2,3.2,3.2,3.2,6200,3.2
2013-11-01,3.25,3.25,3.25,3.25,6000,3.25
2013-11-04,3.25,3.25,3.25,3.25,0,3.25
2013-11-05,3.15,3.15,3.15,3.15,3100,3.15
2013-11-06,3.1,3.1,3.1,3.1,16500,3.1
2013-11-07,4.0,4.0,3.1,3.15,6600,3.15
2013-11-08,3.1,3.5,3.1,3.5,79300,3.5
2013-11-11,4.48,4.48,3.5,3.5,11200,3.5
2013-11-12,3.55,3.55,3.4,3.55,3200,3.55
2013-11-13,3.5,3.5,3.5,3.5,400,3.5
2013-11-14,3.5,3.5,3.5,3.5,0,3.5
2013-11-15,3.5,3.5,3.5,3.5,0,3.5
2013-11-18,3.5,3.5,3.5,3.5,3000,3.5
2013-11-19,3.5,3.5,3.49,3.5,2000,3.5
2013-11-20,3.5,3.5,3.5,3.5,2800,3.5
2013-11-21,3.5,3.5,3.5,3.5,0,3.5
2013-11-22,3.5,3.5,3.5,3.5,0,3.5
2013-11-25,3.5,3.5,3.5,3.5,0,3.5
2013-11-26,3.5,3.5,3.5,3.5,1100,3.5
2013-11-27,3.5,3.5,3.45,3.45,400,3.45
2013-11-29,3.45,3.45,3.45,3.45,0,3.45
2013-12-02,3.5,3.5,3.5,3.5,100,3.5
2013-12-03,3.5,3.5,3.5,3.5,3900,3.5
2013-12-04,3.5,3.5,3.5,3.5,900,3.5
2013-12-05,3.5,3.5,3.49,3.49,2400,3.49
2013-12-06,3.5,3.5,3.1,3.5,15100,3.5
2013-12-09,3.5,3.5,3.45,3.5,5400,3.5
2013-12-10,3.5,3.5,3.5,3.5,0,3.5
2013-12-11,3.37,3.5,3.34,3.4,3600,3.4
2013-12-12,3.6,3.75,3.11,3.11,56500,3.11
2013-12-13,3.4,3.4,3.4,3.4,200,3.4
2013-12-16,3.5,3.5,3.3,3.49,12000,3.49
2013-12-17,3.5,3.5,3.31,3.37,23600,3.37
2013-12-18,3.35,3.5,3.3,3.47,7900,3.47
2013-12-19,3.46,3.5,3.3,3.47,8000,3.47
2013-12-20,3.5,3.5,3.0,3.0,10500,3.0
2013-12-23,3.5,3.5,3.4,3.49,25600,3.49
2013-12-24,3.5,3.5,3.44,3.49,3600,3.49
