Date,Open,High,Low,Close,Volume,Adj Close
1999-10-21,77.38,97.25,71.62,79.25,1106300,317.0
1999-10-22,79.0,87.0,69.88,72.81,245400,291.25
1999-10-25,70.19,72.0,66.88,67.81,190600,271.25
1999-10-26,68.12,75.38,65.12,69.0,258700,276.0
1999-10-27,70.5,70.75,65.0,65.94,125800,263.75
1999-10-28,68.0,70.88,65.56,66.62,154200,266.5
1999-10-29,68.69,72.75,66.94,71.12,186900,284.5
1999-11-01,69.75,85.0,69.12,82.62,315700,330.5
1999-11-02,84.0,91.5,80.0,80.75,251700,323.0
1999-11-03,83.5,84.88,77.56,77.56,98700,310.25
1999-11-04,79.75,80.44,69.75,70.0,118200,280.0
1999-11-05,71.62,75.5,65.5,71.75,162900,287.0
1999-11-08,71.75,77.62,70.5,77.12,83100,308.5
1999-11-09,77.5,81.31,74.0,77.75,104800,311.0
1999-11-10,77.38,83.12,77.38,81.0,73200,324.0
1999-11-11,81.69,85.75,81.25,84.81,70700,339.25
1999-11-12,85.5,89.0,77.5,79.25,104400,317.0
1999-11-15,80.38,90.56,80.38,89.94,157100,359.75
1999-11-16,94.0,97.25,84.56,88.06,156300,352.25
1999-11-17,87.5,87.5,79.75,79.88,79100,319.5
1999-11-18,80.44,85.0,77.0,79.5,51900,318.0
1999-11-19,80.25,80.88,75.0,76.5,38600,306.0
1999-11-22,75.25,81.0,73.12,78.25,47000,313.0
1999-11-23,78.0,79.75,74.25,75.0,79200,300.0
1999-11-24,76.5,76.5,70.62,71.88,89000,287.5
1999-11-26,72.12,77.38,72.0,76.69,42700,306.75
1999-11-29,81.5,92.5,77.75,91.0,176000,364.0
1999-11-30,92.0,92.0,84.0,88.19,110100,352.75
1999-12-01,88.12,102.25,86.62,92.12,169800,368.5
1999-12-02,92.5,98.75,89.0,94.12,87600,376.5
1999-12-03,87.0,89.75,79.25,79.5,272200,318.0
1999-12-06,82.0,85.88,80.0,82.5,73200,330.0
1999-12-07,85.88,89.0,82.75,84.25,91100,337.0
1999-12-08,86.25,88.38,79.0,79.62,58300,318.5
1999-12-09,82.5,84.5,76.0,80.56,42800,322.25
1999-12-10,80.5,80.5,77.0,78.5,24200,314.0
1999-12-13,77.62,77.62,72.62,73.25,50900,293.0
1999-12-14,74.0,74.06,66.5,66.88,84800,267.5
1999-12-15,68.0,72.25,65.62,67.0,89600,268.0
1999-12-16,68.25,73.0,66.88,70.25,39100,281.0
1999-12-17,70.62,75.0,69.0,69.0,34000,276.0
1999-12-20,71.0,72.0,67.56,68.69,27400,274.75
1999-12-21,67.88,68.88,65.0,66.5,39000,266.0
1999-12-22,67.0,68.0,58.62,60.12,91400,240.5
1999-12-23,61.94,62.88,58.5,59.38,62000,237.5
1999-12-27,64.89,71.75,58.38,71.22,109900,284.88
1999-12-28,70.31,74.0,68.62,73.0,58000,292.0
1999-12-29,73.38,82.5,73.25,78.5,110300,314.0
1999-12-30,80.12,82.75,79.25,82.75,91800,331.0
1999-12-31,83.19,84.94,82.38,84.5,33700,338.0
2000-01-03,84.81,86.5,78.75,79.62,69000,318.5
