Date,Open,High,Low,Close,Volume,Adj Close
2004-05-05,1.25,1.25,1.25,1.25,3000,1.25
2004-05-06,1.45,2.0,1.3,1.9,8000,1.9
2004-05-07,1.95,2.1,1.3,2.1,13600,2.1
2004-05-10,2.1,2.1,2.1,2.1,200,2.1
2004-05-11,1.85,1.85,1.85,1.85,3000,1.85
2004-05-12,1.75,1.75,1.75,1.75,2000,1.75
2004-05-13,1.75,1.75,1.75,1.75,0,1.75
2004-05-14,2.1,2.1,2.02,2.02,3200,2.02
2004-05-17,2.1,2.1,2.0,2.0,4600,2.0
2004-05-18,1.75,1.75,1.75,1.75,1000,1.75
2004-05-19,1.65,1.65,1.65,1.65,1000,1.65
2004-05-20,2.05,2.05,1.98,1.99,3000,1.99
2004-05-21,1.99,1.99,1.99,1.99,0,1.99
2004-05-24,1.99,1.99,1.99,1.99,0,1.99
2004-05-25,1.99,1.99,1.99,1.99,0,1.99
2004-05-26,1.99,1.99,1.99,1.99,0,1.99
2004-05-27,1.85,1.85,1.85,1.85,600,1.85
2004-05-28,1.45,1.55,1.25,1.25,4500,1.25
2004-06-01,1.55,1.55,1.25,1.25,700,1.25
2004-06-02,1.25,1.25,1.25,1.25,0,1.25
2004-06-03,1.45,1.5,1.45,1.5,1000,1.5
2004-06-04,1.5,1.5,1.45,1.45,2400,1.45
2004-06-07,1.45,1.45,1.45,1.45,0,1.45
2004-06-08,1.45,1.45,1.45,1.45,0,1.45
2004-06-09,1.45,1.45,1.45,1.45,0,1.45
2004-06-10,1.45,1.45,1.45,1.45,0,1.45
2004-06-14,1.45,1.45,1.45,1.45,0,1.45
2004-06-15,1.5,1.5,1.5,1.5,2500,1.5
2004-06-16,1.5,1.5,1.5,1.5,0,1.5
2004-06-17,1.6,1.75,1.6,1.75,1500,1.75
2004-06-18,1.75,1.75,1.75,1.75,0,1.75
2004-06-21,1.25,1.35,1.25,1.35,7000,1.35
2004-06-22,1.35,1.35,1.35,1.35,0,1.35
2004-06-23,1.35,1.35,1.35,1.35,0,1.35
2004-06-24,1.35,1.35,1.35,1.35,0,1.35
2004-06-25,1.1,1.1,1.0,1.0,1500,1.0
2004-06-28,1.25,1.75,1.05,1.05,2300,1.05
2004-06-29,1.0,1.2,1.0,1.01,4000,1.01
2004-06-30,1.09,1.1,1.09,1.1,21300,1.1
2004-07-01,1.1,1.1,1.1,1.1,0,1.1
2004-07-02,1.1,1.1,1.1,1.1,0,1.1
2004-07-06,1.05,1.2,1.05,1.1,23500,1.1
2004-07-07,1.08,1.1,1.08,1.1,20300,1.1
2004-07-08,1.05,1.05,0.9,0.9,7000,0.9
2004-07-09,1.0,1.05,0.9,0.9,8500,0.9
2004-07-12,1.05,1.05,1.01,1.02,18900,1.02
2004-07-13,1.01,1.02,1.0,1.02,10000,1.02
2004-07-14,0.85,1.01,0.85,1.01,7000,1.01
2004-07-15,1.01,1.1,0.99,1.05,64100,1.05
2004-07-16,0.9,1.03,0.9,0.96,39000,0.96
2004-07-19,0.97,0.97,0.96,0.97,12500,0.97
2004-07-20,0.95,0.97,0.95,0.96,33500,0.96
2004-07-21,0.95,1.02,0.95,0.96,28100,0.96
2004-07-22,0.96,0.99,0.92,0.94,19500,0.94
2004-07-23,0.94,0.94,0.87,0.88,33000,0.88
2004-07-26,0.9,0.9,0.8,0.9,40500,0.9
2004-07-27,0.9,0.9,0.71,0.75,25000,0.75
2004-07-28,0.73,0.74,0.71,0.74,16000,0.74
2004-07-29,0.71,0.78,0.7,0.71,78700,0.71
2004-07-30,0.71,0.75,0.55,0.72,84100,0.72
2004-08-02,0.72,0.72,0.72,0.72,0,0.72
2004-08-03,0.7,0.7,0.7,0.7,1000,0.7
2004-08-04,0.53,0.7,0.53,0.7,6300,0.7
2004-08-05,0.63,0.63,0.61,0.61,8500,0.61
2004-08-06,0.51,0.62,0.51,0.51,8700,0.51
2004-08-09,0.55,0.55,0.55,0.55,4000,0.55
2004-08-10,0.55,0.57,0.55,0.57,16900,0.57
2004-08-11,0.55,0.58,0.55,0.58,4000,0.58
2004-08-12,0.58,0.58,0.58,0.58,0,0.58
2004-08-13,0.55,0.6,0.55,0.55,16800,0.55
2004-08-16,0.52,0.6,0.52,0.55,28700,0.55
2004-08-17,0.55,0.59,0.52,0.54,81800,0.54
2004-08-18,0.51,0.51,0.3,0.4,60100,0.4
2004-08-19,0.39,0.39,0.38,0.38,8400,0.38
2004-08-20,0.33,0.33,0.3,0.32,29600,0.32
2004-08-23,0.27,0.27,0.27,0.27,17500,0.27
2004-08-24,0.38,0.39,0.2,0.25,134200,0.25
2004-08-25,0.3,0.3,0.3,0.3,300,0.3
2004-08-26,0.3,0.3,0.3,0.3,0,0.3
2004-08-27,0.3,0.3,0.3,0.3,0,0.3
2004-08-30,0.3,0.3,0.24,0.28,21200,0.28
2004-08-31,0.28,0.28,0.25,0.25,5500,0.25
2004-09-01,0.25,0.25,0.25,0.25,0,0.25
2004-09-02,0.25,0.25,0.25,0.25,0,0.25
2004-09-03,0.25,0.25,0.25,0.25,0,0.25
2004-09-07,0.25,0.35,0.25,0.35,48500,0.35
2004-09-08,0.35,0.35,0.32,0.33,33500,0.33
2004-09-09,0.4,0.6,0.35,0.52,29300,0.52
2004-09-10,0.52,0.52,0.52,0.52,1000,0.52
2004-09-13,0.4,0.4,0.35,0.35,4500,0.35
2004-09-14,0.52,0.6,0.35,0.35,33600,0.35
2004-09-15,0.35,0.35,0.35,0.35,0,0.35
2004-09-16,0.4,0.41,0.4,0.41,20000,0.41
2004-09-17,0.41,0.41,0.41,0.41,0,0.41
2004-09-20,0.51,0.51,0.51,0.51,200,0.51
2004-09-21,0.51,0.51,0.51,0.51,200,0.51
2004-09-22,0.48,0.48,0.48,0.48,0,0.48
2004-09-23,0.5,0.5,0.5,0.5,2000,0.5
2004-09-24,0.5,0.5,0.5,0.5,0,0.5
2004-09-27,0.35,0.35,0.35,0.35,6000,0.35
2004-09-28,0.35,0.35,0.35,0.35,0,0.35
2004-09-29,0.35,0.35,0.35,0.35,0,0.35
2004-09-30,0.35,0.35,0.35,0.35,0,0.35
2004-10-01,0.35,0.35,0.35,0.35,0,0.35
2004-10-04,0.35,0.35,0.35,0.35,0,0.35
2004-10-05,0.35,0.35,0.35,0.35,0,0.35
2004-10-06,0.35,0.35,0.3,0.3,5500,0.3
2004-10-07,0.3,0.3,0.3,0.3,0,0.3
2004-10-08,0.3,0.3,0.3,0.3,0,0.3
2004-10-11,0.3,0.3,0.3,0.3,0,0.3
2004-10-12,0.3,0.3,0.3,0.3,0,0.3
2004-10-13,0.3,0.3,0.3,0.3,0,0.3
2004-10-14,0.3,0.3,0.3,0.3,0,0.3
2004-10-15,0.3,0.3,0.3,0.3,0,0.3
2004-10-18,0.31,0.35,0.31,0.35,27000,0.35
2004-10-19,0.35,0.35,0.33,0.35,15000,0.35
2004-10-20,0.36,0.37,0.36,0.37,13000,0.37
2004-10-21,0.31,0.32,0.31,0.32,21000,0.32
2004-10-22,0.32,0.32,0.32,0.32,0,0.32
2004-10-25,0.32,0.32,0.32,0.32,0,0.32
2004-10-26,0.32,0.32,0.32,0.32,0,0.32
2004-10-27,0.26,0.29,0.26,0.26,11200,0.26
2004-10-28,0.25,0.25,0.25,0.25,20000,0.25
2004-10-29,0.25,0.3,0.23,0.23,25100,0.23
2004-11-01,0.27,0.27,0.27,0.27,300,0.27
2004-11-02,0.27,0.27,0.27,0.27,0,0.27
2004-11-03,0.27,0.3,0.27,0.3,25000,0.3
2004-11-04,0.3,0.3,0.25,0.28,11400,0.28
2004-11-05,0.32,0.32,0.26,0.31,52000,0.31
2004-11-08,0.26,0.26,0.26,0.26,3000,0.26
2004-11-09,0.26,0.27,0.26,0.27,33000,0.27
2004-11-10,0.27,0.27,0.27,0.27,0,0.27
2004-11-11,0.35,0.35,0.35,0.35,1000,0.35
2004-11-12,0.35,0.35,0.25,0.35,9500,0.35
2004-11-15,0.35,0.35,0.26,0.35,19000,0.35
2004-11-16,0.33,0.33,0.27,0.33,35000,0.33
2004-11-17,0.25,0.31,0.25,0.31,46700,0.31
2004-11-18,0.31,0.31,0.31,0.31,0,0.31
2004-11-19,0.25,0.33,0.25,0.33,3000,0.33
2004-11-22,0.32,0.32,0.32,0.32,30000,0.32
2004-11-23,0.22,0.31,0.22,0.3,52300,0.3
2004-11-24,0.28,0.3,0.25,0.3,8500,0.3
2004-11-26,0.3,0.3,0.3,0.3,0,0.3
2004-11-29,0.3,0.3,0.3,0.3,0,0.3
2004-11-30,0.25,0.31,0.25,0.28,42100,0.28
2004-12-01,0.28,0.28,0.28,0.28,0,0.28
2004-12-02,0.28,0.28,0.28,0.28,0,0.28
2004-12-03,0.28,0.28,0.28,0.28,0,0.28
2004-12-06,0.28,0.28,0.28,0.28,0,0.28
2004-12-07,0.22,0.3,0.22,0.28,20000,0.28
2004-12-08,0.25,0.26,0.22,0.25,31600,0.25
2004-12-09,0.26,0.26,0.26,0.26,1000,0.26
2004-12-10,0.3,0.3,0.2,0.2,14500,0.2
2004-12-13,0.3,0.3,0.3,0.3,22000,0.3
2004-12-14,0.3,0.3,0.3,0.3,0,0.3
2004-12-15,0.3,0.3,0.3,0.3,0,0.3
2004-12-16,0.3,0.3,0.3,0.3,0,0.3
2004-12-17,0.2,0.25,0.2,0.25,11500,0.25
2004-12-20,0.27,0.27,0.27,0.27,1000,0.27
2004-12-21,0.24,0.25,0.24,0.25,25000,0.25
2004-12-22,0.2,0.25,0.16,0.25,39600,0.25
2004-12-23,0.25,0.25,0.19,0.19,27000,0.19
2004-12-27,0.19,0.19,0.19,0.19,0,0.19
2004-12-28,0.19,0.19,0.19,0.19,0,0.19
2004-12-29,0.19,0.19,0.19,0.19,0,0.19
2004-12-30,0.26,0.28,0.26,0.27,20000,0.27
2004-12-31,0.27,0.27,0.27,0.27,0,0.27
2005-01-03,0.27,0.27,0.27,0.27,0,0.27
2005-01-04,0.28,0.35,0.28,0.35,52000,0.35
2005-01-05,0.35,0.35,0.35,0.35,0,0.35
2005-01-06,0.35,0.35,0.25,0.3,16700,0.3
2005-01-07,0.3,0.3,0.3,0.3,900,0.3
2005-01-10,0.3,0.3,0.3,0.3,3000,0.3
2005-01-11,0.3,0.3,0.3,0.3,0,0.3
2005-01-12,0.3,0.3,0.3,0.3,0,0.3
2005-01-13,0.3,0.3,0.3,0.3,4000,0.3
2005-01-14,0.31,0.31,0.31,0.31,7200,0.31
2005-01-18,0.3,0.32,0.3,0.3,22200,0.3
2005-01-19,0.3,0.3,0.3,0.3,0,0.3
2005-01-20,0.3,0.3,0.3,0.3,0,0.3
2005-01-21,0.3,0.3,0.3,0.3,0,0.3
2005-01-24,0.36,0.36,0.34,0.34,207000,0.34
2005-01-25,0.3,0.34,0.3,0.34,55000,0.34
2005-01-26,0.34,0.4,0.32,0.4,99900,0.4
2005-01-27,0.4,0.4,0.33,0.38,108500,0.38
2005-01-28,0.37,0.37,0.33,0.33,71000,0.33
2005-01-31,0.36,0.36,0.36,0.36,40000,0.36
2005-02-01,0.36,0.36,0.36,0.36,70800,0.36
2005-02-02,0.37,0.37,0.37,0.37,15000,0.37
2005-02-03,0.37,0.37,0.34,0.37,61000,0.37
2005-02-04,0.34,0.39,0.34,0.38,43000,0.38
2005-02-07,0.38,0.38,0.38,0.38,0,0.38
2005-02-08,0.35,0.38,0.34,0.34,58500,0.34
2005-02-09,0.34,0.38,0.33,0.33,45000,0.33
2005-02-10,0.36,0.36,0.34,0.35,59600,0.35
2005-02-11,0.37,0.37,0.37,0.37,90000,0.37
2005-02-14,0.37,0.38,0.37,0.38,7700,0.38
2005-02-15,0.38,0.38,0.38,0.38,40200,0.38
2005-02-16,0.38,0.38,0.38,0.38,40000,0.38
2005-02-17,0.38,0.38,0.38,0.38,3900,0.38
2005-02-18,0.38,0.38,0.38,0.38,51000,0.38
2005-02-22,0.38,0.38,0.38,0.38,0,0.38
2005-02-23,0.38,0.38,0.35,0.37,133000,0.37
2005-02-24,0.34,0.34,0.31,0.31,16900,0.31
2005-02-25,0.34,0.34,0.34,0.34,1500,0.34
2005-02-28,0.34,0.34,0.3,0.3,45800,0.3
2005-03-01,0.3,0.3,0.3,0.3,0,0.3
2005-03-02,0.32,0.32,0.29,0.29,38500,0.29
2005-03-03,0.27,0.33,0.27,0.33,18300,0.33
2005-03-04,0.26,0.26,0.22,0.22,66100,0.22
2005-03-07,0.25,0.25,0.17,0.17,131600,0.17
2005-03-08,0.2,0.2,0.2,0.2,65000,0.2
2005-03-09,0.2,0.2,0.2,0.2,0,0.2
2005-03-10,0.2,0.21,0.2,0.2,13100,0.2
2005-03-11,0.22,0.22,0.22,0.22,100,0.22
2005-03-14,0.22,0.22,0.22,0.22,1100,0.22
2005-03-15,0.22,0.22,0.22,0.22,500,0.22
2005-03-16,0.21,0.25,0.21,0.25,203000,0.25
2005-03-17,0.23,0.24,0.23,0.24,400,0.24
2005-03-18,0.24,0.24,0.24,0.24,5000,0.24
2005-03-21,0.24,0.28,0.23,0.28,11600,0.28
2005-03-22,0.23,0.28,0.23,0.28,3900,0.28
2005-03-23,0.25,0.28,0.25,0.28,9900,0.28
2005-03-24,0.27,0.27,0.24,0.24,11600,0.24
2005-03-28,0.25,0.26,0.25,0.26,66200,0.26
2005-03-29,0.26,0.28,0.25,0.26,39200,0.26
2005-03-30,0.25,0.26,0.25,0.25,18800,0.25
2005-03-31,0.28,0.28,0.28,0.28,2100,0.28
2005-04-01,0.25,0.28,0.25,0.25,14400,0.25
2005-04-04,0.27,0.27,0.25,0.25,13200,0.25
2005-04-05,0.28,0.28,0.28,0.28,200,0.28
2005-04-06,0.28,0.28,0.2,0.22,68400,0.22
2005-04-07,0.22,0.22,0.22,0.22,0,0.22
2005-04-08,0.25,0.25,0.23,0.23,66000,0.23
2005-04-11,0.23,0.23,0.23,0.23,1600,0.23
2005-04-12,0.23,0.23,0.23,0.23,0,0.23
2005-04-13,0.2,0.2,0.2,0.2,15000,0.2
2005-04-14,0.17,0.23,0.17,0.23,400,0.23
2005-04-15,0.23,0.3,0.22,0.22,69500,0.22
2005-04-18,0.22,0.22,0.22,0.22,0,0.22
2005-04-19,0.29,0.29,0.29,0.29,1100,0.29
2005-04-20,0.29,0.29,0.29,0.29,0,0.29
2005-04-21,0.27,0.27,0.26,0.26,10000,0.26
2005-04-22,0.26,0.26,0.26,0.26,400,0.26
2005-04-25,0.18,0.23,0.18,0.23,5500,0.23
2005-04-26,0.23,0.26,0.23,0.26,44800,0.26
2005-04-27,0.26,0.26,0.26,0.26,0,0.26
2005-04-28,0.25,0.25,0.25,0.25,2400,0.25
2005-04-29,0.25,0.25,0.25,0.25,0,0.25
2005-05-02,0.25,0.25,0.25,0.25,20000,0.25
2005-05-03,0.25,0.25,0.25,0.25,15000,0.25
2005-05-04,0.24,0.25,0.24,0.25,29800,0.25
2005-05-05,0.25,0.25,0.25,0.25,0,0.25
2005-05-06,0.27,0.27,0.25,0.25,10000,0.25
2005-05-09,0.25,0.25,0.25,0.25,0,0.25
2005-05-10,0.25,0.25,0.2,0.2,8100,0.2
2005-05-11,0.2,0.2,0.2,0.2,0,0.2
2005-05-12,0.2,0.2,0.2,0.2,0,0.2
2005-05-13,0.25,0.25,0.25,0.25,2000,0.25
2005-05-16,0.25,0.25,0.25,0.25,900,0.25
2005-05-17,0.25,0.25,0.25,0.25,400,0.25
2005-05-18,0.24,0.24,0.24,0.24,1000,0.24
2005-05-19,0.24,0.24,0.24,0.24,0,0.24
2005-05-20,0.24,0.24,0.24,0.24,0,0.24
2005-05-23,0.24,0.24,0.24,0.24,2000,0.24
2005-05-24,0.24,0.24,0.24,0.24,0,0.24
2005-05-25,0.24,0.24,0.24,0.24,0,0.24
2005-05-26,0.24,0.24,0.24,0.24,0,0.24
2005-05-27,0.24,0.24,0.24,0.24,0,0.24
2005-05-31,0.24,0.24,0.24,0.24,0,0.24
2005-06-01,0.24,0.24,0.24,0.24,0,0.24
2005-06-02,0.24,0.24,0.24,0.24,900,0.24
2005-06-03,0.2,0.2,0.2,0.2,800,0.2
2005-06-06,0.2,0.2,0.2,0.2,0,0.2
2005-06-07,0.23,0.23,0.23,0.23,2000,0.23
2005-06-08,0.23,0.23,0.23,0.23,0,0.23
2005-06-09,0.18,0.18,0.18,0.18,6000,0.18
2005-06-10,0.23,0.23,0.22,0.22,25800,0.22
2005-06-13,0.22,0.22,0.22,0.22,0,0.22
2005-06-14,0.17,0.19,0.17,0.19,13000,0.19
2005-06-15,0.19,0.19,0.19,0.19,0,0.19
2005-06-16,0.19,0.19,0.19,0.19,0,0.19
2005-06-17,0.17,0.17,0.17,0.17,400,0.17
2005-06-20,0.17,0.17,0.17,0.17,8000,0.17
2005-06-21,0.17,0.17,0.17,0.17,0,0.17
2005-06-22,0.17,0.17,0.17,0.17,0,0.17
2005-06-23,0.17,0.17,0.17,0.17,0,0.17
2005-06-24,0.17,0.17,0.17,0.17,0,0.17
2005-06-27,0.17,0.17,0.17,0.17,0,0.17
2005-06-28,0.21,0.21,0.15,0.21,2900,0.21
2005-06-29,0.21,0.21,0.21,0.21,500,0.21
2005-06-30,0.21,0.21,0.21,0.21,0,0.21
2005-07-01,0.21,0.21,0.21,0.21,0,0.21
2005-07-05,0.15,0.15,0.15,0.15,500,0.15
2005-07-06,0.15,0.15,0.15,0.15,0,0.15
