Date,Open,High,Low,Close,Volume,Adj Close
1997-11-14,15.25,15.5,14.5,14.75,1271000,11.5
1997-11-17,14.87,15.0,14.5,14.62,128700,11.4
1997-11-18,14.62,15.0,14.62,14.75,230000,11.5
1997-11-19,14.94,14.94,14.56,14.69,194600,11.45
1997-11-20,14.81,15.06,14.5,14.87,113700,11.6
1997-11-21,15.0,15.13,14.81,14.87,162500,11.6
1997-11-24,14.94,14.94,14.38,14.38,145700,11.21
1997-11-25,14.62,14.62,12.88,13.25,162200,10.33
1997-11-26,13.5,13.56,13.37,13.37,49500,10.43
1997-11-28,13.44,13.56,13.0,13.0,33500,10.13
1997-12-01,12.88,12.88,12.06,12.06,110200,9.4
1997-12-02,12.25,13.12,11.88,12.75,201200,9.94
1997-12-03,12.88,13.75,12.88,13.5,275300,10.52
1997-12-04,13.88,15.5,13.5,15.13,551800,11.79
1997-12-05,15.13,15.62,14.62,15.0,191600,11.69
1997-12-08,15.25,15.38,14.87,15.0,36500,11.69
1997-12-09,15.13,15.13,14.38,14.38,90800,11.21
1997-12-10,14.13,14.5,13.75,13.88,38200,10.82
1997-12-11,14.0,14.0,13.19,13.37,29100,10.43
1997-12-12,13.25,14.5,13.25,13.75,54200,10.72
1997-12-15,14.13,14.25,13.62,14.0,56000,10.91
1997-12-16,14.25,14.38,14.0,14.0,49200,10.91
1997-12-17,14.38,14.38,13.75,14.13,18600,11.01
1997-12-18,14.13,14.13,12.25,12.63,82100,9.84
1997-12-19,12.12,12.63,11.88,12.5,111200,9.74
1997-12-22,12.63,13.0,12.0,12.12,72500,9.45
1997-12-23,12.5,13.0,12.25,13.0,130500,10.13
1997-12-24,13.0,13.0,12.25,12.37,52300,9.65
1997-12-26,12.5,12.5,12.12,12.25,9200,9.55
1997-12-29,12.25,12.5,11.88,11.88,58800,9.26
1997-12-30,12.0,12.12,11.63,11.75,50300,9.16
1997-12-31,11.94,12.37,11.0,11.56,99700,9.01
1998-01-02,11.5,11.75,11.5,11.63,4200,9.06
1998-01-05,12.12,12.12,11.75,11.75,19100,9.16
1998-01-06,12.0,12.0,11.5,11.88,17800,9.26
1998-01-07,11.88,12.37,11.88,11.88,39800,9.26
1998-01-08,11.88,12.12,11.75,11.94,31300,9.31
1998-01-09,12.25,12.25,10.13,10.3,76300,8.03
1998-01-12,10.13,10.87,9.88,10.5,49600,8.18
1998-01-13,10.62,11.25,10.25,11.0,35800,8.57
1998-01-14,11.0,11.63,11.0,11.63,26700,9.06
1998-01-15,11.63,11.75,11.38,11.38,12200,8.87
1998-01-16,11.5,12.12,11.38,12.0,80500,9.35
1998-01-20,11.88,12.12,10.87,11.25,40300,8.77
1998-01-21,11.25,11.25,10.75,10.81,33300,8.43
1998-01-22,11.0,11.0,10.25,10.25,46000,7.99
1998-01-23,10.25,10.38,9.75,10.13,76100,7.89
1998-01-26,10.0,10.0,9.25,9.44,75200,7.36
1998-01-27,9.44,10.25,9.25,10.19,67100,7.94
1998-01-28,10.19,10.5,9.88,10.25,38100,7.99
1998-01-29,10.25,10.5,10.0,10.0,23200,7.8
1998-01-30,10.13,10.13,9.75,9.94,39800,7.75
1998-02-02,9.94,9.94,9.13,9.75,48200,7.6
1998-02-03,9.75,9.88,9.19,9.75,34100,7.6
1998-02-04,9.5,9.88,9.5,9.88,11800,7.7
1998-02-05,10.0,10.0,9.0,9.13,81200,7.11
1998-02-06,9.38,9.38,8.63,8.63,61600,6.72
1998-02-09,8.63,9.0,8.56,9.0,55100,7.02
1998-02-10,9.13,9.13,8.5,8.56,71200,6.67
1998-02-11,8.63,9.19,8.56,9.0,68700,7.02
1998-02-12,8.81,9.5,8.5,8.87,119100,6.92
1998-02-13,9.0,9.0,8.75,8.87,19600,6.92
1998-02-17,9.0,9.5,9.0,9.38,39000,7.31
1998-02-18,9.5,9.5,8.81,8.87,104600,6.92
1998-02-19,9.13,9.38,8.87,9.25,57600,7.21
1998-02-20,9.19,10.06,9.06,9.75,213000,7.6
1998-02-23,9.81,10.06,9.81,9.81,33500,7.65
1998-02-24,10.0,10.06,9.75,10.0,68100,7.8
1998-02-25,10.0,11.44,10.0,11.12,139700,8.67
1998-02-26,11.12,11.19,10.0,10.25,86700,7.99
1998-02-27,10.25,10.25,9.62,9.81,51600,7.65
1998-03-02,9.81,9.81,8.87,8.87,69300,6.92
1998-03-03,8.75,9.38,8.56,8.94,21200,6.97
1998-03-04,9.13,10.25,9.0,10.0,64200,7.8
1998-03-05,10.06,10.06,9.75,9.75,32600,7.6
1998-03-06,9.75,10.13,9.75,9.94,19500,7.75
1998-03-09,10.0,10.06,9.88,10.0,64100,7.8
1998-03-10,10.06,10.13,9.94,9.94,83100,7.75
1998-03-11,10.13,11.25,9.94,10.5,181800,8.18
1998-03-12,10.5,10.87,10.38,10.5,24800,8.18
1998-03-13,10.62,10.62,10.0,10.0,58200,7.8
1998-03-16,10.38,10.38,9.88,10.13,13600,7.89
1998-03-17,10.38,10.38,9.88,10.0,29200,7.8
1998-03-18,10.13,10.25,9.81,10.0,28000,7.8
1998-03-19,9.75,10.13,9.69,9.69,25200,7.55
1998-03-20,10.0,10.0,9.5,9.56,10500,7.45
1998-03-23,9.56,9.56,9.38,9.44,15300,7.36
1998-03-24,9.25,9.75,9.13,9.13,40100,7.11
1998-03-25,9.06,9.75,9.06,9.75,36800,7.6
1998-03-26,9.25,9.62,9.0,9.38,35500,7.31
1998-03-27,9.38,9.75,9.38,9.38,12700,7.31
1998-03-30,9.31,9.5,9.25,9.25,25600,7.21
1998-03-31,9.75,9.75,9.13,9.13,8300,7.11
1998-04-01,9.5,9.75,9.38,9.72,8500,7.58
1998-04-02,9.5,9.75,9.5,9.62,48300,7.5
1998-04-03,9.5,9.5,9.38,9.5,20500,7.41
1998-04-06,9.62,9.62,9.25,9.25,6000,7.21
1998-04-07,9.62,9.62,9.06,9.13,15800,7.11
1998-04-08,9.0,9.25,8.87,8.87,24300,6.92
1998-04-09,8.94,9.13,8.75,8.75,15100,6.82
1998-04-13,9.06,9.06,8.75,8.75,34100,6.82
1998-04-14,8.75,8.87,8.75,8.81,16800,6.87
1998-04-15,8.75,9.0,8.56,9.0,104600,7.02
1998-04-16,9.06,9.88,9.06,9.62,44600,7.5
1998-04-17,9.88,9.88,9.0,9.31,42600,7.26
1998-04-20,9.25,9.56,9.13,9.5,16700,7.41
1998-04-21,9.44,9.62,9.13,9.62,20800,7.5
1998-04-22,9.25,9.75,9.13,9.25,46100,7.21
1998-04-23,9.25,9.38,8.87,9.0,25600,7.02
1998-04-24,8.87,9.13,8.75,8.75,29100,6.82
1998-04-27,9.0,9.25,8.75,8.94,89300,6.97
1998-04-28,9.06,9.44,9.0,9.13,36600,7.11
1998-04-29,9.13,9.62,9.13,9.62,67800,7.5
1998-04-30,9.5,9.75,9.25,9.38,23600,7.31
1998-05-01,9.38,9.5,9.13,9.38,44800,7.31
1998-05-04,9.5,9.5,9.13,9.44,30200,7.36
1998-05-05,9.38,9.62,9.13,9.13,37100,7.11
1998-05-06,9.38,9.38,9.13,9.13,17700,7.11
1998-05-07,9.38,9.38,8.87,9.13,25700,7.11
1998-05-08,9.13,9.38,9.0,9.13,23800,7.11
1998-05-11,9.5,9.62,9.25,9.62,81700,7.5
1998-05-12,9.62,9.62,9.13,9.13,63200,7.11
1998-05-13,9.25,9.25,9.0,9.0,22300,7.02
1998-05-14,9.19,9.38,9.0,9.38,36200,7.31
1998-05-15,9.13,9.69,9.13,9.5,40000,7.41
1998-05-18,9.75,10.0,9.38,9.81,71000,7.65
1998-05-19,9.81,9.88,9.62,9.62,93100,7.5
1998-05-20,9.75,9.88,9.5,9.62,74200,7.5
1998-05-21,9.62,9.62,9.38,9.5,23600,7.41
