Date,Open,High,Low,Close,Volume,Adj Close
2006-12-13,0.75,0.75,0.59,0.75,5600,0.75
2006-12-14,0.75,0.75,0.75,0.75,0,0.75
2006-12-15,0.75,0.75,0.75,0.75,0,0.75
2006-12-18,0.75,0.75,0.75,0.75,0,0.75
2006-12-19,0.75,0.75,0.75,0.75,0,0.75
2006-12-20,0.75,0.75,0.75,0.75,0,0.75
2006-12-21,0.75,0.75,0.75,0.75,0,0.75
2006-12-22,0.75,0.75,0.75,0.75,0,0.75
2006-12-26,0.75,0.75,0.75,0.75,0,0.75
2006-12-27,0.75,0.75,0.75,0.75,0,0.75
2006-12-28,0.59,0.7,0.58,0.7,9100,0.7
2006-12-29,0.58,0.7,0.57,0.7,10200,0.7
2007-01-03,0.7,0.7,0.7,0.7,2500,0.7
2007-01-04,0.7,0.7,0.7,0.7,0,0.7
2007-01-05,0.6,0.75,0.6,0.75,8400,0.75
2007-01-08,0.75,0.75,0.75,0.75,0,0.75
2007-01-09,0.75,0.8,0.7,0.8,21200,0.8
2007-01-10,0.9,0.9,0.8,0.9,7100,0.9
2007-01-11,0.9,0.9,0.9,0.9,0,0.9
2007-01-12,0.7,0.88,0.7,0.88,5100,0.88
2007-01-16,0.88,0.88,0.88,0.88,5000,0.88
2007-01-17,0.88,0.88,0.88,0.88,0,0.88
2007-01-18,0.88,0.88,0.88,0.88,0,0.88
2007-01-19,0.88,0.88,0.88,0.88,0,0.88
2007-01-22,0.57,0.57,0.51,0.51,3100,0.51
2007-01-23,0.7,0.7,0.7,0.7,100,0.7
2007-01-24,0.54,0.7,0.54,0.7,3100,0.7
2007-01-25,0.7,0.7,0.7,0.7,0,0.7
2007-01-26,0.7,0.7,0.7,0.7,0,0.7
2007-01-29,0.7,0.7,0.7,0.7,0,0.7
2007-01-30,0.7,0.7,0.7,0.7,0,0.7
2007-01-31,0.7,0.7,0.7,0.7,0,0.7
2007-02-01,0.7,0.7,0.7,0.7,0,0.7
2007-02-02,0.7,0.7,0.7,0.7,0,0.7
2007-02-05,0.7,0.7,0.7,0.7,0,0.7
2007-02-06,0.7,0.7,0.7,0.7,0,0.7
2007-02-07,0.55,0.65,0.55,0.65,6100,0.65
2007-02-08,0.65,0.65,0.65,0.65,0,0.65
2007-02-09,0.65,0.65,0.65,0.65,200,0.65
2007-02-12,0.65,0.65,0.65,0.65,0,0.65
2007-02-13,0.65,0.7,0.55,0.55,8600,0.55
2007-02-14,0.7,0.7,0.7,0.7,6000,0.7
2007-02-15,0.7,0.7,0.7,0.7,0,0.7
2007-02-16,0.65,0.65,0.65,0.65,3500,0.65
2007-02-20,0.65,0.65,0.65,0.65,1000,0.65
2007-02-21,0.65,0.65,0.65,0.65,0,0.65
2007-02-22,0.55,0.85,0.51,0.85,51500,0.85
2007-02-23,0.75,0.84,0.55,0.84,21700,0.84
2007-02-26,0.84,0.84,0.84,0.84,0,0.84
2007-02-27,0.84,0.84,0.84,0.84,0,0.84
2007-02-28,0.84,0.84,0.84,0.84,500,0.84
2007-03-01,0.84,0.84,0.84,0.84,0,0.84
2007-03-02,0.84,0.84,0.84,0.84,0,0.84
2007-03-05,0.8,0.84,0.8,0.84,1600,0.84
2007-03-06,0.84,0.84,0.84,0.84,0,0.84
2007-03-07,0.84,0.84,0.84,0.84,0,0.84
2007-03-08,0.84,0.84,0.84,0.84,0,0.84
2007-03-09,0.6,0.84,0.6,0.84,5100,0.84
2007-03-12,0.84,0.84,0.84,0.84,5000,0.84
2007-03-13,0.84,0.84,0.84,0.84,0,0.84
2007-03-14,0.84,0.84,0.84,0.84,0,0.84
2007-03-15,0.84,0.84,0.84,0.84,0,0.84
2007-03-16,0.56,0.85,0.56,0.85,1000,0.85
2007-03-19,0.61,0.85,0.61,0.85,37200,0.85
2007-03-20,0.85,0.85,0.85,0.85,0,0.85
2007-03-21,0.85,0.85,0.85,0.85,5000,0.85
2007-03-22,0.85,0.85,0.85,0.85,0,0.85
2007-03-23,0.85,0.85,0.85,0.85,0,0.85
2007-03-26,0.85,0.85,0.85,0.85,0,0.85
2007-03-27,0.85,0.85,0.85,0.85,0,0.85
2007-03-28,0.85,0.85,0.85,0.85,0,0.85
2007-03-29,0.85,0.85,0.85,0.85,0,0.85
2007-03-30,0.6,0.85,0.6,0.85,500,0.85
2007-04-02,0.85,0.85,0.85,0.85,0,0.85
2007-04-03,0.85,0.85,0.85,0.85,0,0.85
2007-04-04,0.85,0.85,0.85,0.85,0,0.85
2007-04-05,0.85,0.85,0.85,0.85,0,0.85
2007-04-09,0.85,0.85,0.85,0.85,0,0.85
2007-04-10,0.85,0.85,0.85,0.85,1500,0.85
2007-04-11,0.85,0.85,0.85,0.85,0,0.85
