Date,Open,High,Low,Close,Volume,Adj Close
1994-04-07,6.72,6.84,6.72,6.72,0,215039.99
1994-04-08,6.84,7.08,6.72,6.84,0,218879.99
1994-04-11,6.72,6.84,6.6,6.72,0,215039.99
1994-04-12,6.78,6.84,6.36,6.36,0,203519.99
1994-04-13,6.36,6.48,5.4,5.7,0,182400.0
1994-04-14,5.76,5.88,5.76,5.88,0,188160.0
1994-04-15,5.76,5.88,5.52,5.52,0,176640.0
1994-04-18,5.28,5.64,5.16,5.52,0,176640.0
1994-04-19,5.4,5.52,5.16,5.28,0,168960.0
1994-04-20,5.4,5.52,5.28,5.28,0,168960.0
1994-04-21,5.28,5.52,5.28,5.52,0,176640.0
1994-04-22,5.52,6.12,5.52,6.06,0,193920.0
1994-04-25,6.12,6.48,6.12,6.36,0,203519.99
1994-04-26,6.6,7.08,6.48,6.96,0,222719.99
1994-04-28,6.96,6.96,6.84,6.84,0,218879.99
1994-04-29,6.96,7.32,6.84,7.32,0,234239.99
1994-05-02,7.32,7.56,7.2,7.32,0,234239.99
1994-05-03,7.56,7.56,7.32,7.32,0,234239.99
1994-05-04,7.56,7.56,7.32,7.32,0,234239.99
1994-05-05,7.32,7.56,7.2,7.32,0,234239.99
1994-05-06,7.56,7.56,7.32,7.32,0,234239.99
1994-05-09,7.32,7.56,7.32,7.32,0,234239.99
1994-05-10,7.44,7.68,7.32,7.56,0,241919.99
1994-05-11,7.56,7.92,7.56,7.8,0,249599.99
1994-05-12,7.92,8.16,7.8,7.8,0,249599.99
1994-05-13,7.8,8.28,7.8,8.04,0,257279.99
1994-05-16,8.28,8.28,8.04,8.04,0,257279.99
1994-05-17,8.28,8.28,8.04,8.04,0,257279.99
1994-05-18,8.04,8.04,8.04,8.04,0,257279.99
1994-05-19,8.04,8.28,8.04,8.04,0,257279.99
1994-05-20,8.04,8.52,8.04,8.52,0,272639.99
1994-05-23,8.4,8.76,8.28,8.64,0,276479.99
1994-05-24,8.52,8.76,8.16,8.52,0,272639.99
1994-05-25,8.16,8.52,8.16,8.4,0,268799.99
1994-05-26,8.28,8.28,8.16,8.28,0,264959.99
1994-05-27,8.16,8.4,8.16,8.16,0,261119.99
1994-05-31,8.16,8.4,8.16,8.16,0,261119.99
1994-06-01,8.16,8.4,8.16,8.16,0,261119.99
1994-06-02,8.16,8.4,8.16,8.16,0,261119.99
1994-06-03,8.16,8.4,8.16,8.4,0,268799.99
1994-06-06,8.16,8.4,8.16,8.16,0,261119.99
1994-06-07,8.16,8.28,8.16,8.16,0,261119.99
1994-06-08,8.16,8.4,8.16,8.22,0,263039.99
1994-06-09,8.16,8.28,8.16,8.22,0,263039.99
1994-06-10,8.16,8.4,8.16,8.28,0,264959.99
1994-06-13,8.16,8.4,8.16,8.16,0,261119.99
1994-06-14,8.16,8.4,8.16,8.19,0,262079.99
1994-06-15,8.16,8.4,8.16,8.28,0,264959.99
1994-06-16,8.4,8.4,8.16,8.16,0,261119.99
1994-06-17,8.16,8.4,8.16,8.28,0,264959.99
1994-06-20,8.16,8.4,8.16,8.22,0,263039.99
1994-06-21,8.16,8.4,8.16,8.16,0,261119.99
1994-06-22,8.25,8.4,8.16,8.28,0,264959.99
1994-06-23,8.34,8.52,8.28,8.28,0,264959.99
1994-06-24,8.64,8.64,8.28,8.28,0,264959.99
1994-06-27,8.28,8.4,8.16,8.16,0,261119.99
1994-06-28,8.16,8.4,8.16,8.16,0,261119.99
1994-06-29,8.4,8.64,8.28,8.4,0,268799.99
1994-06-30,8.52,8.64,8.28,8.64,0,276479.99
1994-07-01,8.64,8.64,8.4,8.46,0,270719.99
1994-07-05,8.64,8.64,8.4,8.4,0,268799.99
1994-07-06,8.64,8.64,8.4,8.4,0,268799.99
1994-07-07,8.4,8.52,8.16,8.19,0,262079.99
1994-07-08,8.16,8.4,8.14,8.4,0,268799.99
1994-07-11,8.16,8.4,8.16,8.4,0,268799.99
1994-07-12,8.16,8.4,8.16,8.28,0,264959.99
1994-07-13,8.16,8.22,8.16,8.22,0,263039.99
1994-07-14,8.16,8.28,8.16,8.16,0,261119.99
1994-07-15,8.16,8.4,8.16,8.4,0,268799.99
1994-07-18,8.4,8.4,7.92,8.16,0,261119.99
1994-07-19,8.1,8.52,7.92,8.04,0,257279.99
1994-07-20,7.92,8.4,7.92,7.98,0,255359.99
1994-07-21,7.92,8.16,7.56,7.56,0,241919.99
1994-07-22,7.56,7.8,7.56,7.62,0,243839.99
1994-07-25,7.56,7.62,7.56,7.62,0,243839.99
1994-07-26,7.68,8.04,7.56,7.68,0,245759.99
1994-07-27,7.68,7.98,7.68,7.98,0,255359.99
1994-07-28,7.68,8.04,7.68,7.68,0,245759.99
1994-07-29,7.68,7.92,7.68,7.68,0,245759.99
1994-08-01,7.68,7.68,7.68,7.68,0,245759.99
1994-08-02,7.68,7.71,7.68,7.71,0,246719.99
1994-08-03,7.86,8.04,7.56,7.56,0,241919.99
1994-08-04,7.56,7.8,7.56,7.68,0,245759.99
1994-08-05,7.68,7.8,7.68,7.74,0,247679.99
1994-08-08,7.68,7.69,7.68,7.69,0,246239.99
1994-08-09,7.8,7.8,7.44,7.68,0,245759.99
1994-08-10,7.56,7.8,7.56,7.56,0,241919.99
1994-08-11,7.59,7.59,7.56,7.56,0,241919.99
1994-08-12,7.56,7.57,7.56,7.57,0,242399.99
1994-08-15,7.68,8.04,7.62,7.8,0,249599.99
1994-08-16,7.8,8.16,7.8,8.16,0,261119.99
1994-08-17,7.92,7.92,7.8,7.8,0,249599.99
1994-08-18,7.8,7.92,7.8,7.8,0,249599.99
1994-08-19,7.8,7.86,7.8,7.83,0,250559.99
1994-08-22,7.8,7.89,7.8,7.86,0,251519.99
1994-08-23,7.86,8.04,7.56,7.56,0,241919.99
1994-08-24,7.92,7.92,7.56,7.57,0,242399.99
1994-08-25,8.04,8.04,7.56,7.56,0,241919.99
1994-08-26,7.56,7.56,7.2,7.2,0,230399.99
1994-08-29,7.2,7.56,7.2,7.2,0,230399.99
1994-08-30,7.68,7.68,7.2,7.32,0,234239.99
1994-08-31,7.32,7.56,7.11,7.11,0,227519.99
1994-09-01,7.08,7.38,7.08,7.32,0,234239.99
1994-09-02,7.33,7.44,7.2,7.23,0,231359.99
1994-09-06,7.2,7.44,7.2,7.23,0,231359.99
1994-09-07,7.23,7.26,7.2,7.21,0,230879.99
1994-09-08,7.2,7.26,7.2,7.2,0,230399.99
1994-09-09,7.2,7.26,7.2,7.2,0,230399.99
1994-09-12,7.2,7.26,7.2,7.2,0,230399.99
1994-09-13,7.2,7.44,7.2,7.23,0,231359.99
1994-09-14,7.44,7.44,6.96,7.23,0,231359.99
1994-09-15,7.2,7.32,7.2,7.2,0,230399.99
